"id"	"名称"	"种类"	"链接"
"1"	"一角甲"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/一角甲.jpg"
"2"	"七星瓢虫"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/七星瓢虫.jpg"
"3"	"三化螟扁股小蜂"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/三化螟扁股小蜂.jpg"
"4"	"三化螟抱缘姬蜂"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/三化螟抱缘姬蜂.jpg"
"5"	"三化螟沟姬蜂"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/三化螟沟姬蜂.jpg"
"6"	"三化螟绒茧蜂"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/三化螟绒茧蜂.jpg"
"7"	"三化螟茧蜂"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/三化螟茧蜂.jpg"
"8"	"三叉屁步甲"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/三叉屁步甲.jpg"
"9"	"三色长蝽"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/三色长蝽.jpg"
"10"	"上海细麻蝇"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/上海细麻蝇.jpg"
"11"	"上海青蜂"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/上海青蜂.jpg"
"12"	"不丹瘤蝽"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/不丹瘤蝽.jpg"
"13"	"东方拟瘦姬蜂"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/东方拟瘦姬蜂.jpg"
"14"	"东方水蝽"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/东方水蝽.jpg"
"15"	"东方角额小蜂"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/东方角额小蜂.jpg"
"16"	"东方长颈步甲"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/东方长颈步甲.jpg"
"17"	"两室反颚茧蜂"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/两室反颚茧蜂.jpg"
"18"	"中华东蚁蛉"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/中华东蚁蛉.jpg"
"19"	"中华婪步甲"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/中华婪步甲.jpg"
"20"	"中华广肩步甲"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/中华广肩步甲.jpg"
"21"	"中华显盾瓢虫"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/中华显盾瓢虫.jpg"
"22"	"中华盗虻"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/中华盗虻.jpg"
"23"	"中华直盾蜾蠃"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/中华直盾蜾蠃.jpg"
"24"	"中华芫菁"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/中华芫菁.jpg"
"25"	"中华茧蜂"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/中华茧蜂.jpg"
"26"	"中华草蛉"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/中华草蛉.jpg"
"27"	"中华螳螂"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/中华螳螂.jpg"
"28"	"中华钝唇姬蜂"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/中华钝唇姬蜂.jpg"
"29"	"中华马蜂"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/中华马蜂.jpg"
"30"	"中国双七瓢虫"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/中国双七瓢虫.jpg"
"31"	"中国曲胫步甲"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/中国曲胫步甲.jpg"
"32"	"中国虎甲"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/中国虎甲.jpg"
"33"	"中国雏蜂虻"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/中国雏蜂虻.jpg"
"34"	"中国齿腿姬蜂"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/中国齿腿姬蜂.jpg"
"35"	"中红侧沟茧蜂"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/中红侧沟茧蜂.jpg"
"36"	"丽胸蜾蠃"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/丽胸蜾蠃.jpg"
"37"	"丽草蛉"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/丽草蛉.jpg"
"38"	"乌猎蝽"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/乌猎蝽.jpg"
"39"	"二化螟沟姬蜂"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/二化螟沟姬蜂.jpg"
"40"	"二化螟绒茧蜂"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/二化螟绒茧蜂.jpg"
"41"	"二化螟肿额寄蝇"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/二化螟肿额寄蝇.jpg"
"42"	"二化螟黑卵蜂"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/二化螟黑卵蜂.jpg"
"43"	"二双斑唇瓢虫"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/二双斑唇瓢虫.jpg"
"44"	"二斑平步甲"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/二斑平步甲.jpg"
"45"	"二星瓢虫"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/二星瓢虫.jpg"
"46"	"二点栉煽"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/二点栉煽.jpg"
"47"	"二点突眼隐翅虫"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/二点突眼隐翅虫.jpg"
"48"	"二色赤猎蝽"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/二色赤猎蝽.jpg"
"49"	"云斑真猎蝽"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/云斑真猎蝽.jpg"
"50"	"云纹虎甲"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/云纹虎甲.jpg"
"51"	"五指山隐势瓢虫"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/五指山隐势瓢虫.jpg"
"52"	"五星扁棒角甲"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/五星扁棒角甲.jpg"
"53"	"五点方首隐翅虫"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/五点方首隐翅虫.jpg"
"54"	"五点矩胸隐翅虫"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/五点矩胸隐翅虫.jpg"
"55"	"五点黄足隐翅虫"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/五点黄足隐翅虫.jpg"
"56"	"亚洲三叉蚜茧蜂"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/亚洲三叉蚜茧蜂.jpg"
"57"	"亚非草蛉"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/亚非草蛉.jpg"
"58"	"亚非马蜂"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/亚非马蜂.jpg"
"59"	"亮钳猎蝽"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/亮钳猎蝽.jpg"
"60"	"伏虎茧蜂"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/伏虎茧蜂.jpg"
"61"	"伞裙追寄蝇"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/伞裙追寄蝇.jpg"
"62"	"侧刺蝽"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/侧刺蝽.jpg"
"63"	"侧沟绿茧蜂"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/侧沟绿茧蜂.jpg"
"64"	"侧沟茧蜂"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/侧沟茧蜂.jpg"
"65"	"侧腹栉姬蜂"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/侧腹栉姬蜂.jpg"
"66"	"光棒姬蝽"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/光棒姬蝽.jpg"
"67"	"光爪等距姬蜂"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/光爪等距姬蜂.jpg"
"68"	"全北褐蛉"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/全北褐蛉.jpg"
