"id"	"天敌"	"地理分布"	"形态特征"	"中文名"	"纲"	"目"	"科"	"主要危害作物"	"生物学特性及发生消长规律"	"相关文献"	"拉丁学名"	"记录号"	"防治方法"	"图片"
"1"		"分布在东北、北京、河北、浙江、江苏、贵州、广东、广西、海南、台湾、陕西、宁夏、新疆、西藏、内蒙古等省区。"	"雌虫体长1．4～1．5毫米。体褐色或黑褐色，翅胸较头部、前胸和腹部暗；触角第二节端部及第三节色略溅，其余各节黑褐色；前足胫节，中、后足胫节端部及全部跗节黄色；前翅浅灰色，翅鬃黄色；体鬃褐色。头宽大于长，两颊几乎直；缺前单眼前鬃，单眼间鬃长，着生于三角形连线外缘。触角8节，第3、4节各着生一叉状感觉锥。前胸背板前角各具一根长鬃，后角各有2根长鬃，后缘鬃3对，中对稍长。前翅上脉鬃间断，基部4+3，端鬃3根；后脉鬃10～13根连续。腹部3～8侧板中部有3根横排鬃，5～8背板两侧有微弯梳，第8背板后缘无梳，3～7腹板各具8～14根附鬃。"	"葱蓟马"	"昆虫纲"	"缨翅目"	"蓟马科"	"葱、韭菜。"	"东北年生3～4代，山东6～10代，长江流域10代以上，以成、幼虫及伪蛹在枯叶或土中越冬，每代历期20天左右。河南、山东、江苏5月中下旬至6月上中旬进入为害盛期；黑龙江6月中旬至7月中旬成虫活跃，成虫白天多在叶背为害。6月中旬韭菜上葱蓟马数量最多，是为害严重期，6月下旬虫量居次，7月以后进入高温季节，数量急剧下降。"	"吕佩珂．中国蔬菜病虫原色图谱续集．呼和浩特：远方出版社，1996 郭书普等编著．叶类蔬菜病虫害防治原色图鉴 ．合肥： 安徽科学技术出版社，2004"	"Thrips alliorum(Priesner)异名Taeniothrips alliorum Priesner"	"fp00354"	"(1)清除田间枯枝残叶，减少越冬基数。(2)在成、若虫发生期喷洒40％七星保乳油600～800倍液或21％灭杀毙乳油1500倍液、50％辛硫磷乳油1000倍液、20％氯•马乳油2000倍液、20％复方浏阳霉素乳油i000倍液、80％巴丹可湿性粉剂2000倍液、25％增效喹硫磷乳油1000倍液等，隔7～10天一次，连续防治2～3次。采收前7天停止用药。"	"agridata/images/中国农业有害生物数据库/中国叶菜类蔬菜害虫数据库/葱蓟马.jpg"
"2"		"分布在北京、四川、台湾、贵州、云南、山西等省区。"	"无翅孤雌蚜体长2．0毫米，宽1．2毫米，体卵圆形黑色或黑褐色，头部、前胸黑色，中胸、后胸具黑缘斑，腹部色浅，第6节有中断横带，第7、8节各具宽横带；腹部微具瓦纹，背毛短，腹管淡色。触角细，长约2．2毫米，有瓦纹，第3节长，具短毛27～34根，无感觉圈；喙长达后足基节，额瘤圆隆起外倾，粗糙。腹管花瓶状，光滑。有翅孤雌蚜头部、胸部黑色，腹部色浅，第1、3腹节具横带，第4、5节中侧融合为1块大斑，第6、7节横带与缘斑相连，第8节有窄横带1条，其余各节缘斑独立。翅脉镶黑边。"	"台湾韭蚜(葱蚜)"	"昆虫纲"	"同翅目"	"蚜科"	"韭菜、野蒜、葱、洋葱。"	"北京7、8月间发生无翅蚜，9月间发生有翅型，9月末出现有翅雄蚜。太原为害葱叶，云南11月仍见为害韭菜。"	"吕佩珂．中国蔬菜病虫原色图谱续集．呼和浩特：远方出版社，1996 郭书普等编著．叶类蔬菜病虫害防治原色图鉴 ．合肥： 安徽科学技术出版社，2004"	"Neotoxoptera formosana(Takahashi)异名Fullawayella formosana Taka．"	"fp00355"	"(1)采用黄板诱杀或铺设银灰色反光塑料薄膜忌避蚜虫。(2)棚室发生韭菜蚜虫可用杀蚜虫烟剂熏治。(3)露地韭菜或葱、蒜等在发生期喷洒50％辛硫磷乳油1000倍液或50％抗蚜威乳油2000倍液，隔10天1次，连续防治2～3次。采收前7天停止用药。"	"agridata/images/中国农业有害生物数据库/中国叶菜类蔬菜害虫数据库/台湾韭蚜(葱蚜).jpg"
"3"		"分布在全国各地。"	"参见豌豆潜叶蝇。"	"豌豆潜叶蝇"	"昆虫纲"	"双翅目"	"潜蝇科"	"大蒜、洋葱、豌豆、菜豆、豇豆、甘蓝、花椰菜、白菜、油菜、萝卜、莴苣、番茄、茄子、马铃薯等。"	"参见豌豆潜叶蝇。"	"吕佩珂．中国蔬菜病虫原色图谱续集．呼和浩特：远方出版社，1996 郭书普等编著．叶类蔬菜病虫害防治原色图鉴 ．合肥： 安徽科学技术出版社，2004"	"Phytomyza horticola Gourean异名Phytomyza atricornis Meigen、P. nigricornis Hardy．"	"fp00356"	"参见美洲斑潜蝇。"	"agridata/images/中国农业有害生物数据库/中国叶菜类蔬菜害虫数据库/豌豆潜叶蝇.jpg"
"4"		"华中亚种C．dispar aurata Lieech．分布在、陕西、河南、湖北、四川、新疆等省。东北亚种C．dispar  borodowskyi (Grum—Grshimailo)分布在黑龙江、辽宁、内蒙古。"	"成虫翅展30毫米，雄蝶翅面橙黄色至朱红色，前翅外缘具窄黑色带，后翅外缘的黑带与内侧黑点愈合。翅反面，前翅浅黄色，前缘、外缘灰色，亚缘具整齐黑斑2列，中室基部、中部、端部各具黑点1个；后翅灰褐色，基部蓝灰色，除亚外缘线为橙色外，还有整齐的黑点3列，内列顶角处2个黑点排列不齐，基半部有5个黑点。雌蝶前翅翅面的亚缘黑点列整齐，3列亚缘黑点整齐。"	"橙灰蝶"	"昆虫纲"	"鳞翅目"	"灰蝶科"	"韭菜、杨树。"	"不详，仅见幼虫为害韭菜。"	"吕佩珂．中国蔬菜病虫原色图谱续集．呼和浩特：远方出版社，1996 郭书普等编著．叶类蔬菜病虫害防治原色图鉴 ．合肥： 安徽科学技术出版社，2004"	"Chrysophanus dispar(Haworth)"	"fp00357"	"(1)幼虫孵化初期开始喷洒25％灭幼脲3号悬浮剂500～600倍液，使其幼虫不能正常蜕皮、变态而死亡。应急时也可喷洒20％杀灭菊酯乳油2000倍液或50％辛硫磷乳油1500倍液。采收前7天停止用药。"	"agridata/images/中国农业有害生物数据库/中国叶菜类蔬菜害虫数据库/橙灰蝶.jpg"
"5"		"分布在华北、华东、华南等地。"	"成虫黑色，有光泽，体扁平，长约2毫米，头部三角形，光滑，黑色，闪光；复眼稍突与前胸背板相连，喙4节，黑色，伸达中足基节，第二节末端略带暗红色；触角细长，第1节膨大，基上生少量长毛，黑色；第2节最长，小于3、4节之和，3、4节褐色；前胸背板梯形，前缘、后缘及侧缘较直；小盾片呈等边三角形且平；前翅鞘质黑色，无膜片，翅短，未达腹部末端；后翅无；腿节、胫节连接处暗红色，后足腿节膨大成跳跃足；胫节末端及跗节褐色，后足胫节外侧具一列较长的刺，跗节为3节。若虫红色，头部、前胸背板、小盾片、翅芽、触角及足全为红褐色。"	"韭菜跳盲蝽"	"昆虫纲"	"半翅目"	"盲蝽科"	"韭菜、大葱。"	"发生世代不详，山东潍坊一带2月下旬，韭菜和葱田可见成虫活动，一直持续到秋天，11月中旬仍可见大量成虫和若虫。"	"吕佩珂．中国蔬菜病虫原色图谱续集．呼和浩特：远方出版社，1996 郭书普等编著．叶类蔬菜病虫害防治原色图鉴 ．合肥： 安徽科学技术出版社，2004"	"Halticus sp．"	"fp00358"	"喷洒21％灭杀毙乳油1000倍液或2．5％溴氰菊酯或20％氰戊菊酯2000倍液、16％顺丰3号乳油1500倍液、25％喹硫磷乳油1000倍液、50％辛硫磷乳油1500倍液等。采收前7天停止用药。"	"agridata/images/中国农业有害生物数据库/中国叶菜类蔬菜害虫数据库/韭菜跳盲蝽.jpg"
"6"		"分布吉林、内蒙古、河北、山西、江苏、安徽。"	"成虫体长3．3～4．2毫米，宽1．5毫米，长圆形，体色变异大，多为棕红色。头黑色，中、后胸腹面棕黑色，触角基3节棕色，其余棕黑色；鞘翅四周黑色。头和背面均具皮革状皱纹；额瘤斜成近三角形。雄虫触角特长，伸展至鞘翅末端且粗状；2、3节细小，余各节近等长，第4节、末节稍长，有的末端数节均呈扁形。前胸背板布有小刻点，中部两侧各具1浅凹陷，两侧边缘直形。鞘翅两边平行，表面有较大深点刻，近内缘更明显。雄虫前足第1跗节膨大呈卵状。幼虫体长约1毫米，黄白色，略横扁，稍弯，头黄褐色，前口式，头上具黑色弧形斑；胸部3节，腹部8节，中胸、腹部各节侧生环状气门1对，腹部各节腹面有突起1对。蛹白色。"	"葱黄寡毛跳甲"	"昆虫纲"	"鞘翅目"	"叶甲科"	"大葱、洋葱、韭菜、大蒜等。"	"山东潍坊年生2代，以幼虫在根部周围土壤中10厘米深处越冬。越冬幼虫于翌年3月上旬移至5～10厘米处为害，5月上旬开始化蛹，5月中旬成虫始见，幼虫龄期不整齐，春季虫量大，5月中旬至11月上旬一直延续不断。卵历期13．9天，蛹历期约14天，成虫寿命30多天，一般降雨或浇水2～3天后成虫大量羽化出土，卵多产在土下根际处，产卵期约1个月，每雌产卵175粒。"	"吕佩珂．中国蔬菜病虫原色图谱续集．呼和浩特：远方出版社，1996 郭书普等编著．叶类蔬菜病虫害防治原色图鉴 ．合肥： 安徽科学技术出版社，2004"	"Luperomorpha suturalis Chen"	"fp00359"	"(1)冬灌或春灌可杀灭部分幼虫。(2)施用充分腐熟的有机肥，发现韭蛆为害时不要再追施粪稀，应改用化肥，头刀、二刀后随水灌2次氨水，但不要过量。(3)成虫盛发期喷洒75％辛硫磷乳油1000倍液。(4)幼虫盛发期灌75％辛硫磷800倍液或Bt乳剂400倍与50％辛硫磷乳油1000倍液混合后灌根。采收前7天停止用药。为防止农药中毒，韭菜田严禁使用3911、1605、氟乙酰胺等剧毒农药。"	"agridata/images/中国农业有害生物数据库/中国叶菜类蔬菜害虫数据库/葱黄寡毛跳甲.jpg"
"7"		"分布在黑龙江、辽宁、吉林、江苏、上海、浙江、福建、四川。"	"成虫宽卵圆形，体长0．6～0．9毫米，乳白色，有光泽，鄂体部、足浅红褐色，幼虫3对足，若虫和成虫4对。卵白色，椭圆形，长约0．2毫米。"	"刺足根螨"	"蛛形纲"	"鳞翅目"	"粉螨科"	"韭黄、韭菜、葱类、百合、芋、甜菜、马铃薯、唐菖蒲、半夏、贝母等。"	"以成螨和若螨为害韭菜、葱蒜假茎，使其腐烂。在高湿条件下，气温18．3～23．9℃完成1代需17～27天，20～26．7℃只需9～13天，雌螨交配后1～3天即产卵，每雌平均产195粒，最多达500粒。第1、第3若螨期间条件不利时，出现体形变小的活动化播体。日本年生10多代。刺足根螨喜在沙壤中为害。有时一株葱上可达数百头。一条根上有10多头，能在土中移动。酸性土受害重。"	"吕佩珂．中国蔬菜病虫原色图谱续集．呼和浩特：远方出版社，1996 郭书普等编著．叶类蔬菜病虫害防治原色图鉴 ．合肥： 安徽科学技术出版社，2004"	"Rhizoglyphus echinopus(Fumouze et Robin)异名：R．robini Glaparede"	"fp00360"	"(1)整地时注意深耕，合理施肥，对酸性土壤要施入消石灰80～100kg调至中性。(2)合理轮作，避免根螨寄主作物连作，与瓜类、豆类轮作。(3)块根类作物要在阳光下曝晒，可减轻为害。(4)留种球根(茎)可用50％辛硫磷乳油1000倍液浸渍15分钟后晾干再播种。(5)生长期发生根螨时浇灌50％辛硫磷乳油1500倍液均有效。采收前5天停止用药。"	"agridata/images/中国农业有害生物数据库/中国叶菜类蔬菜害虫数据库/刺足根螨.jpg"
"8"	"天敌较多，如粉蝶金小蜂等"	"分布在黑龙江、辽宁、河南、陕西、福建、江西、湖北、广西、云南、青海、西藏等省区。"	"长约16毫米，翅展46～56毫米，和菜粉蝶相似。雄蝶翅白色，脉纹黑色。前翅脉纹、顶角及后缘均为黑色，近外缘的2个黑斑较大，且下面的1个黑斑与后缘的黑带连接；后翅前缘外方具黑色圆斑1个。翅背面的前翅顶角和后翅有黄色鳞粉，后翅基角处有橙黄色斑点1个。雌蝶翅基部浅黑褐色，色斑和后边末端条纹粗大。其他与雄蝶相同。该种分春型和夏型。春型个体稍小，翅略细长，黑色部分色深；夏型体较大，体色稍浅且明显。卵瓶状，长1毫米。幼虫与菜粉蝶的幼虫近似，气门线上只有1个环状黄斑，围绕气门。蛹纺锤形，两端稍尖。"	"黑纹粉蝶"	"昆虫纲"	"鳞翅目"	"粉蝶科"	"白菜、油菜、甘蓝、黄芽白、芥菜、萝卜等栽培及野生十字花科植物。"	"东北、华北年生4～5代，华东7～8代，华南、西南8～9代，以蛹在菜园附近篱笆、屋墙、树干等处越冬，翌年3～4月成虫羽化，4～11月是幼虫为害期。成虫白天飞翔，取食花蜜，夜晚栖息在植物上。天敌较多，如粉蝶金小蜂等，对抑制虫口数量有一定作用。"	"吕佩珂．中国蔬菜病虫原色图谱续集．呼和浩特：远方出版社，1996 郭书普等编著．叶类蔬菜病虫害防治原色图鉴 ．合肥： 安徽科学技术出版社，2004"	"Pieris melete (Ménétriès)"	"fp00361"	"(1)收获后及时清洁田园，灭蛹和幼虫，以减少虫源。(2)合理布局，适时播种。(3)成虫产卵高峰后7～8天，3龄幼虫达50％，气温20℃以上，选用青虫菌6号1000倍液或Bt乳剂或8401、8010等600～800倍液喷雾；也可选用25％灭幼脲3号悬浮剂500倍液，在卵孵化高峰期用药，使幼虫不能正常蜕皮、变态而死亡。使用苏云金杆菌制剂最好选用低容量喷雾，此外还可与低剂量的化学农药混用，如马拉松、杀灭菊酯、溴氰菊酯、氯氰菊酯等混用。如在青虫菌6号液中加入10％氯氰菊酯3000～4000倍液对菜青虫、小菜蛾、棉蚜、甘蓝蚜、甘蓝夜蛾等均具增效作用。(4)提倡施用苦参素500～800倍液。(5)喷洒90％灭多威可湿性粉剂2000倍液或5％抑太保乳油2000倍液、20％氰戊菊酯乳油2000～2500倍液、2．5％溴氰菊酯乳油2000倍液、2．5％功夫菊酯乳油2000倍液、2．5％天王星乳油3000～4000倍液、5％锐劲特悬浮剂，每667m 2 50～100毫升。采收前7天停止用药。"	"agridata/images/中国农业有害生物数据库/中国叶菜类蔬菜害虫数据库/黑纹粉蝶.jpg"
"9"		"分布在陕西、河北、河南、江苏、浙江、福建、湖北、广东、云南、台湾。"	"成虫体长14～16毫米，翅展28～33毫米。头、胸、腹灰褐色，颈板中部具黑横线1条。前翅淡褐色至暗灰褐色，上有黑色细点，略具金属闪光；基横线白色带黑，亚中褶处向外伸出黑纹1条；双内横线黑色波浪形外弯，线间白色；环形纹白色斜，中间稍褐，后端连着银白斜斑1个、扁圆斑1个．外横线褐色双线波浪状，线间白色；亚端线黑褐色，呈锯齿状；翅外缘有白线1条；后翅黄白色带褐色，端区暗褐色具黄闪光。卵乳白色，馒头型。幼虫浅绿色，体由头部到腹部末端渐变粗，气门上线白色，近背中线具2条细线，胸足细长，第1、2对腹足退化。爬行时似尺蠖状弓起。蛹浅绿色至浅褐色，外具一层薄丝茧。"	"粉斑夜蛾"	"昆虫纲"	"鳞翅目"	"夜蛾科"	"白菜、芥蓝、青花菜、甘蓝等十字花科蔬菜和莴苣、甜菜、豌豆、芹菜、香菜、番茄、马铃薯、香石竹等。"	"该虫是一种分布很广的杂食性害虫。以蛹在寄主上越冬，卵散产在叶子正面，每雌平均产卵300～350粒，成虫夜出活动有趋光性。"	"吕佩珂．中国蔬菜病虫原色图谱续集．呼和浩特：远方出版社，1996 郭书普等编著．叶类蔬菜病虫害防治原色图鉴 ．合肥： 安徽科学技术出版社，2004"	"Plusia ni (Hübner)异名Trichoplususia ni Hubner；P．humilis；P．extrahens．"	"fp00362"	"参见黑纹粉蝶。"	"agridata/images/中国农业有害生物数据库/中国叶菜类蔬菜害虫数据库/粉斑夜蛾.jpg"
"10"		"分布在内蒙古、辽宁、北京、河北、山西、江西等省区。"	"成虫长纺锤形，体长6．7～10．2毫米，宽约3毫米。体壁黑色，被覆灰色短毛。体两侧、腹部和足有白毛，头和前胸背板褐色，布有不规则刻点，喙短于前胸背板j弯曲度较大，略粗于前足腿节。触角位于喙前端1／3处，膝形，端部呈膝状。前翅鞘质灰黑色，被覆灰色短毛，身体两侧、腹部和足被覆白色鳞片，腹部密布黑色刻点，后翅膜质，灰白色。卵黄色，长卵形，长0.5～0.6毫米。幼虫体长7～13毫米。显头型，头小，棕黄色，并生有棕色刚毛，下鄂黑色。胸腹部乳白色，体节有横皱纹，足退化。裸蛹长10～13毫米，乳白色，羽化前呈灰白色。头、胸、足、翅明显，复眼黑色，触角基部褐色，头部具黑色刚毛。"	"油菜筒喙象"	"昆虫纲"	"鞘翅目"	"象虫科"	"油菜、白菜、萝卜、芥菜、甘蓝等十字花科蔬菜。"	"内蒙古、辽宁、山西年生1代，以成虫在当年油菜根茬附近100～500米处的草埂、草滩、山坡的土石块下越冬，极少数在油菜的根茬中越冬，越冬多与其它象甲群居，翌年3月上旬，山西油菜返青后成虫开始活动，在内蒙古成虫于地温达到4℃以上开始活动。4月中旬至5月上旬由土石块下爬出，为害早春发芽的草地凤毛菊等杂草。5月中旬成虫由草滩、草埂向油菜田中转移。成虫于5月上中旬交尾，5月中旬进入交尾盛期，喜在9～10时交尾，成虫寿命50多天。6月中下旬产卵，多产在油菜茎部，个别产在叶柄和叶脉上，卵散产或成行。每雌产卵48～92粒，卵经7～14天孵化。6月下旬卵孵化出幼虫，并开始取食，7月至8月上旬是幼虫为害盛期。8月上中旬幼虫化蛹，8月下旬至9月上旬羽化，成虫由油菜薹下部钻出，9月中下旬成虫开始到土石块下越冬。由于幼虫群体期长，其幼虫、蛹、成虫在寄主茎秆内重叠。成虫交尾前取食油菜。成虫产卵于油菜靠近地面的主茎和侧茎，少数产于叶片的叶脉上。产卵时先用喙在茎部咬一小孔，将卵产到韧皮部与髓部间，并排出褐黑色粘状物将产卵孔堵住，呈一黑点。孵化后，幼虫钻入油菜髓为害，1、2龄主要向上部蛀食，3龄后向下蛆食，侵害初期茎部表皮形成明显的黑斑和叶部萎蔫，随着龄期的增大，为害也随之加剧。老熟幼虫在根颈处化蛹，蛹期6～7天，羽化后在薹的或高或低处咬一圆形孔钻出，随即越夏或越冬，到翌年又出蛰。该虫喜低温干燥、春季干旱的旱地发生重。"	"吕佩珂．中国蔬菜病虫原色图谱续集．呼和浩特：远方出版社，1996 郭书普等编著．叶类蔬菜病虫害防治原色图鉴 ．合肥： 安徽科学技术出版社，2004"	"Lixus ochraceus(Boheman)"	"fp00363"	"(1)在越冬成虫迁移到油菜田尚未产卵前，喷50％马拉硫磷乳油1500倍液保苗。(2)在栽培措施上，应尽量扩大芥菜型油菜的播种面积、，并安排在滩地或下湿滩地上种植。(3)及时收获，把虫消灭在越夏之前，油菜刚成熟马上连根拔出，这时幼虫或蛹还在茎或根茎内，脱粒时可把幼虫压死。(4)收获后拾茬集中深埋或沤肥。"	"agridata/images/中国农业有害生物数据库/中国叶菜类蔬菜害虫数据库/油菜筒喙象.jpg"
