"id"	"发生与危害"	"地理分布"	"纲"	"目"	"科"	"属"	"中文名"	"综合治理策略"	"形态特征"	"相关文献"	"拉丁学名"	"记录号"	"别名"	"图片"
"1"	"多年生杂草。以根状茎繁殖为主，也可孢子繁殖。微酸性至中性土壤发生普遍。根茎甚为发达、蔓延迅速，难以清除，是危害小麦、油菜、马铃薯、甜菜等夏收作物与果树的恶性杂草，发生量大，危害重。"	"安徽、浙江、山东、江苏、西藏，以及东北、华北、西北、西南等地均有发生。"	"木贼纲"	"木贼目"	"木贼科"	"木贼属"	"问荆"	"农田杂草的防治方法主要有人工防治、 化学防治、机械防治、替代控制和生态防治等方法。 （一）人工防治 1.控制杂草种子入田人工防除首先是 尽量勿使杂草种子或繁殖器官进入作物田， 清除地边、路旁的杂草，严格杂草检疫制度， 精选播种材料，特别注意国内没有或尚末 广为传播的杂草必须严格禁止输入或严加控制， 防止扩散，以减少田间杂草来源。 用杂草沤制农家肥时，应将农家含有杂草种子 的肥料经过用薄膜覆盖，高温堆沤2-4周， 腐熟成有机肥料，杀死其发芽力后再用。 2.人工除草结合农事活动， 如在杂草萌发后或生长时期直接进行人工拔除或铲除， 或结合中耕施肥等农耕措施剔除杂草。 （二）机械防治 结合农事活动， 利用农机具或大天型农业机械进行各种耕翻、耙、 中耕松土等措施进行播种前、 出苗前及各生育期等到不同时期除草， 直接杀死、刈割或铲除杂草， （三）化学防除 主要特点是高效、省工， 免去繁重的田间除草劳动。 国内外已有300多种化学除草剂，并加工不同剂型的制剂， 可用于几乎所有的粮食作物、经济作物地的除草。 （四）替代控制 利用覆盖、遮光等原理， 用塑料薄膜覆盖或播种其它作物(或草种) 等方法进行除草。"	"成株  根状茎长而横走。地上茎软草质。营养茎在孢子茎枯萎后生出，高15—60厘米，分枝轮生，中实，鲜绿色，表面粗糙。叶退化成鞘，鞘齿披针形，黑褐色，边缘灰白色。孢子茎早春先发，高5-20厘米，常呈紫褐色，肉质，粗壮，单一。 繁殖器官   孢子囊顶生，椭圆形，钝头。孢子叶盾状，下面生6～8个孢子囊。孢子成熟后孢子茎即枯萎。"	"郭书普.旱田杂草识别与防治原色图鉴. 合肥:安徽科学技术出版社,2005 张朝贤，张跃进，倪汉文编著．农田杂草防除手册．北京：中国农业出版社，2000"	"Equisetum arvense  L．"	"dw00069"	"笔头草、土麻黄、马草、接骨草"	"agridata/images/中国农业有害生物数据库/中国旱地杂草数据库/问荆.jpg"
"2"	"多年生杂草。常以孢子繁殖。喜酸性土壤，生于林、果园、茶园、路埂。园林杂草。"	"长江以南各省区均有发生"	"薄囊蕨纲"	"水龙骨目"	"里白科"	"芒萁属"	"芒萁"	"农田杂草的防治方法主要有人工防治、 化学防治、机械防治、替代控制和生态防治等方法。 （一）人工防治 1.控制杂草种子入田人工防除首先是 尽量勿使杂草种子或繁殖器官进入作物田， 清除地边、路旁的杂草，严格杂草检疫制度， 精选播种材料，特别注意国内没有或尚末 广为传播的杂草必须严格禁止输入或严加控制， 防止扩散，以减少田间杂草来源。 用杂草沤制农家肥时，应将农家含有杂草种子 的肥料经过用薄膜覆盖，高温堆沤2-4周， 腐熟成有机肥料，杀死其发芽力后再用。 2.人工除草结合农事活动， 如在杂草萌发后或生长时期直接进行人工拔除或铲除， 或结合中耕施肥等农耕措施剔除杂草。 （二）机械防治 结合农事活动， 利用农机具或大天型农业机械进行各种耕翻、耙、 中耕松土等措施进行播种前、 出苗前及各生育期等到不同时期除草， 直接杀死、刈割或铲除杂草， （三）化学防除 主要特点是高效、省工， 免去繁重的田间除草劳动。 国内外已有300多种化学除草剂，并加工不同剂型的制剂， 可用于几乎所有的粮食作物、经济作物地的除草。 （四）替代控制 利用覆盖、遮光等原理， 用塑料薄膜覆盖或播种其它作物(或草种) 等方法进行除草。"	"成株    株高30—80厘米，直立或蔓生。根状茎长，横走。叶柄褐棕色。羽片披针形至阔披针形，先端渐尖，羽状深裂，呈齿状。裂片顶端钝或微凸，全缘。叶厚纸质，幼时沿脉被锈色星状毛。 繁殖器官   孢子囊群生于裂片小脉中段，并在中脉两侧各排成一行。"	"郭书普.旱田杂草识别与防治原色图鉴. 合肥:安徽科学技术出版社,2005 张朝贤，张跃进，倪汉文编著．农田杂草防除手册．北京：中国农业出版社，2000"	"Dicranopteris dichotoma(Thunb．)Bernh"	"dw00070"		"agridata/images/中国农业有害生物数据库/中国旱地杂草数据库/芒萁.jpg"
"3"	"多年生杂草。发生与危害  孢子繁殖。林缘或山地阳坡。生于桑园、茶园、胶园、山林、草地，为常见杂草，发生量大，危害较重。"	"全国各地均有发生"	"薄囊蕨纲"	"水龙骨目"	"凤尾蕨科"	"蕨属"	"蕨"	"农田杂草的防治方法主要有人工防治、 化学防治、机械防治、替代控制和生态防治等方法。 （一）人工防治 1.控制杂草种子入田人工防除首先是 尽量勿使杂草种子或繁殖器官进入作物田， 清除地边、路旁的杂草，严格杂草检疫制度， 精选播种材料，特别注意国内没有或尚末 广为传播的杂草必须严格禁止输入或严加控制， 防止扩散，以减少田间杂草来源。 用杂草沤制农家肥时，应将农家含有杂草种子 的肥料经过用薄膜覆盖，高温堆沤2-4周， 腐熟成有机肥料，杀死其发芽力后再用。 2.人工除草结合农事活动， 如在杂草萌发后或生长时期直接进行人工拔除或铲除， 或结合中耕施肥等农耕措施剔除杂草。 （二）机械防治 结合农事活动， 利用农机具或大天型农业机械进行各种耕翻、耙、 中耕松土等措施进行播种前、 出苗前及各生育期等到不同时期除草， 直接杀死、刈割或铲除杂草， （三）化学防除 主要特点是高效、省工， 免去繁重的田间除草劳动。 国内外已有300多种化学除草剂，并加工不同剂型的制剂， 可用于几乎所有的粮食作物、经济作物地的除草。 （四）替代控制 利用覆盖、遮光等原理， 用塑料薄膜覆盖或播种其它作物(或草种) 等方法进行除草。"	"成株   株高可达1米。根状茎长而横走，被棕褐色毛。叶柄光滑，黄褐色。叶片阔三角形，顶端渐尖，羽片卵状三角形，下部对生，上部互生。小羽片互生，披针形。叶近革质。 繁殖器官   孢子囊群线形，沿叶边分布。囊群盖两层，外层为由变质的叶缘反折而成的假盖。"	"郭书普.旱田杂草识别与防治原色图鉴. 合肥:安徽科学技术出版社,2005 张朝贤，张跃进，倪汉文编著．农田杂草防除手册．北京：中国农业出版社，2000"	"Pteridium aquilinum (L．) Kuhn var．latiusculum(Desv．)Underw"	"dw00071"	"如意蕨、狼萁"	"agridata/images/中国农业有害生物数据库/中国旱地杂草数据库/蕨.jpg"
"4"	"一年生或多年生缠绕草本。花期7～8月份，果期9～10月份。种子繁殖。危害果树及作物，其茎缠绕在植株上。"	"除青海和新疆外，各地均有发生。"	"双子叶植物纲"	"荨麻目"	"桑科"	"葎草属"	"葎草"	"农田杂草的防治方法主要有人工防治、 化学防治、机械防治、替代控制和生态防治等方法。 （一）人工防治 1.控制杂草种子入田人工防除首先是 尽量勿使杂草种子或繁殖器官进入作物田， 清除地边、路旁的杂草，严格杂草检疫制度， 精选播种材料，特别注意国内没有或尚末 广为传播的杂草必须严格禁止输入或严加控制， 防止扩散，以减少田间杂草来源。 用杂草沤制农家肥时，应将农家含有杂草种子 的肥料经过用薄膜覆盖，高温堆沤2-4周， 腐熟成有机肥料，杀死其发芽力后再用。 2.人工除草结合农事活动， 如在杂草萌发后或生长时期直接进行人工拔除或铲除， 或结合中耕施肥等农耕措施剔除杂草。 （二）机械防治 结合农事活动， 利用农机具或大天型农业机械进行各种耕翻、耙、 中耕松土等措施进行播种前、 出苗前及各生育期等到不同时期除草， 直接杀死、刈割或铲除杂草， （三）化学防除 主要特点是高效、省工， 免去繁重的田间除草劳动。 国内外已有300多种化学除草剂，并加工不同剂型的制剂， 可用于几乎所有的粮食作物、经济作物地的除草。 （四）替代控制 利用覆盖、遮光等原理， 用塑料薄膜覆盖或播种其它作物(或草种) 等方法进行除草。"	"幼苗    子叶线形，长达2～3厘米，叶上面有短毛，无柄。下胚轴发达，微带红色。初生叶2片，卵形，3裂，每裂片边缘具钝齿。 成株   茎蔓生，茎和叶柄均密生倒钩刺。叶对生，叶片掌状5～7裂，直径7～10厘米，叶缘具粗锯齿。 花和子实   花单性，雌雄异株。雄花为圆锥花序，花小，淡黄绿色。雌花为圆形的穗状花序。每个苞片内有2片小苞片。柱头2个，红褐色。瘦果扁球形，淡黄色或褐红色，直径约3毫米，被黄褐色腺点。"	"郭书普.旱田杂草识别与防治原色图鉴. 合肥:安徽科学技术出版社,2005 张朝贤，张跃进，倪汉文编著．农田杂草防除手册．北京：中国农业出版社，2000"	"Humulus scandens  (Lour．) Merr"	"dw00072"		"agridata/images/中国农业有害生物数据库/中国旱地杂草数据库/葎草.jpg"
"5"	"一年生草本。2～4月份出苗，花果期5～9月份。种子繁殖。生于农田、荒地、路旁或水边湿地，喜湿润。"	"全国各地均有发生"	"双子叶植物纲"	"蓼目"	"蓼科"	"蓼属"	"萹蓄"	"农田杂草的防治方法主要有人工防治、 化学防治、机械防治、替代控制和生态防治等方法。 （一）人工防治 1.控制杂草种子入田人工防除首先是 尽量勿使杂草种子或繁殖器官进入作物田， 清除地边、路旁的杂草，严格杂草检疫制度， 精选播种材料，特别注意国内没有或尚末 广为传播的杂草必须严格禁止输入或严加控制， 防止扩散，以减少田间杂草来源。 用杂草沤制农家肥时，应将农家含有杂草种子 的肥料经过用薄膜覆盖，高温堆沤2-4周， 腐熟成有机肥料，杀死其发芽力后再用。 2.人工除草结合农事活动， 如在杂草萌发后或生长时期直接进行人工拔除或铲除， 或结合中耕施肥等农耕措施剔除杂草。 （二）机械防治 结合农事活动， 利用农机具或大天型农业机械进行各种耕翻、耙、 中耕松土等措施进行播种前、 出苗前及各生育期等到不同时期除草， 直接杀死、刈割或铲除杂草， （三）化学防除 主要特点是高效、省工， 免去繁重的田间除草劳动。 国内外已有300多种化学除草剂，并加工不同剂型的制剂， 可用于几乎所有的粮食作物、经济作物地的除草。 （四）替代控制 利用覆盖、遮光等原理， 用塑料薄膜覆盖或播种其它作物(或草种) 等方法进行除草。"	"幼苗   下胚轴较发达，玫瑰红色。子叶线形，长12～14毫米，宽约2毫米，基部连合，光滑无毛。初生叶宽披针形，先端急尖，基部楔形，全缘。 成株   茎自基部分枝，匍匐或斜展，有沟纹。叶互生。叶片狭椭圆形或线状披针形，长1～3厘米，宽5～10毫米，先端钝或急尖，全缘，叶基具关节。 花和子实   花遍生于全株叶腋。花梗短，花被5裂，裂片椭圆形，边缘带白色或淡红色。雄蕊8枚，短于花被片。花柱3裂，甚短，柱头头状。瘦果卵状三棱形，长2～3毫米，宽约1．5毫米，表面暗褐色或黑色，无光泽。"	"郭书普.旱田杂草识别与防治原色图鉴. 合肥:安徽科学技术出版社,2005 张朝贤，张跃进，倪汉文编著．农田杂草防除手册．北京：中国农业出版社，2000"	"Polygonum aviculare  L."	"dw00073"	"地蓼、扁竹、猪牙菜"	"agridata/images/中国农业有害生物数据库/中国旱地杂草数据库/萹蓄.jpg"
"6"	"一年生草本。春季出苗。花果期7～9月份。种子繁殖。喜生于沙地、田边及路旁荒芜湿地。为常见夏、秋收作物田杂草。"	"黑龙江、辽宁、河北、山西和内蒙古等地均有发生"	"双子叶植物纲"	"蓼目"	"蓼科"	"蓼属"	"柳叶刺蓼"	"农田杂草的防治方法主要有人工防治、 化学防治、机械防治、替代控制和生态防治等方法。 （一）人工防治 1.控制杂草种子入田人工防除首先是 尽量勿使杂草种子或繁殖器官进入作物田， 清除地边、路旁的杂草，严格杂草检疫制度， 精选播种材料，特别注意国内没有或尚末 广为传播的杂草必须严格禁止输入或严加控制， 防止扩散，以减少田间杂草来源。 用杂草沤制农家肥时，应将农家含有杂草种子 的肥料经过用薄膜覆盖，高温堆沤2-4周， 腐熟成有机肥料，杀死其发芽力后再用。 2.人工除草结合农事活动， 如在杂草萌发后或生长时期直接进行人工拔除或铲除， 或结合中耕施肥等农耕措施剔除杂草。 （二）机械防治 结合农事活动， 利用农机具或大天型农业机械进行各种耕翻、耙、 中耕松土等措施进行播种前、 出苗前及各生育期等到不同时期除草， 直接杀死、刈割或铲除杂草， （三）化学防除 主要特点是高效、省工， 免去繁重的田间除草劳动。 国内外已有300多种化学除草剂，并加工不同剂型的制剂， 可用于几乎所有的粮食作物、经济作物地的除草。 （四）替代控制 利用覆盖、遮光等原理， 用塑料薄膜覆盖或播种其它作物(或草种) 等方法进行除草。"	"幼苗   下胚轴很发达，上胚轴不明显。子叶卵状披针形，长1．2厘米，宽4毫米，先端锐尖，有短柄。初生叶阔卵形，先端钝圆。后生叶卵形或椭圆形。幼苗全株密被紫红色乳头状腺毛。 成株   茎直立，高30～60厘米，疏生倒向钩刺。叶片披针形或长圆状披针形，长3～13厘米，宽1～2．5厘米，先端短渐尖或稍钝，基部楔形。 花和子实   花序由数个花穗组成圆锥状花序，顶生或腋生。苞片漏斗状，上部为紫红色，苞内生有3～4朵花。花排列稀疏，白色或淡红色。花被片5深裂，裂片椭圆形。雄蕊7～8枚，花柱2裂。瘦果圆形而略扁，黑色，无光泽，长约3．5毫米。"	"郭书普.旱田杂草识别与防治原色图鉴. 合肥:安徽科学技术出版社,2005 张朝贤，张跃进，倪汉文编著．农田杂草防除手册．北京：中国农业出版社，2000"	"Polygonum bungeanum  Turcz"	"dw00074"	"本氏蓼"	"agridata/images/中国农业有害生物数据库/中国旱地杂草数据库/柳叶刺蓼.jpg"
"7"	"一年生草本。多次开花结实，东北及黄河流域4～5月份出苗，花果期7～9月份。种子繁殖。在长江流域及以南地区9月份至第2年春出苗，花果期4～5月份，先于作物果实成熟。适应性较强。"	"各地均有发生，南方发生较重"	"双子叶植物纲"	"蓼目"	"蓼科"	"蓼属"	"酸模叶蓼"	"农田杂草的防治方法主要有人工防治、 化学防治、机械防治、替代控制和生态防治等方法。 （一）人工防治 1.控制杂草种子入田人工防除首先是 尽量勿使杂草种子或繁殖器官进入作物田， 清除地边、路旁的杂草，严格杂草检疫制度， 精选播种材料，特别注意国内没有或尚末 广为传播的杂草必须严格禁止输入或严加控制， 防止扩散，以减少田间杂草来源。 用杂草沤制农家肥时，应将农家含有杂草种子 的肥料经过用薄膜覆盖，高温堆沤2-4周， 腐熟成有机肥料，杀死其发芽力后再用。 2.人工除草结合农事活动， 如在杂草萌发后或生长时期直接进行人工拔除或铲除， 或结合中耕施肥等农耕措施剔除杂草。 （二）机械防治 结合农事活动， 利用农机具或大天型农业机械进行各种耕翻、耙、 中耕松土等措施进行播种前、 出苗前及各生育期等到不同时期除草， 直接杀死、刈割或铲除杂草， （三）化学防除 主要特点是高效、省工， 免去繁重的田间除草劳动。 国内外已有300多种化学除草剂，并加工不同剂型的制剂， 可用于几乎所有的粮食作物、经济作物地的除草。 （四）替代控制 利用覆盖、遮光等原理， 用塑料薄膜覆盖或播种其它作物(或草种) 等方法进行除草。"	"幼苗   下胚轴发达，深红色。子叶长卵形，长约1厘米，叶背紫红色，初生叶长椭圆形，无托叶鞘。后生叶具托叶鞘。叶上面具黑斑，叶背被绵毛。 成株    茎直立，高30～120厘米，有分枝，无毛。叶互生，有柄，披针形或宽披针形，长5～12厘米，宽1．5～3厘米。茎和叶上常有新月形黑褐色斑点。 花和子实   数个花穗构成的圆锥状花序。苞片膜质，边缘生稀疏短睫毛。花被4深裂，裂片椭圆形，淡绿色或粉红色。雄蕊6枚，花柱2裂。瘦果圆卵形，扁平，长2～3毫米，宽约1．4毫米，红褐色至黑褐色，有光泽。"	"郭书普.旱田杂草识别与防治原色图鉴. 合肥:安徽科学技术出版社,2005 张朝贤，张跃进，倪汉文编著．农田杂草防除手册．北京：中国农业出版社，2000"	"Polygonum  lapathifolium L．"	"dw00075"	"大马蓼、旱苗蓼、斑蓼、柳叶蓼"	"agridata/images/中国农业有害生物数据库/中国旱地杂草数据库/酸模叶蓼.jpg"
"8"	"一年生草本。花果期6～9月份。种子繁殖。常生于沟边路旁或河滩湿地，往往成片生长，为常见的秋收作物田杂草。"	"全国各地均有发生"	"双子叶植物纲"	"蓼目"	"蓼科"	"蓼属"	"红蓼"	"农田杂草的防治方法主要有人工防治、 化学防治、机械防治、替代控制和生态防治等方法。 （一）人工防治 1.控制杂草种子入田人工防除首先是 尽量勿使杂草种子或繁殖器官进入作物田， 清除地边、路旁的杂草，严格杂草检疫制度， 精选播种材料，特别注意国内没有或尚末 广为传播的杂草必须严格禁止输入或严加控制， 防止扩散，以减少田间杂草来源。 用杂草沤制农家肥时，应将农家含有杂草种子 的肥料经过用薄膜覆盖，高温堆沤2-4周， 腐熟成有机肥料，杀死其发芽力后再用。 2.人工除草结合农事活动， 如在杂草萌发后或生长时期直接进行人工拔除或铲除， 或结合中耕施肥等农耕措施剔除杂草。 （二）机械防治 结合农事活动， 利用农机具或大天型农业机械进行各种耕翻、耙、 中耕松土等措施进行播种前、 出苗前及各生育期等到不同时期除草， 直接杀死、刈割或铲除杂草， （三）化学防除 主要特点是高效、省工， 免去繁重的田间除草劳动。 国内外已有300多种化学除草剂，并加工不同剂型的制剂， 可用于几乎所有的粮食作物、经济作物地的除草。 （四）替代控制 利用覆盖、遮光等原理， 用塑料薄膜覆盖或播种其它作物(或草种) 等方法进行除草。"	"幼苗   下胚轴极发达，紫红色。子叶弓形带状，长3厘米。初生叶卵形，先端渐尖，叶基楔形，叶缘具睫毛，有长柄。 成株   茎高1～2米，直立，分枝，全体密生柔毛。叶片宽卵形或卵形，长10～20厘米，宽6～12厘米，先端渐狭成锐尖头，基部近圆形或浅心形，全缘，两面疏生长毛，有长柄。托叶鞘筒状，有缘毛。 花和子实   花序穗状，圆柱形，顶生或腋生，长2～8厘米，紧密，不间断。苞片鞘状，被稀疏长柔毛，边缘具缘毛。花被淡红色。雄蕊7枚，伸出花被外。柱头2个。瘦果近圆形，两面中央微凹，径约3毫米，扁平，黑色，有光泽。"	"郭书普.旱田杂草识别与防治原色图鉴. 合肥:安徽科学技术出版社,2005 张朝贤，张跃进，倪汉文编著．农田杂草防除手册．北京：中国农业出版社，2000"	"Polygonum  orientale  L．"	"dw00076"	"东方蓼、红草、水红花、大蓼、天蓼"	"agridata/images/中国农业有害生物数据库/中国旱地杂草数据库/红蓼.jpg"
"9"	"一年生攀援性草本。花果期6～10月份。种子繁殖。常见于山坡灌丛和疏林中、沟边、河岸及路旁。为果园、茶园及路埂常见杂草，发生量较大，危害较重。"	"我国西南部、东南部、华北和东北均有发生"	"双子叶植物纲"	"蓼目"	"蓼科"	"蓼属"	"杠板归"	"农田杂草的防治方法主要有人工防治、 化学防治、机械防治、替代控制和生态防治等方法。 （一）人工防治 1.控制杂草种子入田人工防除首先是 尽量勿使杂草种子或繁殖器官进入作物田， 清除地边、路旁的杂草，严格杂草检疫制度， 精选播种材料，特别注意国内没有或尚末 广为传播的杂草必须严格禁止输入或严加控制， 防止扩散，以减少田间杂草来源。 用杂草沤制农家肥时，应将农家含有杂草种子 的肥料经过用薄膜覆盖，高温堆沤2-4周， 腐熟成有机肥料，杀死其发芽力后再用。 2.人工除草结合农事活动， 如在杂草萌发后或生长时期直接进行人工拔除或铲除， 或结合中耕施肥等农耕措施剔除杂草。 （二）机械防治 结合农事活动， 利用农机具或大天型农业机械进行各种耕翻、耙、 中耕松土等措施进行播种前、 出苗前及各生育期等到不同时期除草， 直接杀死、刈割或铲除杂草， （三）化学防除 主要特点是高效、省工， 免去繁重的田间除草劳动。 国内外已有300多种化学除草剂，并加工不同剂型的制剂， 可用于几乎所有的粮食作物、经济作物地的除草。 （四）替代控制 利用覆盖、遮光等原理， 用塑料薄膜覆盖或播种其它作物(或草种) 等方法进行除草。"	"幼苗   上、下胚轴都很发达，粉红色。子叶阔椭圆形，长1．7厘米，宽l厘米，先端钝圆，叶基渐窄，有l条明显中脉，有长柄。初生叶三角形，先端锐尖，叶基箭形或近心形，有长柄。托叶鞘近圆形，穿茎，粉红色。后生叶呈盾状，叶柄有倒钩刺。 成株   茎常带红褐色，有棱，沿棱有倒生钩刺。叶片近三角形，盾状着生，长4～6厘米，背面淡绿色沿叶脉疏生钩刺。 花和子实   花序短穗状，长l～3厘米，顶生或生于上部叶腋内。苞片圆形，内含2～4花。花淡红色或白色，花被5深裂，裂片结果时增大，肉质，变为深蓝色。雄蕊8枚，花柱3裂。瘦果近球形，熟时黑色，直径2。3毫米，有光泽，包于蓝色肉质的花被内。"	"郭书普.旱田杂草识别与防治原色图鉴. 合肥:安徽科学技术出版社,2005 张朝贤，张跃进，倪汉文编著．农田杂草防除手册．北京：中国农业出版社，2000"	"Polygonum perfoliatum L．"	"dw00077"	"河白草、贯叶蓼"	"agridata/images/中国农业有害生物数据库/中国旱地杂草数据库/杠板归.jpg"
"10"	"多年生草本。花果期3～6月份。种子繁殖。适生于山坡阴湿肥沃地及路边荒地。为常见的果、茶园及路埂杂草，危害轻。"	"吉林、辽宁、河北、陕西、新疆、安徽、江苏、浙江、湖北、四川和云南均有发生。"	"双子叶植物纲"	"蓼目"	"蓼科"	"酸模属"	"酸模"	"农田杂草的防治方法主要有人工防治、 化学防治、机械防治、替代控制和生态防治等方法。 （一）人工防治 1.控制杂草种子入田人工防除首先是 尽量勿使杂草种子或繁殖器官进入作物田， 清除地边、路旁的杂草，严格杂草检疫制度， 精选播种材料，特别注意国内没有或尚末 广为传播的杂草必须严格禁止输入或严加控制， 防止扩散，以减少田间杂草来源。 用杂草沤制农家肥时，应将农家含有杂草种子 的肥料经过用薄膜覆盖，高温堆沤2-4周， 腐熟成有机肥料，杀死其发芽力后再用。 2.人工除草结合农事活动， 如在杂草萌发后或生长时期直接进行人工拔除或铲除， 或结合中耕施肥等农耕措施剔除杂草。 （二）机械防治 结合农事活动， 利用农机具或大天型农业机械进行各种耕翻、耙、 中耕松土等措施进行播种前、 出苗前及各生育期等到不同时期除草， 直接杀死、刈割或铲除杂草， （三）化学防除 主要特点是高效、省工， 免去繁重的田间除草劳动。 国内外已有300多种化学除草剂，并加工不同剂型的制剂， 可用于几乎所有的粮食作物、经济作物地的除草。 （四）替代控制 利用覆盖、遮光等原理， 用塑料薄膜覆盖或播种其它作物(或草种) 等方法进行除草。"	"幼苗   下胚轴粗壮，紫红色，上胚轴不发育。子叶阔卵形，先端钝圆，叶基近圆形，有长柄。初生叶叶基略呈戟形，叶面有红色斑点，无明显叶脉。从第2后生叶开始叶片为椭圆形。全株光滑无毛，根系发达，主根粗壮。 成株   株高30～80厘米，有酸味。主根粗短，有少数须根。茎直立，细弱，不分枝。叶片椭圆形，长2～11厘米，宽1～3．5厘米，先端急尖或圆钝，全缘。茎上部的叶较小，披针形，无柄。 花和子实   花序狭圆锥状，顶生。花单性，雌雄异株。花被片6片，椭圆形。雄花内轮花被片约3毫米，雄蕊6枚。雌花内轮花被片结果时显著增大，淡红色。柱头3个。瘦果椭圆形，有3棱，暗褐色，有光泽。"	"郭书普.旱田杂草识别与防治原色图鉴. 合肥:安徽科学技术出版社,2005 张朝贤，张跃进，倪汉文编著．农田杂草防除手册．北京：中国农业出版社，2000"	"Rumex  acetosa L．"	"dw00078"	"醋缸、小红根"	"agridata/images/中国农业有害生物数据库/中国旱地杂草数据库/酸模.jpg"
