"id"	"天敌"	"地理分布"	"形态特征"	"中文名"	"纲"	"目"	"科"	"主要危害作物"	"生物学特性及发生消长规律"	"相关文献"	"拉丁学名"	"记录号"	"防治方法"	"图片"
"1"	"主要有步行甲、蛙类、鸟类、寄生蜂、寄生蝇等。"	"分布在华北、中南、华南等地。"	"成虫体长11～13mm，翅展27～29mm，前翅黄褐色，中脉总干白色直达翅基部，白色线条四周具黑暗纹。卵长0．6mm，椭圆形至馒头形，表面具细网纹。幼虫浅青色至污黄绿色，头部黄褐色，上生褐色八字纹。颅侧区具网状细纹，靠近单眼外侧部分的颜色较深，呈黑褐色，余为浅黄褐色，气门筛浅黄褐色，四周黑色。蛹与粘虫近似，但尾端外侧的1对钩刺基部膨大明显。"	"白脉粘虫"	"昆虫纲"	"鳞翅目"	"夜蛾科"	"麦、稻、粟、玉米等禾谷类粮食作物及棉花、豆类、蔬菜等16科104种以上植物。"	"华北发生代数不详。广东年生5～6代，福建年生6代，以幼虫及蛹越冬。常与粘虫、劳氏粘虫等混合为害，但发生量不大。"	"吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999 喻璋等编著．小麦病虫害及其防治．成都：四川大学出版社，2002 商鸿生等编著．玉米高粱谷子病虫害诊断与防治原色图谱．北京：金盾出版社，2005"	"Leucania venalba(Moore)异名Mythimna venalba(Moore)"	"dp00108"	"参见粘虫。"	"agridata/images/中国农业有害生物数据库/中国旱粮作物害虫数据库/白脉粘虫.jpg"
"2"		"分布全国各地。"	"成虫体长17～24mm，宽9～12mm。椭圆形，具古铜或青铜色光泽，体表散布众多不规则白绒斑；唇基前缘向上折翘，中凹，两侧具边框，外侧向下倾斜；触角深褐色；复眼突出；前胸背板具不规则白绒斑，后缘中凹；前胸背板后角与鞘翅前缘角之间有一个三角片甚显著，即中胸后侧片；鞘翅宽大，近长方形，遍布粗大刻点，白绒斑多为横向波浪形；臀板短宽，每侧有3个白绒斑呈三角形排列；腹部1～5腹板两侧有白绒斑；足较粗壮，膝部有白绒斑；后足基节后外端角尖锐；前足胫节外缘3齿，各足跗节顶端有2个弯曲爪。"	"白星花金龟"	"昆虫纲"	"鞘翅目"	"花金龟科"	"小麦、玉米、果树、蔬菜等"	"年发生1代。成虫于5月上旬开始出现，6～7月为发生盛期。成虫白天活动，  有假死性，对酒醋味有趋性，飞翔力强，常群聚为害留种蔬菜的花和玉米花丝，产卵于土中。  幼虫(蛴螬)多以腐败物为食，以背着地行进。"	"吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999 喻璋等编著．小麦病虫害及其防治．成都：四川大学出版社，2002 商鸿生等编著．玉米高粱谷子病虫害诊断与防治原色图谱．北京：金盾出版社，2005"	"Potosia(Liocola)brevitarsis(Lewis)"	"dp00109"	"参见东北大黑鳃金龟。"	"agridata/images/中国农业有害生物数据库/中国旱粮作物害虫数据库/白星花金龟.jpg"
"3"		"分布于黑龙江、吉林、辽宁、内蒙古、河北、陕西、山东、河南、浙江、福建、江西、湖北、湖南、广西、四川、云南等省。"	"雄蛾翅展55～70mm，雌蛾70～80mm，体白色，下唇须基部红色，第3节黑色，触角栉齿黑色。前足基节红色有黑斑，前、中、后足腿节上方红色，前足腿节具黑纹，翅白色无斑纹，腹部白色，侧面除基部及端节外具红斑，背面、侧面各具黑点一列；卵淡绿色；幼虫体红褐色，节间处色较暗，密被灰黄色长毛，气门白色，胸足、腹足赭色，头赭黄黑色，有“V”形斑；茧丝质，椭圆形，黑褐色；蛹纺锤形，暗褐色。"	"白雪灯蛾"	"昆虫纲"	"鳞翅目"	"灯蛾科"	"大豆、车前、蒲公英、苹果、高梁、麦、黍、海棠、山丁子等。"	"参见稀点雪灯蛾。"	"吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999 喻璋等编著．小麦病虫害及其防治．成都：四川大学出版社，2002 商鸿生等编著．玉米高粱谷子病虫害诊断与防治原色图谱．北京：金盾出版社，2005"	"Spilosoma niveus(Ménétriés)异名Dionychopus niveus Ménétriés．"	"dp00110"	"参见稀点雪灯蛾。"	"agridata/images/中国农业有害生物数据库/中国旱粮作物害虫数据库/白雪灯蛾.jpg"
"4"		"分布山东、河南、安徽、江苏、浙江、四川、贵州、云南、福建、江西、西藏等地。"	"成、若虫吸食叶片及嫩枝、茎端汁液，致叶片变黑、豆粒萎缩、嫩芽枯萎。形态特征成虫体长20～24mm，两侧角间宽8mm。黑褐至黑色，被白色短毛。触角基部3节黑，第4节基半部赭红色，端半部红褐，最末端赭色。复眼黑褐色。头小，头顶前端具1短纵凹。喙长达中足前缘。前胸背板中央具纵纹；侧缘平直，侧角钝圆。小盾片有横皱纹。前翅革片棕褐，膜片烟褐。体腹板赭褐或黑褐。雌虫第3腹板中部向后弯。雄虫第3腹板中部向后扩延近第4腹板的后缘形成横瘤突；后足腿节粗壮弯曲，内侧近端扩展成1三角形齿，后足胫节内侧端部呈小齿状。该虫与红背安缘蝽很相似，与红背安缘蝽的区别是体小，腹部背面黑色，中央生浅色斑点2个，雄虫后足腿节基部无突。"	"斑背安缘蝽"	"昆虫纲"	"半翅目"	"缘蝽科"	"大豆、紫穗槐等。"	"参见红背安缘蝽。"	"吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999 喻璋等编著．小麦病虫害及其防治．成都：四川大学出版社，2002 商鸿生等编著．玉米高粱谷子病虫害诊断与防治原色图谱．北京：金盾出版社，2005"	"Anoplocnemis binotata Distant"	"dp00111"	"参见红背安缘蝽。"	"agridata/images/中国农业有害生物数据库/中国旱粮作物害虫数据库/斑背安缘蝽.jpg"
"5"		"分布在全国各地"	"成虫体长8～13．5毫米，宽约6毫米，椭圆形，黄褐色或紫褐色，体背有细毛，密布刻点。触角5节，黑色，各节端部和基部淡黄色，以至黑黄相间。小盾片近三角形，末端钝而光滑，黄白色。前翅革片红褐色，膜片黄褐色，透明，超过腹部末端。胸腹部的腹面淡褐色，散布零星小黑点，足黄褐色，腿节和胫节密布黑色刻点(图2-60)。 卵粒圆筒形，初产浅黄色，后灰黄色，卵壳有网纹，生白色短绒毛。卵排列整齐，成块。 若虫形态和色泽与成虫相同，略圆，腹部每节背面中央和两侧都有黑色斑。"	"斑须蝽"	"昆虫纲"	"半翅目"	"蝽科"	"危害谷子、玉米、麦类、水稻、甜菜、棉花、烟草、蔬菜等多种作物。"	"斑须蝽每年发生1～3代，以成虫在植物根际、枯枝落叶下、树皮裂缝中或屋檐底下等隐蔽处越冬。在黄淮流域第一代发生于4月中旬至7月中旬，第二代发生于6月下旬至9月中旬，第三代发生于7月中旬一直到翌年6月上旬。后期世代重叠现象明显。 成虫多将卵产在植物上部叶片正面或花蕾或果实的包片上，呈多行整齐排列。初孵若虫群集危害，2龄后扩散危害。成虫及若虫有恶臭，均喜群集于作物幼嫩部分和穗部吸食汁液，自春至秋继续危害。"	"吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999 喻璋等编著．小麦病虫害及其防治．成都：四川大学出版社，2002 商鸿生等编著．玉米高粱谷子病虫害诊断与防治原色图谱．北京：金盾出版社，2005"	"Dolycoris baccarum(Linnaeus)"	"dp00112"	"斑须蝽不是旱粮作物重要害虫，一般不需采取特定防治措施，可在防治其他害虫时予以兼治。若异常发生，可专门防治。 (1)农业防治  搞好田间卫生，及时清除田间杂草和枯枝落叶，减少越冬虫口。在成虫发生时，利用其假死性，振动植株，落地后将其迅速捕捉杀死。 (2)药剂防治  重点喷药防治成虫和1，2龄若虫。可供选用的药剂有80％敌百虫可溶性粉剂或40％乐果乳油1 000～1 500倍液，48％毒死蜱(乐斯本)2000倍液，2．5％溴氰菊酯乳油，或20％氰戊菊酯，或2．5％功夫乳油3 000—4000倍液等。"	"agridata/images/中国农业有害生物数据库/中国旱粮作物害虫数据库/斑须蝽.jpg"
"6"		"分布北起黑龙江、内蒙古、新疆，南限未过淮河，最南采到江苏北部、河南许昌，东接苏联，西至西藏。"	"成虫为灰褐色蛾子，体长8～12毫米，翅展18～20毫米。前翅灰褐色，生有暗褐色斑，缘有淡黄色条纹，中室内有一个较大的长方形黄白色斑。后翅灰色，近翅基部较淡，沿外缘有两条平行的黑色波纹。静止时两前翅叠成三角形(图2一12)。 卵粒椭圆形，长0．8～1．0毫米，宽0．5毫米，乳白色，有光泽，卵散产或2～12粒构成覆瓦状卵块。 老熟幼虫体长19～2l毫米，头部黑色有白斑，胸、腹部黄绿色或灰绿色，体背面与侧面有明显的暗色纵行条带，带内有黄绿色波状细纵线，腹部各节有刚毛肉瘤，毛瘤部黑色，有两层同心的黄白色圆环(图2—13)。 蛹体淡黄色，长14毫米左右，生于茧内。茧丝质、袋状，长30～40毫米，宽3～4毫米。茧上端有孔，茧外粘附有细砂粒。"	"草地螟"	"昆虫纲"	"鳞翅目"	"螟蛾科"	"小麦、燕麦、马铃薯、玉米、高粱、亚麻、豆类、甜菜、菜籽、胡萝卜、蔬菜、藜科、蓼科、菊科杂草和牧草。"	"在我国北方，一年发生1～4代，因地而异。以老熟幼虫在土内吐丝作茧越冬，翌年春季化蛹和羽化。在华北北部和东北地区，越冬代成虫多在5月中下旬出现，6月上中旬盛发。一代幼虫发生于6月中旬至7月中下旬，幼虫期20天左右，6月下旬至7月上旬是严重危害时期。7月中旬至8月份一代成虫盛发，二代幼虫于8月上旬至9月下旬发生，幼虫期17～25天，此后大部分陆续入土越冬。 成虫白天潜伏，夜间活动，群集，趋光性强。成虫喜食花蜜，多在嫩绿多汁的阔叶杂草或作物叶片背面产卵。卵单产或3～5粒成覆瓦状排列。在距地面2—8厘米的叶片上产卵最多。 草地螟成虫有远距离迁飞习性，黄昏后遇到适宜条件可大量起飞，上升到50～70米的高度，随气流迁移到200～300千米以外的地方。因而草地螟群体数量常有剧烈变动，出现蛾量突增、突减现象。 幼虫有5龄，食性很杂，有吐丝结网习性，1—3龄虫群栖，3龄时3～4头幼虫结一个网，4龄末和5龄时常单独结网，分散取食。老熟后入土深4～9厘米，结茧化蛹。幼虫活泼，遇到惊扰后即扭动逃离，大发生时可成群迁移。"	"吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999 喻璋等编著．小麦病虫害及其防治．成都：四川大学出版社，2002 商鸿生等编著．玉米高粱谷子病虫害诊断与防治原色图谱．北京：金盾出版社，2005"	"Loxostege sticticalis Linnaeus"	"dp00113"	"应加强虫情调查和测报，采取综合措施，重点搞好草地螟虫源基地、越冬场所和主要受害作物的防治。 (1)农业防治  在草地螟集中越冬地区，采用翻耕耙耱以及冬灌等措施，消灭越冬虫体，压低越冬虫量，以减少第一代幼虫发生量。在成虫产卵之前，清除田间杂草，特别是藜科杂草。在草地螟盛发期，设置黑光灯诱蛾。 (2)药剂防治  喷药适期是幼虫进入3龄之前，即结网危害前。可选用的药剂有2．5％功夫乳油3000倍液，2．5％溴氰菊酯乳油2 000～3 000倍液，5％高效氯氰菊酯乳油2 000倍液，5％顺式氰戊菊酯(来福灵)乳油3 000～4 000倍液，50％辛硫磷乳油800～1 200倍液，90％敌百虫晶体1 000～1 500倍液等。"	"agridata/images/中国农业有害生物数据库/中国旱粮作物害虫数据库/草地螟.jpg"
"7"			"成虫体长3mm～4.4mm，扁平长椭圆形，赤褐色至褐色，有光泽。体上密布小刻点。触角11节、锤状、锤头3节膨大。鞘翅覆盖腹末，上有纵列刻点11条。跗节前足5节，中足5节，后足4节。卵长椭圆形，乳白色，表面粗糙、无光泽。幼虫体长6mm～8mm，细长圆筒形。胸足3对，头部淡褐色，口器黑褐色。胸腹部12节，各节前半部淡褐色，后半部黄白色。腹末背面臂叉上翘，背面有1对伪足状突起。蛹长约4mm，淡黄白色。头扁圆形。复眼黑褐色，三角形。口器褐色，前胸背面密生小粒点，近前缘处更多。自第5节以下各节略弯向腹面，腹末有黑褐色肉刺1对，第1至第7腹节两侧各着生1侧突。"	"赤拟谷盗"	"昆虫纲"	"鞘翅目"	"拟步甲科"		"成虫喜黑暗，常聚集在粮堆下层或碎屑中，有群居性和假死性。一年发生4～5代，成虫在包装物、苇席、杂物或仓库、厂房内各种缝隙中越冬。卵散产于粮食间，或仓、厂、机具缝隙中。卵粒上常附有粉末碎屑不易发现。每1雌虫产卵327～956粒。最适发育温度27℃～30℃。在30℃，相对湿度70％下完成1代需30天。在高温44℃，相对湿度77％以下，成虫7小时死亡，卵14小时、幼虫10小时、蛹20小时死亡。50℃时成虫1.2小时、幼虫1小时死亡。在低温-1.1℃下各虫期17天死亡。"	"吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999 喻璋等编著．小麦病虫害及其防治．成都：四川大学出版社，2002 商鸿生等编著．玉米高粱谷子病虫害诊断与防治原色图谱．北京：金盾出版社，2005"	"Tribolium castaneurn(Herbst)"	"dp00114"	"参照麦蛾防治。"	"agridata/images/中国农业有害生物数据库/中国旱粮作物害虫数据库/赤拟谷盗.jpg"
"8"		"分布于西北、东北、华北等地"	"成虫体长约6毫米，细长，绿色。头部略成三角形，顶端向前方突出，头顶中央有一纵沟。触角4节，红色，等于或略短于体长，第一节粗短，第二、三节细长，第四节短而细。喙4节，黄绿色，顶端黑色，伸向后足基节处。前胸背板梯形，四边略向里凹，中央有纵脊。小盾板三角形，基部不被前胸背板后缘覆盖，中部有横沟将小盾板分为前后两部分，基半部隆起，端半部中央有浅色纵脊。前翅革片绿色，膜片白色，半透明，长度超过腹端。后翅白色透明。足黄绿色，胫节末端和跗节黑色，跗节3节，爪黑色。 卵粒口袋状，长约1毫米，卵盖上有不规则突起。初为白色，后变黄褐色。 若虫5龄，末龄幼虫体长约5毫米，黄绿色，触角红色。头部有纵纹，小盾板横沟两端有凹坑。足胫节末端、跗节和喙末端黑色。翅芽长1．8毫米，超过腹部第二节。"	"赤须盲蝽"	"昆虫纲"	"半翅目"	"盲蝽科"	"主要危害谷子、糜子、高粱、玉米、麦类、水稻等禾本科作物以及甜菜、芝麻、大豆、苜蓿、棉花等作物。赤须盲蝽还是重要的草原害虫，危害禾本科牧草和饲料作物。"	"在内蒙古一年发生3代，以卵在禾草茎叶上越冬。翌年4月下旬越冬卵开始孵化，5月初进入盛期。成虫5月中旬开始出现，下旬为羽化盛期。5月中下旬成虫开始交配产卵，卵于6月上旬开始孵化。第二代成虫在6月中下旬开始交配产卵，7月上旬卵开始孵化，7月下旬第三代成虫出现，8月上中旬开始产卵。雌虫产卵期不整齐，田间出现世代重叠现象。 成虫白天活跃，傍晚和清晨不甚活动，阴雨天隐蔽在植物中下部叶片背面。羽化后7～10天开始交配。雌虫多在夜间产卵，卵多产于叶鞘上端，每雌每次产卵5～10粒，卵粒成1排或2排。气温20℃～25℃，相对湿度45％～50％的条件最适宜卵孵化。若虫行动活跃，常群集叶背取食危害。在谷子、糜子乳熟期，成虫、若虫群集穗上，刺吸汁液。"	"吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999 喻璋等编著．小麦病虫害及其防治．成都：四川大学出版社，2002 商鸿生等编著．玉米高粱谷子病虫害诊断与防治原色图谱．北京：金盾出版社，2005"	"Trigonotylus ruficornis Geoffroy"	"dp00115"	"搞好田间卫生，及时清除枯茬杂草，减少越冬卵。药剂防治可用40％乐果乳油、50％马拉硫磷或80％敌百虫可溶性粉剂等药剂1 000～1 500倍液喷雾；喷粉可用2．5％敌百虫粉剂，每667米 2 用药2千克。赤须盲蝽还是禾本科牧草的重要害虫，应做好发虫草场的防治，减少虫源。"	"agridata/images/中国农业有害生物数据库/中国旱粮作物害虫数据库/赤须盲蝽.jpg"
"9"		"河北、山东等华北地区及东北和西北地区"	"大赤翅蝗雄成虫体长18．5～24mm，雌成虫体长30～37mm，体褐色或暗褐色。头顶端钝圆，颜面略后倾。前胸背板有后横沟。前翅发达，长度超过后胫节。后翅基部红色，无暗色带纹。雄虫后足股节内侧及下侧淡黄色。"	"大赤翅蝗"	"昆虫纲"	"直翅目"	"蝗总科"	"主要为害多种禾本科作物。"	"大赤翅蝗多为零星发生，一般不形成大群体而造成显著的生产损失。以卵在土中越冬。"	"吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999 喻璋等编著．小麦病虫害及其防治．成都：四川大学出版社，2002 商鸿生等编著．玉米高粱谷子病虫害诊断与防治原色图谱．北京：金盾出版社，2005"	"Celes skalozubovi akitanus Shiraki"	"dp00116"	"农业防治措施：秋后深翻土地，减少越冬卵的基数。 药剂防治：虫害发生严重时，应及时喷施农药，如45％马拉硫磷乳油l 500倍液、40％氧化乐果乳油1 000倍液、2．5％溴氰菊酯乳油1 000倍液、20％氰戊菊酯乳油500～800倍液。"	"agridata/images/中国农业有害生物数据库/中国旱粮作物害虫数据库/大赤翅蝗.jpg"
"10"		"分布广泛，主要发生于我国北方和黄淮流域，为常见的土蝗。"	"大垫尖翅蝗成虫体小型，雌虫从头至翅端长32毫米，雄虫长27毫米。体色变化很大，有灰褐色、绿色、紫红色等。前胸背板略平，中线明显，中部常有淡色、红褐色或暗褐色纵纹，背面有不明显的淡色“x”纹。前翅狭长，有黑褐色细碎斑点，翅长超过后足腿节；后翅无色透明，顶端略暗，基部略黄。后足腿节有暗色横斑3个，下侧橙红色，胫节淡黄色，基部、中部和端部有黑环。跗节爪垫大型，其顶端超过爪的中部."	"大垫尖翅蝗"	"昆虫纲"	"直翅目"	"斑翅蝗科"	"主要危害玉米、高粱、谷子、小麦等禾本科作物与禾本科草"	"在华北北部及其以北地区，一年发生1代，在华北南部一年发生2代，都以卵在土中越冬。在北部地区，越冬卵于5月上旬开始孵化，6月上旬成虫初见，6月中旬为羽化盛期，6月下旬开始交配产卵。第一代蝗蝻孵化盛期在8月上旬，成虫在9月中旬大量出现，9月下旬交配产卵，延续到11月初，以卵块在土中越冬。 在2代区，5月上旬越冬卵孵化，5月下旬至6月上旬羽化为成虫。6月中下旬成虫交配产卵，卵在7月上旬开始孵化，7月下旬至8月上旬羽化为成虫。第二代成虫9月份开始交配产卵。 大垫尖翅蝗适生于土壤潮湿、植被稀疏的环境，在河流两岸低洼地带、湖滨、沿海以及内涝低湿地区、盐碱荒滩发生最多。冬暖多雨雪有利于蝗卵越冬，春、秋干旱，气温高，有利于蝗虫繁殖危害。荒地、滩地面积大，农田管理粗放，杂草多，发虫多，危害重。"	"吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999 喻璋等编著．小麦病虫害及其防治．成都：四川大学出版社，2002 商鸿生等编著．玉米高粱谷子病虫害诊断与防治原色图谱．北京：金盾出版社，2005"	"Epaccromius coerulipes(Ivan．)"	"dp00117"	"(1)农业防治  农区要精耕细作，合理灌溉，改良盐碱地。深翻土壤25～30厘米深，细致耙耱，通过曝晒、机械杀伤或释放天敌来消灭虫卵，可有效降低虫口密度。要及时清除农田四周河沟渠的杂草，破坏蝗虫的生存环境。要创造有利于蝗虫天敌生存繁殖的条件，保护和利用天敌。牧区要改造植被群落结构，提高植被覆盖率。 (2)人工捕杀虫口密度不大时，可组织人工撒网捕杀。 (3)毒饵诱杀在蝗蝻低龄期，施用微孢子虫高浓缩水剂用麦麸作载体，制成麦麸饵料。饵料含孢量要达到每克1．5×108～3×108个。每667米2施用毒饵100～150克。 还可用麦糠或新鲜碎草、水、40％的氧化乐果乳油以100：100：0．6的比例混合拌匀制成毒饵，在晴天无风时施用。每667米2用量1．5～2千克，随配随撒。用药后在醒目的地方设立标牌或派专人看管。 (4)药剂防治在蝗蝻3龄以前施药，喷雾每公顷用50％马拉硫磷乳油900～1350毫升，或40％乐果乳油750～1 050毫升，或25％敌•马乳油2250～3000毫升，或2．5％溴氰菊酯乳油450毫升左右。喷粉法施药每公顷用4％敌•马粉剂30千克。施药应选择在晴朗无风的天气进行。"	"agridata/images/中国农业有害生物数据库/中国旱粮作物害虫数据库/大垫尖翅蝗.jpg"
