"id"	"天敌"	"地理分布"	"形态特征"	"中文名"	"纲"	"目"	"科"	"主要危害作物"	"生物学特性及发生消长规律"	"相关文献"	"拉丁学名"	"记录号"	"防治方法"	"图片"
"1"	"小花蝽、中华微刺盲蝽等。"	"分布在福建、河南、河北、湖北、宁夏、内蒙古等地。"	"雌成虫体长1．4～1．5毫米。体暗褐色，触角第3节黄色，其余节暗褐色，跗节黄色。前翅淡灰色，中央具一宽的暗褐色带，顶端暗褐色。触角第8节长为第7节长的2倍以下。单眼间鬃长，位于三角形连线外缘。前胸背板前角各具1根长鬃，后角各具2根长鬃。前翅上脉基中部具11～14根鬃，端鬃2根；下脉鬃12～13根。前足胫节顶端内侧有刺。腹部2～8背板近前缘有一稍宽的黑色横纹，第5～8背板两侧无微弯梳，第8背板两侧气孔附近有少量微毛，后缘梳不完整。"	"丝大蓟马"	"昆虫纲"	"缨翅目"	"蓟马科"	"葫芦科、十字花科、豆类、茄子、辣椒、空心菜等。"	"参见黄胸蓟马。"	"吕佩珂．中国蔬菜病虫原色图谱续集．呼和浩特：远方出版社，1996 郭书普等编著．番茄、辣椒、茄子病虫害防治原色图鉴．合肥：安徽科学技术出版社，2004 郭书普等编著．豆类蔬菜病虫害防治原色图鉴．合肥： 安徽科学技术出版社，2004 郭书普等编著．瓜类蔬菜病虫害防治原色图鉴．合肥：安徽科学技术出版社，2004"	"Megalurothrips sjostadti(Trybom)异名Taeniothrips sjostadti(Trybom)"	"lp00286"	"(1)由于蓟马系六小害虫，把卵产在植株组织里，对杀虫剂易产生抗性，防治较困难。生产上应从铲除田间杂草，消灭越冬寄主上的虫源入手，避免蓟马向瓜上转移。(2)利用营养钵育苗，采用地膜覆盖，防止瓜苗受越冬蓟马为害。(3)使用遮阳网可减少受害。(4)气侯干旱时，采用浇跑马水的方法灌溉。(5)抓住花期药剂防治。首选40％七星宝乳油600～800倍液或20％好年冬乳油600～800倍液、98％巴丹可溶性粉剂2000倍液、25％杀虫双水剂400倍液、50％马拉硫磷乳油2000倍液。(6)注意保护利用天敌。如小花蝽、中华微刺盲蝽等。"	"agridata/images/中国农业有害生物数据库/中国果菜类蔬菜害虫数据库/丝大蓟马.jpg"
"2"		"分布在江南一些省区。"	"雌成虫体长1．1～1．2毫米，体橙黄色，腹部背板中央灰褐色，末2节黑褐色，连成一暗纵带。单眼间鬃短，位于单眼三角形连线上。触角7节，第1至3节及4、5节基部黄色，余灰褐色，第3、4节各具叉状感觉锥。前胸前角具1对短鬃，后角有2对等长的粗鬃。前翅灰色，基部淡；上脉基鬃4+3根，端鬃3根，下脉鬃12根。腹部第2～8节生暗棕色前脊带，第5至8节两侧有微弯梳，第8节后缘梳完整，第2至8节腹板有6对附鬃。雄虫体色、形态大致与雌虫相似，但较小。触角第4至7节全部灰褐色。第9背板后缘1侧对鬃很长，其余鬃小。第3至7节腹板前中部有近似哑铃形腺域。"	"色蓟马"	"昆虫纲"	"缨翅目"	"蓟马科"	"黄瓜、苦瓜、十字花科植物、洋葱、茶花、桂花、枇杷、水稻等。"	"参见黄胸蓟马。"	"吕佩珂．中国蔬菜病虫原色图谱续集．呼和浩特：远方出版社，1996 郭书普等编著．番茄、辣椒、茄子病虫害防治原色图鉴．合肥：安徽科学技术出版社，2004 郭书普等编著．豆类蔬菜病虫害防治原色图鉴．合肥： 安徽科学技术出版社，2004 郭书普等编著．瓜类蔬菜病虫害防治原色图鉴．合肥：安徽科学技术出版社，2004"	"Thrips coloratus Schmutz异名Thrips japonicus Bagnall；Thrips melanurus Bagnall．"	"lp00287"	"参见黄胸蓟马。"	"agridata/images/中国农业有害生物数据库/中国果菜类蔬菜害虫数据库/色蓟马.jpg"
"3"		"该虫在淮河以南各地普遍发生。"	"雌成虫．体长1．2毫米。胸部橙黄色，腹部黑褐色。触角7节褐色，第3节黄色，前胸背板前角有短粗鬃1对，后角2对。前翅灰色，有时基部稍淡，前翅上脉基鬃4+3根，端鬃3根，下脉鬃15～16根，足色淡于体色。腹部腹板具附鬃。第5至8节两侧有微弯梳，第8节背板后缘梳两侧退化。雄虫黄色，体较雌虫略小。卵淡黄色，肾形，细小。若虫体型与成虫相似，但体较小，色淡褐，无翅，眼较退化，触角节数较少。"	"黄胸蓟马"	"昆虫纲"	"缨翅目"	"蓟马科"	"各种瓜类、豇豆、四季豆、空心菜、辣椒、茄子、番茄、韭瓜、蚕豆、十字花科蔬菜。"	"年生10多代，热带地区年生20多代，在温室可常年发生。以成虫在枯枝落叶下越冬。翌年3月初开始活动为害。成、若虫隐匿花中，受惊时，成虫振翅飞逃。雌成虫产卵于花瓣或花蕊的表皮下，有时半埋在表皮下。成、若虫取食时，用口器锉碎植物表面吸取汁液，但口器并不锐利，只能在植物的幼嫩部位锉吸。该蓟马食性很杂，在不同植物间常可相互转移危害。高温干旱利于此虫大发生，多雨季节发生少。借风常可将蓟马吹入异地。"	"吕佩珂．中国蔬菜病虫原色图谱续集．呼和浩特：远方出版社，1996 郭书普等编著．番茄、辣椒、茄子病虫害防治原色图鉴．合肥：安徽科学技术出版社，2004 郭书普等编著．豆类蔬菜病虫害防治原色图鉴．合肥： 安徽科学技术出版社，2004 郭书普等编著．瓜类蔬菜病虫害防治原色图鉴．合肥：安徽科学技术出版社，2004"	"Thrips hawaiiensis(Morgan)异名Thrips  albipes  Bagnall"	"lp00288"	"(1)保护原有天敌，引进外来天敌。(2)辅之以选用少量必须的杀虫杀螨剂，给天敌生存空间，抑制蓟马的密度。(3)发展使用昆虫生长调节剂和抑制蓟马几丁质合成剂。(4)田间用银灰膜覆盖，对蓟马、蚜虫均有忌避作用。(5)用蓝色的粘虫带悬于作物间，具预测的作用，又能大量诱捕，减少成虫数量。(6)加强田间管理，注意虫口数量变化，生长点出现1～3头时，首选40％七星宝乳油600～800倍，隔5～7天1次，连续防治3～4次。此外还可选用25％喹硫磷乳油或50％乙酰甲胺磷乳剂、50％辛硫磷乳油1500倍液、鱼藤精400倍液、98％巴丹可溶性粉剂2000倍液、10％吡虫啉可湿性粉剂1500倍液、35％硫丹乳油1000倍液、21％灭杀毙乳油1000～1500倍液。隔7～10天一次，连续防治2～3次。黄瓜对辛硫磷敏感，使用时须注意。采收前9天停止用药。"	"agridata/images/中国农业有害生物数据库/中国果菜类蔬菜害虫数据库/黄胸蓟马.jpg"
"4"		"分布在陕西、甘肃等省。"	"成虫体长5．5～7毫米，宽3．2～4毫米。全身极光亮；头部、前胸节和腹部橙黄至橙红色，上唇、鞘翅、中胸和后胸腹板、侧板以及各足均为黑色，触角熏烟色，基部两节或末端数节有时色泽较淡，小盾片粟色或粟黑色，鞘翅具较强光泽。触角约为体长的2／3，第3节较第4节短，前胸背板宽短于长的2倍。小盾片狭三角形。鞘翅两侧在基部后明显膨宽，基部略隆，翅面上具密细刻点。雌成虫末节腹板端部波状凹缘，雄成虫末节腹板中央纵长方形。"	"黑足黑守瓜"	"昆虫纲"	"鞘翅目"	"叶甲科"	"苦瓜、丝瓜、黄瓜、南瓜、冬瓜、罗汉果等。"	"成虫白天交尾，产卵在土面缝隙中，幼虫为害根部。黑足黑守瓜越冬成虫一般出现较晚，喜在丝瓜、苦瓜上活动，其生活习性与黄守瓜相似。"	"吕佩珂．中国蔬菜病虫原色图谱续集．呼和浩特：远方出版社，1996 郭书普等编著．番茄、辣椒、茄子病虫害防治原色图鉴．合肥：安徽科学技术出版社，2004 郭书普等编著．豆类蔬菜病虫害防治原色图鉴．合肥： 安徽科学技术出版社，2004 郭书普等编著．瓜类蔬菜病虫害防治原色图鉴．合肥：安徽科学技术出版社，2004"	"Aulacophora nigripennis (Motschulsky)异名Ceratia nigripennis Motschulsky"	"lp00289"	"(1)提早播种，当越冬代成虫发生量大时，瓜苗已长出5片真叶以上，可减轻受害和着卵。这是防治的关健技术之一。(2)在成虫产卵期单用或混用草木灰、石灰粉、锯末或2％巴丹粉剂，每667m 2 2kg撤在瓜根附近土面或瓜叶上，防止成虫产卵和为害。(3)瓜苗移栽前后至5片真叶前及时喷洒50％巴丹可溶性粉剂1000倍液或10％吡虫啉可湿性粉剂1500倍液、20％氰戊菊酯乳油2000～2500倍液、10％多来宝悬浮剂1000倍液。(4)防治幼虫为害根部可用50％辛硫磷乳油1500倍液灌根。采收前5～7天停止用药。"	"agridata/images/中国农业有害生物数据库/中国果菜类蔬菜害虫数据库/黑足黑守瓜.jpg"
"5"		"分布在河南、江苏、广东、广西、浙江、福建、四川、贵州、台湾。"	"成虫体长16．5～19毫米，宽9～10．5毫米，长卵形，紫黑或黑褐色，稍有铜色光泽，密布刻点，头部边缘略上翘，侧叶长于中叶，并在中叶前方汇合，触角5节，基部4节黑，第5节桔黄至黄色，第2节比第3节长。前胸背板及小盾片上有近于平行的不规则横皱。侧接缘及腹部腹面侧缘区各节黄黑相间，但黄色部常狭于黑色部分。足紫黑或黑褐色。雄虫后足胫节内侧无卵形凹，腹面无“十”字沟缝，末端较钝圆。卵长1．24～1．27毫米，宽0．95～1．18毫米，似腰鼓形，初产时天蓝色，后变暗绿，近孵化时土黄色。卵表面密被白绒毛。一龄若虫体长3毫米，椭圆形，头及胸部背板黑色，腹部背面褐红色。触角4节黑色。胸背板侧缘具黄褐色边及1小锐刺；后胸背板宽于中胸。腹部背面各节中部有横形黑斑。二龄若虫体长4．3毫米，触角基部3节黑，端部第4节橙红色。前、中、后胸背板侧缘各具黄褐色边，前胸背板侧缘近中部内凹，腹部背面第1～2节横形黑斑中断。三龄若虫体长5．5～6．5毫米。后胸背板狭于中胸背板。四龄若虫体长8．5～10毫米，头及前胸背板暗黄褐色至黑褐色，腹部土黄色，翅芽伸过腹部背面第2节前缘。前胸背板侧缘及翅芽的前、外缘具暗桔红色的窄边。五龄若虫体长11～14.5毫米。翅芽伸过腹部背面第3节前半部，小盾片显现，其余特征同前几龄。腹部第4、5、6节各具1对臭腺孔。"	"瓜褐蝽"	"昆虫纲"	"半翅目"	"蝽科"	"节瓜、冬瓜、南瓜、丝瓜，亦为害豆类、茄、桑、玉米、柑桔等。"	"该虫在河南省信阳以南，江西以北年生一代，广东、广西年生3代。以成虫在土块、石块下或杂草、枯枝落叶下越冬。发生一代的地区4月下旬至5月中旬开始活动，随之迁飞到瓜类幼苗上为害，尤以5、6月间为害最盛。6月中至8月上旬产卵，卵串产于瓜叶背面，每雌产卵50～100粒。6月底至8月中旬幼虫孵化，8月中旬至10月上旬羽化，10月下旬越冬。发生三代的地区，3月底越冬成虫开始活动。第一代多在5～6月间，第二代7～9月间，第三代多发生在9月底，11月中成虫越冬。成、若虫常几头或几十头集中在瓜藤基部、卷须、腋芽和叶柄上为害，初龄若虫喜欢在蔓裂处取食为害。成、若虫白天活动，遇惊坠地，有假死性。"	"吕佩珂．中国蔬菜病虫原色图谱续集．呼和浩特：远方出版社，1996 郭书普等编著．番茄、辣椒、茄子病虫害防治原色图鉴．合肥：安徽科学技术出版社，2004 郭书普等编著．豆类蔬菜病虫害防治原色图鉴．合肥： 安徽科学技术出版社，2004 郭书普等编著．瓜类蔬菜病虫害防治原色图鉴．合肥：安徽科学技术出版社，2004"	"Aspongopus chinensis Dallas异名Coridius chinensis(Dallas)"	"lp00290"	"(1)利用瓜褐蝽喜闻尿味的习性，于傍晚把用尿浸泡过的稻草，插在瓜地里，每667m 2 插6～7束，成虫闻到尿味就会集中在草把上，翌晨集中草把深埋或烧毁。(2)必要时喷洒50％乙酰甲胺磷乳油1000倍液或25％杀虫双水剂400倍液、2．5％溴氰菊酯乳油2000～2500倍液。10％多来宝胶悬剂1000倍液、10％吡虫啉可湿性粉剂1000～1500倍液。采收前5～7天停止用药。"	"agridata/images/中国农业有害生物数据库/中国果菜类蔬菜害虫数据库/瓜褐蝽.jpg"
"6"			"成虫体长12～14．6毫米，宽6．0～7．7毫米，体长椭圆形黑褐色，常有铜色光泽，头部边缘略卷曲；触角4节，圆柱形，基部3节黑色，4节多为黄色，复眼前方有刺；前胸背板表面凹凸不平，前角具弯长刺，向前伸且内弯似牛角状；小盾片表面粗糙，具微纵脊，基角处凹陷，黑色具闪光，基部中间具1小黄点，足腿节腹面具刺，胫节外侧有浅沟。腹侧缘具相同的大锯齿。卵长1毫米，初乳白色，后变粉红色；若虫体长12毫米，灰褐色，翅芽中间具灰绿色斑，斑上生红色小点，腹两侧有7个向外突的灰白色梨形斑。"	"细角瓜蝽"	"昆虫纲"	"半翅目"	"蝽科"	"南瓜、黄瓜、苦瓜、豆类、刺槐。"	"江西、河南年生一代，广东年生3代，以成虫在枯枝丛中、草屋的杉皮下、石块、土缝等处越冬。翌年5月，越冬成虫开始活动，6月初至7月下旬产卵，6月中旬至8月上旬孵化，7月中旬末至9月下旬羽化，进入10月中下旬陆续蛰伏越冬。成、若虫性喜荫蔽，白天光强时常躲在枯黄的卷叶里，近地面的瓜蔓下及蔓的分枝处，多在寄主兜部至3米高处的瓜蔓、卷须基部、腋芽处为害，低龄若虫有群集性，喜栖息在茎蔓内，成虫把卵产在蔓基下、卷须上，个别产在叶背，多成单行排列，个别成2行，每雌产卵24～32粒，一般26粒。卵期8天，若虫期50～55天，成虫寿命10～20天。"	"吕佩珂．中国蔬菜病虫原色图谱续集．呼和浩特：远方出版社，1996 郭书普等编著．番茄、辣椒、茄子病虫害防治原色图鉴．合肥：安徽科学技术出版社，2004 郭书普等编著．豆类蔬菜病虫害防治原色图鉴．合肥： 安徽科学技术出版社，2004 郭书普等编著．瓜类蔬菜病虫害防治原色图鉴．合肥：安徽科学技术出版社，2004"	"Megymenum gracillicorne Dallas"	"lp00291"	"(1)利用蝽象的群集性和假死性，振落地上，集中杀灭。(2)人工摘除卵块。(3)喷洒50％乙酰甲胺磷乳油1000倍液或10％吡虫啉可湿性粉剂1500倍液、25％喹硫磷乳油1500倍液。"	"agridata/images/中国农业有害生物数据库/中国果菜类蔬菜害虫数据库/细角瓜蝽.jpg"
"7"	"天敌有Opius fletcheri等。"		"雌成蝇体长约9．7毫米，黄褐色，斑纹深褐色，翅透明，翅端具1黑斑，腹末有长产卵器；足浅黄色，各胫节端、附节以下各节黑色；雄虫体长约5毫米。与瓜实蝇区别点再于本种前胸背面具2个黑色圆纹，中、后胸有2条黑褐色纵纹，腹背第1、2节有黑色横纹，第3节以下中央有一黑色纵纹。前翅中脉无暗褐色斑。显尾瓜实蝇卵乳白色，一端稍尖。幼虫体长约11毫米，浅黄色，气孔褐色。蛹长约7．5毫米，圆筒形，土黄色，蛹壳的腹面、背面上的节间缝错开不连接，后缝前后杂生细碎褐斑；腹末具1纵裂缝。"	"显尾瓜实蝇"	"昆虫纲"	"双翅目"	"实蝇科"	"苦瓜、节瓜、黄瓜、西瓜、南瓜等。"	"年约生8代，以末龄幼虫和蛹在表土中越冬，翌年气温升高后羽化为成虫，早晨或晚上交配，成虫把卵产在瓜的表皮内，被产卵处略凹陷，着卵瓜发育不良或产生畸形，初孵幼虫钻入瓜内取食，有的从伤口处流出汁液或果实腐烂，幼瓜受害容易脱落，幼虫善跳，末龄幼虫跳至地表入土后化蛹。该虫喜欢食甜食物，寿命长达数月。"	"吕佩珂．中国蔬菜病虫原色图谱续集．呼和浩特：远方出版社，1996 郭书普等编著．番茄、辣椒、茄子病虫害防治原色图鉴．合肥：安徽科学技术出版社，2004 郭书普等编著．豆类蔬菜病虫害防治原色图鉴．合肥： 安徽科学技术出版社，2004 郭书普等编著．瓜类蔬菜病虫害防治原色图鉴．合肥：安徽科学技术出版社，2004"	"Dacus caudatus Fabricius"	"lp00292"	"(1)在成虫发生期用糖1份，10％多来宝胶悬剂1份，加适量水后制成毒饵，滴在厚吸水纸上，挂在瓜田或瓜棚架杆上，诱杀成虫。每667m 2 设20个点，每周更换1次。也可用克蝇溶液诱杀。(2)摘除受害果，减少幼虫食饵，销毁受害瓜，注意田间卫生，收获后及时拔除残株，集中深埋或烧毁，以减少下一季或翌年虫源。在瓜实蝇为害重的地区，不种或拔除非经济性寄主植物。(3)用加保扶颗粒剂处理土壤，杀死土中幼虫。(4)饲养释放不妊虫(r放射线处理)，使其与田间雌蝇交配，产生不能孵化的卵，方法参见南亚寡鬃实蝇，也可利用实蝇成虫对颜色及光波长的反应，采用黄板诱集，使用银灰膜也有忌避作用。(5)必要时采用套袋法，防止侵入。(6)成蝇盛发时，喷洒50％蝇蛆净粉剂2000倍液或50％马拉硫磷乳油2000倍液、10％多来宝胶悬剂1000倍液、2．5％敌杀死乳油2000倍液，每667m 2 喷对好的药液60～70升。采收前7天停止用药。"	"agridata/images/中国农业有害生物数据库/中国果菜类蔬菜害虫数据库/显尾瓜实蝇.jpg"
"8"		"该虫分布于福建、山西、广东、广西、云南、江西、四川、湖北、海南、台湾等地。"	"成虫雌体长12．0～13．0毫米，雄9～10毫米。体黄褐色，头部颜面、额、口器、触角浅黄色，颜面近口器两侧各具1个黑斑，刚羽化成虫复眼有金属光泽，后变成红褐色。肩胛、中胸背侧片、中侧片的大部分和小盾片鲜黄色；前盾片中央具1红褐色纵纹，两侧纵纹黄褐色；盾片两侧和中央各具3条黄纵纹。翅痣、径脉R1、R2+3间、R4+5脉端部及臀脉处生暗黑色纵纹；中后足基节、转节、后足胫节深褐色，余为黄色。腹部背板1节前半部黑色，后半部黄褐色，第2节两侧缘各生1黑斑，中部近前缘有1黑横带，第3节背板前缘黑色，中部具1黑纵纹直达4、5节背板尾端形成“T”状黑纹，在背板前缘两侧各具2黑短横纹。卵乳白色，长0．8～1．2毫米，一头尖，一头钝。初龄幼虫乳白色。老熟幼虫发黄，体长10～11毫米，前端尖，后端圆。刮吸式口器，呼吸系统属两端气门式。蛹长5～7毫米。圆筒形，黄褐色。"	"南亚寡鬃实蝇"	"昆虫纲"	"双翅目"	"实蝇科"	"南瓜、冬瓜、苦瓜、黄瓜、西葫芦、丝瓜、番茄、西瓜、甜瓜、木瓜、芒果、番石榴等。"	"重庆年生3～4代，以蛹在土中越冬，翌年4～5月为害早南瓜，第二代在6～7月，为害冬瓜、南瓜，第三代8～9月为害秋南瓜和冬瓜。成虫多在表皮尚未硬化的幼瓜基部或其他部位产卵，幼虫在果实中成长，通过人为传播，把含有卵或幼虫的果实传播到其他地方。南瓜实蝇以蛹在土壤中越冬，少数个体来不及脱离寄主在被害瓜内越冬。越冬代成虫全天均能羽化，上午9～10时最多，初羽化成虫活泼，越冬代成虫寿命约25天，成虫晴天喜飞翔在瓜田，阴雨天躲藏在瓜叶及杂草下面，交配后，产卵管刺入瓜内4毫米，把卵产在幼瓜或带有伤口或裂缝的寄主上。产卵数粒至数十粒；最多可达200粒，35℃时卵期3．5天，初孵幼虫在瓜内蛀食为害，有时一南瓜上有几个产卵孔，多达百余头，幼虫老熟后，从腐烂瓜内弹跳入土化蛹。6、7月蛹期2～3天，羽化后成虫未获食料的寿命2～7天，取食蜂蜜后长达25天以上。"	"吕佩珂．中国蔬菜病虫原色图谱续集．呼和浩特：远方出版社，1996 郭书普等编著．番茄、辣椒、茄子病虫害防治原色图鉴．合肥：安徽科学技术出版社，2004 郭书普等编著．豆类蔬菜病虫害防治原色图鉴．合肥： 安徽科学技术出版社，2004 郭书普等编著．瓜类蔬菜病虫害防治原色图鉴．合肥：安徽科学技术出版社，2004"	"Bactrocera(Zeugodacus)tau(Walker)异名Dacus tau(Walker)"	"lp00293"	"(1)南亚寡鬃实蝇国内仅广东、广西、台湾、海南、湖北、四川、云南、江西、山西等省发生，因此应认真实施检疫制度，控制其扩散蔓延。(2)成虫发生期，在田间设置盛有0．1％水解蛋白的诱集盆4～5个，盆内加入0．1％敌百虫诱杀成虫减少虫源。(3)在成虫发生期喷洒50％辛硫磷乳油1500倍液或4％鱼藤精600倍液，由于该虫发生期长，最好隔5天防1次，连防2～3次。(4)被南瓜实蝇蛀食和腐烂的瓜，应集中深埋或烧毁。如瓜已腐烂脱落，应在烂瓜附近的土面上喷上述杀虫剂，防止蛹羽化。(5)为了避免瓜实蝇产生抗药性，最理想防治法是采用不孕虫放饲法，用放射性钴60照射人工繁殖的瓜实蝇，使雄蝇保有与雌蝇交尾的兴趣，但失去雌蝇受孕的能力，大量释放到田间，这种不孕雄虫与田间雌虫交配后产生的卵不会孵化，只要不孕雄虫比田间雄虫多，就会使田间实蝇一代代减少，终致绝迹。"	"agridata/images/中国农业有害生物数据库/中国果菜类蔬菜害虫数据库/南亚寡鬃实蝇.jpg"
"9"		"分布在黑龙江、内蒙古、新疆、河北、山东、江苏、湖北、河南、青海。"	"成虫体长11～23毫米，宽3．6～7．0毫米，体、足黑色，并被黑色长竖毛，鞘翅浅黄至棕黄色，具黑斑。头略呈方形，后角圆；表面密布刻点，中央具2个红色小圆斑。触角11节，短，末端5节膨大呈棒状。前胸背板长略大于宽，两侧平行，前端1／3处向前束窄，表面具密小黑粒点，盘区中间和后缘之前各具1圆凹洼，鞘翅有细皱纹，基部长有稀疏的黑长毛；在近基部1／4处生黑圆斑1对，中部、端部1／4处各具1横斑，有时端部横斑分裂成2个斑。"	"苹斑芫菁"	"昆虫纲"	"鞘翅目"	"芫菁科"	"瓜类、苹果、沙果等。"	"北方年生一代，南方年生二代。以前蛹期在土中越冬，北方翌年5月中旬羽化，7月中旬为盛发期。成虫有二次交尾现象，交尾后一周产卵于杂草、地表10厘米之间，先挖土，产后埋土，每只雌虫一次能产卵120粒左右，无遗卵，多于10时和17时产卵，每产一次卵约半小时，产卵不规则，卵期平均25天，卵多在7～8时和17～18时孵化。成虫产卵后，群居性很强，一般几十只到上百只，并远距离飞翔为害。成虫喜在9时和16时活动和交尾，中午炎热静伏不动，温度25℃时活动最盛。9月下旬停止活动。寿命96天。成虫有假死性，无趋光、趋化现象。幼虫共6龄，每龄期平均15天左右，1、2龄活动迅速，3、4龄多在黑暗中活动和寻食，主要取食蝗卵，五、六龄进入休眠状态。"	"吕佩珂．中国蔬菜病虫原色图谱续集．呼和浩特：远方出版社，1996 郭书普等编著．番茄、辣椒、茄子病虫害防治原色图鉴．合肥：安徽科学技术出版社，2004 郭书普等编著．豆类蔬菜病虫害防治原色图鉴．合肥： 安徽科学技术出版社，2004 郭书普等编著．瓜类蔬菜病虫害防治原色图鉴．合肥：安徽科学技术出版社，2004"	"Mylabris calida Pallas"	"lp00294"	"一般不需单独防治。"	"agridata/images/中国农业有害生物数据库/中国果菜类蔬菜害虫数据库/苹斑芫菁.jpg"
"10"		"分布于贵州、云南、四川、广西、广东、湖南、浙江、福建、江苏、台湾等地。"	"成虫体长9～10毫米，宽约3毫米，黑褐色，体被黄褐色细毛。触角和足带红褐色。前胸背板具4个小白斑，排列成“十”字形，后方的呈短柱形。小盾片被黄褐色细毛。鞘翅上具多个白色大毛斑，排列成4斜行，白斑数分别为2、4、3、2，在第3斜行两侧有2个小斑点，翅端各具一淡黄褐色毛斑。1～4腹节两侧各生一白斑。额近方形，头顶宽陷；复眼上、下叶几乎断裂，触角基瘤分开，触角长达鞘翅1／2，第3、4节的长度等于以后各节之和。前胸背板几乎长宽相等，密布刻点。鞘翅窄，肩部较前胸稍宽，长为头胸部的2倍，两侧近平行，末端斜切，鞘翅上刻点排列成10行，较整齐。后足腿节长达第3腹节中部。卵长椭圆形，大小0．1～0．2毫米，初产时乳白色，近孵化时浅黑色。幼虫乳黄色，体长10～11毫米，宽2．8～3.2毫米。初孵时乳白色，稍扁，渐长成近圆筒形。上颚黑色，头褐色。前胸背板端部中线两侧区各具一浅褐色大斑。各体节两侧疏生褐色刚毛，臂板及肛门四周刚毛褐色、簇生。足退化。各体节背、腹两面隆突成移动器，其上具较粗短的乳突。蛹长9．2～10．5毫米，宽2．7～3．1毫米，初为乳白色，后变为乳黄色至乳褐色。背观前胸背板风帽状，生较长刚毛。触角靠翅基两侧后延至第3腹节向腹部曲卷。各腹节中部簇生一横列刚毛。臀板上布粗壮的深褐色三角形小刺，侧缘及后缘丛生长刚毛。腹面观前、中足向胸部抢曲，并盖住翅的一半，后足从翅的下半部下伸出，露出腿节后部、胫节端部和跗节全部。末节腹板端沿具一凸弧形深褐色带状纹。"	"南瓜斜斑天牛"	"昆虫纲"	"鞘翅目"	"天牛科"	"南瓜、冬瓜、丝瓜、节瓜、葫芦等。"	"年生几代，以老熟或成长幼虫越冬。越冬幼虫在枯藤内于翌年4月陆续化蛹和羽化，蛹期约10～14天。5月中旬开始产卵，产卵期长达二个多月。贵州荔波县7月下旬第一代成虫羽化，田间8月中旬可同时见到四种虫态。8月下旬至9月中旬，初孵幼虫为害，此后进入越冬。成虫羽化后，啃食瓜株幼嫩组织和花及幼瓜。卵多散产于叶腋间，也有产在茎节中部。产前成虫用上颚咬伤茎皮组织，埋卵其内或直接把卵产在瓜茎裂缝伤口处。幼虫孵出先在皮层取食，渐潜蛀于茎中。随着食量的增大，被害部外溢的瓜胶脱落，幼虫蛀空髓部，化蛹其间，成虫羽化后静置数日，从排粪孔中脱出。虫量大时，一株瓜蔓最多可捕获21头幼虫。"	"吕佩珂．中国蔬菜病虫原色图谱续集．呼和浩特：远方出版社，1996 郭书普等编著．番茄、辣椒、茄子病虫害防治原色图鉴．合肥：安徽科学技术出版社，2004 郭书普等编著．豆类蔬菜病虫害防治原色图鉴．合肥： 安徽科学技术出版社，2004 郭书普等编著．瓜类蔬菜病虫害防治原色图鉴．合肥：安徽科学技术出版社，2004"	"Apomecyna histrio(Fabricius)异名Apomecyna alboguttata Megerle．"	"lp00295"	"(1)注意田间清洁，冬前彻底清除田间残藤，烧却积肥。特别是爬攀在树上和墙、房上的瓜蔓不可留下，可降低越冬虫口密度。(2)六、七月间，加强检查，发现瓜株有新鲜虫粪排挂，用注射器注入内吸性杀虫剂毒杀幼虫。5月份用50％巴丹可溶性粉剂1000倍液或低毒菊酯类杀虫剂喷雾防治成虫，喷雾时应避开瓜花，以防杀害蜜蜂。"	"agridata/images/中国农业有害生物数据库/中国果菜类蔬菜害虫数据库/南瓜斜斑天牛.jpg"
