"id"	"天敌"	"中文名"	"形态特征"	"地理分布"	"纲"	"目"	"科"	"主要危害作物"	"生物学特性及发生消长规律"	"相关文献"	"拉丁学名"	"记录号"	"防治方法"	"图片"
"1"		"八点广翅蜡蝉"	"成虫体黑褐色，疏被白蜡粉；翅革质密布纵横脉呈网状，前翅宽大，略呈三角形，翅面被稀薄白蜡粉，翅上有6～7个白色透明斑。若虫体长5～6毫米，宽3．5～4毫米，体略呈钝菱形，翅芽处最宽，暗黄褐色，布有深浅不同的斑纹，体疏被白蜡粉，腹部末端有4束白色绵毛状蜡丝，呈扇状伸出，蜡丝覆于体背以保护身体，常可作孔雀开屏状，向上直立或伸向后方。"	"全国各柑橘产区均有发生。"	"昆虫纲"	"同翅目"	"广翅蜡蝉科"	"寄主有苹果、梨、桃、李、杏、梅、枣、栗、山楂、柑橘等。"	"一年发生1代，以卵产于枝条内越冬。山西5月间陆续孵化，浙江在5月中下旬至6月上中旬孵化，为害至7月下旬开始老熟羽化，7～8月产卵于嫩梢上越冬，产卵孔排成2整齐的纵列，孔外带出部分木丝并覆有白色绵毛状蜡丝。"	"夏声广，唐启义主编．柑橘病虫害防治原色生态图谱．北京：中国农业出版社，2006 任伊森等编著．柑橘病虫害防治手册．北京：金盾出版社，2001 任伊森，蔡明段主编．柑橘病虫草害防治彩色图谱．北京：中国农业出版社，2004 陈福如主编．柑橘病虫害诊治图谱．福州：建科学技术出版社，2004"	"Ricania  spechlum Walker"	"op00404"	"发生多时在若虫初期喷洒40％硫酸烟精或菊酯类农药。亦可考虑用40％速扑杀乳油1 000倍液、90％晶体敌百虫1 000倍液、24％万灵水溶性液剂3 000倍液或2．5％木虱毙乳油1 000倍液防治。"	"agridata/images/中国农业有害生物数据库/中国柑桔害虫数据库/八点广翅蜡蝉.jpg"
"2"	"已发现的白蛾蜡蝉天敌：寄生于卵的有狭面姬小蜂、黄斑啮小蜂、白蛾蜡蝉啮小蜂、赤眼蜂、黑卵蜂；寄生于若虫的有1种螯蜂、1种举腹姬蜂和4种小蜂。"	"白蛾蜡蝉"	"成虫白蛾蜡蝉雌成虫体长19．8～21．3毫米，雄成虫体长16．5～20．1毫米，初羽化时为黄白色至绿色，体被白色蜡粉。前胸背板较小，前缘向前突出，后缘向前凹陷；中胸背板发达，上有3条隆起的纵脊。前翅略呈三角形，粉绿色或黄白色，翅的外缘平直，前缘角几呈直角，后缘角锐而突出，翅面上有一个较大的白点和几个较小的白点。后翅白色或黄白色，较前翅大，翅质薄，半透明。后足发达，善跳。卵淡黄白色，长椭圆形，长约1．5毫米，卵块长方形。末龄若虫体长约8毫米，体白色，稍扁平，被白色蜡粉。胸部宽大，翅芽发达，腹部及翅芽末端均平截，腹末附有1束白色长形蜡质物，后足发达，善跳。"	"分布于广东、广西、福建、云南、台湾、海南等省(自治区)。"	"昆虫纲"	"同翅目"	"蛾蜡蝉科"	"寄主有柑橘、荔枝、龙眼、杧果、木菠萝、黄皮、梨、梅、李、桃、田菁、木麻黄、咖啡等100多种植物。"	"白蛾蜡蝉在广西南宁、福建龙溪1年发生2代，少数1代，以成虫在茂密的枝叶上越冬。翌春天气回暖时(3月份前后)开始取食，并交尾和产卵。卵集中产于嫩枝或叶柄内，产卵处呈枯褐色略隆起的长方形斑痕。初孵若虫有群集为害嫩梢的习性，随着龄期增大，枝叶伸长，3～5头成群上爬或跳动。成、若虫如遇惊动，则纷纷跳飞。田间成虫周年可见，若虫在4月下旬至10月下旬均可见到，但第一、二代若虫的发生盛期分别出现在4～5月和8～9月。"	"夏声广，唐启义主编．柑橘病虫害防治原色生态图谱．北京：中国农业出版社，2006 任伊森等编著．柑橘病虫害防治手册．北京：金盾出版社，2001 任伊森，蔡明段主编．柑橘病虫草害防治彩色图谱．北京：中国农业出版社，2004 陈福如主编．柑橘病虫害诊治图谱．福州：建科学技术出版社，2004"	"Lawana imitata Melichar"	"op00405"	"结合修剪，剪去有虫卵的枝条，集中烧毁。成虫盛发期用捕虫网捕杀成虫，若虫发生期用扫把将若虫扫落地面，放鸡鸭将其吃掉。在成虫羽化盛期和初孵若虫盛期用20％甲氰菊酯(敌杀死)乳油或20％的氰戊菊酯(速灭杀丁)乳油3 000～4 000倍液、80％敌敌畏乳油或90％晶体敌百虫或50％马拉硫磷乳油或50％杀螟松乳油或40％乐果乳油或50％稻丰散乳油800～1 000倍液喷洒树冠防治。"	"agridata/images/中国农业有害生物数据库/中国柑桔害虫数据库/白蛾蜡蝉.jpg"
"3"		"白囊蓑蛾"	"雄蛾体长8～10毫米，翅展18～24毫米。胸、腹部褐色，头部和腹部末端黑色，体密布白色长毛。触角栉形。前、后翅均白色透明，前翅前缘及翅基淡褐色，前、后翅脉纹淡褐色，后翅基部有白毛。雌蛾体长约9毫米，黄白色，蛆状，无翅。卵细小，椭圆形。幼虫老熟时体长约30毫米。头部褐色，有黑色点纹。躯体各节上均有深褐色点纹，规则排列。雌蛹蛆状。雄蛹具有翅芽，赤褐色。护囊长圆锥形，灰白色，全用虫丝缀成，不附任何枝叶及其他碎片。"	"分布于长江流域以南地区及山西、河南、河北等省。"	"昆虫纲"	"鳞翅目"	"蓑蛾科"	"寄主除柑橘外，还有苹果、龙眼、荔枝、枇杷、杧果、核桃、椰子、梨、梅、柿、枣、栗、茶树、油茶、茶、大豆、油桐、扁柏、女贞、桉树、樟树、枫杨、乌桕、木麻黄、松、柏、杨、柳、榆、竹等。"	"白囊蓑蛾1年发生1代，以幼虫在虫囊中越冬。越冬幼虫于次年3月间开始活动，6月中旬至7月中旬化蛹，6月底至7月底羽化，稍后产卵。幼虫于7月中、下旬开始出现，8月上旬至9月下旬为幼虫主要为害期。幼虫多在清晨、傍晚或阴天取食。低龄幼虫只食叶肉，使叶片形成半透明的枯斑。大龄幼虫将叶吃成缺刻，严重时仅留叶脉。l0月上、中旬停食越冬。"	"夏声广，唐启义主编．柑橘病虫害防治原色生态图谱．北京：中国农业出版社，2006 任伊森等编著．柑橘病虫害防治手册．北京：金盾出版社，2001 任伊森，蔡明段主编．柑橘病虫草害防治彩色图谱．北京：中国农业出版社，2004 陈福如主编．柑橘病虫害诊治图谱．福州：建科学技术出版社，2004"	"ChalioideskondonisMatsumura"	"op00406"	"参照大蓑蛾。"	"agridata/images/中国农业有害生物数据库/中国柑桔害虫数据库/白囊蓑蛾.jpg"
"4"		"白星花金龟"	"成虫体长18～24毫米，宽9～12毫米，体型中等，椭圆形，背面扁平，黑钢色，微带绿或紫色闪光，头方形，前胸背板梯形，小盾片长三角形，散布多个不规则白绒斑。前胸背板和鞘翅密布小刻点和不规则的白色毛斑10余个。腹面各腹节两侧均有一白色毛斑。卵椭圆形，乳白色，光滑。幼虫体长35毫米左右，肥大，头较小，褐色，胴部乳白色，弯曲呈“C”字形。腹末节膨大，肛腹片上有2纵行刺毛，每行19～22根，排列呈倒“U”字形。蛹长22毫米左右，卵圆形，头端钝圆，向后渐细，初乳白色，渐变黄褐色，羽化前暗褐色。"	"分布于中国的东北、华北、华东、华中等地区。"	"昆虫纲"	"鞘翅目"	"金龟科"	"成虫为害柑橘、梨、苹果、桃、杏、李、葡萄、樱桃等果树。"	"一年发生l代，以幼虫潜伏在土内越冬，成虫6～7月发生量较多。"	"夏声广，唐启义主编．柑橘病虫害防治原色生态图谱．北京：中国农业出版社，2006 任伊森等编著．柑橘病虫害防治手册．北京：金盾出版社，2001 任伊森，蔡明段主编．柑橘病虫草害防治彩色图谱．北京：中国农业出版社，2004 陈福如主编．柑橘病虫害诊治图谱．福州：建科学技术出版社，2004"	"Potosia brevitarsis Lewis"	"op00407"	"同小青花金龟甲。"	"agridata/images/中国农业有害生物数据库/中国柑桔害虫数据库/白星花金龟.jpg"
"5"		"斑喙丽金龟子"	"成虫体长椭圆形，褐至棕褐色，腹部色泽常较深，全身密生黄褐色披针状鳞片。头大，复眼大，唇基半圆形，前缘上卷，头顶隆拱，上唇下缘中部呈“T”字形，延长似喙。前胸背板甚短阔，前后缘近平行，侧缘弧形扩出，前侧角锐角，后侧角钝角，小盾片三角形。鞘翅有3条纵肋纹可辨，在纵肋纹I、Ⅱ上常有3～4处鳞片密聚而呈白斑，端凸上鳞片常十分紧挨而成明显白斑，其外侧尚有l较小白斑。"	"中国东半部各省区几乎都有分布。朝鲜、日本和美国的夏威夷也有分布。"	"昆虫纲"	"鞘翅目"	"丽金龟科"	"主要寄主有葡萄、刺槐、板栗、玉米、丝瓜、菜豆、芝麻、黄麻、棉花，次为油桐、榆、梧桐、枫杨、梨、苹果、杏、柿、李、樱桃等。"	"在江西南昌一年发生2代，以幼虫越冬。第一代成虫活动盛期在6月，第二代成虫盛发于8月。成虫白天潜藏于土中或叶背，黄昏始出而取食，午夜后至黎明前陆续潜入土中或藏于叶背。"	"夏声广，唐启义主编．柑橘病虫害防治原色生态图谱．北京：中国农业出版社，2006 任伊森等编著．柑橘病虫害防治手册．北京：金盾出版社，2001 任伊森，蔡明段主编．柑橘病虫草害防治彩色图谱．北京：中国农业出版社，2004 陈福如主编．柑橘病虫害诊治图谱．福州：建科学技术出版社，2004"	"Adoretus  tennimaculatus Water"	"op00408"	"同小青花金龟甲。"	"agridata/images/中国农业有害生物数据库/中国柑桔害虫数据库/斑喙丽金龟子.jpg"
"6"		"斑衣蜡蝉"	"雄成虫体长14～17毫米，翅展40～45毫米；雌体长18～22毫米，翅展50～52毫米。身体灰黄相间，披有较薄白色蜡粉；腹部背面各体节有黑斑。前翅基部2／3处呈淡灰褐色，散有20余个黑色小点，端部1／3呈烟黑色。脉纹灰褐；后翅基部至后角鲜红色，中间有白色横带，端部1／3处黑色。初龄若虫黑色，有白点，末龄时身体红色，布有黑斑。"	"华北、华东、西北、西南、华南以及台湾等地区"	"昆虫纲"	"鳞翅目"	"蜡蝉科"	"为害葡萄、山楂、苹果、柑橘、桃、梨、杏等"	"一年发生1代，以卵越冬。山东5月上、中旬孵化为若虫，成虫于6月下旬出现，成虫、若虫都有群集性，弹跳力很强。"	"夏声广，唐启义主编．柑橘病虫害防治原色生态图谱．北京：中国农业出版社，2006 任伊森等编著．柑橘病虫害防治手册．北京：金盾出版社，2001 任伊森，蔡明段主编．柑橘病虫草害防治彩色图谱．北京：中国农业出版社，2004 陈福如主编．柑橘病虫害诊治图谱．福州：建科学技术出版社，2004"	"Lycorma delicatula(White)"	"op00409"	"参照白蛾蜡蝉。"	"agridata/images/中国农业有害生物数据库/中国柑桔害虫数据库/斑衣蜡蝉.jpg"
"7"		"豹蠹蛾"	"成虫体长约20毫米，体被灰白色鳞毛，胸部背面有3对青蓝色点纹。翅灰白色，前翅散生蓝黑色斑点，后翅有一青蓝色条纹。卵椭圆形，两端钝圆，黄白色，孵化前为紫黑色。老熟幼虫体长21～30毫米，初孵幼虫为紫红色，成长后变为暗紫红色，全体被稀疏白色细毛，头胸深褐，腹面黄白色，前胸背板黄褐色。蛹赤褐色，腹末有6对短臀刺。"	"广东、广西、福建、台湾、江西、江苏、浙江、湖南、湖北、四川、河南等省"	"昆虫纲"	"鳞翅目"	"豹蠹蛾科"	"为害柑橘、荔枝、龙眼、梨、柿、枇杷、桃、葡萄、枣等"	"一年发生1代，以幼虫在柑橘蛀道内缀合虫粪木屑封闭两端静伏越冬，在浙江4月中旬化蛹，5月上旬羽化。"	"夏声广，唐启义主编．柑橘病虫害防治原色生态图谱．北京：中国农业出版社，2006 任伊森等编著．柑橘病虫害防治手册．北京：金盾出版社，2001 任伊森，蔡明段主编．柑橘病虫草害防治彩色图谱．北京：中国农业出版社，2004 陈福如主编．柑橘病虫害诊治图谱．福州：建科学技术出版社，2004"	"Zeuzera coffeae(Nietner)"	"op00410"	"①受害时及时剪除受害枝，集中烧毁或深埋。②成虫盛发期用黑光灯或频振式杀虫灯进行诱捕。③在卵孵化盛期，初孵幼虫未钻入枝梢前，喷2．5％功夫乳油3 000倍液，2．5％天王星乳油1 500倍液，或用8 0％敌敌畏乳油20～50倍液灌注蛀道，灌注后堵塞排粪孔，毒死幼虫。"	"agridata/images/中国农业有害生物数据库/中国柑桔害虫数据库/豹蠹蛾.jpg"
"8"	"天敌有寄生蝇、真菌和病毒等，幼虫和蛹的患病率可达59．1％～83％。"	"扁刺蛾"	"成虫体灰褐色，体长10～18毫米，翅展26～35毫米。前翅由褐灰色到浅灰色，中室外方有1条暗褐色条纹，自前缘向后斜行至后缘中部，中室上角有1黑点。后翅暗灰色至黄褐色。卵长椭圆形，扁平，长约1．1毫米，初产时为淡黄绿色，孵化前呈灰褐色，表面光滑。幼虫老熟幼虫黄绿色，体长21～26毫米，宽约16毫米。体扁平，椭圆形，背部稍隆起，形似龟背。背线灰白色，体边缘每侧有10个瘤状突起，其上生有刺毛，每一体节背面有2小丛刺毛，在第四节背面两侧各有1红点。茧暗褐色，椭圆形，长13～16毫米，似鸟蛋。蛹体长10～15毫米，近椭圆形，初为乳白色，后渐变为黄色，近羽化时为黄褐色。"	"我国各柑橘产区及山东、河北、辽宁、吉林、黑龙江等省均有分布。"	"昆虫纲"	"鳞翅目"	"刺蛾科"	"寄主植物除柑橘外，还有苹果、梨、枇杷、李、樱桃、枣、柿、核桃、石榴、栗、椰子等。"	"在陕西每年发生1代，在长江中下游橘区每年发生2代，部分3代。以老熟幼虫在树干周围土中结茧越冬。在  江西南昌和广西桂林，第一代幼虫发生于5月下旬至7月中旬，  第二代幼虫于7月中下旬开始发生。卵散产于叶面。幼虫共8  龄，第一至第四龄幼虫多在叶面取食叶肉，残留下表皮。第五龄  以后则吃叶片成缺刻，第六龄起可将全叶吃光，虫口多时甚至司  将全株叶片吃光，高龄幼虫有时还可啃食幼果的果皮。幼虫老熟后即下树入土结茧，下树时间多在晚上。通常扁刺蛾在雨量多、湿度大的地区，特别是比较郁闭和阴湿的柑橘园中发生较多。天敌有寄生蝇、真菌和病毒等，幼虫和蛹的患病率可达59．1％～83％。"	"夏声广，唐启义主编．柑橘病虫害防治原色生态图谱．北京：中国农业出版社，2006 任伊森等编著．柑橘病虫害防治手册．北京：金盾出版社，2001 任伊森，蔡明段主编．柑橘病虫草害防治彩色图谱．北京：中国农业出版社，2004 陈福如主编．柑橘病虫害诊治图谱．福州：建科学技术出版社，2004"	"Thosea sinenisi(Walker)"	"op00411"	"(1)人工防治。在幼虫孵化盛期及时摘除有虫的叶片，集中毁灭。幼虫老熟，下树结茧前，疏松树干周围的土壤，以引诱幼虫集中结茧，然后收集消灭。注意操作过程中手勿触及虫体，以免中毒。 (2)灯光诱杀成虫。在各代成虫发生期用黑光灯或频振式杀虫灯诱杀成虫。 (3)药剂防治幼虫。在初龄幼虫发生盛期喷药，有效的药剂有：20％甲氰菊酯(灭扫利)乳油或20％氰戊菊酯(速灭杀丁)乳油或10％氯氰菊酯乳油3 000～4 000倍液、80％敌敌畏乳油或90％晶体敌百虫或50％马拉硫磷乳油或50％杀螟松乳油或40％乐果乳油或75％辛硫磷乳油或5％鱼藤精乳油800～1 000倍液、Bt制剂200～300倍液。"	"agridata/images/中国农业有害生物数据库/中国柑桔害虫数据库/扁刺蛾.jpg"
"9"	"在卵上发现有赤眼蜂；幼虫上共发现天敌6种，其中5种为寄生蜂，1种为线虫。"	"彩肖金夜蛾"	"成虫体长约12～14毫米，翅展27～30毫米，触角丝状。具各种斑纹。前翅近前缘角有1双线条纹延及至内缘上方，顶角下方和臀上方有两个金黄色云状斑，基角处亦有金黄色云状斑。后翅灰色。卵呈球形，底面平坦，直径约0．4毫米，淡青黄色，密布纵走条纹。幼虫老熟时体长约25毫米，体宽3.2毫米，头部黄褐色或具有淡灰黑色斑块。幼虫全体呈灰黑色，腹部各节具有白色网状花纹。第一至四腹足拱起呈尺蠖型。胸足3对呈黄白色至灰黑色，腹足2对，尾足1对，均呈白色，低龄幼虫青灰色。虫体两侧有两行黑点。蛹被蛹长约14．5毫米，宽3．4毫米，赤褐色。幼虫化蛹前结成枣核状的茧。蛹体长12～12．5毫米，宽2．5～3毫米。头部、胸部、腹部均具小刻点。"		"昆虫纲"	"鳞翅目"	"夜蛾科"	"寄主有柑橘类、水蜜桃、秋白梨、葡萄等果实。"	"一年发生6代，主要以蛹越冬。绝大部分幼虫于11～12月相继化蛹，少数至1月上旬开始化蛹，越冬蛹至明年3月上旬羽化为成虫。但12月份至1月份间，背风荫蔽处的千金藤上可发现少量幼虫。卵和幼虫在田间均有6个高峰期，其中幼虫的最高峰在6月中旬。成虫产卵多在叶片背面，在千金藤、木防己、汉防己等植物上均可发现，但幼虫以千金藤占多数。成虫假死习性显著，取食橘果汁液时，两翅合成屋脊状。"	"夏声广，唐启义主编．柑橘病虫害防治原色生态图谱．北京：中国农业出版社，2006 任伊森等编著．柑橘病虫害防治手册．北京：金盾出版社，2001 任伊森，蔡明段主编．柑橘病虫草害防治彩色图谱．北京：中国农业出版社，2004 陈福如主编．柑橘病虫害诊治图谱．福州：建科学技术出版社，2004"	"Plusiodonta coelonota"	"op00412"	"参照嘴壶夜蛾。特别注意幼虫寄生蜂天敌保护利用。"	"agridata/images/中国农业有害生物数据库/中国柑桔害虫数据库/彩肖金夜蛾.jpg"
"10"	"天敌有尼氏钝绥螨、长须螨、德氏钝绥螨、小花蝽、深点食螨瓢虫、日本方头甲和六点蓟马等"	"侧多食跗线螨"	"雌成螨椭圆形，体长0．15～0.25毫米，宽0.11～0．16毫米，淡黄色至黄色。沿背中线有一白色条纹，由前向后逐渐增宽。有足4对，第四对足细而退化。雄成螨近棱形，扁平，尾部稍尖，长0．12～0．20毫米，宽0．05～0.12毫米，淡黄色至黄绿色。前足体、后足体和末体上分别有背毛3～4对、3对和2对。4对足大而粗壮。卵椭圆形，底部扁平，长0.10～0．13毫米，宽0．05～0．09毫米，无色透明，表面有6～8列纵横排列整齐的乳白色突起。幼螨体近椭圆形，末端渐尖，初孵时白色，后趋透明。若螨梭形，淡绿色，长0．12～0.25毫米，宽0．06～0．10毫米。雌若螨体形丰满，雄若螨则较瘦长。躯体背面有5段刻点花带和5段波状条纹花带彼此相间。"	"我国在江苏、浙江、湖南、湖北、四川、贵州、广西、台湾等省(自治区)均有分布。"	"蛛形纲"	"真螨目"	"跗线螨科"	"寄主植物除柑橘类外，还有茶叶、银杏、板栗、杧果、桃、梨、辣椒和茄子等64种植物。"	"该螨1年发生40～50代，以成螨在绵蚧卵囊下、盾蚧类残存的介壳内或杂草等的根部越冬，5月份开始活动，6～7月和9～10月为盛发期，11月后显著减少。在温度25～30℃，阴暗潮湿的环境下最有利于该螨的发生为害。卵多产于嫩叶背面，叶柄和幼芽的缝隙内，幼螨、若螨和成螨均在嫩叶背面为害。受害嫩叶变黄褐色，僵化，皱缩，叶缘反卷。若腋芽受害，失去抽梢能力，变成秃顶。幼螨、若螨和雌成螨均不太活跃，主要借风力、苗木、昆虫和鸟类传播。雄成螨则较活泼，爬行迅速，交配时常将雌成螨背在背上不断地爬行。"	"夏声广，唐启义主编．柑橘病虫害防治原色生态图谱．北京：中国农业出版社，2006 任伊森等编著．柑橘病虫害防治手册．北京：金盾出版社，2001 任伊森，蔡明段主编．柑橘病虫草害防治彩色图谱．北京：中国农业出版社，2004 陈福如主编．柑橘病虫害诊治图谱．福州：建科学技术出版社，2004"	"Polyphagotarsonemus latus (Banks.)"	"op00413"	"保护利用天敌，特别是捕食螨。集中放梢，使枝梢抽发整齐，缩短为害期，打断食物链。合理修剪使橘园通风透光。夏秋梢萌发期要特别注意，可能造成为害时用药防治，药剂有：0．2～0．3波美度石硫合剂、机油乳剂150～200倍液、73％克螨特乳油2 000～3 000倍液、65％代森锌可湿性粉剂800倍液、25％双甲脒乳油1 500～2 000倍液、苦楝油200～300倍液等。"	"agridata/images/中国农业有害生物数据库/中国柑桔害虫数据库/侧多食跗线螨.jpg"
