"id"	"发生与危害"	"地理分布"	"纲"	"目"	"科"	"属"	"中文名"	"综合治理策略"	"形态特征"	"相关文献"	"拉丁学名"	"记录号"	"别名"	"图片"
"1"	"一年生水生杂草。卵式生殖，或以藻体断裂和产生珠芽进行营养繁殖。稻田中一般性杂草。"	"辽宁、江苏、台湾、四川、贵州、安徽等地区均有发生。"	"轮藻纲"	"轮藻目"	"轮藻科"	"轮藻属"	"轮藻"	"防除应采取农艺措施和化学除草相结合的方法。 (1)农艺措施主要有：一是建立地平沟畅、保水性好、灌溉自如的水稻生产环境；二是结合种子处理清除杂草的种子，并结合耕翻、整地，消灭土表的杂草种子；三是实行定期的水旱轮作，减少杂草的发生；四是提高播种的质量，一播全苗，以苗压草。 (2)化学除草，目前多数地方采用一次性封杀，就是在播种（催芽）后1－3天内，亩用40％“直播青”可湿性粉剂60克，兑水40－50公斤，均匀喷雾，施药时田板保持湿润。3天后恢复正常灌水和田间管理。通过化除后，如果后期仍有一定量的杂草，可采取针对法进行补除。 如以稗草、千金子为主的田块，在杂草3－5叶期，可用10％千金乳剂50毫升加水30公斤，用针对法进行茎叶喷雾。用药前一天田间必须放干水，药后2天再恢复正常管理。 如以莎草、阔叶杂草为主的田块，在播后30天左右，亩用10％水星可湿性粉剂20克加20％二甲四氯水剂150毫升混用，兑水30公斤针对法喷雾。水浆管理同上。 如田间各种杂草共生，可用48％苯达松水剂75－100毫升加20％二甲四氯水剂150毫升混用，采用针对法喷雾。"	"成株     藻体鲜绿色或黄绿色，外被钙质。高18～301厘米，茎具3列式皮层，节间小于小枝，无皮层；托叶双轮，不发达，小枝7～8枚一轮，由8～11个节片组成，除末端1～2个节片外，均具皮层。 繁殖器官      配子囊生于小枝下部3～4个节上，藏卵器长不过1毫米。"	"郭书普.水田常见杂草识别与防治原色图鉴. 合肥:安徽科学技术出版社,2005"	"Chara fragilis Desv"	"pw00001"	"脆轮藻"	"agridata/images/中国农业有害生物数据库/中国水田杂草数据库/轮藻.jpg"
"2"	"一年生水生杂草。多生长于稻田、鱼池、水沟、湖湾、池塘等水体中。为水稻田一般性杂草，但在有机质丰富的水体中繁殖迅速，量多时危害鱼苗生长。"	"辽宁、河南、河北、安徽、江苏、浙江、湖南、湖北、贵州等地区均有发生。"	"绿藻纲"	"绿球藻目"	"水网藻科"	"水网藻属"	"水网藻"	"防除应采取农艺措施和化学除草相结合的方法。 (1)农艺措施主要有：一是建立地平沟畅、保水性好、灌溉自如的水稻生产环境；二是结合种子处理清除杂草的种子，并结合耕翻、整地，消灭土表的杂草种子；三是实行定期的水旱轮作，减少杂草的发生；四是提高播种的质量，一播全苗，以苗压草。 (2)化学除草，目前多数地方采用一次性封杀，就是在播种（催芽）后1－3天内，亩用40％“直播青”可湿性粉剂60克，兑水40－50公斤，均匀喷雾，施药时田板保持湿润。3天后恢复正常灌水和田间管理。通过化除后，如果后期仍有一定量的杂草，可采取针对法进行补除。 如以稗草、千金子为主的田块，在杂草3－5叶期，可用10％千金乳剂50毫升加水30公斤，用针对法进行茎叶喷雾。用药前一天田间必须放干水，药后2天再恢复正常管理。 如以莎草、阔叶杂草为主的田块，在播后30天左右，亩用10％水星可湿性粉剂20克加20％二甲四氯水剂150毫升混用，兑水30公斤针对法喷雾。水浆管理同上。 如田间各种杂草共生，可用48％苯达松水剂75－100毫升加20％二甲四氯水剂150毫升混用，采用针对法喷雾。"	"成株    藻体鲜黄绿色，长可达1米以上，由多数圆柱形细胞组成囊状的网，每一网眼多为5～6边形。"	"郭书普.水田常见杂草识别与防治原色图鉴. 合肥:安徽科学技术出版社,2005"	"Hydrodictyon reticulatum(L．)Lag"	"pw00002"	"水网"	"agridata/images/中国农业有害生物数据库/中国水田杂草数据库/水网藻.jpg"
"3"	"一年生水生杂草。以藻体断裂行营养繁殖，或接合生殖。喜生于含有机质丰富的静止小水体，如水田、池塘、沟渠、小水坑，为水田和鱼池中常见杂草，繁殖过量时不但影响水稻生长，还会引起鱼苗死亡。"	"南北各地均有发生。"	"接合藻纲"	"双星藻目"	"双星藻科"	"水绵属"	"普通水绵"	"防除应采取农艺措施和化学除草相结合的方法。 (1)农艺措施主要有：一是建立地平沟畅、保水性好、灌溉自如的水稻生产环境；二是结合种子处理清除杂草的种子，并结合耕翻、整地，消灭土表的杂草种子；三是实行定期的水旱轮作，减少杂草的发生；四是提高播种的质量，一播全苗，以苗压草。 (2)化学除草，目前多数地方采用一次性封杀，就是在播种（催芽）后1－3天内，亩用40％“直播青”可湿性粉剂60克，兑水40－50公斤，均匀喷雾，施药时田板保持湿润。3天后恢复正常灌水和田间管理。通过化除后，如果后期仍有一定量的杂草，可采取针对法进行补除。 如以稗草、千金子为主的田块，在杂草3－5叶期，可用10％千金乳剂50毫升加水30公斤，用针对法进行茎叶喷雾。用药前一天田间必须放干水，药后2天再恢复正常管理。 如以莎草、阔叶杂草为主的田块，在播后30天左右，亩用10％水星可湿性粉剂20克加20％二甲四氯水剂150毫升混用，兑水30公斤针对法喷雾。水浆管理同上。 如田间各种杂草共生，可用48％苯达松水剂75－100毫升加20％二甲四氯水剂150毫升混用，采用针对法喷雾。"	"成株    藻体为不分枝丝状体，手触摸黏滑；细胞圆柱形，细胞横壁平直。"	"郭书普.水田常见杂草识别与防治原色图鉴. 合肥:安徽科学技术出版社,2005"	"Spirogyra  communis (Hass．)Kütz"	"pw00003"		"agridata/images/中国农业有害生物数据库/中国水田杂草数据库/普通水绵.jpg"
"4"	"多年生水草本。适生稻田、水塘或沟渠，为稻田主要杂草。以根茎及孢子繁殖。"	"全国各地均有发生。"	"薄囊蕨纲"	"蘋目"	"蘋科"	"蘋属"	"四叶蘋"	"防除应采取农艺措施和化学除草相结合的方法。 (1)农艺措施主要有：一是建立地平沟畅、保水性好、灌溉自如的水稻生产环境；二是结合种子处理清除杂草的种子，并结合耕翻、整地，消灭土表的杂草种子；三是实行定期的水旱轮作，减少杂草的发生；四是提高播种的质量，一播全苗，以苗压草。 (2)化学除草，目前多数地方采用一次性封杀，就是在播种（催芽）后1－3天内，亩用40％“直播青”可湿性粉剂60克，兑水40－50公斤，均匀喷雾，施药时田板保持湿润。3天后恢复正常灌水和田间管理。通过化除后，如果后期仍有一定量的杂草，可采取针对法进行补除。 如以稗草、千金子为主的田块，在杂草3－5叶期，可用10％千金乳剂50毫升加水30公斤，用针对法进行茎叶喷雾。用药前一天田间必须放干水，药后2天再恢复正常管理。 如以莎草、阔叶杂草为主的田块，在播后30天左右，亩用10％水星可湿性粉剂20克加20％二甲四氯水剂150毫升混用，兑水30公斤针对法喷雾。水浆管理同上。 如田间各种杂草共生，可用48％苯达松水剂75－100毫升加20％二甲四氯水剂150毫升混用，采用针对法喷雾。"	"成株    匍匐根茎细长。叶柄自茎节生出。小叶4片，基部相连，着生于叶柄顶端。小叶倒三角形，先端弧形，全缘。叶脉扇形分叉，网状。叶柄基部生单一或分叉的短柄。"	"郭书普.水田常见杂草识别与防治原色图鉴. 合肥:安徽科学技术出版社,2005"	"Marsilea quadrifolia L．(E)pepper Wort"	"pw00004"	"蘋、田字蘋、夜合草、破铜钱"	"agridata/images/中国农业有害生物数据库/中国水田杂草数据库/四叶蘋.jpg"
"5"	"一年生漂浮水生杂草。秋末冬初产生孢子果，第2年春季萌发。孢子繁殖，或以植株断裂进行营养繁殖。生于池塘、水田、静水溪河。为稻田常见杂草，发生量较少。"	"长江以南、华北、东北、秦岭等地区均有发生。"	"薄囊蕨纲"	"槐叶苹目"	"槐叶苹科"	"槐叶苹属"	"槐叶蘋"	"防除应采取农艺措施和化学除草相结合的方法。 (1)农艺措施主要有：一是建立地平沟畅、保水性好、灌溉自如的水稻生产环境；二是结合种子处理清除杂草的种子，并结合耕翻、整地，消灭土表的杂草种子；三是实行定期的水旱轮作，减少杂草的发生；四是提高播种的质量，一播全苗，以苗压草。 (2)化学除草，目前多数地方采用一次性封杀，就是在播种（催芽）后1－3天内，亩用40％“直播青”可湿性粉剂60克，兑水40－50公斤，均匀喷雾，施药时田板保持湿润。3天后恢复正常灌水和田间管理。通过化除后，如果后期仍有一定量的杂草，可采取针对法进行补除。 如以稗草、千金子为主的田块，在杂草3－5叶期，可用10％千金乳剂50毫升加水30公斤，用针对法进行茎叶喷雾。用药前一天田间必须放干水，药后2天再恢复正常管理。 如以莎草、阔叶杂草为主的田块，在播后30天左右，亩用10％水星可湿性粉剂20克加20％二甲四氯水剂150毫升混用，兑水30公斤针对法喷雾。水浆管理同上。 如田间各种杂草共生，可用48％苯达松水剂75－100毫升加20％二甲四氯水剂150毫升混用，采用针对法喷雾。"	"成株    植株浮生水面；茎细长横走，被褐色茸毛；无根；三叶轮生，呈3列，2列叶漂浮水面，在茎的两侧排成羽状，脉上簇生短粗毛，侧脉间有排列整齐的乳头状突起，上面绿色，下面灰褐色，另1列叶悬垂于水中，裂成须根状。 繁殖器官    孢子果球形或近球形，不开裂，簇生于沉水叶的基部，大孢子果略小而少，内生数个具短柄的大孢子囊，每囊内有l大孢子，小孢子果稍大而多。"	"郭书普.水田常见杂草识别与防治原色图鉴. 合肥:安徽科学技术出版社,2005"	"Salvinia natans(L．)All"	"pw00005"		"agridata/images/中国农业有害生物数据库/中国水田杂草数据库/槐叶蘋.jpg"
"6"	"一年生草本。四季繁茂，秋天产生孢子果。孢子繁殖或营养繁殖。水田、池塘中占优势的浮生植物，常与浮萍、槐叶萍、无根萍等混生，冬季常成惟一的浮生植物。水稻田常见杂草。"	"全国各地均有发生。"	"薄囊蕨纲"	"槐叶苹目"	"满江红科"	"满江红属"	"满江红"	"防除应采取农艺措施和化学除草相结合的方法。 (1)农艺措施主要有：一是建立地平沟畅、保水性好、灌溉自如的水稻生产环境；二是结合种子处理清除杂草的种子，并结合耕翻、整地，消灭土表的杂草种子；三是实行定期的水旱轮作，减少杂草的发生；四是提高播种的质量，一播全苗，以苗压草。 (2)化学除草，目前多数地方采用一次性封杀，就是在播种（催芽）后1－3天内，亩用40％“直播青”可湿性粉剂60克，兑水40－50公斤，均匀喷雾，施药时田板保持湿润。3天后恢复正常灌水和田间管理。通过化除后，如果后期仍有一定量的杂草，可采取针对法进行补除。 如以稗草、千金子为主的田块，在杂草3－5叶期，可用10％千金乳剂50毫升加水30公斤，用针对法进行茎叶喷雾。用药前一天田间必须放干水，药后2天再恢复正常管理。 如以莎草、阔叶杂草为主的田块，在播后30天左右，亩用10％水星可湿性粉剂20克加20％二甲四氯水剂150毫升混用，兑水30公斤针对法喷雾。水浆管理同上。 如田间各种杂草共生，可用48％苯达松水剂75－100毫升加20％二甲四氯水剂150毫升混用，采用针对法喷雾。"	"成株   浮水生小型蕨类，植株卵状三角形，直径约1厘米；根状茎横走、纤细、羽状分枝；须根沉水，有成束的毛状侧根；叶小，长约l毫米，覆瓦状，每叶2裂，上裂片浮水面，广卵形或近长方形，肉质，幼时绿色，秋冬时转为红紫色，下裂片沉水中，透明膜质。"	"郭书普.水田常见杂草识别与防治原色图鉴. 合肥:安徽科学技术出版社,2005"	"Azolla imbricata(Roxb．)Nakai"	"pw00006"	"紫藻、三角藻、红浮萍"	"agridata/images/中国农业有害生物数据库/中国水田杂草数据库/满江红.jpg"
"7"	"多年生草本。生育期5～10个月，花期4～8月份。喜生于阴湿多水的环境，极耐水湿。农田常见杂草，生果园、茶园、路埂等。"	"华北、华东、华南、华中及西南、台湾等地区有发生。"	"双子叶植物纲"	"茜草目"	"三白草科"	"蕺菜属"	"蕺菜"	"防除应采取农艺措施和化学除草相结合的方法。 (1)农艺措施主要有：一是建立地平沟畅、保水性好、灌溉自如的水稻生产环境；二是结合种子处理清除杂草的种子，并结合耕翻、整地，消灭土表的杂草种子；三是实行定期的水旱轮作，减少杂草的发生；四是提高播种的质量，一播全苗，以苗压草。 (2)化学除草，目前多数地方采用一次性封杀，就是在播种（催芽）后1－3天内，亩用40％“直播青”可湿性粉剂60克，兑水40－50公斤，均匀喷雾，施药时田板保持湿润。3天后恢复正常灌水和田间管理。通过化除后，如果后期仍有一定量的杂草，可采取针对法进行补除。 如以稗草、千金子为主的田块，在杂草3－5叶期，可用10％千金乳剂50毫升加水30公斤，用针对法进行茎叶喷雾。用药前一天田间必须放干水，药后2天再恢复正常管理。 如以莎草、阔叶杂草为主的田块，在播后30天左右，亩用10％水星可湿性粉剂20克加20％二甲四氯水剂150毫升混用，兑水30公斤针对法喷雾。水浆管理同上。 如田间各种杂草共生，可用48％苯达松水剂75－100毫升加20％二甲四氯水剂150毫升混用，采用针对法喷雾。"	"幼苗    下胚轴短，叶阔卵形，无叶脉，有短柄。初生叶心脏形，全缘，表面密布灰白色细腺点，有主脉1条，有叶柄。有鱼腥味，光滑无毛。 成株    株高15～50厘米，有鱼腥味；茎下部伏地，节上生有须根，上部直立，无毛。叶互生，心形，全缘，背面淡绿或紫红色。 花和子实    穗状花序生于枝端与叶对生，基部有白色花瓣状苞片4枚；花小，两性，无花被；雄蕊3个，花丝下部与子房合生。蒴果顶端分裂。"	"郭书普.水田常见杂草识别与防治原色图鉴. 合肥:安徽科学技术出版社,2005"	"Houttuynia cordata Thunb．-Polypara cordata(Thunb．)Bueck"	"pw00007"	"鱼腥草、狗蝇草、臭菜"	"agridata/images/中国农业有害生物数据库/中国水田杂草数据库/蕺菜.jpg"
"8"	"常生于水中也能生于陆地的多年生草本。花果期5～8月份。种子及根状茎繁殖。生于湖泊、池塘的静水或河流浅水中，也常生于沟边或田旁，有时也生于岸边的陆地上。对大豆、水稻等农作物有较重危害。"	"全国各地均有发生"	"双子叶植物纲"	"蓼目"	"蓼科"	"蓼属"	"两栖蓼"	"防除应采取农艺措施和化学除草相结合的方法。 (1)农艺措施主要有：一是建立地平沟畅、保水性好、灌溉自如的水稻生产环境；二是结合种子处理清除杂草的种子，并结合耕翻、整地，消灭土表的杂草种子；三是实行定期的水旱轮作，减少杂草的发生；四是提高播种的质量，一播全苗，以苗压草。 (2)化学除草，目前多数地方采用一次性封杀，就是在播种（催芽）后1－3天内，亩用40％“直播青”可湿性粉剂60克，兑水40－50公斤，均匀喷雾，施药时田板保持湿润。3天后恢复正常灌水和田间管理。通过化除后，如果后期仍有一定量的杂草，可采取针对法进行补除。 如以稗草、千金子为主的田块，在杂草3－5叶期，可用10％千金乳剂50毫升加水30公斤，用针对法进行茎叶喷雾。用药前一天田间必须放干水，药后2天再恢复正常管理。 如以莎草、阔叶杂草为主的田块，在播后30天左右，亩用10％水星可湿性粉剂20克加20％二甲四氯水剂150毫升混用，兑水30公斤针对法喷雾。水浆管理同上。 如田间各种杂草共生，可用48％苯达松水剂75－100毫升加20％二甲四氯水剂150毫升混用，采用针对法喷雾。"	"成株    生于水中的茎横走，无毛，节上生不定根。叶浮于水面，有长柄，无毛，有光泽，叶片长椭圆形或披针形，先端钝或微尖，基部心形；生于岸边的茎直立，不分枝，叶有短柄，叶片宽披针形，长6—14厘米，先端急尖，基部圆形，密生短硬毛。 花和子实    花序穗状，顶生或腋生；苞片三角形；花淡红色或白色，花被5深裂，雄蕊5个，花柱2裂，伸出于花被外。瘦果近圆形，两面凸起，黑色，有光泽。"	"郭书普.水田常见杂草识别与防治原色图鉴. 合肥:安徽科学技术出版社,2005"	"Polygonum amphibium L．-P．amphibium L．var. terrestre  Leyss"	"pw00008"		"agridata/images/中国农业有害生物数据库/中国水田杂草数据库/两栖蓼.jpg"
"9"	"一年生草本。花果期8～11月份。种子繁殖。常生水边和路旁湿地。为常见的夏收作物田杂草。"	"全国各地均有发生。"	"双子叶植物纲"	"蓼目"	"蓼科"	"蓼属"	"水蓼"	"防除应采取农艺措施和化学除草相结合的方法。 (1)农艺措施主要有：一是建立地平沟畅、保水性好、灌溉自如的水稻生产环境；二是结合种子处理清除杂草的种子，并结合耕翻、整地，消灭土表的杂草种子；三是实行定期的水旱轮作，减少杂草的发生；四是提高播种的质量，一播全苗，以苗压草。 (2)化学除草，目前多数地方采用一次性封杀，就是在播种（催芽）后1－3天内，亩用40％“直播青”可湿性粉剂60克，兑水40－50公斤，均匀喷雾，施药时田板保持湿润。3天后恢复正常灌水和田间管理。通过化除后，如果后期仍有一定量的杂草，可采取针对法进行补除。 如以稗草、千金子为主的田块，在杂草3－5叶期，可用10％千金乳剂50毫升加水30公斤，用针对法进行茎叶喷雾。用药前一天田间必须放干水，药后2天再恢复正常管理。 如以莎草、阔叶杂草为主的田块，在播后30天左右，亩用10％水星可湿性粉剂20克加20％二甲四氯水剂150毫升混用，兑水30公斤针对法喷雾。水浆管理同上。 如田间各种杂草共生，可用48％苯达松水剂75－100毫升加20％二甲四氯水剂150毫升混用，采用针对法喷雾。"	"幼苗   上、下胚轴均发达，红色。子叶阔卵形，先端钝圆，有短柄。初生叶倒卵形，有l条红色中脉，有叶柄，托叶上有短睫毛。后生叶披针形。全株光滑无毛。 成株   茎高20～60厘米，直立或倾斜，不分枝，或基部分枝，无毛，下部节上常生不定根。叶片披针形，两端渐尖，两面均有透明腺点，无毛或有时沿主脉被稀疏硬伏毛，叶缘具缘毛，叶柄短；托叶有短睫毛。 花和子实   总状花序顶生或腑生，顶生时常为圆锥状，常下垂，下部间断；苞片斜漏斗状，有腺点，先端斜形；花被常5深裂，裂片倒卵形或长圆形。密被腺点；花柱2—3枚，基部合生，柱头头状。瘦果卵三棱形，顶端尖，暗褐色，有小点，稍有光泽。"	"郭书普.水田常见杂草识别与防治原色图鉴. 合肥:安徽科学技术出版社,2005"	"Polygonum hydropiper  L．"	"pw00009"	"辣蓼"	"agridata/images/中国农业有害生物数据库/中国水田杂草数据库/水蓼.jpg"
"10"	"多年生草本。根茎繁殖。3～4月根茎萌芽出土；匍匐茎发达，节处生根，茎的节段亦可萌生成株。花期5～10月份，通常花而不实。在水质肥沃的沟塘，生长旺盛。是低洼潮湿的秋熟旱作田中的恶性杂草。"	"全国各地均有发生"	"双子叶植物纲"	"石竹目"	"苋科"	"莲子草属"	"空心莲子草"	"防除应采取农艺措施和化学除草相结合的方法。 (1)农艺措施主要有：一是建立地平沟畅、保水性好、灌溉自如的水稻生产环境；二是结合种子处理清除杂草的种子，并结合耕翻、整地，消灭土表的杂草种子；三是实行定期的水旱轮作，减少杂草的发生；四是提高播种的质量，一播全苗，以苗压草。 (2)化学除草，目前多数地方采用一次性封杀，就是在播种（催芽）后1－3天内，亩用40％“直播青”可湿性粉剂60克，兑水40－50公斤，均匀喷雾，施药时田板保持湿润。3天后恢复正常灌水和田间管理。通过化除后，如果后期仍有一定量的杂草，可采取针对法进行补除。 如以稗草、千金子为主的田块，在杂草3－5叶期，可用10％千金乳剂50毫升加水30公斤，用针对法进行茎叶喷雾。用药前一天田间必须放干水，药后2天再恢复正常管理。 如以莎草、阔叶杂草为主的田块，在播后30天左右，亩用10％水星可湿性粉剂20克加20％二甲四氯水剂150毫升混用，兑水30公斤针对法喷雾。水浆管理同上。 如田间各种杂草共生，可用48％苯达松水剂75－100毫升加20％二甲四氯水剂150毫升混用，采用针对法喷雾。"	"幼苗    下胚轴显著；子叶长椭圆形，有短柄；上胚轴和茎均被2行柔毛，初生叶和成长叶相似且较小。 成株     茎基部匍匐，常呈粉红色，上部斜升或全株平卧，着地生根，茎中空，髓腔大，节膨大；茎和分枝有细棱。叶对生，叶柄短；叶片长圆形、长圆状倒卵形或倒卵状披针形，先端急尖或圆钝，全缘，两面无毛或上面有伏毛，边缘有睫毛。 花和子实      头状花序单生于叶腋，由10～20多朵无柄的白色小花集生组成，有总花梗；苞片和小苞片干膜质，宿存；花被5片，披针形，背部两侧压扁，膜质，白色有光泽；雄蕊5枚，先端分裂如丝，花丝基部和退化雄蕊之基部连成短管。胞果扁平，边缘具翅，略增厚，透镜状；种子透镜状，种皮革质，胚环形。"	"郭书普.水田常见杂草识别与防治原色图鉴. 合肥:安徽科学技术出版社,2005"	"Alternanthera philoxeroides(Mart．)Griseb"	"pw00010"	"水花生、革命草、水蕹菜、空心苋"	"agridata/images/中国农业有害生物数据库/中国水田杂草数据库/空心莲子草.jpg"
