"id"	"天敌"	"地理分布"	"形态特征"	"中文名"	"纲"	"目"	"科"	"主要危害作物"	"生物学特性及发生消长规律"	"相关文献"	"拉丁学名"	"记录号"	"防治方法"	"图片"
"1"	"寄生蜂、稻螟赤眼蜂、黑卵蜂、啮小蜂、蜘蛛、青蛙、白僵菌等"	"分布在山东烟台以南各稻区"	"雌成虫体长10～13mm，翅展23～28mm，浅黄色，前翅近三角形，黄白色，中央有1明显黑点，后翅白色，腹部末端具1簇棕鳞毛，用来覆盖卵块。雄蛾体长8～9mm，翅展18～22mm，前翅浅灰褐色，中央黑点不明显，从翅尖至后缘具暗褐色斜纹1条，外缘生小黑点7～9个。后翅色白。卵扁椭圆形，由数十粒至百余粒叠成卵块，长5～7mm，宽3mm左右，似半粒发霉的黄豆，卵块由3层组成，边缘1～2层，表面覆有棕色鳞毛。末龄幼虫体长21mm，头浅黄褐色，胸、腹部黄绿色，背面中央有半透明的背线，腹足趾钩单序全环，椭圆形。蛹长12～15mm，圆筒形，黄色，外包白薄茧。近羽化时雌性为金黄色，雄性为银白色，雌蛹腹末圆钝，后足伸达第5腹节或略长，雄蛹腹末较瘦，后足伸达第7～8腹节。在测报上，据蛹的色泽从浅到深分为7级。"	"三化螟"	"昆虫纲"	"鳞翅目"	"螟蛾科"	"水稻,只为害水稻或野生稻"	"河南年生2～3代，安徽、浙江、江苏、云南3代，高温年份可生4代，广东5代，台湾6～7代，南亚热带10～12代。以老熟幼虫在稻茬内越冬。翌春气温高于16℃，越冬幼虫陆续化蛹、羽化。成虫白天潜伏在稻株下部，黄昏后飞出活动，有趋光性。羽化后1～2天即交尾，把卵产在生长旺盛的距叶尖6～10cm的稻叶叶面或叶背，分蘖盛期和孕穗末期产卵较多，拔节期、齐穗期、灌浆期较少。每雌产2～3个卵块。初孵幼虫称作“蚁螟”，蚁螟在分蘖期爬至叶尖后吐丝下垂，随风飘荡到邻近的稻株上，在距水面2cm左右的稻茎下部咬孔钻入叶鞘，从孵化到钻入历时30～50分钟，后蛀食稻茎形成枯心苗。在孕穗期或即将抽穗的稻田，蚁螟在包裹稻穗的叶鞘上咬孔或从叶鞘破口处侵入蛀害稻花，经4～5天，幼虫达到2龄，稻穗已抽出，开始转移到穗颈处咬孔向下蛀入，再经3～5天把茎节蛀穿或把稻穗咬断，形成白穗。由同一卵块上孵出的蚁螟为害附近的稻株，造成的枯心或白穗常成团出现，致田间出现“枯心团”或“白穗群”。老熟幼虫转移到健株上在茎内或茎壁咬一羽化孔，仅留一层表皮，后化蛹。羽化后破膜钻出。在热带可终年繁殖，但遇有旱季湿度不够时，末龄幼虫常蛰伏在稻根部，在温带不能终年繁殖，在低温季节则以末龄幼虫越冬。各虫态一般历期：卵7～16天，幼虫23～35天，蛹7～23天。三化螟为害稻株一般一株内只有1头幼虫，转株1～3次，幼虫共5龄。生产上单、双季稻混栽或中稻与一季稻混栽三化螟为害重。栽培上基肥充足，追肥及时，稻株生长健壮，抽穗迅速整齐的稻田受害轻，反之追肥过晚或偏施氮肥，稻株徒长或贪青晚熟田受害重。每年春季越冬幼虫化蛹前几天阴雨连绵或气温高于40℃，幼虫易死亡不利其发生。但此间气温在24～29℃，相对湿度达90％以上利于该虫孵化和侵入。"	"吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999"	"Tryporyza incertulas(Walker)"	"rp00001"	"(1)预测预报。据各种稻田化蛹率、化蛹日期、蛹历期、交配产卵历期、卵历期，预测发蛾始盛期、高峰期、盛末期及蚁螟孵化的始盛期、高峰期和盛末期指导防治。(2)农业防治①适当调整水稻布局，避免混栽，减少桥梁田。②选用生长期适中的品种。⑧及时春耕沤田，处理好稻茬，减少越冬虫口。④选择无螟害或螟害轻的稻田或旱地作为绿肥留种田，生产上留种绿肥田因春耕晚，绝大部分幼虫在翻耕前已化蛹、羽化，生产上要注意杜绝虫源。⑤对冬作田、绿肥田灌跑马水，不仅利于作物生长，还能杀死大部分越冬螟虫。⑥及时春耕灌水，淹没稻茬7～10天，可淹死越冬幼虫和蛹。⑦栽培治螟。调节栽秧期，采用抛秧法，使易遭蚁螟为害的生育阶段与蚁螟盛孵期错开，可避免或减轻受害。(3)保护利用天敌。(4)防治枯心在水稻分蘖期与蚁螟盛孵期吻合日期短于10天的稻田，掌握在蚁螟孵化高峰前1～2天，施用3％呋喃丹颗粒剂，每667m 2 用1．5～2．5kg，拌细土15kg撒施后，田间保持3～5cm浅水层4～5天。当吻合日期超过10天时，则应在孵化始盛期施1次药，隔6～7天再施1次，方法同上。(5)防治白穗在卵的盛孵期和破口吐穗期，采用早破口早用药，晚破口迟用药的原则，在破口露穗达5％～10％时，施第1次药，每667m 2 用25％杀虫双水剂150～200ml或50％杀螟松乳油100ml、40％氧化乐果加50％杀螟松乳油各50ml，拌湿润细土15kg撒入田间，也可用上述杀虫剂对水400kg泼浇或对水60～75kg喷雾。如三化螟发生量大，蚁螟的孵化期长或寄主孕穗、抽穗期长，应在第一次药后隔5天再施1～2次，方法同上。"	"agridata/images/中国农业有害生物数据库/中国水稻害虫数据库/三化螟.jpg"
"2"	"主要天敌有卵寄生蜂等。"	"分布在我国南方、北方各稻区。"	"成蛾雌体长14～16．5mm，翅展23～26mm，触角丝状，前翅灰黄色，近长方形，沿外缘具小黑点7个；后翅白色，腹部灰白色纺锤形。雄蛾体长13～15mm，翅展21～23mm，前翅中央具黑斑1个，下面生小黑点3个，腹部瘦圆筒形。卵长1．2mm，扁椭圆形，卵块由数十至200粒排成鱼鳞状，长13～16mm，宽3mm，乳白色至黄白色或灰黄褐色。幼虫6龄左右。末龄幼虫体长20～30mm，头部除上颚棕色外-，余红棕色，全体淡褐色，具红棕色条纹。蛹长10～13mm，米黄色至浅黄褐色或褐色。"	"二化螟"	"昆虫纲"	"鳞翅目"	"螟蛾科"	"水稻、玉米、甘蔗、粟、蚕豆、茭白、高粱、油菜、小麦、紫云英等"	"年均温低于8℃地区年生1代或不完全2代，8～16℃地区2代，16～20℃地区3～4代，20～24℃地区4～5代，高于24℃地区5～6代。以4龄以上幼虫在稻桩、稻草中或其他寄主的茎秆内、杂草丛、土缝等处越冬。气温高于11℃时开始化蛹，15～16℃时成虫羽化。低于4龄期幼虫多在翌年土温高于7℃时钻进土面稻桩及小麦、大麦、蚕豆、油菜等冬季作物的茎秆中；均温10～15℃进入转移盛期，转移到冬季作物茎秆中以后继续取食内壁，发育到老熟时，在寄主内壁上咬1羽化孔，仅留表皮，羽化后破膜钻出。有趋光性，喜欢把卵产在幼苗叶片上，圆秆拔节后产在叶宽、秆粗且生长嫩绿的叶鞘上；初孵幼虫先钻入叶鞘处群集为害，造成枯鞘，2～3龄后钻入茎秆，3龄后转株为害。该虫生活力强，食性杂，耐干旱、潮湿和低温条件。"	"吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999"	"Chilo suppressalis(Walker)"	"rp00002"	"(1)做好发生期、发生量和发生程度预测。(2)农业防治合理安排冬作物，晚熟小麦、大麦、油菜、留种绿肥要注意安排在虫源少的晚稻田中，可减少越冬的基数。对稻草中含虫多的要及早处理，也可把基部10～15cm先切除烧毁。灌水杀蛹，即在二化螟初蛹期采用烤、搁田或灌浅水，以降低化蛹的部位，进入化蛹高峰期时，突然灌深水10cm以上，经3～4天，大部分老熟幼虫和蛹会被灌死。(3)选育、种植耐水稻螟虫的品种，根据种群动态模型用药防治。在二化螟一代多发型地区，要做到狠治一代；在1～3代为害重地区，采取狠治一代，挑治2代，巧治3代。枯鞘丛率5％～8％或早稻每667m 2 有中心为害株100株或丛害率1％～1．5％或晚稻为害团高于100个时，每667m 2 应马上用80％杀虫单粉剂35～40g或25％杀虫双水剂200～250ml、50％杀螟松乳油50～100ml、90％晶体敌百虫100～200g对水75～100kg喷雾、喷洒1．8％农家乐乳剂(阿维菌素B1)3000～4000倍液、42％特力克乳油2000倍液。也可选用5％锐劲特胶悬剂30ml或20％三唑磷乳油100ml，对水50～75kg喷雾或对水200～250kg泼浇。也可对水400kg进行大水量泼浇，此外还可用25％杀虫双水剂200～250ml或5％杀虫双颗粒剂1～1．5kg拌湿润细干土20kg制成药土，撒施在稻苗上，保持3～5cm浅水层持续3～5天可提高防效。此外把杀虫双制成大粒剂，改过去常规喷雾为浸秧田，采用带药漂浮载体防治法能提高防效。杀虫双防治二化螟还可兼治大螟、三化螟、稻纵卷叶螟等，对大龄幼虫杀伤力高、施药适期弹性大，但要注意防止家蚕中毒。"	"agridata/images/中国农业有害生物数据库/中国水稻害虫数据库/二化螟.jpg"
"3"	"主要天敌有稻螟赤眼蜂，绒茧蜂等近百种。"	"分布北起黑龙江、内蒙古，南至台湾、海南的全国各稻区。"	"雌成蛾体长8～9mm，翅展17mm，体、翅黄褐色，前翅前缘暗褐色，外缘具暗褐色宽带，内横线、外横线斜贯翅面，中横线短，后翅也有2条横线，内横线短，不达后缘。雄蛾体稍小，色泽较鲜艳，前、后翅斑纹与雌蛾相近，但前翅前缘中央具1黑色眼状纹。卵长1mm，近椭圆形，扁平，中部稍隆起，表面具细网纹，初白色，后渐变浅黄色。幼虫5～7龄，多数5龄。末龄幼虫体长14～19mm，头褐色，体黄绿色至绿色，老熟时为桔红色，中、后胸背面具小黑圈8个，前排6个，后排2个。蛹长7～10mm，圆筒形，末端尖削，具钩刺8个，初浅黄色，后变红棕色至褐色。"	"稻纵卷叶螟"	"昆虫纲"	"鳞翅目"	"螟蛾科"	"主要为害水稻，有时为害小麦、甘蔗、粟、禾本科杂草。"	"东北年生1～2代，长江中下游至南岭以北5～6代，海南南部10～11代，南岭以南以蛹和幼虫越冬，南岭以北有零星蛹越冬。越冬场所为再生稻、稻桩及湿润地段的李氏禾、双穗雀麦等禾本科杂草。该虫有远距离迁飞习性，在我国北纬30度以北地区，任何虫态都不能越冬。每年春季，成虫随季风由南向北而来，随气流下沉和雨水拖带降落下来，成为非越冬地区的初始虫源。秋季，成虫随季风回迁到南方进行繁殖，以幼虫和蛹越冬。如在安徽该虫也不能越冬，每年5～7月成虫从南方大量迁来成为初始虫源，在稻田内发生4～5代，各代幼虫为害盛期：一代6月上中旬；二代7月上中旬；三代8月上中旬；四代在9月上中旬；五代在10月中旬。生产上1、5代虫量少，一般以2、3代发生为害重。成虫白天在稻田里栖息，遇惊扰即飞起，但飞不远，夜晚活动、交配，把卵产在稻叶的正面或背面，单粒居多，少数2～3粒串生在一起，成虫有趋光性和趋向嫩绿稻田产卵的习性，喜欢吸食蚜虫分泌的蜜露和花蜜。卵期3～6天，幼虫期15～26天，共5龄，一龄幼虫不结苞；二龄时爬至叶尖处，吐丝缀卷叶尖或近叶尖的叶缘，即“卷尖期”；三龄幼虫纵卷叶片，形成明显的束腰状虫苞，即“束叶期”；3龄后食量增加，虫苞膨大，进入4～5龄频繁转苞为害，被害虫苞呈枯白色，整个稻田白叶累累。幼虫活泼，剥开虫苞查虫时，迅速向后退缩或翻落地面。老熟幼虫多爬至稻丛基部，在无效分蘖的小叶或枯黄叶片上吐丝结成紧密的小苞，在苞内化蛹，蛹多在叶鞘处或位于株间或地表枯叶薄茧中。蛹期5～8天，雌蛾产卵前期3～12天，雌蛾寿命5～17天，雄蛾4～16天。该虫喜温暖、高湿。气温22～2 8℃,相对湿度高于80％利于成虫卵巢发育、交配、产卵和卵的孵化及初孵幼虫的存活。为此，6～9月雨日多，湿度大利其发生。田间灌水过深，施氮肥偏晚或过多，引起水稻徒长，为害重。"	"吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999"	"Cnaphalocrocis medinalis Guenée"	"rp00003"	"(1)合理施肥，加强田间管理促进水稻生长健壮，以减轻受害。(2)人工释放赤眼蜂。在稻纵卷叶螟产卵始盛期至高峰期，分期分批放蜂，每667m 2 每次放3～4万头，隔3天1次，连续放蜂3次。(3)喷洒杀螟杆菌、青虫菌，每667m 2 喷每克菌粉含活孢子量100亿的菌粉150～200g，对水60～75kg，配成300～400倍液喷雾。为了提高生物防治效果，可加入药液量0．1％的洗衣粉作湿润剂。此外如能加入药液量1／5的杀螟松效果更好。(4)掌握在幼虫2、3龄盛期或百丛有新束叶苞15个以上时，每667m 2 喷洒80％杀虫单粉剂35～40g或42％特力克乳油60ml或90％晶体敌百虫600倍液，也可泼浇50％杀螟松乳油100ml对水400kg。提倡施用5％锐劲特胶悬剂，每667m 2 用药20ml对水喷洒效果优异。每667m 2 用10％吡虫啉可湿性粉剂10～30g，对水60kg，1～30天防效90％以上，持效期30天。此外，也可于2～3龄幼虫高峰期，用10％吡虫啉10～20g／667m 2 与80％杀虫单40g／667m 2 混配，主防稻纵卷叶螟，兼治稻飞虱。"	"agridata/images/中国农业有害生物数据库/中国水稻害虫数据库/稻纵卷叶螟.jpg"
"4"		"分布在陕西、河南以南稻区。"	"成虫雌蛾体长15mm，翅展约30mm，头部、胸部浅黄褐色，腹部浅黄色至灰白色；触角丝状，前翅近长方形，浅灰褐色，中间具小黑点4个排成四角形。雄蛾体长约12mm，翅展27mm，触角栉齿状。卵扁圆形，初白色后变灰黄色，表面具细纵纹和横线，聚生或散生，常排成2～3行。末龄幼虫体长约30mm，粗，头红褐色至暗褐色，共5～7龄。蛹长13～18mm，粗壮，红褐色，腹部具灰白色粉状物，臀棘有3根钩棘。"	"大螟"	"昆虫纲"	"鳞翅目"	"夜蛾科"	"水稻、玉米、高粱、麦、粟、甘蔗、芦苇、油菜、茭白、稗等。"	"云、贵高原年生2～3代，江苏、浙江3～4代，江西、湖南、湖北、四川年生4代，福建、广西及云南开远4～5代，广东南部、台湾6～8代。在温带以幼虫在茭白、水稻等作物茎秆或根茬内越冬，翌春老熟幼虫在气温高于10℃时开始化蛹，15℃时羽化，越冬代成虫把卵产在春玉米或田边看麦娘、李氏禾等杂草叶鞘内侧，幼虫孵化后再转移到邻近边行水稻上蛀入叶鞘内取食，蛀入处可见红褐色锈斑块。3龄前常十几头群集在一起，把叶鞘内层吃光，后钻进心部造成枯心。3龄后分散，为害田边2～3墩稻苗，蛀孔距水面10～30cm，1老熟时化蛹在叶鞘处。成虫飞翔力弱，常栖息在株间，每雌可产卵240粒，卵历期一代为12天，2、3代5～6天；幼虫期一代约30天，二代28天，三代32天；蛹期10～15天。 苏南越冬代发生在4月中旬至6月上旬，第1代6月下旬至7月下旬，二代7月下旬至10月中旬；宁波一带越冬代在4月上旬至5月下旬发生，第1代6月中旬至7月下旬，二代8月上旬至下旬，三代9月中旬至10月中旬；长沙、武汉越冬代发生在4月上旬至5月中旬；江浙一带第一代幼虫于5月中下旬盛发，主要为害茭白，7月中下旬第二代幼虫期和8月下旬第三代幼虫主要为害水稻，对茭白为害轻。茭白与水稻插花种植地区，该虫在两寄主间转移为害受害重。浙北、苏南单季稻茭白区，越冬代羽化后尚未栽植水稻，则集中为害茭白，尤其是田边受害重。"	"吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999"	"Sesamia inferens(Walker)"	"rp00004"	"(1)对第一代进行测报，通过查上一代化蛹进度，预测成虫发生高峰期和第一代幼虫孵化高峰期，报出防治适期。(2)有茭白的地区冬季或早春齐泥割除茭白残株，铲除田边杂草，消灭越冬螟虫。(3)根据大螟趋性，早栽早发的早稻、杂交稻、以及大螟产卵期正处在孕穗至抽穗或植株高大的稻田是化防之重点。防治策略狠治一代，重点防治稻田边行。生产上当枯鞘率达5％或始见枯心苗为害状时，大部分幼虫处在1～2龄阶段，及时喷洒18％杀虫双水剂，每667m 2 施药250ml，对水50～75kg或90％杀螟丹可溶性粉剂150～200g或50％杀螟丹乳油100ml对水喷雾，也可用90％晶体敌百虫100g加40％乐果乳油50ml对水喷雾。虫龄大于3龄时，每667m 2 可用50％磷胺乳油150ml对水补治。"	"agridata/images/中国农业有害生物数据库/中国水稻害虫数据库/大螟.jpg"
"5"		"分布北起辽宁，南至海南、广东、广西、云南。四川密度最大。"	"成虫体长6～7mm，翅展14～15mm，前、后翅黄褐色且有褐色宽带。胸部较暗，腹部后缘白色，末节具黑点。前翅黄褐色，具横纹3条，外横线与外缘褐带相连，前缘也有褐色纵带，后翅有灰黑色横线2条。卵浅黄色，扁平，椭圆形，长约lmm。末龄幼虫体长14～18mm，头小，体细长，全体略呈念珠状，黄绿色，两端略带橙黄色。蛹长6～8mm，黄褐色。该虫成虫较稻纵卷叶螟稍小，前翅3条横线均达翅缘。卵中央不隆起，稍凹陷。4～5龄幼虫全体略呈连珠状，色黄绿。蛹腹部各节背面光滑，无皱纹，无刺毛和突起。别于稻纵卷叶螟。"	"显纹纵卷叶螟"	"昆虫纲"	"鳞翅目"	"螟蛾科"	"水稻、陆稻。"	"显纹纵卷叶螟广西年生3代，四川南部4～5代。以3～4龄幼虫在发生地的小麦田、谷子田或绿肥田、休闲田的稻桩叶鞘外侧和秆内、再生稻苗及沟边、塘边游草的卷苞里越冬，翌年4月底开始化蛹。5～6月第一代成虫出现，7月2代成虫羽化，8～9月进入3代成虫发生期。成虫日伏夜出，有强趋光性。喜把卵产在稻叶背面，每叶1～10多粒，第三代幼虫为害重。其他习性同稻纵卷叶螟。"	"吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999"	"Susumia exigua(Butler)"	"rp00005"	"同稻纵卷叶螟。"	"agridata/images/中国农业有害生物数据库/中国水稻害虫数据库/显纹纵卷叶螟.jpg"
"6"		"国内分布北限为黄河以南，南至广东、广西、云南，东临滨海，西达四川。"	"成虫雌蛾体长l0mm左右，翅展20～23mm。前翅黄褐色，前缘褐色，从顶角到后缘具1褐色斜纹，翅中央具棕褐色小点3个，排列成等边三角形，外缘具棕褐色小点7个，缘毛浅黄色。后翅银灰色。卵乳白色至青黑色。卵块为长椭圆形，覆盖灰黄色鳞毛匀称，无杂色。末龄幼虫体长15～20mm，头深褐色，胸部、腹部主要是绿色，从腹部第2节后渐渐转黄。蛹长11～13mm，初黄绿色，后变浅黄色，羽化前变成黄褐色。茧白色。"	"褐边螟"	"昆虫纲"	"鳞翅目"	"螟蛾科"	"水稻、稗、鸭舌草、荆三棱等。"	"发生代数、发生期与三化螟相似，以末龄幼虫在寄主残留株或背风向阳的沟边杂草上越冬。卵成块产在稻叶上，初孵幼虫喜爬至叶尖处吐丝下坠，借风扩散，从茎上钻孔侵入。水稻孕穗或抽穗时，则从剑叶叶鞘空隙处向下钻入茎秆的第1节，爬至白色幼嫩组织处蛀害。有的转株为害，先把近水面的稻茎咬断后吐丝封口，咬断茎的另一端则形成囊状物，幼虫隐藏在其中浮在水面上，碰到新稻株后，爬至稻茎上向内蛀食，钻入新株后又吐丝遮住蛀孔。该虫喜在湿润的环境中生存，喜在旱秧田中为害，转株为害现象明显。"	"吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999"	"Catagela adjurella Walker"	"rp00006"	"参见水稻三化螟。"	"agridata/images/中国农业有害生物数据库/中国水稻害虫数据库/褐边螟.jpg"
"7"		"分布在中国南方稻区。台湾、福建、海南、广东、广西、云南、四川均较常见。江苏、浙江也有发生。"	"雄蛾体长6．5～8．5mm，翅展18～23mm，触角略呈锯齿状。前翅黄褐色，布有暗褐色点，中央具隆起的有金属光泽的4个深褐色斑块，外缘具小黑点7个。后翅浅黄褐色，缘毛白色。雌蛾体长9．2～11．8mm，翅展23～28mm，触角丝状。前翅色与雄蛾相近，斑纹较雄蛾色浅但粗大，后翅雌雄相似。卵扁椭圆形，白色至灰黄色，卵块成行排列，1～3行呈鱼鳞状。末龄幼虫体长16～25mm，头部暗红色至黑褐色，体浅黄白色，背面具褐色纵线5条，最外侧纵线从气门上方通过。台湾稻螟幼虫5～7龄。幼虫腹足趾钩双序全环，外方趾钩稍短，但与内方同密，别于二化螟。蛹长9～15mm，纺锤形，褐色，与二化螟相近，但额中央凹下，两侧呈角状突出，5～7腹节背面近前缘处各具1横列齿状小突起。背面有5条褐色纵线。"	"台湾稻螟"	"昆虫纲"	"鳞翅目"	"螟蛾科"	"水稻、甘蔗、高粱、玉米、粟等。"	"我国南方年生3～6代，多以幼虫在稻茬或稻草中越冬。广东越冬代发蛾期与二化螟相近，以后各代早于二化螟，3月中旬进入盛发期。成虫有趋光性，喜在浓绿的稻苗上产卵，每雌产卵4～6块，每卵块有卵30多粒，个别高达190粒。初孵幼虫吐丝借风飘散，在叶鞘内为害的幼虫老熟后爬至最外层叶鞘内吐丝结茧化蛹，已钻入稻茎的幼虫则迁至稻株近水面6～10cm处，把稻茎的内壁咬一环状羽化孔，仅留一层薄膜，然后化蛹在茎内，成虫羽化后破膜而出。"	"吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999"	"Chilo auricilius Dudgeno异名Chilotraea auricilia(Dudgeon)"	"rp00007"	"同水稻二化螟。"	"agridata/images/中国农业有害生物数据库/中国水稻害虫数据库/台湾稻螟.jpg"
"8"			"成虫体长16～20mm，翅展40～48mm。体褐色，腹部背面中央有1条黑色纵带，各节间黑色。翅的外缘有波状凹缺，正面黄褐色至暗褐色；反面灰黄褐色，并杂有许多黄褐色短横纹。前翅翅尖，后方第一中脉终止处显著突出；正面外缘与中室间、第二中脉上下方各有1个横向椭圆形白心黑斑，黑斑四周并有桔红色或桔黄色晕；反面有3个圆斑，一个较大，另两个较小，在近翅尖处；这三个斑均为白心，环以黑色、黄白色、黄褐色三层同心圈；在较大圆斑上下还各有1黄白色斑点；三个圆斑内方有外、中、内3条褐色横带，均不达后缘，中横带尤短，仅至中部。后翅第三中脉终止处显著突出，正面外缘与中室间、第一肘脉上下方各有1近圆形白心黑斑，下斑较大；反面近中部有1条横贯全翅的褐色弧形带纹，带纹外方有5个与前翅反面同色的同形斑纹，其中以近翅尖斑及近臀角第二斑为最大；另在第一中脉与第二中脉间还有1个黑褐色斑点。翅正面黑斑中心白斑小或不明显。前足退化，小。卵球形，直径约0．9mm，淡黄色，表面有微细网纹。末龄幼虫体长32～40mm，近纺锤形。头大，灰黄色，有1对鲜红色长角状突起，形似龙头；突起基本黑色且有皱纹。胸腹部鲜绿色，背线浓绿色，两侧具3～4条不明显的纵纹；各节多横皱，在皱面有横排的深绿色小颗粒。腹部末端有1对后伸的尾角。蛹长15～17mm。初绿色，后渐变灰绿至褐色。腹部背面弓起，似驼背。"	"稻褐眼蝶"	"昆虫纲"	"鳞翅目"	"眼蝶科"	"稻、麦、甘蔗、粟及其他禾本科植物。"	"稻褐眼蝶的生活年史尚未搞清。成虫于上午羽化，不很活泼，畏强光，白天多隐蔽在稻丛、竹林、树荫等荫蔽处，早晨、傍晚外出活动，交尾也多在此时进行。卵散产，多产于稻叶上。老熟后即吐丝将尾部固定于叶上，然后卷曲体躯，倒悬脱皮化蛹。一般在山林、竹园、房屋边的稻田受害较重。"	"吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999"	"Melanitis leda Linnaeus"	"rp00008"	"参见稻眼蝶。"	"agridata/images/中国农业有害生物数据库/中国水稻害虫数据库/稻褐眼蝶.jpg"
"9"	"有稻螟赤眼蜂、拟澳州赤眼蜂、螟黑纹茧蜂等。"	"分布我国东半部稻区。"	"成虫体长6～10mm，翅展16～24mm。雄蛾体黄褐色，前翅深黄色，上生两条近平行的紫红色斜带，后翅暗褐色。雌蛾体黄色，前翅黄褐色，具断续的紫红斜带2条，后翅浅黄色。越冬成虫体、翅颜色及斜带色较深。卵半球形，紫红色或暗紫色，表面具方格形刻纹。末龄幼虫体长18～22mm，绿色，背线、亚背线色浅，气门线浅黄色，第1对腹足乳突状，第2对腹足短小，行走时拱起来。蛹褐色，长7～10mm，近羽化时呈现金黄色光泽。"	"稻螟蛉"	"昆虫纲"	"鳞翅目"	"夜蛾科"	"水稻、高粱、玉米、粟、陆稻、甘蔗、野黍、茭白、稗草、李氏禾等。"	"年生3～6代，以蛹在稻丛或杂草苞叶中或叶鞘间越冬。江西越冬代成虫于翌年4月中旬～5月中下旬发生，第一代5月下旬至6月中下旬，第二代6月下旬～7月底，第三代8月初～9月中旬，第四代9月上旬～10月中旬。成虫多于清晨羽化，寿命4～7天，产卵前期2～3天，产卵历期2～4天，成虫白天潜伏在稻丛杂草间，夜晚交配产卵，卵多产在叶片或叶鞘上，聚生，每处2～20粒，排成1～3行，每行3～5粒，卵期3～6天。幼虫喜于清晨孵化，白天在叶上静止不动，夜晚或阴雨天取食为害，幼虫期11～27天，老熟后常把叶尖折成三角形虫苞后于虫苞下部咬断，使其落在田面上，结薄茧化蛹在其中，蛹期4～8天。"	"吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999"	"Naranga aenescens Moore"	"rp00009"	"参见水稻三化螟。"	"agridata/images/中国农业有害生物数据库/中国水稻害虫数据库/稻螟蛉.jpg"
"10"		"分布在浙江、福建、江西、湖南、湖北、广东、广西等省。"	"成虫体长8～12mm，翅展20～24mm，头部背面灰黄褐色，腹面白色，触角丝状，复眼黑褐色。前翅灰黄色或暗黄褐色。雄蛾在近翅基2／5处背面生有深灰色丛毛，内横线深褐色，外横线波状如从前缘向外弯曲，至第4脉处又转向内弯曲，伸达后缘中部；中室中上部具褐色小点1个，中室末端有1褐色短条纹；后翅内横线、外横线波浪状，浅褐色。卵长0．7mm左右，扁平椭圆形，初乳白色半透明，后出现橙色斑。卵块长椭圆形。幼虫共5～6龄，末龄幼虫体长20～22mm，头黄褐色，口器暗褐色，体墨绿色至污绿色，背线绿色，前胸背板黄褐色、上生2排棘毛，每排6根。中胸背面具褐色毛片2块，其上各生3根刺毛。后胸背面具4块毛片排成1列，中间2块各有2根刺毛，外侧两块各生1根。腹部各节背面具6块毛片，前排4个，后排2个，各毛片上生1根刺毛。蛹长12mm左右，棕红至棕褐色。腹末具2枚硬钩刺，四周生6枚软钩刺。"	"稻切叶螟"	"昆虫纲"	"鳞翅目"	"螟蛾科"	"水稻、甘蔗、楠竹及多种杂草。"	"浙江年生5～6代，以末龄幼虫或蛹在土茧里越冬。翌年各代成虫发生期：越冬代为5月上中旬，一代6月中下旬，二代7月中下旬，三代8月中下旬，四代为9月，五代11月上中旬。成虫善飞，有较强的趋光性，喜在22时至翌晨羽化，卵多成块产在嫩叶背面近中脉旁，很少散产，每雌产卵200粒左右，初孵幼虫常潜入心叶里取食，3龄后缀叶为害，老熟后在受害的稻丛间近基部处或稻株上部吐丝，把虫粪、叶碎片缀成薄茧化蛹在其中。卵期约4天，幼虫期15～34天，蛹期7～25天。完成1个世代，二代需32天，三代33天，四代42天，五代70天。板箱育苗或小苗移栽田易发生。"	"吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999"	"Psara licarsisalis(Walker)"	"rp00010"	"参见稻纵卷叶螟。"	"agridata/images/中国农业有害生物数据库/中国水稻害虫数据库/稻切叶螟.jpg"
