"id"	"主要危害部位"	"地理分布"	"为害症状"	"病害类型"	"中文名"	"病原中文名"	"病原拉丁学名"	"主要危害作物"	"病原分类地位"	"病原形态特征"	"相关文献"	"防治方法"	"别名"	"记录号"	"传播途径和发病条件"	"图片"
"1"	"心叶,剑叶鞘、颖壳"	"该病是长江流域及江苏、浙江、上海、安徽、湖北等省(市)大麦上的重要病害。"	"叶片现黄绿色至黄色花叶。初发病时心叶上现与叶脉平行排列的浅黄绿色短线条状至椭圆形不规则形小病斑。二棱大麦染病现锈褐色坏死斑，后病斑不断增多扩大现黄色花叶，严重的病叶变深黄色至橙黄色，似生理性发黄；后期黄色花叶转成黄色条斑，粗叶脉呈绿色，有的剑叶鞘、颖壳也生黄斑。病株略矮，易早枯或不抽穗。"	"病毒"	"大麦黄花叶病"	"大麦黄花叶病毒"	"Barley yellow mosaic virus简称BaYMV"	"大麦"		"病毒粒体线条状，长100、200、275～300nm，大小多为525～600×15～20(nm)，无包膜。病毒存在于细胞质内，可产生风轮状或束状内含体。致死温度55～60℃，体外存活期2～3天，稀释限点1000倍。"	"喻璋等编著．小麦病虫害及其防治．成都：四川大学出版社，2002 吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999"	"(1)选育抗病耐病品种。如甬麦2号。(2)实行4年以上大面积轮作。(3)严防病土转移或扩散。"		"fd00003"	"病毒能通过病根、病土及病田水流等传染。传毒介体是禾谷多粘菌，田问主要借病土传染，病田10cm以内的表土传病力强。病土距种子10cm以内发病率高，距种子30cm也能染病。田间感染主要在出苗后1个月，3月中旬病株显症。大麦苗期10cm表土土温高于8．5℃开始发病，土温低于5．5℃则不发病。品种抗病性有差异：多棱大麦发病轻，二棱大麦、早播及连作地发病重。"	"agridata/images/中国农业有害生物数据库/中国粮食作物病毒病害数据库/大麦黄花叶病.jpg"
"2"	"全株"	"分布广泛"	"植株染病后一般上部叶片先表现病症。叶部受害后，先自叶尖或叶缘开始，呈现紫红色或红色，逐渐向下扩展成红绿相间的条纹或斑驳，病叶变厚、变硬。后期叶片桔红色，叶鞘紫色，病株有不同程度的矮化现象，病株表现十分明显。近年该病间歇性地流行，有的年份造成很大损失。"	"病毒"	"燕麦红叶病"	"大麦黄矮病毒"	"Barley yellow dwarf virus，简称BYDV"	"可侵染燕麦、小麦、大麦、黑麦、玉米等"		"病毒粒子为等轴对称的正20面体。病叶韧皮部组织的超薄切片在电镜下观察，病毒粒体直径24nm，病毒在汁液中致死温度为65～70℃。"	"喻璋等编著．小麦病虫害及其防治．成都：四川大学出版社，2002 吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999"	"(1)选用抗病品种。(2)改善栽培条件，加强管理。(3)播种前种子用75％甲拌磷或40％甲基异柳磷乳油浸种，用药量为lkg对水100kg喷拌燕麦种子1000kg，晾干后播种，是一项简便易行的有效防蚜措施。"		"fd00022"	"病毒只能经麦蚜传染。传毒蚜虫有麦二叉蚜(Schizaphis graminum)、禾谷缢管蚜(Rhopalosiphum padi)、麦长管蚜(Sitobion avsnae)、麦无网长管蚜(Metopolophium dirhodum)、玉米缢管蚜(Rhopalosiphum maidis)等。这些蚜虫以持久性方式传毒。蚜虫获毒后10天内传毒率高，10天后下降，20天后仅有少数个体还能传毒。病毒由蚜虫传到燕麦植株后，经过一段时间潜育即发病。"	"agridata/images/中国农业有害生物数据库/中国粮食作物病毒病害数据库/燕麦红叶病.jpg"
"3"	"全株"		"染病植株上部叶片有黄绿相间条纹，分蘖增多，植株矮缩，呈丛矮状。冬小麦播后20天即可显症，最初症状心叶有黄白色相间断续的虚线条，后发展为不均匀黄绿条纹，分蘖明显增多。冬前染病株大部分不能越冬而死亡，轻病株返青后分蘖继续增多，生长细弱，叶部仍有黄绿相间条纹，病株矮化。一般不能拔节和抽穗。冬前未显症和早春感病的植株在返青期和拔节期陆续显症，心叶有条纹，与冬前显症病株比，叶色较浓绿，茎秆稍粗壮，拔节后染病植株只有上部叶片显条纹，能抽穗的籽粒秕瘦。"	"病毒"	"小麦丛矮病"	"北方禾谷花叶病毒"	"Wheat rosette virus"	"小麦"	"弹状病毒组"	"Wheat rosette virus称北方禾谷花叶病毒，属弹状病毒组。病毒粒体杆状，病毒质粒主要分布在细胞质内，常单个或多个，成层或簇状包在内质网膜内。在传毒介体灰飞虱唾液腺中病毒质粒只有核衣壳而无外膜。病毒汁液体外保毒期2～3天，稀释限点10～100倍。丛矮病潜育期因温度不同而异，一般6～20天。"	"喻璋等编著．小麦病虫害及其防治．成都：四川大学出版社，2002 吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999"	"(1)清除杂草、消灭毒源。(2)小麦平作，合理安排套作，避免与禾本科植物套作。(3)精耕细作、消灭灰飞虱生存环境，压低毒源、虫源。适期连片播种，避免早播。麦田冬灌水保苗，减少灰飞虱越冬。小麦返青期早施肥水提高成穗率。(4)药剂防治用种子量0．3％的60％甲拌磷拌种堆闷12小时，防效显著。出苗后喷药保护，包括田边杂草也要喷洒，压低虫源，可选用40％氧化乐果乳油、50％马拉硫磷乳油或50％对硫磷乳油1000～1500倍液，也可用25％扑虱灵(噻嗪酮、优乐得)可湿性粉剂750～1000倍液。小麦返青盛期也要及时防治灰飞虱，压低虫源。"		"fd00030"	"小麦丛矮病毒不经汁液、种子和土壤传播，主要由灰飞虱(Laodel-phax striatellus(Fallon)传毒。灰飞虱吸食后，需经一段循回期才能传毒。日均温26．7℃，平均10～15天，20℃时平均15．5天。1～2龄若虫易得毒，而成虫传毒能力最强。最短获毒期12小时，最短传毒时间20分钟。获毒率及传毒率随吸食时间延长而提高。一旦获毒可终生带毒，但不经卵传递。病毒随带毒若虫且在其体内越冬。冬麦区灰飞虱秋季从带病毒的越夏寄主上大量迁飞至麦田为害，造成早播秋苗发病。越冬带毒若虫在杂草根际或土缝中越冬，是翌年毒源，次年迁回麦苗为害。小麦成熟后，灰飞虱迁飞至自生麦苗、水稻等禾本科植物上越夏。小麦、大麦等是病毒主要越冬寄主。套作麦田有利灰飞虱迁飞繁殖，发病重；冬麦早播发病重；邻近草坡、杂草丛生麦田病重；夏秋多雨、冬暖春寒年份发病重。"	"agridata/images/中国农业有害生物数据库/中国粮食作物病毒病害数据库/小麦丛矮病.jpg"
"4"	"整株"	"主要发生在我国西北局部地区。近年来内蒙古、河南等冬春麦区多有发生"	"病株叶片变红(红秆品种)变黄(青秆品种)，最后整株变红或变黄，叶片变厚直立。植株矮化，分蘖减少，严重的病株心叶卷缩成黄白色针状不能抽出，在拔节前即枯死。轻病株虽能拔节抽穗，但籽粒干秕，或不结实。"	"病毒"	"小麦红矮病毒病"	"小麦红矮病毒"	"Wheat red dwarf virus简称WRDV"	"小麦"		"病毒粒体为线状，大小lOOnm左右。"	"喻璋等编著．小麦病虫害及其防治．成都：四川大学出版社，2002 吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999"	"(1)选用抗红矮病的小麦品种70年代至80年代以来，选育出的抗病品种有：庆选15号、庆选27号、庆丰1号、静宁6号、7537、昌乐5号、平凉35号、榆林8号等。(2)栽培防病  山地在搞好农田基本建设，做好水土保持工作基础上，科学播种，防止早播，是防治该病关键技术之一。要精耕细作，及时清除田间杂草。麦收后马上灭茬深翻，麦苗越冬期搞好镇压耙耱，使麦苗安全越冬。(3)治虫防病首先要掌握麦田虫情。在秋播前开始调查当地秋作物和杂草上的虫口密度，一般虫口低于5头，发病轻，虫口在5～10头之间，可中度发生，如超过10头可能大发生。因此播种前用75％甲拌磷乳油100g，对水3～4L，喷在50kg麦种上拌匀，再闷种12小时后晾干播种，防治出苗期遭受叶蝉为害。苗期虫口密度大，应马上喷洒40％氧化乐果乳油1000～1500倍或40％乐果乳油、25％亚胺硫磷乳油1000倍液。必要时可选用10％一遍净(吡虫啉)可湿性粉剂2000～2500倍液，控制时间长。"		"fd00031"	"红矮病是由条纹叶蝉传毒介体进行传播的。叶蝉在病株上吸食获毒后，可以持久性传毒，并能通过叶蝉卵传毒。秋季小麦苗出土后，叶蝉由杂草、自生毒苗、水稻等越夏寄主上迁飞到麦苗上取食传毒，冬季以成虫越冬。来年春季小麦拔节前病株症状明显。一般早播麦田或阳坡地虫口密度大，发病重。"	"agridata/images/中国农业有害生物数据库/中国粮食作物病毒病害数据库/小麦红矮病毒病.jpg"
"5"	"叶片、茎"		"主要表现叶片黄化，植株矮化。叶片典型症状是新叶发病从叶尖渐向叶基扩展变黄，黄化部分占全叶的1／3～1／2，叶基仍为绿色，且保持较长时间，有时出现与叶脉平行但不受叶脉限制的黄绿相间条纹。病叶较光滑。发病早植株矮化严重，但因品种而异。冬麦发病不显症，越冬期间不耐低温易冻死，能存活的翌春分蘖减少，病株严重矮化，不抽穗或抽穗很小。拔节孕穗期感病的植株稍矮，根系发育不良。抽穗期发病仅旗叶发黄，植株矮化不明显，能抽穗，粒重降低。与生理性黄化区别在于，生理性的从下部叶片开始发生，整叶发病，田间发病较均匀。黄矮病下部叶片绿色，新叶黄化，旗叶发病较重，从叶尖开始发病，先出现中心病株，然后向四周扩展。"	"病毒"	"小麦黄矮病毒病"	"大麦黄矮病毒"	"Barley yellow dwarf virus简称BYDV"	"能侵染小麦、大麦、燕麦、黑麦、玉米、雀麦、虎尾草、小画眉草、金色狗尾草等"		"Barley yellow dwarf virus简称BYDV称大麦黄矮病毒，属病毒。分为DAV、GAV、GDV、RMV等株系。病毒粒子为等轴对称正20面体。病叶韧皮部组织的超薄切片在电镜下观察，病毒粒子直径24nm，病毒核酸为单链核糖核酸。病毒在汁液中致死温度65～70℃。"	"喻璋等编著．小麦病虫害及其防治．成都：四川大学出版社，2002 吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999"	"(1)鉴定选育抗、耐病品种一些农家品种有较好的抗耐病性，因地制宜地选择近年选育出的抗耐病品种。(2)治蚜防病及时防治蚜虫是预防黄矮病流行的有效措施。拌种甲拌磷原液100～150g加3～4kg水拌麦种50kg，也可用种子量0．5％灭蚜松或0．3％乐果乳剂拌种，逐步取代甲拌磷。喷药用40％乐果乳油1000～1500倍液或50％灭蚜松乳油1000～1500倍液、2．5％功夫菊酯或敌杀死、氯氰菊酯乳油2000～4000倍液、50％对硫磷乳油2000～3000倍液。也可喷1％对硫磷粉或1．5％乐果粉每667m 2 1．5kg，抗蚜威每667m 2 4～6g。毒土法40％乐果乳剂50g对水1kg，拌细土15kg撒在麦苗基叶上，可减少越冬虫源。(3)加强栽培管理，及时消灭田间及附近杂草。冬麦区适期迟播，春麦区适当早播，确定合理密度，加强肥水管理，提高植株抗病力。(4)冬小麦采用地膜覆盖，防病效果明显。"		"fd00032"	"病毒只能经由麦二叉蚜(Schizaphis graminum)、禾谷缢管蚜(Rhopalosiphum padi)，麦长管蚜(Sitobion avenae)、麦无网长管蚜(Metopolophium dirhodum)及玉米缢管蚜(R．maidis)等进行持久性传毒。不能由种子、土壤、汁液传播。16～20℃，病毒潜育期为15～20天，温度低，潜育期长，25℃以上隐症，30℃以上不显症。麦二叉蚜在病叶上吸食30分钟即可获毒，在健苗上吸食5～10分钟即可传毒。获毒后3～8天带毒蚜虫传毒率最高，约可传20天左右。以后逐渐减弱，但不终生传毒。刚产若蚜不带毒。冬麦区冬前感病小麦是翌年发病中心。返青拔节期出现一次高峰，发病中心的病毒随麦蚜扩散而蔓延，到抽穗期出现第二次发病高峰。春季收获后，有翅蚜迁飞至糜、谷子、高粱及禾本科杂草等植物越夏，秋麦出苗后迂回麦田传毒并以有翅成蚜、无翅若蚜在麦苗基部越冬，有些地区也产卵越冬。冬、春麦混种区  5月上旬冬麦上有翅蚜向春麦迁飞。晚熟麦、糜子和自生麦苗是麦蚜及病毒越夏场所，冬麦出苗后飞回传毒。春麦区的虫源、毒源有可能来自部分冬麦区，成为春麦区初侵染源。 冬麦播种早、发病重；阳坡重、阴坡轻，旱地重、水浇地轻；粗放管理重、精耕细作轻，瘠薄地重。发病程度与麦蚜虫口密度有直接关系。有利于麦蚜繁殖温度，对传毒也有利，病毒潜育期较短。冬麦区早春麦蚜扩散是传播小麦黄矮病毒的主要时期。小麦拔节孕穗期遇低温，抗性降低易发生黄矮病。该病流行与毒源基数多少有重要关系，如自生苗等病毒寄主量大，麦蚜虫口密度大易造成黄矮病大流行。"	"agridata/images/中国农业有害生物数据库/中国粮食作物病毒病害数据库/小麦黄矮病毒病.jpg"
"6"	"全株"		"小麦冬前一般不表现症状，多在春季麦田返青后的拔节期，能见到明显症状。病株明显矮缩、畸形、节间越往上越矮缩，呈套叠状，造成叶片呈轮生状，基部叶片增生、变厚、呈暗绿色至绿兰色，叶片挺直光滑，心叶多卷曲变黄后坏死。成株期，上部叶片形成黄色不规则的宽条带状，多不能正常拔节或抽穗，即使能抽穗，则穗呈塔状退化，穗短小，向上尖削。染病重的生长停滞，显症后1个月即枯死，根毛明显减少。"	"病毒"	"小麦蓝矮病毒病"	"类菌原体"	"Mycoplasma like organism简称MLO"	"除侵染小麦外，寄主还包括大麦、燕麦、黑麦、黍、高粱、玉米等禾本科植物"		"Mycoplasma like organism简称MLO，称类菌原体。是国内小麦上第一个类菌原体病害。在叶片韧皮部和叶蝉唾液腺及肠道细胞的超薄切片中MLO呈球形、椭圆形、哑铃状、蝌蚪状等，大小50～1000nm，单位膜厚度为8～10nm。通过叶蝉传毒试验，定名为小麦类菌质体蓝矮病(Wheat mycoplasma like blue dwarf)。"	"喻璋等编著．小麦病虫害及其防治．成都：四川大学出版社，2002 吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999"	"(1)尽快组织力量选育抗蓝矮病的抗病小麦新品种。原来地方品种均感病。近年引进的钱交麦、271 1则表现高度抗病。(2)其他方法参见小麦红矮病。"		"fd00033"	"该毒原只能通过条沙叶蝉(Psammotettix striatus)进行持久性传毒，种子、汁液磨擦均不能传毒。最适饲毒期为24天，最短接毒期为10秒。延长接毒期能提高传毒能力。毒原在虫体内循回期最短2天，最长8天，平均为5．2天。病害潜育期与温度有关。秋季平均为45天，春季19天。叶蝉持毒期秋季19天，春季为12天。叶蝉一次获毒，便可终身带毒，但卵不能传毒。秋季冬小麦出苗后，条沙叶蝉从秋作物及杂草上迁飞至麦田传毒。深秋初冬叶蝉以卵在小麦或杂草上越冬，翌春孵化后再行获毒，然后开始传毒。在小麦收获前，又飞到玉米，高粱及多种禾本科杂草上传毒。我国陕西、甘肃一带条沙叶蝉年生3～4代，其发生数量与小麦蓝矮病发生程度关系密切，条沙叶蝉喜干燥气候条件，山地干旱麦田及阳坡背风麦田虫口密度大，发病重。品种抗病性有差异。"	"agridata/images/中国农业有害生物数据库/中国粮食作物病毒病害数据库/小麦蓝矮病毒病.jpg"
"7"	"叶片、茎"	"分布在西北麦区。"	"引起严重花叶或产生黄色斑点、长短线纹或褪绿斑驳，植株矮化，分蘖高低参差不齐，引起不同程度坏死。有的分蘖死亡或茎叶扭曲，茎节上下拐折，造成植株散乱，故称糜疯或拐节病。"	"病毒"	"小麦糜疯病"	"小麦条点花叶病毒"	"Wheat streak mosaic virus简称WSMV"	"可寄生小麦、大麦、糜子、燕麦、黑麦、谷子、玉米等"	"弹状病毒组"	"Wheat streak mosaic virus简称WSMV，称小麦条点花叶病毒，属弹状病毒组。病毒粒体长条杆状，大小625～725×15～18(nm)，钝化温度54℃，稀释限点100～10000倍。病毒含单链RNA。"	"喻璋等编著．小麦病虫害及其防治．成都：四川大学出版社，2002 吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999"	"(1)糜疯病发生区，麦田宜远离糜子田。(2)适期播种，不宜过早。"	"拐节病"	"fd00034"	"该毒原由曲叶螨传播，若虫期获毒后，可终身传毒。但不经卵传毒。距糜田近的易发病，糜子收获前小麦出土早的发病重。"	"agridata/images/中国农业有害生物数据库/中国粮食作物病毒病害数据库/小麦糜疯病.jpg"
"8"	"叶片、茎"		"该病在冬小麦上发生严重。染病后冬前不表现症状，到春季小麦返青期才出现症状，染病株在小麦4～6叶后的新叶上产生褪绿条纹，少数心叶扭曲畸形，以后褪绿条纹增加并扩散。病斑联合成长短不等、宽窄不一的不规则条斑，形似梭状，老病叶渐变黄、枯死。病株分蘖少、萎缩、根系发育不良，重病株明显矮化。"	"病毒"	"小麦梭条斑花叶病毒病"	"小麦梭条斑花叶病毒"	"Wheat spindle streak mosaic virus简称WSSMV"	"小麦"	"马铃薯Y病毒组"	"Wheat spindle streak mosaic virus简称WSSMV，称小麦梭条斑花叶病毒，又名小麦黄花叶病毒(Wheat yellow mosaic virus)。属马铃薯Y病毒组。病毒粒体线状，大小200～3000×13(nm)。病株根、叶组织含有典型的风轮状内含体。钝化温度50℃经10分钟，稀释限点1000～1000000倍。地区不同致病力有差异，品种间抗病性差异明显。"	"喻璋等编著．小麦病虫害及其防治．成都：四川大学出版社，2002 吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999"	"(1)选用抗、耐病品种常年发病地区选用繁6、8165、80、86、西凤、宁丰、济南13、堰师9号、陕农7895、西育8号等优良抗病品种。(2)轮作倒茬与非寄主作物油菜、大麦等进行多年轮作可减轻发病。冬麦适时迟播，避开传毒介体的最适侵染时期。增施基肥，提高苗期抗病能力。(3)加强管理避免通过带病残体、病土等途径传播。"	"小麦黄花叶病"	"fd00035"	"梭条花叶病毒主要靠病土、病根残体、病田水流传播，也可经汁液摩擦接种传播。不能经种子、昆虫传播。传播媒介是一种习居于土壤的禾谷多粘菌。该菌是一种小麦根部的专性弱寄生菌，本身不会对小麦造成明显为害。冬麦播种后，禾谷多粘菌产生游动孢子，侵染麦苗根部，在根细胞内发育成原质团，病毒随之侵入根部进行增殖，并向上扩展。小麦越冬期病毒呈休眠状态，翌春表现症状。小麦收获后随禾谷多粘菌休眠孢子越夏。病毒能随其休眠孢子在土中存活10年以上。土温15℃左右，土壤湿度较大，有利于禾谷多粘菌游动孢子活动和侵染。高于20℃或干旱，侵染很少发生。播种早发病重，播种迟发病轻。"	"agridata/images/中国农业有害生物数据库/中国粮食作物病毒病害数据库/小麦梭条斑花叶病毒病.jpg"
"9"	"叶片"		"在小麦叶片上出现连续或断续淡绿色或淡黄色条纹，有时条纹集中，使叶片呈污白色，后期症状逐渐隐蔽，但病株仍造成秕穗产量下降。在大麦叶片上表现为褪绿条纹，常出现褐色不规则的坏死条斑，与由蠕孢菌引起条纹病很相似，因此，过去称此病为“伪条斑病”。"	"病毒"	"小麦条纹花叶病"	"小麦条纹花叶病毒"	"BSMV"	"小麦、大麦、玉米、高粱、谷子、狗尾草、早熟禾、燕麦、马唐等作物和杂草"		"小麦条纹花叶病毒(BSMV)是一种秆状粒体，大小有130nm×30nm、125nm×25nm和126nm×20nm三种类型，都分散在细胞质内，在细胞核内则聚集成团。这种病毒至今尚未发现有任何传毒昆虫介体。但比较容易用病株汁液摩擦接种成功。据研究，用病株花药加水4倍磨碎接种时，有些品种发病率达100％。又从病株上采收种子，播种在灭菌及防虫条件下，德国大麦品种发病率达3．3％～10．2％，美国品种发病率为30％～40％，小麦种子的发病率在80％以上。 这种类型病毒其致死温度为63℃，稀释限点10-4。体外存活期在22℃下存活20～25天，在-10℃时干燥病叶可存活95天，最长达130天。"	"喻璋等编著．小麦病虫害及其防治．成都：四川大学出版社，2002 吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999"	"(1)对无病地区，应对引进麦种进行检验。国际上要求麦种带毒率如超过5％时，就不让进口或引入无病区作麦种用(只能作食用)。检验方法有两种：过去采用在麦种中随机取样作萌发，萌发后取麦叶汁液在枯斑寄主植物上作病毒鉴定；现在采用病毒抗血清的反应测定。此外，在温室中要直接检验麦苗发病率时，必须提高室温到30℃左右，并加强光照(1 000支烛光)，否则不易显症。 (2)在已经发病麦田，不宜用本田或本麦区留种，而应采用无病田或无病区麦种。在有些麦田发病较少，当在病株症状最明显时期(扬花前)进行拔除，可连续拔除病株3年、病害可以趋于消灭。"	"伪条斑病"	"fd00036"	"小麦条纹花叶病在自然界主要靠花粉和种子传播。但麦类作物是常自交作物，外来花粉授粉率远远小于白花粉授粉率，花粉传播病毒虽是事实，但作用不大。因此，条纹花叶病毒主要传播来源于种子。种子即使带毒低，但每粒带毒种子产生后代种子都是带毒的。如又从病田留种，种子带毒率就会愈来愈高，再使用这类种子扩大种植，则带毒种子所到之处病害就蔓延开来。更由于这种病害的症状表现在温度较低(12℃)时条纹不明显，并在小麦生长后期有些品种有隐症现象，不易确定为条纹花叶病，但可通过汁液在鉴别寄主上出现枯斑反应识别该病。鉴别寄主可以用三生烟(Nicotiana tobacum var．samsum)、奎宁藜和苋色藜(Chenopodium quinoa和Ch．amaranticolar．)。"	"agridata/images/中国农业有害生物数据库/中国粮食作物病毒病害数据库/小麦条纹花叶病.jpg"
"10"	"叶片"	"山东、河南、江苏、浙江、安徽、四川、陕西等省均有发病报道，山东沿海、河南南部及淮河流域发生重。"	"减产10％～70％，主要为害冬小麦，多发生在生长前期。冬前小麦土传花叶病毒侵染麦苗，表现斑驳不明显。翌春，新生小麦叶片症状逐渐明显，现长短和宽窄不一的深绿和浅绿相间的条状斑块或条状斑纹，表现为黄色花叶，有的条纹延伸到叶鞘或颖壳上。病株穗小粒少，但多不矮化。该病症状与小麦梭条斑花叶病相近，需镜检病毒粒体或用血清学方法区分。"	"病毒"	"小麦土传花叶病毒病"	"小麦土传花叶病毒"	"Wheat soil—borne mosaic virus简称WSBMV"	"冬小麦"		"Wheat soil—borne mosaic virus简称WSBMV称小麦土传花叶病毒，属病毒。病毒粒体为直棒状二分体，长粒体300nm，短粒体92～160nm，病毒粒体直径约22nm。该病毒形态明显别于弯曲的线条状的小麦梭条斑花叶病毒。致死温度60～65℃，稀释限点100～1000倍。在低温干燥的组织中可存活10个月左右。"	"喻璋等编著．小麦病虫害及其防治．成都：四川大学出版社，2002 吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999"	"(1)选用抗病或耐病的品种如四川的繁6、绵阳19、山东的6596—33、石家庄的小红麦等。(2)轮作与豆科、薯类、花生等进行2年以上轮作。调节播种期。(3)加强肥水管理，施用农家肥要充分腐熟，提倡施用酵素菌沤制的堆肥。(4)提倡高畦或起垄种植，严禁大水漫灌，禁止用带菌水灌麦，雨后及时排水，造成不利多粘菌侵入的传病条件。(5)零星发病区采用土壤灭菌法或用40～60℃高温处理15cm深土壤数分钟。"		"fd00037"	"小麦土传花叶病毒主要由习居在土壤中的禾谷多粘菌(Po匆myxa graminis Led．)传播，可在其休眠孢子中越冬。该病毒不能经种子及昆虫媒介传播，在田间主要靠病土、病根茬及病田的流水传播蔓延。其侵染循环同小麦条斑花叶病。侵染温度12．2～15．6℃，侵入后气温20～25℃病毒增殖迅速，经14天潜育即显症。"	"agridata/images/中国农业有害生物数据库/中国粮食作物病毒病害数据库/小麦土传花叶病毒病.jpg"
