"id"	"主要危害部位"	"地理分布"	"为害症状"	"病害类型"	"中文名"	"病原中文名"	"病原拉丁学名"	"主要危害作物"	"病原分类地位"	"病原形态特征"	"相关文献"	"传播途径和发病条件"	"防治方法"	"记录号"	"别名"	"图片"
"1"	"主要为害叶片、叶鞘、茎秆和穗部"		"同小麦白粉病。"	"真菌"	"大麦白粉病"	"禾谷类白粉菌大麦专化型"	"Blumeria graminis(DC．)Speer=Erysiphe graminis DC．、Erysiphe  graminis DC．f．sp．hordei  Marchal．"	"不能侵染小麦、黑麦和燕麦。"	"子囊菌亚门"	"参见小麦白粉病。"	"喻璋等编著．小麦病虫害及其防治．成都：四川大学出版社，2002 吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999"	"参见小麦白粉病。"	"(1)选用早熟3号、早熟5号、黄金爪、关东中生等抗病品种。(2)其他方法参见小麦白粉病。"	"fd00001"		"agridata/images/中国农业有害生物数据库/中国粮食作物真菌病害数据库/大麦白粉病.jpg"
"2"	"叶、茎及穗"	"东北、华北、西北、浙江均有发生"	"各生育期不同部位均可发病。幼苗出土后，幼叶、叶鞘近地面处产生褐色病斑，渐向茎基部及茎部扩展，引致根及茎基腐烂，病苗矮小、分蘖增多。叶片染病形成椭圆形或梭形病斑，中部呈深褐色，边缘不规则，色浅，故称斑点病。叶鞘染病病斑较大，长形，灰色，其中杂有褐色斑点，边缘不明显。穗部染病几个小穗梗和颖片呈褐色。"	"真菌"	"大麦斑点病"	"禾旋孢腔菌"	"Cochliobolus sativus(Ito et Kurib．)Drechsl．"	"病菌主要为害大麦、小麦、燕麦及其他禾本科杂草。"	"子囊菌亚门"	"无性态分生孢子梗单生或2～3根丛生，从寄主表皮间生出，褐色，具隔膜。分生孢子形状和大小差异较大，一般为圆筒形，直或弯曲，两端略细，褐色，大小60～120×15～30(μm)，具隔膜3～10个。该菌为异宗配合种，雌雄同株。自交不孕。该菌在麦秆浸汁琼脂培养基上，pH6～6．5，以透析袋为培养物，24℃培养7天，移至20℃培养14天可形成子囊座。"	"喻璋等编著．小麦病虫害及其防治．成都：四川大学出版社，2002 吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999"	"病菌以菌丝体潜伏在种子内或病残组织内越冬或越夏，也可以分生孢子粘附在以上部位越冬。种子成为主要初侵染源。种子带菌率很高，其内菌丝能直接为害幼苗。病菌从幼苗芽鞘侵入，然后蔓延到幼叶及根冠。机械伤、虫伤利于病菌侵入。当年病部产生的分生孢子，借风雨传播，进行多次再侵染，使成株叶、茎及穗发病。品种抗病性有差异，连作、遭受冻害易诱发该病。土壤瘠薄、施肥不足、麦株生长不良发病重。"	"参见小麦根腐病。"	"fd00002"	"根腐病,黑点病"	"agridata/images/中国农业有害生物数据库/中国粮食作物真菌病害数据库/大麦斑点病.jpg"
"3"	"穗"		"病株常较健株略矮。病穗上的小花、小穗均被破坏，变成一团黑粉状物，外被一层银白色至灰白色薄膜。有的残存芒，膜较坚硬，风吹不坏，孢子间具油脂类物质相互粘结着。"	"真菌"	"大麦坚黑穗病"	"大麦坚黑粉菌"	"Ustilago hordei(Pers．)Lagerh．"	"该菌只侵害大麦和裸大麦，即元麦、青稞。"	"担子菌亚门"	"冬孢子圆形或椭圆形，大小5～9μm，褐色，半边色较浅，表面光滑无刺。冬孢子萌发适温20℃，52℃温水中15分钟致死。该菌有5个生理小种，其中C-1、C-2分布很广。"	"喻璋等编著．小麦病虫害及其防治．成都：四川大学出版社，2002 吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999"	"该病系幼苗侵染型病害，每年只在苗期侵染一次，主要靠种子带菌传播。每年大麦收获脱粒时，散出的冬孢子粘附在麦粒上，播种后，冬孢子萌发，产生先菌丝。先菌丝分成4个细胞，每个细胞的近隔膜处产生一个担孢子，由担孢子萌发产生次生小孢子。小孢子萌发形成菌丝，不同性别的菌丝结合形成双核侵染菌丝，从大麦幼芽鞘侵入，后进入生长点，菌丝体随麦苗生长向上扩展。大麦抽穗前，病菌为害花器或种子，又形成大量冬孢子，出现病穗。这时湿度适宜，部分孢子很快萌发，用先菌丝侵入颖壳及种皮内，潜伏在其中越夏或越冬。"	"用2％立克秀拌种剂(德国拜耳公司)10g拌大麦种子10kg。"	"fd00004"		"agridata/images/中国农业有害生物数据库/中国粮食作物真菌病害数据库/大麦坚黑穗病.jpg"
"4"	"穗"		"参见小麦散黑穗病。"	"真菌"	"大麦散黑穗病"	"裸黑粉菌"	"Ustilago nuda(Jens．)Rostr．异名U．tritici(Pers．)Rostr．"	"主要侵染大麦和小麦"	"担子菌亚门"	"孢子堆生在花器上，破坏全部小穗，表生白色薄膜，内部全为黑褐色至黑色疏松粉末，只残留穗轴和芒，芒变白干枯，膜破裂后孢子易飞散。孢子褐色球形，一边略浅，表面布满细刺，直径5～9μm，萌发生菌丝。 主要侵染大麦和小麦，引致散黑穗病，寄生性有专化现象，大麦上的病菌能侵染小麦，但小麦上的病菌不能侵害大麦。"	"喻璋等编著．小麦病虫害及其防治．成都：四川大学出版社，2002 吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999"		"用2％立克秀拌种剂(德国拜耳公司)10g拌大麦种子10kg防效97．8％。也可用大麦清3号20g，加少量水调成糊状，对水16kg，浸大麦种12kg，气温20℃浸30小时，浸后直接催芽播种，防效90％以上。"	"fd00006"		"agridata/images/中国农业有害生物数据库/中国粮食作物真菌病害数据库/大麦散黑穗病.jpg"
"5"	"大麦地上部均可受害，主要为害叶片和叶鞘"	"各大麦栽培区均有发生。"	"幼苗染病，1、2片幼叶即可发病，但4～5片叶以后发生较多。初生浅黄色斑点或短小的条纹．后随叶片生长，病斑逐渐扩展。分蘖期形成与叶脉平行的细长条纹．病斑由黄色变为褐色。至拔节抽穗期．多数病斑中部草黄色，边缘褐色；湿度大的长出黑色霉层；即病原菌分生孢子梗和分生孢子。病株提前枯死或矮小，不能抽穗或弯曲畸形．不能结实或不饱满。"	"真菌"	"大麦条纹病"	"禾内脐蠕孢,麦类核腔菌"	"Drechslera  graminea(Rabenh．)Shoem．=Helminthosponum  grammeum Rabenh．"	"大麦"	"半知菌亚门,子囊菌亚门"	"分生孢子梗3～5个丛生．梗基部膨大,灰色至榄褐色，大小90～180× 7．5～12(μm)。梗上顶生或侧生1～4个分生孢子，直或略弯，基部常较上端略宽，基细胞呈半球形．大小50～125×14～22．5(μm)，具隔膜1～7个．表面光滑．脐部宽3～6μm。次生分生孢子梗及分生孢子较常见．"	"喻璋等编著．小麦病虫害及其防治．成都：四川大学出版社，2002 吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999"	"病菌以休眠苗丝潜伏在种子里越冬，一般可存插5年。"	"(1)立大麦无病留种田，繁育无病种子。播种前精选种子，选择籽粒饱满．生活力强．发芽率高的种子，播种后迅速出苗，减少病菌侵染机会。(2)播前晒种1～2天,可提高发芽势和发芽率．早出苗。(3)种子处理①用25％的粉锈宁按种子重量的0．15％(有效成分)拌种防效优异，此外也可用2％立克秀拌种剂10g拌麦种10kg。③用1％石灰水浸种48小时．对大麦条纹病防效较好,且对大麦种子发芽和出苗有促进作用．或用大麦滑3号20g，加少量水调成糊状，对水16kg，浸大麦种12kg漫30小时(20℃)浸后直接催芽播种。该药对该病及散黑穗瘸防效均在90％以上。③也可用5％硫酸亚铁溶液浸种6小时，晾干后播种。④提倡用浸种灵乳油(江苏泰州化肥厂)每2ml药液．对水800ml，喷在10～11kg大麦种子上，再充分酾拌均匀后闷种6～8小时后播种。也可用2ml对水16～20kg浸10～13kg大麦种子12～24小时。⑤适期播种。大麦条纹病发生轻重与秋播时温度关系密切。土温5～10℃适其发病．温度高可减轻发病．因此强调适期播种．不宜过迟。(4)适当浅播．加快麦苗出土．可减少发病。(5)抽穗前后结合防治大麦赤霉病喷洒0．5％的二硝散水溶液，每667m 2 100～150L,或50％苯菌灵可湿性粉剂1000～1500倍液，25％苯菌灵乳油800倍液。"	"fd00007"		"agridata/images/中国农业有害生物数据库/中国粮食作物真菌病害数据库/大麦条纹病.jpg"
"6"			"参见小麦条锈病。"	"真菌"	"大麦条锈病"	"条形柄锈菌大麦专化型"	"Puccinia striiformis West．f．sp．hordei Eriks et Henn．"	"只侵染大麦"	"担子菌亚门"	"小麦条锈菌大麦专化型夏孢子较小麦专化型夏孢子色泽略鲜黄。条锈菌大麦专化型本身是由复杂多样的毒性个体组成的，属8个毒性类型(TBYR 0、1、2、3、4、5、6、7)。西藏的条锈菌大麦专化型优势群体为中等毒性的TBYR2、3、4，其中TBYR3为主类型，只侵染大麦一般生产品种及抗性差的品种。"	"喻璋等编著．小麦病虫害及其防治．成都：四川大学出版社，2002 吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999"	"主要来自当地适存菌源或外来夏孢子。秋冬季病菌菌丝体在-5℃时尚能越冬。夏孢子萌发适温5～15℃，超过15℃易丧失生活力。气温10～15℃，时晴时雨或有露水存在，冬播或春播大麦易发病。"	"(1)首选抗病品种。(2)其他方法参见小麦条锈病。"	"fd00008"		"agridata/images/中国农业有害生物数据库/中国粮食作物真菌病害数据库/大麦条锈病.jpg"
"7"	"主要侵害叶片和叶鞘，较少侵染茎"		"幼苗发病，病斑多在距叶尖1～2cm处。成株发病多从基叶开始，叶尖变黄，上生病健界限不明的褐斑，内有纵横交织的网状细线，病斑较多时，连成条纹状斑，上生少量孢子。颖片受害产生无网纹的褐斑。"	"真菌"	"大麦网斑病"	"大麦网斑内脐蠕孢,有性态为圆核腔菌"	"Drechslera teres (Sacc．)Shoem．=Helminthosporium teres Sacc．有性态为Pyrenophora teres(Died．)Drechsl．"	"大麦"	"半知菌亚门真菌,有性态为子囊菌亚门真菌"	"分生孢子淡橄榄色，圆柱状，有1～10个隔膜，大小30～175×15～22．5(μm)。分生孢子梗多单生，也有2～3根束生的，直、仅顶端微弯。病残体上形成子囊壳。子囊壳黑褐色、近椭圆形，大小430～800×300～600(μm)，子囊无色，棍棒形，内含8个子囊孢子，有时4个。子囊孢子黄褐色，近椭圆形，大小40～62．5×17．5～27．5(μm)。"	"喻璋等编著．小麦病虫害及其防治．成都：四川大学出版社，2002 吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999"	"潜伏于种皮内的菌丝体和附在种子表面的孢子是主要初侵染源，病残体上的子囊孢子也可侵染。种子带菌引致幼苗发病，病部产生孢子借风、雨传播进行再侵染，花部受害使种子带菌，成熟时在麦壳等病残体上形成子囊壳。病菌可存活7年。孢子萌发适温20～25℃。20℃、相对湿度100％发病迅速。低温和寡照、高湿有利于病害发生。冬大麦播种较晚发病重。"	"(1)选用抗病品种如早熟7号、光芒二棱、浙农8号等。(2)适时早播，避免连作，地下水位高的要做好开沟排湿工作。(3)药剂防治 ①提倡用浸种灵(TH88)2ml，对水20kg，搅匀后浸大麦种子10kg，浸24小时后播种。浸种灵易光解，浸种要在室内或采取避光措施。其它种子处理方法可参见大麦条纹病。②在发病初期喷洒50％多菌灵可湿性粉剂800倍液或60％防霉宝超微可湿性粉剂1000～1500倍液、70％代森锰锌可湿性粉剂500倍液。"	"fd00009"		"agridata/images/中国农业有害生物数据库/中国粮食作物真菌病害数据库/大麦网斑病.jpg"
"8"	"该病主要侵染叶片、叶鞘，也侵染茎和穗部。"		"被害部位散生圆形黄褐色隆起小圆点(夏孢子堆)。当大麦成熟时，其上产生较小的黑色近长方形的冬孢子堆，埋于表皮内。"	"真菌"	"大麦叶锈病"	"大麦柄锈菌"	"Puccinia hordei Otth．"	"大麦"	"担子菌亚门真菌"	"孢子堆大小0．3～0．5×0．1～0．2(mm)。夏孢子单胞，近球形、淡黄色，大小20～30×17～22(μm)，表面有小刺，散生芽孔7～10个。冬孢子单胞、偶有双胞，形状不等，表面光滑，顶端稍厚，有柄。"	"喻璋等编著．小麦病虫害及其防治．成都：四川大学出版社，2002 吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999"	"该菌属于转主寄主锈菌。夏孢子、冬孢子产生于大麦上，性孢子、锈孢子国外报道产生于百合科短穗虎眼万年青上。我国病菌以夏孢子在南．方冬大麦上越冬，夏孢子随季风向北扩散，在北方越夏后，秋季再传播至南方冬大麦上越冬。夏孢子萌发适温11～17℃，超过23℃极少萌发。"	"(1)选用抗锈良种。如申麦1号。(2)药剂防治参见小麦叶锈病。"	"fd00011"		"agridata/images/中国农业有害生物数据库/中国粮食作物真菌病害数据库/大麦叶锈病.jpg"
"9"	"主要为害叶片和叶鞘"		"发病初为白色透明小斑，后扩大变为青灰至淡褐色，边缘色较深，长椭圆形。病斑较多时合并呈云纹状，叶片枯黄致死，在病部表皮下形成子座。高湿条件下，病斑上形成灰色霉层(分生孢子梗和分生孢子)。"	"真菌"	"大麦云纹病"	"黑麦喙孢"	"Rhynchosporium secalis(Oudem．)  Davis"	"大麦"	"半知菌亚门真菌"	"能产生喙孢糖苷毒素。分生孢子梗无色、短小。分生孢子楔状，有1个横隔，无色，大小12～20×2～4(μm)。"	"喻璋等编著．小麦病虫害及其防治．成都：四川大学出版社，2002 吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999"	"病菌以分生孢子和菌丝体在病残体上越冬、越夏。大麦播种出苗后分生孢子借风雨传播侵染幼苗而发病，在整个生育期可重复侵染。孢子萌发适温10～20℃，25℃以上基本不萌发，18℃、相对湿度92％，孢子6小时内即侵入寄主。20℃潜育期11天。低温、高湿有利于病害发生，密度过大，徒长发病重。"	"(1)消灭越冬(夏)菌源，收获后深翻，促进病残体分解。(2)合理密植，不可单一施氮过多。注意排水、中耕，降低田间湿度。(3)药剂拌种  用50％多菌灵可湿性粉剂按种子重量0．3％于播种前10～20天拌种后播种。(4)发病初期喷洒15％粉锈宁可湿性粉剂1000倍液或40％灭病威悬浮剂600倍液、70％甲基托布津可湿性粉剂1000倍液、50％多菌灵可湿性粉剂800倍液、60％防霉宝可湿性粉剂1000倍液、70％代森锰锌可湿性粉剂400倍液，667m 2 用药液75～100L。"	"fd00012"		"agridata/images/中国农业有害生物数据库/中国粮食作物真菌病害数据库/大麦云纹病.jpg"
"10"	"主要为害茎秆、叶鞘，也侵害叶片和穗部"		"病部产生长椭圆形、铁锈色夏孢子堆，多先发生于叶背，散生，发病严重时愈合成长条形。成熟散出大量锈褐色粉末(夏孢子)。生长后期形成黑色冬孢子堆。"	"真菌"	"黑麦秆锈病"	"禾柄锈菌黑麦变种"	"Puccinia graminis var．secalis Eriks et Henn．"	"黑麦"	"担子菌亚门真菌"	"参见小麦秆锈病。"	"喻璋等编著．小麦病虫害及其防治．成都：四川大学出版社，2002 吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999"	"该菌在黑麦、大麦、冰草等植物上产生夏孢子、冬孢子，在小檗和十大功劳属植物上产生锈孢子和性孢子。但病菌在南方以夏孢子世代在麦苗上越冬，春季借风雨传播为害。发病适宜温度18～25℃，潜育期7～14天。雨量多、叶面潮湿、施氮过多有利于发病。"	"(1)选用抗病黑麦品种。(2)药剂防治参见小麦秆锈病。"	"fd00013"		"agridata/images/中国农业有害生物数据库/中国粮食作物真菌病害数据库/黑麦秆锈病.jpg"
