"id"	"主要危害部位"	"中文名"	"为害症状"	"病害类型"	"地理分布"	"病原中文名"	"病原拉丁学名"	"主要危害作物"	"病原分类地位"	"病原形态特征"	"相关文献"	"别名"	"防治方法"	"记录号"	"传播途径和发病条件"	"图片"
"1"	"主要为害叶片和叶鞘"	"大麦细菌条斑病"	"发病初期现水浸状条斑．后变为褐色坏死条斑。颖片、麦粒染病．出现类似的症状,湿度大时,常有较多菌脓溢出。"	"细菌"	"分布在内蒙古等省"	"油菜黄单胞菌大麦致病变种(大麦细菌条斑病黄单胞菌)"	"Xanthomonas campestris pv．hordei(Hagborg)Dye异名X．translucens  f．sp．hordei Hagborg"	"大麦"		"参见小麦细菌性条斑病。"	"喻璋等编著．小麦病虫害及其防治．成都：四川大学出版社，2002 吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999"		"参见小麦细菌性条斑病。"	"fd00010"	"参见小麦细菌性条斑病。"	"agridata/images/中国农业有害生物数据库/中国粮食作物细菌病害数据库/大麦细菌条斑病.jpg"
"2"	"主要为害叶片和叶鞘"	"燕麦细菌性条斑病"	"病斑浅褐色或红褐色，条状，沿叶脉扩展。"	"细菌"		"燕麦假单胞菌"	"Pseudomonas striafaciens(Elliott)Starr et Burkh．=Pseudomonas avenae Manns"	"燕麦"		"菌体杆状，大小1．8×0．6(μm)，单生、双生或链状，具极生鞭毛1～2根。革兰氏染色阴性。好气性。肉汁胨琼脂平面上菌落白色，具乳光，圆形，凸起，表面平滑具光泽，肉汁胨液中有菌膜。"	"喻璋等编著．小麦病虫害及其防治．成都：四川大学出版社，2002 吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999"	"细菌性条纹病"	"(1)选育抗病品种。(2)加强田间管理雨后及时排水，防止湿气滞留；采用配方施肥技术，提高寄主抗病力。(3)必要时可在发病初期喷洒14％络氨铜水剂300倍液或47％加瑞农可湿性粉剂700～800倍液、12％绿乳铜乳油600倍液。"	"fd00026"	"KB培养基上菌落白色，不产生荧光。能利用葡萄糖、半乳糖，甘油产酸但不产气。不能利用乳糖、麦芽糖、蔗糖。生长适温30～36℃，最高42℃，最低5℃，致死温度55～56℃。 病菌随病残体在土壤中越冬。翌年雨季，从植株伤口或气孔侵入。高温高湿的雨季利其发生和扩展。地势低洼、排水不良，偏施过施氮肥易发病。"	"agridata/images/中国农业有害生物数据库/中国粮食作物细菌病害数据库/燕麦细菌性条斑病.jpg"
"3"	"主要为害叶片、叶鞘、茎秆节与节间。"	"小麦黑节病"	"叶片染病初生水渍状条斑，后病斑颜色变为黄褐色，最后呈浓褐色。病斑长椭圆形，也有中间色浅些的。叶鞘染病沿叶脉形成黑褐色长形条斑，多与叶上病斑相连，后叶鞘全部变为浅褐色。茎秆染病主要为害节部，病部呈浓褐色，内部也变色，后可扩展至节间，发病早的秆部逐渐腐败，叶片变黄，造成全株枯死。"	"细菌"		"丁香假单胞菌条纹致病变种"	"Pseudomonas syringae pv．striafaciens(Elliott)Young et al．异名Pseudomonas striafaciens(Elliott)Starr et Burkholder"	"小麦"		"Pseudomonas syringae pv．striafaciens(Elliott)Young et al．异名Pseudomonas striafaciens(Elliott)Starr et Burkholder称丁香假单胞菌条纹致病变种，属细菌。细菌杆状，两端圆，大小1．0～2．5×0．4～1．0(μm)，具单极生鞭毛1～2根，革兰氏染色阴性，在PDA培养基上，菌落白色，圆形，中间隆起，全缘。发育适温22～24℃，50℃经10分钟致死。"	"喻璋等编著．小麦病虫害及其防治．成都：四川大学出版社，2002 吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999"		"参见小麦散黑穗病。病重田块的麦秆，及时处理。"	"fd00038"	"该菌在干燥条件下可长期存活，干燥种子上的病菌可活到秋播季主要靠麦种带菌传播。"	"agridata/images/中国农业有害生物数据库/中国粮食作物细菌病害数据库/小麦黑节病.jpg"
"4"	"主要为害小麦叶片、叶鞘、穗部、颖片及麦芒。"	"小麦黑颖病"	"穗部染病穗上病部为褐色至黑色的条斑，多个病斑融合在一起后颖片变黑发亮。颖片染病后引起种子感染。致病种子皱缩或不饱满。发病轻的种子颜色变深。叶片染病初呈水渍状小点，渐沿叶脉向上、下扩展为黄褐色条状斑。穗轴、茎秆染病  产生黑褐色长条状斑。湿度大时，以上病部均产生黄色细菌脓液。分布在我国北方麦区。"	"细菌"		"油菜黄单胞菌小麦致病变种"	"Xanthomonas campestris pv．translucens(Jones et al．)Dye"	"麦类"		"Xanthomonas campestris pv．translucens(Jones et al．)Dye称油菜黄单胞菌小麦致病变种，属细菌。菌体杆状，大小1～2．2×0．5～0．7(um)，极生单鞭毛，革兰氏染色阴性，有荚膜，无芽孢，好气性，在洋菜培养基上能产生非水溶性的黄色色素。在马铃薯上长有黄、粘生长物。呼吸代谢，永不发酵。在肉汁胨琼脂平面上菌落生长不快，呈蜡黄色，圆形，表面光滑，有光泽，边缘整齐，稍隆。生长适温24～26℃，高于38℃不能生长，致死温度50℃。该菌有许多致病型，除小麦专化型外，还有为害大麦、黑麦的专化型。"	"喻璋等编著．小麦病虫害及其防治．成都：四川大学出版社，2002 吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999"		"(1)建立无病留种田，选用抗病品种。(2)种子处理  采用防治小麦散黑穗病变温浸种法，28～32℃浸4小时，再在53℃水中浸7分钟。也可用15％叶青双胶悬剂3000mg／kg浸种12小时。(3)发病初期开始喷洒25％叶青双可湿性粉剂，每667m 2 用100～150g对水50～60L喷雾2～3次，或用新植霉素4000倍液效果也很好。"	"fd00039"	"种子带菌是该病主要初侵染源。病残体和其它寄主也可带菌，是次要的。病菌从种子进入导管，后到达穗部，产生病斑。病部溢出菌脓具大量病原细菌，借风雨或昆虫及接触传播，从气孔或伤口侵入，进行多次再侵染。高温高湿利于该病扩展，因此小麦孕穗期至灌浆期降雨频繁，温度高发病重。"	"agridata/images/中国农业有害生物数据库/中国粮食作物细菌病害数据库/小麦黑颖病.jpg"
"5"	"穗"	"小麦蜜穗病"	"该病是伴随小麦线虫而产生的细菌病。小麦抽穗后发生。染病株心叶卷曲，叶和叶鞘间含有黄色胶质物和细菌溢脓。新生叶片从含有上述菌脓叶筒内抽出时受阻，常粘有细菌分泌物。病株麦穗瘦小或不能抽出，护颖间也常沾有黄色胶质物，干燥后溢脓在穗部或上部叶片上变成白色膜状物，使穗、叶坚挺。湿度大时，溢脓增多或流淌下落。小麦成熟后，黄色胶质物凝结为胶状小粒。"	"细菌"		"小麦棒杆菌"	"Clavibacter tritici(Carlson and Vidaver)Davis et al．"	"小麦"	"棒杆菌属"	"Clavibacter tritici(Carlson and Vidaver)Davis et al．称小麦棒杆菌，属棒杆菌属细菌，是具有钝圆末端的楔形短杆菌，大小1．3×0．5～0．7(um)，一般单个或首尾相连成对排列。革兰氏染色阳性，好气性，不产孢，菌体棍棒状，没有球形或杆状变化的多态性，也无突然折断分裂现象。胞壁中含有二氨基丁酸；G+C为51％～59％。该菌原名为Corynebacterium tritici(ex．Hutchinson)Cahson and Vodaver后归入新建立的棒杆菌属中。"	"喻璋等编著．小麦病虫害及其防治．成都：四川大学出版社，2002 吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999"		"重点防治小麦线虫病，小麦线虫病防住以后，即无本病发生。"	"fd00040"	"本病主要靠小麦线虫为介体侵入小麦，侵入后细菌扩展快则全穗为蜜穗病。线虫发展快时则病穗成为虫瘿粒或部分为虫瘿，部分为蜜穗。蜜穗病株中的虫瘿内皆带有密穗病病原细菌。可在虫瘿内存活2年半左右。"	"agridata/images/中国农业有害生物数据库/中国粮食作物细菌病害数据库/小麦蜜穗病.jpg"
"6"	"主要为害小麦叶片，严重时也可为害叶鞘、茎秆、颖片和籽粒。"	"小麦细菌性条斑病"	"主要为害小麦叶片，严重时也可为害叶鞘、茎秆、颖片和籽粒。病部初现针尖大小的深绿色小斑点，后扩展为半透明水浸状的条斑，后变深褐色，常出现小颗粒状细菌脓。褐色条斑出现在叶片上，故称为细菌性条斑病。病斑出现在颖壳上的称黑颖。"	"细菌"	"分布在北京、山东、新疆、西藏等地"	"小麦黑颖病黄单胞菌(油菜黄单胞菌波形致病变种)"	"Xanthomonas campestris pv．undulosa(Smith，Jones et Raddy)Dye"	"小麦"		"Xanthomonas campestris pv．undulosa(Smith，Jones et Raddy)Dye称小麦黑颖病黄单胞菌(油菜黄单胞菌波形致病变种)，属细菌。菌体短杆状，两端钝圆，极生单鞭毛。菌体大多数单生或双生，个别链状。大小1～2．5×0．5～0．8(um)，有荚膜，无芽孢。革兰氏染色阴性，好气性。"	"喻璋等编著．小麦病虫害及其防治．成都：四川大学出版社，2002 吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999"		"(1)选用抗病品种。(2)适时播种，冬麦不宜过早。春麦要种植生长期适中或偏长的品种，采用配方施肥技术。(3)用45℃水恒温浸种3小时，晾干后播种。也可用1％生石灰水在30℃下浸种24小时，晾于后再用种子重量0．2％的40％拌种双粉剂拌种。"	"fd00041"	"病菌随病残体在土中或在种子上越冬，翌春从寄主的自然孔口或伤口侵入，经3～4天潜育即发病，在田间经暴风雨传播蔓延，进行多次再侵染。在新疆5～7月大的暴风雨次数多，造成叶片产生大量伤口，致细菌多次侵染，易流行成灾。生产上冬麦较春麦易发病，冬麦中新冬2号、中引4号、75—149、74—56发病重，而新冬7号、4B一10一5发病轻。春麦中白欧柔发病重，阿勃次之，赛洛斯发病轻。一般土壤肥沃，播种量大，施肥多且集中，尤其是施氮肥较多，致植株密集，枝叶繁茂，通风透光不良则发病重。"	"agridata/images/中国农业有害生物数据库/中国粮食作物细菌病害数据库/小麦细菌性条斑病.jpg"
"7"	"叶片"	"小麦细菌叶枯病"	"小麦孕穗期在旗叶上开始发生小形水浸状灰绿色斑点，后扩大成不规则褐色至黄褐色大斑，严重时整个叶片变黄枯死。在有露水或雨后病斑上可以看到细菌溢脓，但没有观察到穗部的侵染。"	"细菌"	"陕西、河南"	"丁香假单胞秆菌"	"Pseudomonas syringae Van Hall．"	"小麦"		"菌体秆状，极生一根或几根鞭毛，大小(0．5～0．7)nm×(O．8～2．2)nm。格兰氏染色阴性。在金氏培养基β(Kengsβ)上菌落乳白色、圆形、光滑，并产生一种绿色萤光。在牛肉汁琼脂培养基上菌落灰白色，后呈浅蓝色。液化明胶，水解淀粉，腐烂马铃薯块，对葡萄糖、蔗糖、果糖、甘露糖、半乳糖、甘露醇、甘油、山梨糖醇和赤鲜醇等产酸不产气，而对乳糖、麦芽糖不产酸。能利用柠檬酸盐、乳酸盐和琥珀酸盐，不能利用醋酸盐、酒石酸盐或草酸盐。能形成吲哚，不能还原硝酸盐。 丁香假单胞秆菌是一个包括许多株系的混合种，不同于草本或禾本科寄主上的专化菌株，所以许多丁香假单胞秆菌的分离菌都不寄生在小麦上。"	"喻璋等编著．小麦病虫害及其防治．成都：四川大学出版社，2002 吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999"		"主要是选用抗病品种。"	"fd00042"	"各种土壤中都普遍存在丁香假单胞秆菌，小麦上的致病菌靠风雨飞溅传播，由叶片气孔和伤口侵入。相对温度高，春季气温冷凉(15℃～25℃)有利于病害发生。"	"agridata/images/中国农业有害生物数据库/中国粮食作物细菌病害数据库/小麦细菌叶枯病.jpg"
"8"	"叶片、茎秆"	"水稻黑条矮缩病"	"主要症状表现为分蘖增加，叶片短阔、僵直，叶色深绿，叶背的叶脉和茎秆上现初蜡白色，后变褐色的短条瘤状隆起，不抽穗或穗小，结实不良。不同生育期再一种病毒粒子排列成串，外包一层膜呈豆荚状、鞘状或管状构造。"	"细菌"				"禾本科的水稻、大麦、小麦、玉米、高粱、粟、稗草、看麦娘和狗尾草等"		"病毒钝化温度50～60℃，病叶汁液稀释限点10000～100000倍，病叶汁液体外保毒期5～6天。"	"吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999"	"“矮稻”"	"(1)合理布局，连片种植，并能同时移栽。清除田边杂草，压低虫源、毒源。(2)治虫防病。注意秧田、本田前期防治，还要注意麦田防虫。抓住一代成虫从麦田迁向稻田和二、三代成虫由早稻本田迁向晚稻秧田及玉米上，末代成虫和越冬若虫从晚稻迁到早播麦田的防治。具体防治方法参见灰飞虱。"	"fd00093"	"水稻黑条矮缩病毒为害禾本科的水稻、大麦、小麦、玉米、高粱、粟、稗草、看麦娘和狗尾草等20多种寄主。该病毒只靠灰飞虱、白背飞虱、白带飞虱等传染。其中主要以灰飞虱传毒为主。介体一经染毒，终身带毒，但不经卵传毒。病毒主要在大麦、小麦病株上越冬，有部分也在灰飞虱体内越冬。第一代灰飞虱在病麦上接毒后传到早稻、单季稻、晚稻和青玉米上传毒。稻田中繁殖的2、3代灰飞虱，在水稻病株上吸毒后，迁入晚稻和秋玉米上传毒，晚稻上繁殖的灰飞虱成虫和越冬代若虫又进行传毒，传给大麦、小麦。由于、灰飞虱不能在玉米上繁殖，故玉米对该病毒再侵染作用不大。田间病毒通过麦一早稻一晚稻的途径完成侵染循环。灰飞虱最短获毒时间为30分钟，1～2天即可充分获毒，病毒在灰飞虱体内循回期为8～35天。接毒时间仅1分钟。稻株接毒后潜伏期14～24天。晚稻早播比迟播发病重，稻苗幼嫩发病重。大麦、小麦发病轻重、毒源多少，决定水稻发病程度。"	"agridata/images/中国农业有害生物数据库/中国粮食作物细菌病害数据库/水稻黑条矮缩病.jpg"
"9"	"茎"	"蚕豆茎疫病"	"初在蚕豆茎顶端生黑色短条斑或小斑块，稍凹陷，高温高湿条件下病斑迅速扩展向茎下方蔓延，长达15～20cm或达茎的2／3，病茎变黑，软化呈粘性或收缩成线状，后期叶片逐渐萎蔫，腐烂死亡。气候干燥或天旱，病情扩展缓慢，一直表现为不N-N形至长圆形病斑。该病茎大部分变黑，上方叶片枯萎脱落，仅留下黑化的茎端。"	"细菌"		"蚕豆茎疫病假单胞菌"	"Pseudomonas  fabae(Yu)Burkholder"	"除为害蚕豆外，还为害菜豆、豌豆、大豆、羽扁豆等。"		"Pseudomonas  fabae(Yu)Burkholder称蚕豆茎疫病假单胞菌，属细菌。菌体杆状，大小1．1～2．8×0．8～1．1(um)，单生或双生，无芽孢，有荚膜，具极生鞭毛1～4根，革兰氏染色阴性。生长适温35℃，最高37～38℃，最低4℃，52～53℃经10分钟致死。"	"吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999"	"蚕豆细菌性茎枯病"	"(1)选用抗病品种，建立无病留种田，防止种子带菌传播。(2)发病初期，喷洒72％农用硫酸链霉素可溶性粉剂或新植霉素4000倍液、50％琥胶肥酸铜可湿性粉剂500倍液、30％碱式硫酸铜悬浮剂400倍液、77％可杀得可湿性微粒粉剂500～600倍液，隔7～10天1次，防治2～3次。"	"fd00104"	"主要通过种子传播，从气孔或伤口侵入，经几天潜育即见发病。"	"agridata/images/中国农业有害生物数据库/中国粮食作物细菌病害数据库/蚕豆茎疫病.jpg"
"10"	"全株"	"甘薯瘟病"	"是国内检疫对象。在甘薯各生育期均可发病，表现不同症状。苗期染病株高20cm左右顶端1～3片叶萎蔫，后整株枯萎褐变，基部黑烂；成株期染病见于定植后，健苗栽后半个月前后显症，维管束具黄褐色条纹，病株于晴天中午萎蔫呈青枯状，发病后期各节上的须根黑烂，易脱皮，纵切基部维管束具黄褐色条纹。薯块染病轻者薯蒂、尾根呈水渍状变褐，较重者薯皮现黄褐色斑，横切面生黄褐色斑块，纵切面有黄褐色条纹，严重时薯皮上现黑褐色水渍状斑块，薯肉变为黄褐色，维管束四周组织腐烂成空腔或全部烂掉。该病叶色不变黄萎垂、茎部不膨大、无纵裂。别于蔓割病。"	"细菌"		"青枯假单胞菌"	"Pseudomonas solanacearum pv．batatae(Smith)Smith"	"甘薯"		"Pseudomonas solanacearum pv．batatae(Smith)Smith称青枯假单胞菌，属细菌。菌体短杆状，单细胞，两端圆，单生或双生，极生1～4根鞭毛，大小0．9～2．0×0．5～0．8(pm)。在肉汁胨蔗糖琼脂培养基上，菌落圆形或不整形，污白色或暗色至黑褐色，稍隆起，平滑具亮光，革兰氏染色阴性。除侵染甘薯外，还可侵染马铃薯、番茄、茄子、辣椒等。在田间发现病株时可剥开未烂表皮，用刀片把维管柬组织切成薄片置于载玻片上，滴上一滴水，1分钟后，病组织附近溢出细菌，通过镜检可进行初步鉴定。"	"吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999"	"细菌性枯萎病、青枯病"	"(1)选用潮汕白、台城薯、金山247、南薯88号、华北48、湘农黄、广薯15、南京92、紫心、台农46、豆沙种、72选、普薯14号、湘薯5号、湘薯15号等抗病品种。(2)认真执行检疫法规，按照《甘薯种苗产地检疫规程》建立无病留种基地，防止该病扩大。(3)实行轮作有条件的实行水旱轮作，此外也可与高粱、甘蔗、大豆等轮作。(4)提倡使用酵素菌沤制的堆肥。清除病薯、病苗，集中烧毁。(5)栽前可用72％农用硫酸链霉素4000倍液浸苗10分钟，结合栽后泼浇，对前期发病有一定抑制作用。"	"fd00105"	"病原细菌可在土中存活1～3年，是主要初侵染源，病苗、病薯、病土是远距离传播的主要途径，灌溉水、粪肥也可传病。生产上4～5月气温22～28℃、湿度高易发病，低洼地、酸性土壤、连作地发病重。"	"agridata/images/中国农业有害生物数据库/中国粮食作物细菌病害数据库/甘薯瘟病.jpg"
