"id"	"主要危害部位"	"地理分布"	"为害症状"	"病害类型"	"中文名"	"病原中文名"	"病原拉丁学名"	"主要危害作物"	"别名"	"病原分类地位"	"病原形态特征"	"相关文献"	"防治方法"	"英文名"	"记录号"	"传播途径和发病条件"	"图片"
"1"	"叶"		"植株明显矮化，节间缩短，畸形，出现明显的黄、绿相间的斑驳花叶，绿色的斑驳有的受叶脉限制，有的变为红色，老叶表现较明显。幼叶期染病，叶子变小，皱缩，缺刻少于健叶，成株后期遇有高温条件症状隐蔽或无症，有时能再次显症。棉花病毒病过去研究较少，现已引起有关部门注意。"	"病毒"	"棉花花叶病毒病"	"普通花叶病毒,烟草线条病毒"	"Common mosaic virus称普通花叶病毒和Tobacco streak virus称烟草线条病毒"	"棉花，烟草等"				"吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999"	"选用抗病品种。"	"Cotton mosaic"	"ed00001"	"普通花叶病毒在田间靠烟粉虱传毒，但卵不带毒，种子也不传毒，嫁接能传毒，有时也能以汁液传毒。在田间烟粉虱在带毒杂草上取食，再把病毒传到棉株上，造成零星发病。至于烟草线条病毒有点象普通花叶病毒，但发病率高于前者，其传毒介体不清，嫁接传毒发病快。"	"agridata/images/中国农业有害生物数据库/中国经济作物病毒病害数据库/棉花花叶病毒病.jpg"
"2"	"叶，茎顶部"	"东北、山东、山西、江苏均有发生"	"发生相当普遍，仅次于花叶病。东北、山东、山西、江苏均有发生。检测1980～1985年从全国各地征集的带毒种子，顶枯病检出率为19．84％，为害很大。 该病症状变化较大且多在生长中期显症。北方很多品种表现为豆株从顶部开始沿茎向下变褐枯死，叶脉坏死或形成大的坏死斑块。染病早的植株不结实，发病晚的结实率很低，在田间枯死的顶部易被叶片掩盖。此外，有的呈轻花叶或轻微皱缩或沿主脉抽缩。病种子也产生斑驳。该病无论植株还是种子症状较难与大豆花叶病区分。必要时需检测病原，测定病株细胞内有无风轮状内含体，大豆顶枯病细胞内无风轮状内含体。而大豆花叶病则有。"	"病毒"	"大豆顶枯病"	"黄瓜花叶病毒大豆萎缩株系"	"Cucumber mosaic virus CMV—Soybean stunt strain，简称CMV—S"	"寄主范围较黄瓜花叶病毒窄，能系统侵染的作物有大豆、小豆、豌豆、扁豆、心叶烟、黄瓜、南瓜、西葫芦等，局部侵染苋色藜、豇豆、绿豆、蚕豆、菜豆等。"	"矮化病、萎缩病"	"黄瓜花叶病毒组"	"Cucumber mosaic virus CMV—Soybean stunt strain，简称CMV—S称黄瓜花叶病毒大豆萎缩株系，属黄瓜花叶病毒组。病毒粒体球状，直径28～30nm，含单股RNA，钝化温度50～60℃，稀释限点100～1000倍，体外保毒期1～4天。寄主范围较黄瓜花叶病毒窄，能系统侵染的作物有大豆、小豆、豌豆、扁豆、心叶烟、黄瓜、南瓜、西葫芦等，局部侵染苋色藜、豇豆、绿豆、蚕豆、菜豆等。"	"吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(下)．呼和浩特：远方出版社，1999"	"(1)采用防治大豆花叶病毒病播种无毒或低毒种子为核心的综合防治措施。种皮斑驳率可控制在2％以下。(2)选用抗病品种。如日本的出羽娘等。(3)其它方法参见大豆花叶病。"	"Soybean top necrosis disease"	"ed00026"	"该病毒寄主虽较广，但生产上的初侵染源仍然是种传病苗，该病毒种传率可达80％～100％，传毒蚜虫主要有大豆蚜、豆蚜、桃蚜、马铃薯长管蚜等，汁液也可传毒。"	"agridata/images/中国农业有害生物数据库/中国经济作物病毒病害数据库/大豆顶枯病.jpg"
"3"	"叶"	"分布在我国东北、山东等大豆栽培区"	"本病症状常因品种、感病阶段及气温不同变异较大。常见症状有4种：轻花叶型叶片生长基本正常，叶上现出轻微淡黄绿相间斑驳，对光观察尤为明显，通常后期病株或抗病品种多表现此状。重花叶型病叶呈黄绿相间斑驳，皱缩严重，叶脉变褐弯曲，叶肉呈泡状凸起，叶缘下卷，后期致叶脉坏死，植株明显矮化。皱缩花叶型症状介于轻、重花叶型之间，病叶出现黄绿相间花叶，沿叶脉呈泡状凸起，叶片皱缩呈歪扭不整形。黄斑型轻花叶型与皱缩花叶混生，出现黄斑坏死，表现为叶片皱缩褪色为黄色斑驳，叶片密生坏死褐色小点，或生出不规则的黄色大斑块，叶脉变褐坏死。此外，该病常引起豆粒出现斑驳，其色泽随豆粒脐部颜色而异，多褐色或浅褐色。此外，还可引起花芽萎蔫不结实或呈黑褐色枯死。"	"病毒"	"大豆花叶病"	"大豆花叶病毒"	"Soybean mosaic virus简称SMV"	"豆科植物"		"马铃薯Y病毒组"	"Soybean mosaic virus简称SMV，称大豆花叶病毒，属马铃薯Y病毒组。病毒粒体线状，大小650～760×13(nm)。含单股RNA。病毒在体外不稳定，钝化温度60～70℃，稀释限点100～1000倍，体外保毒期1～4天。该病毒寄主范围较窄，只能系统侵染大豆、蚕豆、豌豆、秣食豆、紫云英等豆科作物。局部侵染昆诺藜，扁豆，菜豆中“Topctop”、“Monroe”，家雀蛋等，成为该病鉴别寄主。该病毒东北划分了3个株系群包括5个株系。江苏分出6个株系。东北的1号株系群即江苏的Ｓd群及Ｓf群，东北的3号株系即G5。"	"吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(下)．呼和浩特：远方出版社，1999"	"(1)根据播种种子带毒率高低、介体蚜虫发生期和数量、气温、品种等因素为驱动变量，建立大豆花叶病预测管理模拟模型的电子计算程序，预测种传率、发病率及产量损失率。(2)播种无毒或低毒的种子，是防治该病关键。生产上种子带毒率要求控制在0.5％以下，可明显推迟发病盛期，减轻种子发病率。为此最好建立种子无毒繁育体系。良种繁殖田种子带毒率控制在0．2％以下，种子田与生产田隔离100m以上，早期清除病苗，一季作地区适当晚播。南方种子带毒率高，以采用耐病品种为主，适当注意调整播种期，使苗期避开蚜虫高峰。(3)选用免疫或抗病品种免疫品种有87812、85444S一1(ZDDl9391)、RN～9、3481、3317、86537—6、3708、鲁黑豆2号、860509—1(ZDDl9397)、齐都84(ZDDl9361)、凤91—801(ZDDl8144)、凤91—709(ZDDl8160)、丹807(ZDDl8166)、新金黄豆。抗病品种有假黄豆、鲁豆6号、文登青黑豆、莱阳二黑豆、齐都56—7、荣城青黄豆、烟青豆1号、铁皮黄豆、丹东金黄豆、凤8501、白花油豆、丹90一702、丹90一705、刘家河黄豆、抗旱大豆、辽85009、耐阴黑豆、中品661、凤91—805、铁丰18号抗1号株系群、科系8号、诱变30抗1号、2号株系群、齐黄22号、兖黄1号等。(4)治蚜防病有条件的铺银灰膜驱蚜，效果达80％。也可在有翅蚜迁飞前防治，用3％呋喃丹颗粒剂与大豆分层播种，每667m 2 用量5～6kg，还可喷洒40％乐果乳油1000～2000倍液或2．5％溴氰菊酯(敌杀死)乳油2000～4000倍液、50％抗蚜威可湿性粉剂2000倍液、10％吡虫啉(一遍净)可湿性粉剂2500倍液。缺水地区也可喷撒1．5％乐果粉剂每667m 2 l．5～2kg。(5)发病重的地区可在发病初期喷洒0．5％抗毒丰菇类蛋白多糖水剂(原名抗毒剂1号)300倍液或10％病毒王可湿性粉剂500倍液(齐齐哈尔市四友化工实业有限公司)、1．5％植病灵Ⅱ号乳油1000倍液、NS•83增抗剂100倍液。"	"Soybean mosaic"	"ed00027"	"大豆病毒病是由多种病毒单一或复合侵染的一类系统病害。主要包括大豆花叶病、大豆顶枯病、大豆芽枯病等。分布在我国东北、山东等大豆栽培区。其中大豆花叶病发生普遍，占大豆病毒病80％以上，减产40％。 东北等一季作地区及南方大豆栽培区，种子带毒在田间形成病苗是该病初侵染来源，长江流域该毒原可在蚕豆、豌豆、紫云英等冬季作物上越冬，也是初侵染源。该病的再侵染系由桃蚜、豆蚜、大豆蚜等30多种蚜虫传毒完成，上述3种蚜虫传毒率为30％～50％，茄沟无网蚜(Macrosiphum solani)为23％，玉米蚜12％，棉蚜4％。东北主要靠大豆蚜和豆蚜传毒，大豆蚜占传毒蚜总数的74％，豆蚜占15．5％。山东以桃蚜、豆蚜、大豆蚜等为主，南京以大豆蚜为主。发病初期蚜虫一次传播范围在2m以内，5m以外很少，蚜虫进入发生高峰期传毒距离增加。生产上使用了带毒率高的豆种，且介体蚜虫发生早、数量大，植株被侵染早，品种抗病性不高，播种晚时，该病易流行。"	"agridata/images/中国农业有害生物数据库/中国经济作物病毒病害数据库/大豆花叶病.jpg"
"4"	"全株"	"在我国的四川、重庆、湖南、湖北、浙江、江西、广东、广西、云南、福建、台湾等省(直辖市、自治区)均有发生。"	"受害植株砧木部树皮纵向开裂，部分树皮剥落，植株矮化，新梢少，开花多，着果少，后部分枝梢枯死。兰普来檬和枳受感染后4～6个月，其新梢上会出现长形黄斑，病斑部树皮纵向开裂。香橼受感染后3～6个月叶脉向后弯曲，叶片背面主脉、侧脉木栓化开裂。柑橘被该病毒的弱毒系感染时，仅砧木植株矮化，无裂皮症状。 其指示植物有亚利桑娜861香橼和爪哇三七。经皮组织嫁接接种后2～3个月，在香橼叶片背面主、侧脉上产生暗褐色网络症状；在爪哇三七上为叶片直立，中脉坏死症状。"	"病毒"	"柑橘裂皮病"		"Citrus excocortis virus简称CEV"	"主要危害以枳作砧木的柑橘，以橘、橙作砧木的受害轻微。"	"剥皮病"			"夏声广，唐启义主编．柑橘病虫害防治原色生态图谱．北京：中国农业出版社，2006 任伊森等编著．柑橘病虫害防治手册．北京：金盾出版社，2001 任伊森，蔡明段主编．柑橘病虫草害防治彩色图谱．北京：中国农业出版社，2004 陈福如主编．柑橘病虫害诊治图谱．福州：建科学技术出版社，2004"	"①培育无病苗木。母树用伊特洛格香橼亚利桑那86l品系作指示植物进行鉴定，证明无病者方可采穗繁殖，亦可通过茎尖嫁接方法脱毒培育无毒植株。②嫁接刀或修枝剪等工具，可用1％次氯酸钠液或10％漂白粉水溶液10倍液消毒，将工具浸入消毒液或用布蘸后擦洗刀刃部1～2秒钟，再用清水冲洗擦干使用。③实行植物检疫，防止扩散。"	"Citrus exocortis viroid"	"ed00055"	"裂皮病病株和隐症带毒植株是该病害的侵染源。此病除通过苗木和接穗的调运传播外，受病原污染的工具和手等与健株韧皮部接触也可传播。寄主的感病性是决定裂皮病发生的主要因素，枳、枳橙、兰普来檬和一些其他柠檬以及某些香橼选系感病后表现出明显的病状；甜橙、宽皮柑橘和柚等感病后不显病状，成为隐症带毒植株。用酸橙、酸橘、红橘和枸头橙作砧木的比较抗病。"	"agridata/images/中国农业有害生物数据库/中国经济作物病毒病害数据库/柑橘裂皮病.jpg"
"5"	"叶"		"病株春梢新芽黄化，新叶变小皱缩，叶片两侧明显向叶背面反卷成船形或匙形，全株矮化，枝叶丛生。严重时开花多结果少，果实小而畸形，蒂部果皮变厚。需要注意的是，船形叶或匙形叶并非此病所特有，准确的诊断应通过草本指示植物(常用的有白芝麻、黑眼豇豆、美丽菜豆等)接种和血清学(常用的有ELISA法)鉴定来判定。"	"病毒"	"温州蜜柑萎缩病"			"此病主要为害温州蜜柑，也可为害脐橙、伊予柑、夏柑和西米诺尔橘柚等，还可侵染豆科、匣科、苎麻科、苋科、菊科、葫芦科的34种草本植物，但多数寄主为隐症带毒者。"	"温州蜜柑矮缩病"			"夏声广，唐启义主编．柑橘病虫害防治原色生态图谱．北京：中国农业出版社，2006 任伊森等编著．柑橘病虫害防治手册．北京：金盾出版社，2001 任伊森，蔡明段主编．柑橘病虫草害防治彩色图谱．北京：中国农业出版社，2004 陈福如主编．柑橘病虫害诊治图谱．福州：建科学技术出版社，2004"	"(1)从无病的母本树上采穗。将带毒母树置于白天40℃，夜间30℃(各12小时)的高温环境热处理42～49天后采穗嫁接，或用上述温度热处理7天后取其嫩芽作茎尖嫁接可脱除该病毒。 (2)及时砍伐重症的中心病株，并加强肥水管理，增强轻病株的树势。 (3)病园更新时进行深耕。"		"ed00056"	"此病主要通过嫁接和汁液传播，远距离传播主要通过带病的接穗和苗木的运输。"	"agridata/images/中国农业有害生物数据库/中国经济作物病毒病害数据库/温州蜜柑萎缩病.jpg"
"6"	"叶"	"已知分布于浙江、台湾、广东、广西、福建、湖南、四川和湖北等省(自治区)"	"病株嫁接接合处环隘，接口以上的接穗部肿大，植株矮化，叶脉黄化。剥去接合处皮层，可见接穗与砧木的木质部间有一圈褐色的缢缩线。受较强外力推动时，接口易断裂，裂面光滑。病穗接在指示植物厚皮来檬和腊斯克枳橙上时，新抽出的叶片出现扭曲破碎和凹凸不平的症状。 植株受害后黄化衰弱，严重时整株枯死。"	"病毒"	"柑橘碎叶病"	"柑桔碎叶病毒"	"Citrus tatter leaf virus"	"主要为害以枳及其杂种作砧木的柑橘树"				"夏声广，唐启义主编．柑橘病虫害防治原色生态图谱．北京：中国农业出版社，2006 任伊森等编著．柑橘病虫害防治手册．北京：金盾出版社，2001 任伊森，蔡明段主编．柑橘病虫草害防治彩色图谱．北京：中国农业出版社，2004 陈福如主编．柑橘病虫害诊治图谱．福州：建科学技术出版社，2004"	"(1)用腊斯克枳橙作指示植物，通过鉴定选择无病母本树剪取接穗。如找不到无病母本树，可通过热处理或热处理与茎尖嫁接相结合进行脱毒，获得无病毒母株。 (2)选用构头橙、酸橘和红橘等抗、耐病砧木。发病树靠接耐病砧木对恢复树势有一定效果，但保留病树会增加病害扩大蔓延的机会。 (3)对不同来源的柑橘植株进行嫁接、修剪或采穗时，剪完一批植株后，剪、刀等工具用1：5的漂白粉水溶液或1％次氯酸钠溶液浸渍消毒，再用清水冲洗后擦干，以防止机械传播。"	"Citrus tatter leaf"	"ed00078"	"病原可通过嫁接、机械和菟丝子传播。感病的品种有枳、枳橙、厚皮来檬等，较耐病的有甜橙、酸橙、柠檬和粗柠檬等。此外，还可侵染豆科、茄科、藜科等多种草本植物。此病的发生还与砧木种类直接有关，以枳和枳橙为砧木的比较敏感，病穗接在酸橘和红橘等砧木上则带病而不显症。"	"agridata/images/中国农业有害生物数据库/中国经济作物病毒病害数据库/柑橘碎叶病.jpg"
"7"	"叶片"	"大多数苹果产区有分布"	"主要在叶片上形成各种类型的鲜黄色病斑，其症状变化很大，一般可分为三种类型。重花叶型：夏初叶片上出现鲜黄色后变为白色的大型褪绿斑区。轻花叶型：只有少数叶片出现少量黄色斑点。沿脉变色型：沿脉失绿黄化，形成一个黄色网纹，叶脉之间多小黄斑，而大型褪绿斑区较少。此外，有些株系产生线纹或环斑症状。"	"病毒"	"苹果花叶病"	"李属坏死环斑病毒苹果株系"	"Papaya RingSpot Virus 简称PRSV"	"还可危害花红、海棠、沙果、槟子、山楂、木瓜等"				"吕佩珂等撰摄．中国果树病虫原色图谱．北京：华夏出版社，1993 王金友，李知行主编．落叶果树病害原色图谱．北京：金盾出版社，1995 张敏主编．看图诊治苹果 梨病虫害．成都：四川科学技术出版社，2003"	"(1)培育无病苗木。接穗采自无毒母树，砧木用实生苗。 (2)砍除病树。 (3)交叉保护。利用苹果花叶病毒的弱毒株系预先接种可干扰强毒株系的作用。"	"Apple mosaic"	"ed00081"	"主要通过嫁接传染，靠接穗或砧木传播。汁液摩擦不传染。当气温10～20℃、光照较强、土壤干旱及树势衰弱时，有利于症状显现。当条件不适宜时，症状可暂时隐蔽。品种抗病性有差异，青香蕉、白龙、黄魁、金冠、秦冠、红玉等品种发病较重。"	"agridata/images/中国农业有害生物数据库/中国经济作物病毒病害数据库/苹果花叶病.jpg"
"8"	"果实"	"该病在日本、澳大利亚、新西兰、丹麦、加拿大、美国等均有报道。我国甘肃、陕西、河南、辽宁等地有病树发现。"	"主要危害果实，果面出现水渍状凹陷病斑，大小、形状不规则，果实发育畸形，凹凸不平。最后果皮木栓化，铁锈色并有裂纹。剖果检查，凹陷斑下的维管束呈绿色，弯曲变形。"	"病毒"	"苹果绿皱缩果病"			"苹果"				"吕佩珂等撰摄．中国果树病虫原色图谱．北京：华夏出版社，1993 王金友，李知行主编．落叶果树病害原色图谱．北京：金盾出版社，1995 张敏主编．看图诊治苹果 梨病虫害．成都：四川科学技术出版社，2003"	"参照苹果花叶病。"	"Apple green crinkle"	"ed00082"	"该病毒通过嫁接传染，一般潜育期为2年左右，最长可达8年之久。病健根接触亦可传染，末发现传媒昆虫。我国感病品种主要为金冠、元帅、红星、国光等品种。"	"agridata/images/中国农业有害生物数据库/中国经济作物病毒病害数据库/苹果绿皱缩果病.jpg"
"9"	"根"	"大多数苹果栽培区有分布。"	"首先表现在根部，起初一部分须根出现坏死斑块，扩大后使全部根系枯死。病根木质部表面有凹陷斑或纵向条沟。由于根部受害，新梢生长量减少，叶小而硬，色淡而早落。病树花多、果少，且小而坚硬，3～5年后逐渐衰退而死。"	"病毒"	"苹果衰退(潜隐病毒)病"	"由苹果褪绿叶斑病毒ACLSV、茎沟病毒ASGV、茎痘病毒ASPV单独浸染或复合浸染所致"		"只侵害苹果和梨"			"ACLSV危害苹果、梨、榅桲、桃、李、杏、甜樱桃、酸樱桃等，ASGV和ASPV只侵害苹果和梨。三种病毒由于在一般栽培品种上不显症状，故称潜隐病毒，须用指示植物鉴定。"	"吕佩珂等撰摄．中国果树病虫原色图谱．北京：华夏出版社，1993 王金友，李知行主编．落叶果树病害原色图谱．北京：金盾出版社，1995 张敏主编．看图诊治苹果 梨病虫害．成都：四川科学技术出版社，2003"	"(1)建立无病毒母本园，培育和栽植无病毒良种苗。 (2)禁止在带毒树上高接无病毒接穗或在病感砧木上嫁接无毒接穗。 (3)从国外引进无病毒繁殖材料要进行病毒检验。"		"ed00083"	"大多数栽培品种均潜带此类病毒，主要通过嫁接传染，随苗木、接穗和砧木传播扩散。种子不带毒，电未发现昆虫传染。"	"agridata/images/中国农业有害生物数据库/中国经济作物病毒病害数据库/苹果衰退(潜隐病毒)病.jpg"
"10"	"果实"	"我国部分苹果栽培区有发现，为国内植物检疫对象。"	"主要表现在果实上，常见类型有：①锈果型，从果顶向果梗方向形成五条纵向铁锈色条斑，后龟裂．果面粗糙，成凹凸不平的畸形果。②花脸型，果而呈红绿相问的花脸状。黄色品种果而出现浓淡相问的斑块，果面略呈凹凸不平状。③锈果花脸复合型，着色前果顶有明显锈斑，着色后其余部分发生不着色斑块呈花脸状。"	"病毒"	"苹果锈果病"	"苹果锈果类病毒"		"苹果"	"花脸病、裂果病"			"吕佩珂等撰摄．中国果树病虫原色图谱．北京：华夏出版社，1993 王金友，李知行主编．落叶果树病害原色图谱．北京：金盾出版社，1995 张敏主编．看图诊治苹果 梨病虫害．成都：四川科学技术出版社，2003"	"(1)严格执行检疫。 (2)培育无病苗木。严格从无毒母本树上采取接穗，并嫁接在实生砧苗上。 (3)砍除病树、病苗。 (4)药物治疗。①初夏时对病树主十进行半环剥，在环剥处包上蘸过0.015％～0．03％浓度的土霉素、四环素或链霉素的脱脂棉，外用塑料薄膜包裹。②用代森锌500倍液或硼砂200倍液，喷于果面，7月上中旬起每周喷1次，共喷3次。"	"Apple rusty skin"	"ed00084"	"嫁接和病、健树根部接触传染，潜育期为3～27个月。病树种子、花粉不带病毒。梨树普遍带毒，但不显症状。故苹果与梨混栽或靠近梨树的苹果树发病重。"	"agridata/images/中国农业有害生物数据库/中国经济作物病毒病害数据库/苹果锈果病.jpg"
