"id"	"主要危害部位"	"地理分布"	"为害症状"	"病害类型"	"中文名"	"病原中文名"	"病原拉丁学名"	"主要危害作物"	"别名"	"病原分类地位"	"病原形态特征"	"相关文献"	"防治方法"	"英文名"	"记录号"	"传播途径和发病条件"	"图片"
"1"	"叶片"	"各棉区普遍发生"	"初在单个叶脉网间现直径3～4mm白斑，后变为不规则多角形，病斑在叶片正面为浅绿色至黄绿色，叶背对应处生出很多白霜状的分生孢子梗和分生孢子，严重时病叶干枯脱落。"	"真菌"	"棉花白霉病"	"白斑柱隔孢或棉柱隔孢,有性态为网孢球腔菌"	"Ramularia areola Atk．有性态为Mycosphaerella areola(Atk．)Ehrl．et Wolf"	"棉花"		"半知菌亚门,有性态为子囊菌亚门"	"分生孢子梗无色，成束地从叶背气孔中伸出，多在基部分枝，顶端具齿状突起，具隔膜，大小23～70×4～6(μm)；分生孢子长圆形，两端突然尖削，有1～3个隔膜，大小14～35×3.5～5.0(μm)，无色。"	"吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999"	"(1)采收后及时清除病残体，深埋或沤肥。 (2)种植抗病或耐病品种如BJA592、Acalal517RR等。 (3)发病初期开始喷洒50％苯菌灵可湿性粉剂1500倍液或36％甲基硫菌灵悬浮剂600～700倍液，隔7～10天1次。"		"ed00003"	"病菌以菌丝体在病残体上越冬。翌春条件适宜时产生分生孢子，分生孢子随气流传播，引起初侵染。病部又产生分生孢子，不断地进行再侵染。气温25～30℃、多雨高湿利于该病扩展和蔓延。"	"agridata/images/中国农业有害生物数据库/中国经济作物真菌病害数据库/棉花白霉病.jpg"
"2"	"主要为害叶片"		"子叶染病初生针尖大小紫红色斑点，后扩大成褐色、边缘紫色、稍隆起的圆形至不规则形病斑，多个病斑融合在一起形成的大病斑，中间散生黑色小粒点，即病原菌的分生孢子器。病斑中心易破碎脱落穿孔，严重的叶片脱落。真叶染病病斑圆形，黄褐色，边缘紫红色。"	"真菌"	"棉花褐斑病"	"棉小叶点霉,马尔科夫叶点霉"	"Phyllosticta gossypina Ell．et Mart．称棉小叶点霉和P．malkoffii Bubak．称马尔科夫叶点霉"	"棉花"		"半知菌亚门"	"两菌分生孢子器均埋生在叶片组织内。前者球形黄褐色，高93．8μm，直径85．7μm，顶端孔口直径18μm，深褐色。分生孢子卵圆形至椭圆形，两端各生l油滴，长4．8～7．9μm，宽2．4～3．8μm。马尔科夫叶点霉菌分生孢子椭圆形至短圆柱形，大小7．04～9．28×3．63～4．5(μm)，也具2个油点。"	"吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999"	"参见棉花轮纹斑病。"	"Cotton brown blotch disease"	"ed00004"	"两病原菌均以菌丝体和分生孢子器在病残体上越冬。翌春从分生孢子器中释放出大量分生孢子，通过风雨传播，湿度大的条件下孢子萌发。棉花第一真叶刚长出时，遇低温降雨，幼苗生长弱，易发病。"	"agridata/images/中国农业有害生物数据库/中国经济作物真菌病害数据库/棉花褐斑病.jpg"
"3"	"根"		"苗期、成株期均可发病。苗期染病根系表皮、皮层受侵染后变褐，常延至下胚轴，根茎部肿胀，茎秆弯曲，植株矮小，茎部的病斑扩展后致表皮开裂，现长条形或梭形浅绿色病斑，后变成暗紫色至黑色，病株很易拔出，但维管束不变色。成株染病顶叶下垂，叶色淡，叶凋萎但不脱落，根茎基部膨大，根茎腐烂，茎秆弯曲，中柱变为褐色至黑紫色，结铃少或不结铃。有的突然失水萎蔫。最后植株干枯死亡。"	"真菌"	"棉花黑根腐病"	"根串珠霉"	"Thielaviopsis basicola(Berk．et Br．)Ferr．"	"该菌除侵染棉花外，还可侵染烟草、豌豆、番茄、黄瓜、花卉等。菌系间致病力有差异。"		"半知菌亚门"	"分生孢子着生在分生孢子梗上，分生孢子梗具分隔3～5个，无色透明，大小5．5～19×3～5(μm)，分生孢子大小7～23×3～6(μm)，分生孢子两端各具1油滴。厚垣孢子棍棒状，暗褐色，有透明的基细胞，厚垣孢子串生，每串5～8个，厚垣孢子链大小25～55×10～16(μm)。该菌在燕麦、洋菜培养基上菌落初为白色，后变褐色。分生孢子、厚垣孢子生长温限20～33℃，萌发适温25℃。菌丝生长适温20～24℃。"	"吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999"	"(1)选用抗病品种如辽棉7号、辽棉10号、晋棉21号等。精耕细作，收获后及时清除病残体，播前灌冬水，早春忌大水漫灌，防止土温降低，创造利于根系发育的条件。(2)提倡采用地膜覆盖，可提高地温，减少发病。(3)精选种子，对棉种要进行消毒，方法参见棉轮纹病。(4)实行轮作，采用小麦、玉米、水稻等禾本科作物与棉花轮作。(5)采用无菌营养钵育苗，可减少苗期侵染。"	"Cotton black root rot"	"ed00005"	"病菌厚垣孢子平时在土壤中腐生或在病残体上存活越冬，经-6～15℃冷冻后才能萌发。翌春土温16～20℃，根系生长不快，抗性也弱，利于该菌侵入。病菌孢子萌发后，芽管伸长，产生附着胞，从棉株根毛表皮层侵入，以菌丝体在皮层内扩展，同时吸取营养，但不进入导管。后期菌丝体又形成分生孢子、厚垣孢子进行再侵染，落入土中的又营腐生生活，成为下一年该病初侵染源。厚垣孢子在土中能长期存活，内生分生孢子在8～33℃下能生长，适温为25～28℃，土壤湿度为50％～70％。"	"agridata/images/中国农业有害生物数据库/中国经济作物真菌病害数据库/棉花黑根腐病.jpg"
"4"	"棉铃"		"病铃上布满粉红色绒状物，厚且紧密。气候潮湿时，弯为白色绒状物，即病原菌的分生孢子梗和分生孢子。造成棉铃不能开裂，纤维粘结成僵瓣。"	"真菌"	"棉花红粉病"	"粉红聚端孢"	"Trichothecium roseum(Pull．)Link[=Trichoderma roseum Pers．，Cephalothecium roseum  Corda]"	"棉花"	"棉铃红粉病"	"半知菌亚门"	"菌落初白色，后变粉红色。分生孢子梗无色，直立，顶端略弯，大小84．8～198．4×2.56～3.84(μm)，顶端侧生一分生孢子。分生孢子卵形，孢基具一偏乳头状突起，大小12～20×8～10(μm)，形成向基序列的孢子链。"	"吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999"	"(1)施足基肥，适施苗肥，重施蕾肥、花肥。增施磷钾肥，防止徒长，增强植株抗病力。(2)清洁田园、减少菌源。发现病铃及时摘除剥晒。(3)合理密植，及时整枝打权，雨后及时排水，防止湿气滞留，减少发病。(4)及时防治铃期害虫，尤其是棉铃虫等钻蛀性害虫。(5)药剂防治发病始期喷洒36％甲基硫菌灵悬浮剂或50％多菌灵可湿性粉剂1000倍液、1 : 1:200倍式波尔多液、75％百菌清可湿性粉剂700～800倍液、40％霜疫灵(乙磷铝)可湿性粉剂300倍液、41.6％保铃丰300倍液，每667m 2 喷对好的药液100L，10天喷一次，连喷2～3次。"	"Cotton pink—mold rot"	"ed00006"	"红粉病菌可在病铃上越冬。该菌是弱寄生菌，多从伤口或铃壳裂缝处侵入，借风、雨、水流和昆虫传播，进行再侵染。低温、高湿利于发病。暴风雨或害虫为害严重，发病重。土壤粘重，排水不良，种植密度大，整枝不及时，施用氮肥过多的棉田发病重。"	"agridata/images/中国农业有害生物数据库/中国经济作物真菌病害数据库/棉花红粉病.jpg"
"5"	"茎秆、枝条、叶柄"		"整个生育期均可发病。自然条件下幼苗发病少或很少出现症状。一般在3～5片真叶期开始显症，生长中后期棉花现蕾后田间大量发病，初在植株下部叶片上的叶缘和叶脉间出现浅黄色斑块，后逐渐扩展，叶色失绿变浅，主脉及其四周仍保持绿色，病叶出现掌状斑驳，叶肉变厚，叶缘向下卷曲，叶片由下而上逐渐脱落，仅剩顶部少数小叶，蕾铃稀少，棉铃提前开裂，后期病株基部生出细小新枝。纵剖病茎，木质部上产生浅褐色变色条纹。夏季暴雨后出现急性型萎蔫症状，棉株突然萎垂，叶片大量脱落，发病严重地块惨不忍睹，造成严重减产。由于病菌致病力强弱不同，症状表现亦不同。划分为落叶型或称光秆型、枯斑型或掌状枯斑型和黄斑型等。落叶型该菌系致病力强。病株叶片叶脉间或叶缘处突然出现褪绿萎蔫状，病叶由浅黄色迅速变为黄褐色，病株主茎顶梢侧枝顶端变褐枯死，病铃、苞叶变褐干枯，蕾、花、铃大量脱落，仅经10天左右病株成为光秆，纵剖病茎维管束变成黄褐色，严重的延续到植株顶部。枯斑型  叶片症状为局部枯斑或掌状枯斑，枯死后脱落，为中等致病力菌系所致。黄斑型病菌致病力较弱，叶片出现黄色斑块，后扩展为掌状黄条斑，叶片不脱落。在久旱高温之后，遇暴雨或大水漫灌，叶部尚未出现症状，植株就突然萎蔫，叶片迅速脱落，棉株成为光秆，剖开病茎可见维管束变成淡褐色，这是黄萎病的急性型症状。该病不矮缩，能结少量棉铃。有时黄萎病和枯萎病混合发生两种症状在同一棉株上显现，但症状常与侵入病原菌种类及数量相关，出现较复杂的情况，可通过剖检病茎鉴别。黄萎病、枯萎病都引致维管束变色。黄萎病变色较浅，多呈黄褐色；枯萎病颜色较深，多呈黑褐色至黑色。发病重的棉株茎秆、枝条、叶柄的维管束全都变色。必要时镜检病原即可确诊。"	"真菌"	"棉花黄萎病"	"大丽花轮枝孢和黑白轮枝菌"	"Verticillium dahliae Kleb．称大丽花轮枝孢和V．albo—atrum  Reinke et Berthold称黑白轮枝菌"	"棉花"		"半知菌亚门"	"菌丝体白色，分生孢子梗直立，长110～130um，呈轮状分枝，每轮3～4个分枝，分枝大小13．7～21．4×2．3～9．1(um)，轮枝顶端或顶枝着生分生孢子，分生孢子长卵圆形，单胞无色，大小2．3～9．1×1．5～3．0(um)。孢壁增厚形成黑褐色的厚垣孢子，许多厚壁细胞结合成近球形微菌核，大小30～50um。该菌在不同地区，不同品种上致病力有差异。美国分化有T。型和SS一4型(非落叶型)二个生理小种。T。型引起的症状是顶叶向下卷曲褪绿，迅速脱落，后顶端枯死。SS一4型引致叶片主脉间呈黄色斑驳，向上稍卷，病叶脱落略缓，植株矮化。T，型比后者致病力高10倍。前苏联分为。号小种、l号小种、2号小种，其中2号小种致病力强。我国分为3个生理型，生理型1号致病力最强，以陕西泾阳菌系为代表；生理型2号致病力弱，以新疆和田菌系为代表；生理型3号在江苏发现与美国T。菌系相似。"	"吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999"	"(1)保护无病区。做好检疫工作，严防病区扩大。(2)选用抗病品种。高抗品种有新陆中2号。抗病品种有辽棉5号，辽棉10号，辽棉7号，中棉9号，中棉12号、19号，中棉99号，中3723，中8004，中8010，晋68—420、86—4、86一12，晋棉21号、16号，湘棉16，鄂抗棉3号，临66610等。耐病品种有晋无2031、中棉18号、晋无252、鲁343等。在黄萎病、枯萎病混合发生的地区提倡选用兼抗(耐)黄萎病、枯萎病的品种。如陕1155，辽棉5号，辽棉7号，中棉12号(381)，豫棉4号，冀棉15号，中棉17号，中棉16号等。(3)实行大面积轮作。提倡与禾本科作物轮作，尤其是与水稻轮作，效果最为明显。(4)铲除零星病区、控制轻病区、改造重病区。对病株超过0．2％的棉田采取人工拔除病株，挖除病土，或选用16％氨水或氯化苦、福尔马林、90％～95％棉隆粉剂等进行土壤熏蒸或消毒。一般在6～7月发病高峰期以病株为中心，每m 2 内打深为20cm的孔25个，每孔中灌入氯化苦5ml共125ml，边灌边覆土踏实、泼水，防其蒸发，再用粗二二乳剂120倍液或含氨16％以上的氨水1：9溶液5L进行铲除，可消灭病点中的枯黄萎病菌，一般每m 2 病点灌药液45L。也可用90％～95％棉隆每667m 2 用有效成分3．6kg处理土壤。9～10月第二发病高峰期，均匀注入氯化苦原液90ml，能收到显著效果。对病株在0．2％～5％的轻病田主要采用种植无病、抗病或耐病品种基础上，采取无病土精加工棉种育苗移栽，可控制该病发生；开沟排渍，降低地下水位，增施磷、钾肥提高抗病、耐病能力，清除病残体。病株在5％以上的重病田，主要靠种植抗病、耐病品种及轮作等有效途径。近年用12．5％治萎灵液剂200～250倍液，于发病初期、盛期各灌1次，每株灌对好的药液50～l00ml，防效80％～90％。(5)棉种消毒处理。取比重为1．8上下的浓硫酸放入砂锅等容器中加热到110～120℃，按1：10的比例慢慢倒入棉籽中，边倒边搅拌，等棉籽上茸毛全部焦黑时，用清水充分洗净，然后再用80％的抗菌剂402，用量为种子重量的2．5～3倍加热至55～60℃后浸泡棉籽30分钟，可有效地杀灭棉种内、外的枯萎病和黄萎病病菌。也可用50％多菌灵可湿性粉剂l0g溶在25ml的10％稀盐酸中，对水975ml，再加0．39平平加(棉纺用渗透剂，也可用海欧牌洗涤剂替代)配成1000ml药液，再按每5kg棉种用药液17．5～20kg于室温下浸种24小时。还可把多菌灵配成0．3％悬浮剂于室温下浸种14小时。(6)保健栽培。减少辛硫磷、甲胺磷等有机磷农药用药次数及浓度，防止棉株受药害降低自身抗病力。不要偏施、过施氮肥，做好氮磷钾配合施用，注意增施钾肥，提高抗病力。改善棉田生态环境使棉田土温较高，但湿度不宜过大，忌大水漫灌，可减少发病。(7)生物防治。放线菌对大丽轮枝菌有较强抑制作用。细菌中Bacillus和Pseudomonas的某些种能有效抑制大丽轮枝菌菌丝散发。木霉菌THchoderma lignorum对大丽轮枝菌有较强拮抗作用，可用以改变土壤微生物区系进而减轻发病。"	"Cotton yellow wilt"	"ed00007"	"病株各部位的组织均可带菌，叶柄、叶脉、叶肉带菌率分别为20％、13．3％及6．6％，病叶作为病残体存在于土壤中是该病传播重要菌源。棉籽带菌率很低，却是远距离传播重要途径。病菌在土壤中直接侵染根系，病菌穿过皮层细胞进入导管并在其中繁殖，产生的分生孢子及菌丝体堵塞导管，此外病菌产生的轮枝毒素也是致病重要因子，毒素是一种酸性糖蛋白，具有很强的致萎作用。适宜发病温度为25～28℃，高于30℃、低于22℃发病缓慢，高于35℃出现隐症。在温度适宜范围内，湿度、雨日、雨量是决定该病消长的重要因素。地温高、日照时数多、雨日天数少发病轻，反之则发病重。在田间温度适宜，雨水多且均匀，月降雨量大于100mm，雨日12天左右，相对湿度80％以上发病重。一般蕾期零星发生，花期进入发病高峰期。连作棉田、施用未腐熟的带菌有机肥及缺少磷、钾肥的棉田易发病，大水漫灌常造成病区扩大。"	"agridata/images/中国农业有害生物数据库/中国经济作物真菌病害数据库/棉花黄萎病.jpg"
"6"	"维管束"		"棉花整个生育期均可受害，是典型的维管束病害。  症状常表现多种类型：苗期有青枯型、黄化型、黄色网纹型、皱缩型、红叶型等；蕾期有皱缩型、半边黄化型、枯斑型、顶枯型、光秆型等。青枯型棉株遭受病菌侵染后突然失水，叶  片变软下垂萎蔫，接着棉株青枯死亡。黄化型多从叶片边缘发病，局部或整叶变黄，最后叶  片枯死或脱落，叶柄和茎部的导管部分变褐。黄色网纹型子叶或真叶叶脉褪绿变黄，叶肉仍  保持绿色，病部出现网状斑纹，渐扩展成斑块，最后整叶萎蔫或脱落。该型是本病早期常见  典型症状之一。皱缩型表现为叶片皱缩、增厚，叶色深绿，节间缩短，植株矮化，有时与其  它症状同时出现。红叶型苗期遇低温，病叶局部或全部现出紫红色病斑，病部叶脉也呈红褐  色，叶片随之枯萎脱落，棉株死亡。半边黄化型棉株感病后只半边表现病态黄化枯萎，另半  边生长正常。该病有时与黄萎病混合发生，症状更为复杂，表现为矮生枯萎或凋萎等。纵剖  病茎可见木质部有深褐色条纹。湿度大时病部出现粉红色霉状物，即病原菌分生孢子梗和分  生孢子。"	"真菌"	"棉花枯萎病"	"尖孢镰刀菌萎蔫专化型"	"Fusarium oxysporum f．sp．vesinfectum(Atk．)Snyder et Hansen"	"棉花"	"半边黄、金金黄、萎蔫病"	"半知菌亚门"	"菌丝透明，具分隔，在侧生的孢子梗上生出分生孢子。大型分生孢子镰刀形，略弯，两端稍尖，具2～5个隔膜，多为3个，大小22.8～38.4×2.6～4.1(μm)。我国棉枯萎镰刀菌大型分生孢子分为三种培养型：I型纺缍形或匀称镰刀形，多具3～4个隔，足胞明显或不明显，为典型尖孢类型。Ⅱ型分生孢子较宽短或细长，多为3～4个隔，形态变化较大。Ⅲ型分生孢子明显短宽，顶细胞有喙或钝圆，孢子上宽下窄，多具3个隔。小型分生孢子卵圆形，无色，多为单细胞，大小5～11．7×2．2～3．5(μm)。厚垣孢子顶生或间生，黄色，单生或2～3个连生，球形至卵圆形。枯萎病菌的菌落因菌系、生理小种及培养基不同而有差异。该病菌的生理小种国外报道有6个，我国除第3号小种外新定7号、8号二个新小种，其中7号小种在我国分布广，致病强，是优势小种。"	"吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999"	"(1)选用抗、耐病品种。抗病品种有陕401，陕5245，川73—27，鲁抗1号，86—1号，晋棉7号，盐棉48号，陕3563，川414，湘棉10号，苏棉1号，冀棉7号，辽棉10号，鲁棉11号，中棉99号，临6661，冀无2031，鲁343，晋棉12号、21号等。耐品种有辽棉7号，晋棉16号，中棉18号，冀无252等。枯萎病、黄萎病混合发生的地区，提倡选用兼抗枯萎病、黄萎病或耐病品种，如陕1155，辽棉7号，豫棉4号，中棉12号等。(2)实行大面积轮作。最好与禾本科作物轮作，提倡与水稻轮作，防病效果明显。(3)认真检疫保护无病区。目前我国2／3左右的棉区尚无该病，因此要千方百计保护好无病区。无病区的棉种绝对不能从病区引调，严禁使用病区未经热榨的棉饼，防止枯萎病及黄萎病传入。提倡施用酵素菌沤制的堆肥或腐熟有机肥。(4)铲除土壤中菌源，清除零星病株。发病株率0．1％以下的病田定为零星病田。发现病株时在棉花生育期或收花后拔棉秆以前，先把病株周围的病残株捡净，再把病株lm范围内土壤翻松后消毒。用50％棉隆可湿性粉剂1409或棉隆原粉70g与翻松的土壤混拌均匀，然后浇水15～20L使其渗入土中，再用干细土严密封闭；也可用含氮16％农用氨水1份对水9份，每m 2 病土浇灌药液45L，10～15天后再把浇灌药液的土散开，避免残毒或药害。(5)棉种及棉饼消毒。棉种经硫酸脱绒后用0．2％抗菌剂402药液，加温至55～60℃温汤浸种30分钟或用0．3％的50％多菌灵胶悬剂在常温下浸种14小时，晾干后播种。用棉饼作肥料时，棉籽经60℃热炒4分钟或100℃气蒸1～1．5分钟制成的棉饼无菌。(6)用无病土育苗移栽。(7)连续清洁棉田。连年坚持清除病田的枯枝落叶和病残体，就地烧毁，可减少菌源。"	"Cotton wilt disease"	"ed00008"	"枯萎病菌主要在种子、病残体或土壤及粪肥中越冬。带菌种子及带菌种肥的调运成为新病区主要初侵染源，有病棉田中耕、浇水、农事操作是近距离传播的主要途径。田间病株的枝叶残屑遇有湿度大的条件长出孢子借气流或风雨传播，侵染四周的健株。该菌可在种子内外存活5～8个月，病株残体内存活0．5～3年，无残体时可在棉田土壤中腐生6～10年。病菌的分生孢子、厚垣孢子及微菌核遇有适宜的条件即萌发，产生菌丝，从棉株根部伤口或直接从根的表皮或根毛侵入，在棉株内扩展，进入维管束组织后，在导管中产生分生孢子，向上扩展到茎、枝、叶柄、棉铃的柄及种子上，造成叶片或叶脉变色、组织坏死、棉株萎蔫。该病的发生与温湿度密切相关，地温20℃左右开始出现症状，地温上升到25～28℃出现发病高峰，地温高于33℃时，病菌的生长发育受抑或出现暂时隐症，进入秋季，地温降至25℃左右时，又会出现第二次发病高峰。夏季大雨或暴雨后，地温下降易发病。地势低洼、土壤粘重、偏碱、排水不良或偏施、过施氮肥或施用了未充分腐熟带菌的有机肥或根结线虫多的棉田发病重。"	"agridata/images/中国农业有害生物数据库/中国经济作物真菌病害数据库/棉花枯萎病.jpg"
"7"	"为害子叶和真叶"		"主要发生在1～2片真叶期，为害子叶和真叶。子叶染病主要在子叶未展开的粘结处或夹壳损伤处生出墨绿色霉层。子叶展平后染病，初生红褐色小圆斑，后扩展成不规则形至近圆形褐色斑，有的现不明显的轮纹。湿度大时，病斑上长出墨绿色霉层，严重的每张叶片上病斑多至数十个，造成子叶枯焦脱落。真叶染病与子叶上症状相似，但病斑较大，四周有紫红色病变。受伤时染病，病斑形状不规则，枯斑四周不见紫红色边缘。幼苗茎部或叶柄染病产生长椭圆形褐色凹陷斑，造成叶片凋落，苗子干枯而死。"	"真菌"	"棉花轮纹病"	"大孢链格孢，称细极链格孢,棉链格孢"	"Alternaria macrospora Zimm．称大孢链格孢，A．tenuissima  Wiltsh称细极链格孢及A．gossypina(Thum．)Hopk称棉链格孢"	"棉花"	"黑斑病"	"半知菌亚门"	"其致病力不同，大链格孢致病力强，能直接侵入，在子叶或真叶上产生较大轮纹斑。该菌分生孢子梗多单生或4～9根成束，略弯曲，基部膨大，浅褐色至暗褐色。分生孢子倒棍棒状，黄褐色或深褐色，具6～10个横隔、3～30个纵隔。链格孢致病力弱，常与其他寄生菌混合侵染或在有伤口时才能侵入。分生孢子梗分枝较少，榄褐色，分生孢子棒状，串生，横隔1～9个，纵隔0～6个。病菌生长适温27～30℃，高于37℃、低于0℃均不能生长。在棉田气温27～33℃发病，25℃最适，湿度高时易侵入，适应pH2～10，其中pH5最适。"	"吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999"	"(1)棉田要精细整地，种子要精选，提高播种质量。(2)提倡采用地膜覆盖，可提高苗期地温减少发病。(3)药剂拌种。用种子重量0．5％的50％多菌灵可湿性粉剂或40％拌种双可湿性粉剂拌种。也可用0．1％多菌灵溶液浸种。还可用呋喃丹与50％多菌灵按1：0．5的重量配比，加入少量聚乙烯醇粘着剂，配成棉籽种衣剂，用棉籽重量1％的种衣剂处理棉籽后播种，对轮纹斑病及苗期棉蚜防效70％以上。(4)加强棉田管理。提倡施用酵素菌沤制的堆肥。勤中耕，及时整枝摘叶，雨后及时排水，防止湿气滞留，可减少发病。(5)发病初期及时喷洒70％代森锰锌可湿性粉剂500倍液或75％百菌清悬浮剂500倍液、80％喷克可湿性粉剂600倍液、50％石硫合剂400倍液。"	"Ring rot of cotton"	"ed00009"	"病菌以菌丝体和分生孢子在病叶、病茎上或棉籽的短绒上越冬，棉籽带菌率高达47．5％～84％，尤其种壳上最多，胚乳也带菌。棉籽播种后病叶及棉籽上的分生孢子借气流或雨水溅射传播，从伤口或直接侵入。早春气温低、湿度高易发病。当气温从20℃突然下降至6～10℃，又有降雨，相对湿度高于75％，就能普遍发病。棉花生长后期，植株衰弱，遇有秋雨连绵也会出现发病高峰。"	"agridata/images/中国农业有害生物数据库/中国经济作物真菌病害数据库/棉花轮纹病.jpg"
"8"	"主要为害叶片"		"多在棉花生长后期染病，初在叶上产生许多暗红色小点，后扩展成近圆形、边缘紫红色、略隆起、中间褐色病斑，遇有潮湿条件产生白色霉层，即病原菌的分生孢子梗和分生孢子。受害叶片很易破裂。"	"真菌"	"棉花叶烧病"	"棉球腔菌"	"Mycosphaerella gossypina(Cooke)Earle"	"棉花"	"棉花尾孢霉叶斑病"	"子囊菌亚门"	"子囊腔球形黑色，子囊孢子双细胞，上部细胞较宽，顶端尖细，大小12～14×5～7(μm)。无性态为Cercospora gossypina Cooke称棉尾孢，属半知菌亚门真菌。分生孢子梗褐色，具隔膜1～5个，大小70～450×4～7(μm)，分生孢子鞭状，无色，具隔膜6～16个，大小50～200×3～5(μm)。"	"吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999"	"参见棉花轮纹病。"		"ed00010"	"病菌以菌丝体在病残体上越冬，翌春遇有潮湿条件，产生分生孢子，靠风雨及昆虫传播。发病后遇有多雨、高湿条件或秋季冷凉进行重复侵染。棉株受其他病害侵染或肥力不足、沙壤土易发病。"	"agridata/images/中国农业有害生物数据库/中国经济作物真菌病害数据库/棉花叶烧病.jpg"
"9"	"全株"	"东北棉区、黄河流域及长江流域、沿江、沿海棉区发生较重"	"棉花整个生育期均可发病，苗期、蕾期受害重。子叶、真叶染病初生边缘紫红色、中间灰白色小圆斑，后病斑扩展或融合成不规则形病斑。病斑中央有的出现同心轮纹，其上散生黑色小粒点，即病原菌的分生孢子器。病部常破碎散落，湿度大时，幼嫩叶片出现水浸状病斑，后扩展迅速似开水烫过，萎蔫变黑，严重的干枯脱落，变为光秆而枯死。叶柄、茎部染病病斑中央浅褐色，四周紫红色，略凹陷，表面散生小黑点，严重的茎枝枯折或死亡。棉铃染病病斑与茎上症状相似。中间颜色较深，黑色。湿度大时病斑扩散迅速，致棉铃成为僵瓣，铃开裂不全或不开裂。"	"真菌"	"棉茎枯病"	"棉壳二孢菌"	"Ascochyta  gossypii Syd．"	"棉花"		"半知菌亚门"	"分生孢子器初埋生在棉株表皮组织下，成熟后露出在表皮上。孢子器球形，黄褐色，顶部具略突的圆形孔口，壁较薄易碎，大小82．8～210×75～189(μm)，内生很多分生孢子。分生孢子卵圆形，单胞或双胞，无色，大小4．5～7．3×3．5～3．8(μm)。病菌生长适温为25℃。"	"吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999"	"(1)种子处理方法参见棉花黑根腐病。(2)加强栽培管理，实行合理轮作，精耕细作，育苗移栽，合理施肥，促棉株健壮，提高抗病力。(3)治虫防病。防治该病结合治蚜，预测该病在雨后1～2天将会流行，且蚜虫数量大时，喷洒1：1：200倍式波尔多液或70％代森锰锌可湿性粉剂500倍液、50％苯菌灵可湿性粉剂1500倍液，并在上述药液中加入50％乐果乳油或80％敌敌畏乳油1000倍液，兼治棉蚜。"	"Cotton stem blight"	"ed00011"	"病菌以菌丝体或分生孢子在棉花种子内外或随病残体在土壤或粪肥中越冬，翌春侵染棉苗，且在病部产生分生孢子器，释放出分生孢子借风雨、蚜虫传播，进行再侵染。出苗期、现蕾期气温稳定在20℃以上，连阴雨持续3～4天，在3～5天内该病可能发生或流行。生产上此间气温低、降雨多常引发该病大发生。棉蚜为害严重的棉田，该病发生重。连作、管理粗放的棉田发病也重。"	"agridata/images/中国农业有害生物数据库/中国经济作物真菌病害数据库/棉茎枯病.jpg"
"10"	"棉铃"		"病菌只侵染棉铃，致全铃受害。铃壳初淡褐色，全铃发软，后铃壳呈棕褐色，僵硬多不开裂，铃壳表面密生突起的小黑点即病菌分生孢子器。发病后期铃壳表面布满煤粉状物，棉絮腐烂成黑色僵瓣状。"	"真菌"	"棉铃黑果病"	"棉色二胞，有性态棉囊孢壳(棉黑果病菌)"	"Diplodia gossypina Cooke有性态Pbsalospora gossypina Stev．"	"棉花"		"半知菌亚门,有性态子囊菌亚门"	"Diplodia gossypina Cooke称棉色二胞，属半知菌亚门真菌。分生孢子器黑色，埋生于表皮下，顶端有孔口。分生孢子梗细，不分枝。分生孢子椭圆形，初无色，单胞，成熟时黑褐色，双胞，大小14．4～29．44×9．6～14．0(μm)。有性态Pbsalospora gossypina Stev．称棉囊孢壳(棉黑果病菌)，属子囊菌亚门真菌。子囊座丛生，黑色，大小250～300mm。子囊90～120μm，子囊孢子单生，无色，大小24～42×7～17(μm)。"	"吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999"	"(1)尽可能避免棉铃损伤，及时防治铃期害虫。(2)及时摘除剥晒病铃。(3)发病初期喷洒1：1：200倍式波尔多液或70％代森锰锌可湿性粉剂500倍液。"		"ed00012"	"病菌以分生孢子器在病残体上越冬。翌年条件适宜，产生分生孢子进行初侵染和再侵染。黑果病菌是引起棉花烂铃的初侵染病原之一。黑果病发生的温度范围较宽，对湿度要求很高。雨量大发病重。棉铃伤口多，如虫伤、机械伤、灼伤等可诱发黑果病大发生。"	"agridata/images/中国农业有害生物数据库/中国经济作物真菌病害数据库/棉铃黑果病.jpg"
