"id"	"主要危害部位"	"地理分布"	"为害症状"	"病害类型"	"中文名"	"病原中文名"	"病原拉丁学名"	"主要危害作物"	"别名"	"病原分类地位"	"病原形态特征"	"相关文献"	"防治方法"	"英文名"	"记录号"	"传播途径和发病条件"	"图片"
"1"	"棉苗,棉铃"		"该病不仅为害棉苗，同时也为害成株的茎叶及发育中的棉铃。苗期染病子叶受害呈水渍状不规则形或圆形病斑，黑褐色，严重的子叶枯死脱落。真叶染病叶背先产生深绿色小点，后扩展成油渍状，叶片正面病斑多角形，有时病斑沿脉扩展呈不规则条状，致叶片枯黄脱落。茎染病现水渍状病斑，后扩大变黑或腐烂，病部凹陷，病苗弯向一边。顶芽染病形成“烂顶”，造成全株死亡。湿度大时，病部分泌出粘稠状黄色菌脓，干燥条件下变成薄膜或碎裂成粉末状。棉铃染病初生油浸状深绿色小斑点，后扩展为近圆形或多个病斑融合成不规则形，褐色至红褐色，病部凹陷，幼铃脱落，成铃部分心室腐烂。"	"细菌"	"棉花角斑病"	"油菜黄单胞菌锦葵致病变种(棉角斑病黄单胞菌)"	"Xanthomonas campestris pv．malvacearum(E．F．Smith)Dowson"	"棉花"			"菌体杆状，大小1.2～2.4×0.4～0.6(um)，一端生1～2根鞭毛，能游动，有荚膜。革兰氏染色阴性。在PDA培养基上形成浅黄色圆形菌落。菌体细胞常2～3个结合为链状体。"	"吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999"	"(1)采摘完毕后及时清除棉田病株残体，集中沤肥或烧毁。(2)精选棉种，合理密植，雨后及时排水，防止湿气滞留，结合间苗、定苗发现病株及时拔除。(3)采用配方施肥技术，提倡施用酵素菌沤制的堆肥，避免偏施、过施氮肥。(4)提倡采用垄作或高畦，科学灌溉，严禁大水漫灌、串灌。及时中耕放墒。(5)种子处理。采取浓硫酸脱绒可消灭棉种短绒带菌，具体方法参见棉花黄萎病。也可沿用“三开一凉”温水(55～60℃)浸种半小时。(6)选用抗病品种。陆地棉中岱字棉系统抗性强，中棉也较抗病。(7)加强田间管理，在台风、大雨过后，及时追肥，并喷洒1：1：120～200倍式波尔多液或25％叶枯唑可湿性粉剂500倍液或72％农用硫酸链霉素4000倍液。"	"Cotton a ngular leaf spot"	"ed00002"	"该菌生长适温25～30℃，最高36～38℃，最低10℃，50～51℃经10分钟致死。但在干燥条件下可耐80℃高温及-21℃低温。该菌存有生理分化，已鉴定出18个生理小种。 病原细菌主要在种子及土壤中的病铃等病残体上越冬，翌春棉花播种后借雨水飞溅及昆虫携带进行传播和扩散。该菌在棉铃上借雨后寄主体表的水膜从表皮气孔或裂缝及虫伤等处侵入，在细胞间隙繁殖，破坏叶内的组织，经8～10天产生症状。病菌常通过病组织侵入到维管束，后到达种子，造成种子带菌，铃壳上的病菌随病残体落入土中，成为翌年初侵染源。该病以种子传播为主，种子带菌率6％～24％，在种子内部存活1～2年。长江流域棉区6～9月发生，7～8月进入盛发期，此间相对湿度高于85％，降雨次数多，降雨量大易发病；遇有台风暴雨袭击，发病重。海岛棉易感病。"	"agridata/images/中国农业有害生物数据库/中国经济作物细菌病害数据库/棉花角斑病.jpg"
"2"	"主要侵染叶片、豆荚，也可为害叶柄和茎"	"南、北方均有发生"	"从幼苗到成株均可发病，主要侵染叶片、豆荚，也可为害叶柄和茎。叶片染病病斑初呈浅绿色小点，后变为大小不等的红褐色病斑，直径1～2mm，因病斑中央叶肉组织细胞分裂快，体积增大，细胞木栓化隆起，形成小疱状斑，表皮破裂后似火山口成为斑疹状，发病重的叶片上病斑累累，融合后形成大块变褐枯斑，似火烧状。豆荚染病初生红褐色圆形小点，后变成黑褐色枯斑。"	"细菌"	"大豆细菌斑疹病"	"油菜黄单胞菌大豆致病变种"	"Xanthomonas campestris pv．glycines(Nakano)Dye异名X．campestris pv．phaseoli(E．F．Smith)Dye var．sojensis(Hed．)Starr．＆Burk．"	"除侵染大豆外，还可为害菜豆"	"细菌性叶烧病"		"Xanthomonas campestris pv．glycines(Nakano)Dye异名X．campestris pv．phaseoli(E．F．Smith)Dye var．sojensis(Hed．)Starr．＆Burk．称油菜黄单胞菌大豆致病变种，属细菌。菌体杆状，大小1．3～1．5×0．6～0．7(μm)，无荚膜，无芽孢，极生单鞭毛，革兰氏染色阴性，好气性。在肉汁胨琼脂培养基上形成黄色圆形菌落，表面光滑，全缘，似奶油状，能液化明胶，石蕊牛乳凝固变蓝色，水解淀粉，不产生亚硝酸盐，产生硫化氢和氨。病菌发育适温25～32℃，最高38℃，最低10℃。"	"吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(下)．呼和浩特：远方出版社，1999"	"(1)选用抗病品种、精选无病种子，必要时进行种子消毒。(2)与禾本科作物实行3～4年以上轮作。收获后及时深翻，以减少菌源。(3)必要时喷洒1：1：160倍式波尔多液或30％碱式硫酸铜悬浮剂400倍液、30％氧氯化铜悬浮剂800倍液、47％加瑞农可湿性粉剂700～800倍液、12％绿乳铜乳油600倍液。"		"ed00028"	"病菌主要在病种子及病残体上越冬，成为翌年的初侵染源，在田间借风雨传播进行再侵染。大豆开花期至收获前发生较多，除侵染大豆外，还可为害菜豆。"	"agridata/images/中国农业有害生物数据库/中国经济作物细菌病害数据库/大豆细菌斑疹病.jpg"
"3"	"为害幼苗、叶片、叶柄、茎及豆荚"		"为害幼苗、叶片、叶柄、茎及豆荚。幼苗染病子叶生半圆形或近圆形褐色斑。叶片染病初生褪绿不规则形小斑点，水渍状，扩大后呈多角形或不规则形，大小约3～4mm，病斑中间深褐色至黑褐色，外围具一圈窄的褪绿晕环，病斑融合后成枯死斑块。茎部染病初呈暗褐色水渍状长条形，扩展后为不规则状，稍凹陷。荚和豆粒染病生暗褐色条斑。"	"细菌"	"大豆细菌性斑点病"	"丁香假单胞菌大豆致病变种(大豆细菌疫病假单胞菌)"	"Pseudomonas syringae pv．glycinea(Coerper)Young，Dye&Wilkic"	"大豆"			"Pseudomonas syringae pv．glycinea(Coerper)Young，Dye&Wilkic称丁香假单胞菌大豆致病变种(大豆细菌疫病假单胞菌)，属细菌。菌体杆状，大小0．6～0．9μm，有荚膜，无芽孢，极生1～3根鞭毛，革兰氏染色阴性。在肉汁胨琼脂培养基上，菌落圆形白色，有光泽，稍隆起，表面光滑边缘整齐。"	"吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(下)．呼和浩特：远方出版社，1999"	"(1)与禾本科作物进行3年以上轮作。(2)选用抗病品种  目前我国已育出一批较抗细菌性斑点病的大豆品种，如科黄2号、徐州424、南493—1、沛县大白角等。(3)施用日本酵素菌沤制的堆肥或充分腐熟的有机肥。(4)播种前用种子重量0．3％的50％福美双拌种。(5)发病初期喷洒1：1：160倍式波尔多液或30％绿得保悬浮液400倍液，视病情防治1次或2次。"		"ed00029"	"病菌在种子上或未腐熟的病残体上越冬。翌年播种带菌种子，出苗后即发病，成为该病扩展中心，病菌借风雨传播蔓延。多雨及暴风雨后，叶面伤口多，利于该病发生。连作地发病重。"	"agridata/images/中国农业有害生物数据库/中国经济作物细菌病害数据库/大豆细菌性斑点病.jpg"
"4"	"梢"	"我国主要病区为广东、广西和福建，在四川、云南、贵州、湖南、江西、浙江等省的局部地区有发生，台湾省的立枯病亦为黄龙病。在泰国、越南、印度、菲律宾、马来西亚、印度尼西亚也为害严重，非洲的青果病也属黄龙病。"	"全年都能发生，春、夏、秋梢均可出现症状。新梢叶片有三种类型的黄化。即均匀黄化、斑驳黄化和缺素状黄化。幼年树和初期结果树春梢发病，新梢叶片转绿后开始褪绿，使全株新叶均匀黄化，夏、秋梢发病则是新梢叶片在转绿过程出现淡黄无光泽，逐渐均匀黄化。投产的成年树，常在整片柑园中，出现个别或部分植株树冠上少数枝条的新梢叶片黄化，农民称“鸡头黄”或“插金花”。次年黄化枝扩大至全株，使树体衰退。在病株中有的新叶从叶片基部、叶脉附近或边缘开始褪绿黄化，并逐渐扩大成黄绿相间的斑驳状黄化。与均匀黄化可同时出现。斑驳黄化也可转变为均匀黄化。这些黄化枝上再发的新梢，或剪截了黄化枝后抽出的新梢，枝短、叶小变硬，表现缺锌、缺锰状的花叶。果实小或畸形，着色不匀，橘类常表现“红肩”果，橙类表现果皮青绿无光泽的“青果”。"	"细菌"	"柑橘黄龙病"	"类立克次氏体,类细菌"	"Rickettsiae-like organism gloeosporioides Penz  简称RLO；Bacter-like organism 简称BLO"	"柑、橘、橙、柠檬和柚类均可感病。尤其以椪柑、蕉柑、福橘、茶枝柑等品种的耐病力弱，感病后衰退快。橙类耐病力较强。感病不受树龄大小的限制。"	"黄梢病、黄枯病、青果病"			"夏声广，唐启义主编．柑橘病虫害防治原色生态图谱．北京：中国农业出版社，2006 任伊森等编著．柑橘病虫害防治手册．北京：金盾出版社，2001 任伊森，蔡明段主编．柑橘病虫草害防治彩色图谱．北京：中国农业出版社，2004 陈福如主编．柑橘病虫害诊治图谱．福州：建科学技术出版社，2004"	"(1)严格检疫制度，杜绝病苗、病穗传人无病区和新种植区。 (2)培育无病苗木。①苗圃地应选择在无病区或隔离条件好的地方，或用塑料网棚封闭式育苗。②建立柑橘无病毒繁育体系。凡经选出的良种株系，必须通过指示植物或聚合酶链式反应(PCR)检测。通过茎尖嫁接脱毒技术获取茎尖苗木，按无病毒规程操作繁育无病苗木。③“体系”未建立时，砧木种子应采自无病树的果实，种子用50～52℃热水浸泡5分钟，预热后再浸泡在55～56℃的热水中，恒温达50分钟。接穗应采自经鉴定的无病母树，并用1 000倍盐酸四环素液浸泡2小时，后即用清水冲洗干净嫁接。④加强苗圃的管理制度。 (3)防治柑橘木虱。①加强栽培管理，每次新梢抽发整齐，统一喷药防治。在萌芽期即要喷第一次农药，防治成虫产卵在芽隙处。农药以有机磷为主，可选用水胺硫磷、氧化乐果或机油乳剂等。②加强冬季清园喷药，消灭越冬期活动力差的柑橘木虱，是全年防治的关键。③调整果树品种结构，在柑橘产区内不种植黄皮、九里香等芸香科植物，杜绝柑橘木虱转移寄主。 (4)及早挖除病树，坚持每次新梢转绿后全面检查黄龙病株，发现一株挖除一株，不留残桩。 (5)病区重建柑橘园。①应整片挖除病、老树，清理环境，先种植一年短期作物后再行种柑橘。②采用隔离种植。 (6)以产业化经营方式发展柑橘生产，做到发展规模统一规划，园区内统一品种，生产上统一措施，技术上统一指导，管理上统一规程。能有效控制发病率。"	"Citrus huanglongbing"	"ed00057"	"本病通过嫁接传播。带病苗木或接穗是远距离传病的主因，往往使无病的新区变成病区。田间发病程度与田间病源存在和传病昆虫柑橘木虱的发生密度有很大关系。田间病树多，柑橘木虱又大发生时，黄龙病亦大发生。"	"agridata/images/中国农业有害生物数据库/中国经济作物细菌病害数据库/柑橘黄龙病.jpg"
"5"	"叶片、枝梢、果实及萼片"	"全国普遍发生"	"叶片上先出现针头大小的浓黄色油渍状圆斑，接着叶片正反面隆起，呈海绵状，随后病部中央破裂，木栓化，呈灰白色火山口状。病斑多为近圆形，常有轮纹或螺纹状，周围有一暗褐色油腻状外圈和黄色晕环。果实和枝梢上的病斑与叶片上的相似，但病斑的木栓化程度更为严重，山口状开裂更为显著，枝梢受害以夏梢最严重，严重时引起叶片脱落，枝梢枯死。"	"细菌"	"柑橘溃疡病"	"野油菜黄单胞菌柑橘致病变种"	"Xanthomonas campestris pv．Citri (Hasse)Dye．"	"主要侵染芸香科的柑橘属和枳壳属，金橘属亦可侵染"				"夏声广，唐启义主编．柑橘病虫害防治原色生态图谱．北京：中国农业出版社，2006 任伊森等编著．柑橘病虫害防治手册．北京：金盾出版社，2001 任伊森，蔡明段主编．柑橘病虫草害防治彩色图谱．北京：中国农业出版社，2004 陈福如主编．柑橘病虫害诊治图谱．福州：建科学技术出版社，2004"	"(1)严格执行检疫。柑橘苗木、接穗、砧木、种子和果实的调运要按规定严格实施检疫，防止溃疡病的传播蔓延。保护区发现病树、病苗立即烧毁。 (2)培育无病苗木。苗圃应选择在周围1 000米以上无柑橘类植物的无病地区建立，并建立无病优质母本园，就地供应无病接穗。 (3)减少果实和叶片损伤。可采用营造防风林，以减小果园风速(尤其在有台风的地区能显著减少病害发生)；及时防治潜叶蛾等害虫，减少虫伤。 (4)喷药保护嫩梢和幼果。苗木和未结果的幼龄树以保梢为主，在春、夏、秋梢萌发后20～30天各喷药l～2次。结果树以保果为主，在花谢后10天、30天、50天各喷药1次。梢果幼嫩期出现台风时，台风过后应立即进行防治。药剂可用：波尔多液(硫酸铜0．5～0．8千克，石灰1～1．6千克，水100千克)、铜皂液(硫酸铜0．25千克，松脂合剂1千克，水100千克)、0.2～0．3波美度的石硫合剂、72％农用链霉素可湿性粉剂2 500倍液、3％金核霉素水剂300倍液、77％可杀得2000型800倍液、80％必备可湿性粉剂400～600倍液、20％龙克菌(杀菌铜)胶悬剂500倍液、12％绿菌灵乳油500倍液。 (5)冬季清园。剪除发病枝叶和果实，并集中烧毁。"	"Citrus canker"	"ed00058"	"病原细菌在柑橘病部组织内越冬。翌年温度适宜、湿度高时，细菌从病斑中溢出，借风、雨、昆虫和枝叶交互接触作短距离传播。远距离的传播则主要通过带菌苗木、接穗和果实。病菌落到寄主的幼嫩组织上，由气孔、水孔、皮孔和伤口侵入，潜育期3～10天。不同柑橘品种的抗病性差异显著，其中甜橙类严重感病，酸橙、柚、枳和枳橙次之，宽皮柑橘类较耐病，而金柑则抗病。刚抽发的嫩梢叶和刚形成的幼果，其气孔还未形成，病菌不能入侵。嫩梢叶在萌发后20～55天，幼果在落花后35～80天其气孔形成多且处于开放阶段，病菌易侵入而大量发病。此病发生的温度范围为20～35℃，最适为25～30℃，高温高湿天气是流行的必要条件。暴风雨和台风给寄主造成大量伤口，更有利于病菌的传播和侵入。"	"agridata/images/中国农业有害生物数据库/中国经济作物细菌病害数据库/柑橘溃疡病.jpg"
"6"	"果实"		"青霉菌和绿霉菌侵染柑橘果实后，都先出现柔软，褐色，水渍状，略凹陷皱缩的圆形病斑。2～3天后，病部长出白色霉层，随后在其中部产生青色或绿色粉状霉层(即分生孢子梗和分生孢子)，但在病斑周围仍有一圈白色霉层带，病健交界处仍为水渍状环纹。在高温高湿条件下，病斑迅速扩展，深入果肉，终致全果腐烂。干燥时则成僵果。"	"细菌"	"柑橘青霉病和绿霉病"	"青霉菌和绿霉菌"	"青霉病Penicillium italicum(Wehmer)和绿霉病Penicillium  digitatum  (Saccardo)"	"柑橘"				"夏声广，唐启义主编．柑橘病虫害防治原色生态图谱．北京：中国农业出版社，2006 任伊森等编著．柑橘病虫害防治手册．北京：金盾出版社，2001 任伊森，蔡明段主编．柑橘病虫草害防治彩色图谱．北京：中国农业出版社，2004 陈福如主编．柑橘病虫害诊治图谱．福州：建科学技术出版社，2004"	"(1)采收不要在雨后或晨露未干时进行，从采收到搬运、分级、打蜡包装和贮藏的整个过程，均应避免机械损伤，特别不能粒果剪蒂、果柄留得过长和剪伤果皮。 (2)拟贮藏的果实采下时应立即用药液浸果(时间1分钟左右)，要集中处理的，也应在当天进行。药剂可用50％万利得乳油2 000～2 500倍液、25％戴挫霉乳油1 000～1 500倍液、45％扑霉灵乳油2 000倍液、40％百可得可湿性粉剂2 000倍液、50％施保功可湿性粉剂1 500～2 000倍液、45％特克多悬浮剂450～600倍液、70％甲基托布津可湿性粉剂500～700倍液、50％多菌灵可湿性粉剂500～700倍液。在上述每10千克药液中加入1克2，4一D，有促进果柄剪口愈合，保持果蒂新鲜，提高防效的作用。 (3)采收和贮运用具及贮藏库用硫磺(每立方米空间10克)密闭熏蒸消毒24小时。 (4)有条件的贮藏时将温湿度控制在适当的范围内，甜橙的适宜温度为1～3℃，温州蜜柑和椪柑为7～11％，适宜的相对湿度均为80％～85％，并注意换气。"		"ed00059"	"青霉菌和绿霉菌分布很广，常腐生在各种有机物上。可产生大量的分生孢子，借气流或接触传播，由伤口侵入，引起腐烂，并不断蔓延。发病的最适温度为18～27℃，最适湿度为95％～98％。在采摘和贮运过程中损伤果皮，或采摘时果实已过度成熟，均易发病。"	"agridata/images/中国农业有害生物数据库/中国经济作物细菌病害数据库/柑橘青霉病和绿霉病.jpg"
"7"	"根颈部"		"主要发生在根颈部，初期形成大小不等的灰白色瘤状物，表面光滑，质地松软，皮层增厚。随小瘤增大．表面变为褐色，瘤体粗糙，内部木栓化，表层细胞枯死，有的瘤表面生长有细根。癌瘤大小不一，小的如核桃，大的直径可达5～6厘米，病树根系发育受阻，地上部叶黄稀少，生长瘦弱，严重者逐渐枯死。"	"细菌"	"梨根癌病"	"根癌土壤杆菌"	"Agrobacterium tumefaciens(Smith et Townsend)Conn．"	"梨"				"吕佩珂等撰摄．中国果树病虫原色图谱．北京：华夏出版社，1993 王金友，李知行主编．落叶果树病害原色图谱．北京：金盾出版社，1995 张敏主编．看图诊治苹果 梨病虫害．成都：四川科学技术出版社，2003"	"(1)严格实行检疫，可疑苗木栽植前用0．1％高锰酸钾或1％硫酸铜浸根10分钟后用清水冲洗，或用0．0001％～0．0002％链霉素浸根20～30分钟。 (2)新建果园严格选地。①未感病的地块。②避免碱地。③上壤疏松、透水透气。④病上栽培应与非寄主植物轮作2年，但定植前仍应进行土壤消毒。 (3)治疗病树。初期割除未破裂的病瘤，伤口用“抗菌剂401”50倍液或“抗菌剂402”100倍液消毒，再涂波尔多浆保护。 (4)生物防治：用放射土壤杆菌(Agrobacterium radiobacter)即K84灌根、浸种、浸根、浸条和伤口保护均有效。"	"Crown gall"	"ed00085"	"细菌在土壤或癌瘤组织皮层内越冬，通过雨水、灌溉水等传播，经伤口侵入，潜育期2～3个月。远距离传播主要靠带病的苗木和土壤。粘重和略带碱性的土壤发病重。"	"agridata/images/中国农业有害生物数据库/中国经济作物细菌病害数据库/梨根癌病.jpg"
"8"	"根部"			"细菌"	"梨毛根病"	"野杆菌属毛根野杆菌"	"Agrobacterium  rhizogens (Riker et al．)Conn．"	"梨"	"苹果发根病"			"吕佩珂等撰摄．中国果树病虫原色图谱．北京：华夏出版社，1993 王金友，李知行主编．落叶果树病害原色图谱．北京：金盾出版社，1995 张敏主编．看图诊治苹果 梨病虫害．成都：四川科学技术出版社，2003"	"参照根癌病。"	"Hairy root"	"ed00086"	"参照根癌病。"	"agridata/images/中国农业有害生物数据库/中国经济作物细菌病害数据库/梨毛根病.jpg"
"10"	"叶,果实"		"葡萄皮尔氏病最明显的特征是患病叶早秋易脱落，叶柄与叶片间形成离层，枝条上只留有叶柄。 果实膨大期叶片出现局部呈带状不规则灼烧状斑块，沿叶脉发生并包围着叶脉，随着灼斑的逐渐扩大，变成褐色呈“烧焦”状，灼烧斑大小不等，小至几个点，大至半个叶片以上。由叶边缘向叶柄扩展，灼斑可以在一个叶上形成几个斑，也可在整个叶上形成，但最初只有一个当年生枝蔓发病，继续发展时，附近其他枝蔓也发生，很少全树所有枝蔓同时发病。在叶片显病的枝条上，果实停止生长，并且凋萎、失水、干缩，甚至枯死，整个果穗干枯在枝条上，但不脱落。病枝的成熟度低，红地球成熟枝条为黄褐色，不成熟枝条为绿色，患病枝蔓表现为褐色与绿色相间，且不成熟的枝条早春易抽干枯死。早春生长正常，但随病情的发展，根系因得不到光合营养易枯死，根系的先端最早枯死，逐渐根颈部位枯死。枯死部位易腐烂，有时与根朽病、根圆斑病和紫纹羽病症状相似，易产生混淆。但有时皮尔氏病与根部病害同时发生，两者有互相促进作用，即根部病害可加速、加重皮尔氏病的发生并显症，而皮尔氏病可导致和加重根部病害的发生。皮尔氏病出现症状后，植株生长状况迅速恶化，在生长季节，生长旺盛的幼嫩组织出现症状后当年即枯死，而成龄树则存活时间较长。当一年生患病枝蔓枯死后，易从后部枝蔓上重新萌芽，抽生出新梢，而新梢不显症状。"	"细菌"	"葡萄皮尔氏病"	"类立克次氏体的细菌"	"Xyllela fastidosa"	"葡萄"				"吕佩珂等撰摄．中国果树病虫原色图谱．北京：华夏出版社，1993 王金友，李知行主编．落叶果树病害原色图谱．北京：金盾出版社，1995 郭书普等编著． 桃树、葡萄病虫害防治原色图鉴．合肥： 安徽科学技术出版社，2004"	"(1)严格检疫。通过加强检疫限制皮尔氏病的扩大蔓延，阻止其传入新区。由于皮尔氏病是危险性极大的毁灭性病害，因此，必须加强检疫措施，尤其是从美国引种的葡萄品种，要加倍提高警惕。一般可采用温汤消毒等措施，只要把枝条浸入45℃热水中浸泡3小时，或在50℃热水中浸泡20分钟，即可消灭病原菌。 (2)药剂防治。病原菌对抗生素敏感，用农用四环素6 000～10 000倍液或农用青霉素6 000～8 000倍液给病树“输液”，治愈率达85％以上。其方法是将病树根刨出，选一健壮的根，插入装有抗生素溶液的瓶中，然后埋土盖严即可。也可在树干基部钻一小孔，将药液用导管输入小孔内，利用其内吸作用，使药液缓缓输入树体内部，以达到治疗的目的。及时防治介体昆虫，可减少传染，常用药剂有2．5％敌杀死乳油3 000～4 000倍液，20％杀灭菊酯乳油4000～5 000倍液，20％马拉硫磷乳油1 000倍液等。"		"ed00116"	"该病为细菌性病害，病原菌为一种类立克次氏体的细菌(Xyllela fastidosa)。病原细菌局部或全部阻塞了木质部的导管，使水分和营养流动受阻，引起发病。据报道，陕西中部表现最明显的是从美国加州引进的红地球，最初出现症状是6月上旬，随着病情加重，在果实迅速膨大期，新梢长度为80厘米左右，叶片数达13～15片叶以上时，为该病的表现盛期，出现症状的叶片为新梢基部的第l～8片成熟叶，第9片叶及以后的叶片不显示症状，而且症状基本是在同一时间段内出现在成熟叶上，叶脉绿色，沿着叶脉稍皱缩，并有畸形。病株早春生长推迟，坐果率低。6月份显症后，就不再出现症状，而是在生长中后期(8月下旬)再次出现。皮尔氏病是由吸食木质部养分的害虫所传播，如各种叶蝉和沫蝉。"	"agridata/images/中国农业有害生物数据库/中国经济作物细菌病害数据库/葡萄皮尔氏病.jpg"
"11"	"根、根颈和树干"		"病瘤发生于树的根、根颈和树干等部位，嫁接处较为常见，其中以从根颈长出的大根最为典型，有时也散布在整个根系上，受害处产生大小不等、形状不同的肿瘤。初生癌瘤为灰色或略带肉色，质软、光滑，以后逐渐变硬呈木质化，表面不规则，粗糙，尔后龟裂。瘤的内部组织紊乱，起初呈白色，质地坚硬，但以后有时呈瘤朽状。根癌病对桃树的影响主要是削弱树势，产量减少，早衰，严重时引起果树死亡。"	"细菌"	"桃树根癌病"	"根癌土壤杆菌"	"Agrobacterium tumefaciens"	"寄主范围非常广泛。"				"吕佩珂等撰摄．中国果树病虫原色图谱．北京：华夏出版社，1993 王金友，李知行主编．落叶果树病害原色图谱．北京：金盾出版社，1995 郭书普等编著． 桃树、葡萄病虫害防治原色图鉴．合肥： 安徽科学技术出版社，2004"	"(1)农业防治。选择无病土壤作苗圃，已发生根癌病的土壤或果园不可以作育苗地；碱性土壤的园地应适当施用酸性肥料；采用芽接的嫁接方法，避免伤口接触土壤诱发病害；发现病瘤应及时切除或刮除，并将刮切下的病皮带出果园烧毁，以防病原的扩散。 (2)药剂防治。桃的实生砧木种用5％次氯酸钠处理5分钟后，再进行层积处理，同时层积处理要用新沙子。苗木定植前应对根进行仔细检查，剔除有病瘤苗木，然后用0．3％一0．4％硫酸铜浸泡苗木根系l小时，或用1％硫酸铜浸根5分钟，然后冲干净，或用波美3～5度石硫合剂进行全株喷药消毒，或用抗癌菌剂K845倍混合液蘸根系，防治效果可达90％以上；在栽植前，每平方米可施硫磺粉50一100克，或5％福尔马林60克，或漂白粉100—150克；及时防治地虫，可以减轻发病；病瘤刮后的伤口可用100倍的硫酸铜溶液或农 用链霉素400～500毫克5升或波美5度石硫合剂或5％福美胂50倍涂抹消毒，消毒后用1：2：100倍式波尔多液保护或抗癌菌剂K84 的5倍混合液涂抹，然后用100倍硫酸铜溶液浇灌土壤。"	"Peach crown gall disease"	"ed00118"	"该病为细菌性病害，病原细菌为根癌土壤杆菌(Agrobacterium tumefaciens)，寄主范围非常广泛。病原细菌在根瘤组织的皮层内越冬，或在癌瘤破裂脱皮时进入土壤中越冬，在土壤中可存活数月至1年多。雨水、灌水、移土等是主要传播途径，地下害虫如蛴螬、蝼蛄、线虫等也有一定的传播作用，带病苗木是长距离传播的最主要方式。细菌遇到根系的伤口，如虫伤、机械损伤、嫁接口等，侵入皮层组织，开始繁殖，并刺激伤口附近细胞分裂，形成癌瘤。碱性土壤有利于发病；土壤黏重、排水不良的果园发病较多；切接苗木发病较多，芽接苗木发病较少；嫁接口在土面以下有利于发病，在土面以上发病较轻。"	"agridata/images/中国农业有害生物数据库/中国经济作物细菌病害数据库/桃树根癌病.jpg"
