"id"	"天敌"	"中文名"	"形态特征"	"地理分布"	"纲"	"目"	"科"	"主要危害作物"	"生物学特性及发生消长规律"	"相关文献"	"拉丁学名"	"记录号"	"防治方法"	"图片"
"1"	" "	"八点广翅蜡蝉"	"成虫体长11．5～13．5毫米，翅展23．5～26毫米；黑褐色，疏被白蜡粉；触角刚毛状，短小，单眼2个，红色；翅革质密布纵横脉，呈网状，前翅宽大，略呈三角形，翅面被稀薄白色蜡粉，翅上有6～7个白色透明斑，后翅半透明，翅脉黑色，中室端有一小白色透明斑，外缘前半部有l列半圆形小的白色透明斑，分布于脉间；腹部和足褐色。卵长1．2毫米，长卵形，卵顶具一圆形小突起，初为乳白色渐变淡黄色。若虫体长5—6毫米，宽3．5～4毫米，体略呈钝菱形，翅芽处最宽，暗黄褐色，布有深浅不同的斑纹，体疏被白色蜡粉。"	"各地均有分布"	"昆虫纲"	"同翅目"	"广翅蜡蝉科"	"危害桃、杏、李、梅、樱桃等植物。"	"每年发生1代，以卵于枝条内越冬。5月间陆续孵化，危害至7月下旬开始老熟羽化，8月中旬前后为羽化盛期。成虫经20余天取食后开始交配，8月下旬至10月下旬为产卵期，9月中旬至10月上旬为盛期。白天活动危害，若虫有群集性，常数头在一起排列枝上，爬行迅速，善于跳跃；成虫飞行力较强且迅速，产卵于当年发生枝木质部内，以直径4～5毫米粗的枝背面光滑处落卵较多，产卵孔排成l纵列，孔外带出部分木丝并覆有白色棉毛状蜡丝，极易发现与识别。成虫寿命50～70天，至秋后陆续死亡。"	"吕佩珂等撰摄．中国果树病虫原色图谱．北京：华夏出版社，1993 王金友，李知行主编．落叶果树病害原色图谱．北京：金盾出版社，1995 张敏主编．看图诊治苹果 梨病虫害．成都：四川科学技术出版社，2003 郭书普等编著． 桃树、葡萄病虫害防治原色图鉴．合肥： 安徽科学技术出版社，2004"	"Ricaniaspeculum Walker"	"ap00507"	"(1)农业防治。注意冬春修剪，剪除有卵块的枝条集中处理，减少虫源。 (2)药剂防治。危害期结合防治其他害虫兼治此虫。可喷洒菊酯类、有机磷及其复配药剂等，均有较好效果。由于该虫虫体特别是若虫被有蜡粉，所用药液中如能混用含油量0．3％～0．4％的柴油乳剂或黏土柴油乳剂，可显著提高防效。"	"agridata/images/中国农业有害生物数据库/中国苹果桃梨害虫数据库/八点广翅蜡蝉.jpg"
"2"		"白星花金龟"	"成虫体长17—24毫米，宽9～12毫米；椭圆形，具古铜或青铜色光泽；体表散布众多不规则白绒斑；唇基前缘向上折翘，中凹，两侧具边框，外侧向下倾斜；触角深褐色；复眼突出；前胸背板具不规则白绒斑，后缘中凹，前胸背板后角与翅鞘前缘角之间有一个三角片甚显著，即中胸后侧片；鞘翅宽大，近长方形，遍布粗大刻点，白绒斑多为横向波浪形；臀板短宽，每侧有3个白绒斑呈三角形排列；腹部l～5腹板两侧有白绒斑；足较粗壮，膝部有白绒斑，后足基节后外端角尖锐，前足胫节外缘3龄，各足跗节顶端有2个弯曲爪。"	"各地均有分布"	"昆虫纲"	"鞘翅目"	"花金龟科"	"危害桃、苹果、李、柑橘、梨、葡萄、葫芦科植物、禾本科植物及各类蔬菜等。"	"每年发生1代。成虫于5月上旬开始出现，6～7月为发生盛期。成虫白天活动，有假死性，对酒醋味有趋性，飞翔力强，常群聚危害花，产卵于土中。幼虫(蛴螬)多以腐败物为食。"	"吕佩珂等撰摄．中国果树病虫原色图谱．北京：华夏出版社，1993 王金友，李知行主编．落叶果树病害原色图谱．北京：金盾出版社，1995 张敏主编．看图诊治苹果 梨病虫害．成都：四川科学技术出版社，2003 郭书普等编著． 桃树、葡萄病虫害防治原色图鉴．合肥： 安徽科学技术出版社，2004"	"Potosia brevitarsis Lewis"	"ap00508"	"(1)农业防治。对于蛴螬发生严重的地块，在深秋或初冬翻耕土地，不仅能直接消灭一部分蛴螬，并且将大量蛴螬暴露于地表，使其被冻死、风干或被天敌啄食、寄生等，一般可压低虫量15％-30％。避免施用未腐熟的厩肥。 金龟子发生时期，在果园里悬挂糖醋液瓶来诱杀，具有有效期长、成本低、无污染、省工省时等优点，是防治金龟子的重要方法。糖醋液是以挥发出的气味来诱杀金龟子的，盛装容器的口径越大，挥发量就越大。瓶子的口径以10～15厘米为宜，可将废旧农药塑料瓶截留下半截来用。利用颜色诱杀可以和气味诱杀相互促进，金龟子最喜食花朵，然后是果实和叶子，若把瓶色模拟成花或果实的颜色，可大大增强诱杀效果。金龟子最喜红、黄、橙、紫色，蓝、绿色次之，白色最差，可选择有色瓶，也可用颜料涂染或糊有色纸装饰瓶子外表面。瓶子需挂在树冠外围中上部无遮挡处，这样容易被远距离的虫子发现。另外，还得注意风向，需挂在上风头处。 (2)药剂防治。成虫发生期喷药，常用药剂有50％辛硫磷乳油1000倍液，25％爱卡士乳油1000倍液，40％乐果乳油1 000倍液，30％敌百虫乳油500倍液，80％敌百虫可溶性粉剂1 000倍液。"	"agridata/images/中国农业有害生物数据库/中国苹果桃梨害虫数据库/白星花金龟.jpg"
"3"		"扁刺蛾"	"成虫体长13～18毫米，翅展28～39毫米；体暗灰褐色，腹面及足色深；触角雌丝状，基部10多节呈栉齿状，雄羽状；前翅灰褐稍带紫色，中室外侧有一明显的暗褐色斜纹，从前缘近顶角处向后缘中部倾斜；中室上角有一黑点，雄蛾较明显；后翅暗灰褐色。卵扁椭圆形，长1．1毫米，初呈淡黄绿色，后呈灰褐色。幼虫体长21～26毫米，体扁椭圆形，背稍隆似龟背，绿色或黄绿色，背线白色，边缘蓝色；体边缘每侧有10个瘤状突起，上生刺毛，各节背面有2小丛刺毛，第4节背面两侧各有1个红点。蛹体长10～15毫米，前端较肥大，近椭圆形，初乳白色，近羽化时变为黄褐色。茧长12～16毫米，椭圆形，暗褐色。"	"各地均有发生"	"昆虫纲"	"鳞翅目"	"刺蛾科"	"危害桃、梨、李、杏、柑橘、柿、枇杷、桑、麻等多种植物。"	"北方每年发生1代，长江下游地区2代，少数3代，均以老熟幼虫在树下3～6厘米土层内结茧以前蛹越冬。1代区5月中旬开始化蛹；6月上旬开始羽化、产卵，发生期不整齐；6月中旬至8月上旬均可见初孵幼虫，8月危害最重，8月下旬开始陆续老熟入土结茧越冬。2～3代区4月中旬开始化蛹，5月中旬至6月上旬羽化；第1代幼虫发生期为5月下旬至7月中旬，第2代幼虫发生期为7月下旬至9月中旬，第3代幼虫发生期为9月上旬至10月，以末代老熟幼虫入土结茧越冬。成虫多在黄昏羽化出土，昼伏夜出，羽化后即可交配，2天后产卵，多散产于叶面上，卵期7天左右。幼虫共8龄，6龄起可食全叶，老熟多夜间下树入土结茧。"	"吕佩珂等撰摄．中国果树病虫原色图谱．北京：华夏出版社，1993 王金友，李知行主编．落叶果树病害原色图谱．北京：金盾出版社，1995 张敏主编．看图诊治苹果 梨病虫害．成都：四川科学技术出版社，2003 郭书普等编著． 桃树、葡萄病虫害防治原色图鉴．合肥： 安徽科学技术出版社，2004"	"Thosea sinensis Walker"	"ap00509"	"(1)农业防治。挖除树基四周土壤中的虫茧，减少虫源。 (2)药剂防治。幼虫盛发期喷药，常用药剂有50％辛硫磷乳油l 000倍液，50％马拉硫磷乳油l 000倍液，25％亚胺硫磷乳油l 000倍液，25％爱卡士乳油1 500倍液，5％来福灵乳油3 000倍液。"	"agridata/images/中国农业有害生物数据库/中国苹果桃梨害虫数据库/扁刺蛾.jpg"
"4"		"草履硕蚧"	"成虫：唯体长7.8～10 mm，宽4.0～5.5 mm。扁平椭圆形似草鞋。体褐或红褐色，周缘淡黄、体背常隆起，肥大，腹部具横皱凹陷。体被稀疏微毛和薄层白色状蜡质分泌物。雄体长5.0～6.5 mm，翅展约10 mm。复眼较突出。翅淡黑色。触角黑色丝状10节，除1～2节外，各节均环生3圈细长毛。腹末具枝刺17根。 卵：椭圆形，初产黄白渐呈黄红色，产于卵囊内，卵囊为白色绵状物，其中含卵近百粒。 若虫：除体形较雌成虫小,色较深外，余皆相似。 雄蛹：圆筒状，褐色，长约5.0 mm，外被白色绵状物。"	"分布于河北、河南、山东、山西、内蒙古、西藏、陕西、辽宁、江苏、江西、福建、安徽、四川、云南等地"	"昆虫纲"	"同翅目"	"硕蚧科"	"寄主有苹果、桃、梨、柿、枣、无花果、柑橘、荔枝、栗、槐、柳、泡桐、悬铃木等多种寄主植物。"	"此虫我国北方1年发生1代，大多以卵在卵囊内越冬，少数以1龄若虫越冬。次年2月上旬至3月上旬孵化．孵化后的若虫仍停留在卵囊内，寄主萌动、树液流动后开始出囊上树危害。据河南许昌报道，2月底为若虫上树盛期，3月中旬基本结束。而河北吕黎报道该若虫上树盛期为3月中旬，3月下旬基本结束。若虫上树多集中于上午10时至下午2时，顺树干向阳面爬至嫩枝、幼芽等处吸食危害，初龄若虫行动迟缓，喜群栖树杈、树洞及皮缝等隐蔽处。雄若虫脱皮3次化蛹，蛹期约10 d，雌若虫则羽化为成虫。5月上、中旬为羽化期。5月中旬为交尾盛期。5月中、下旬雌虫开始下树入土分泌卵囊，产卵其中，每雌卵量70粒左右，以卵越夏越冬。"	"吕佩珂等撰摄．中国果树病虫原色图谱．北京：华夏出版社，1993 王金友，李知行主编．落叶果树病害原色图谱．北京：金盾出版社，1995 张敏主编．看图诊治苹果 梨病虫害．成都：四川科学技术出版社，2003 郭书普等编著． 桃树、葡萄病虫害防治原色图鉴．合肥： 安徽科学技术出版社，2004"	"drosicha corpulenta (Kuwana)"	"ap00510"	"1.干基涂胶。根据早春若虫出土上树习性，将老树皮刮平环宽约35 cm，每日早上涂黏虫胶(废机油或蓖麻油0.5kg，加热处理后，加碎松香0.5kg溶化后备用)或直接使用加热熔化后的棉油泥。 2.若虫出土期干周喷50%柴油乳剂1 000倍液，或对硫磷乳油1 500倍液；上树后可用2.5%溴氰菊酯乳油8 000倍液或50%对硫磷乳油2 000倍液。 3.人工挖除树冠下土中过冬虫卵，减少虫源。"	"agridata/images/中国农业有害生物数据库/中国苹果桃梨害虫数据库/草履硕蚧.jpg"
"5"		"朝鲜球坚蚧"	"成虫雌体近球形，长4．5毫米，宽3．8毫米，高3．5毫米；前、侧面上部凹入，后面近垂直；初期介壳软黄褐色，后期硬化红褐至黑褐色，表面有极薄的蜡粉，背中线两侧各具l纵列不甚规则的小凹点，壳边平削与枝接触处有白蜡粉。雄体长I．5～2毫米，翅展5．5毫米；头胸赤褐，腹部黄褐色；触角丝状10节，生黄白短毛；前翅发达白色半透明，后翅特化为平衡棒；性刺基部两侧各具1条白色长丝。卵椭圆形，附有白蜡粉，初白色渐变粉红。初孵若虫长椭圆形，扁平，长0．5毫米，淡褐至粉红色被白粉；触角丝状6节；眼红色；足发达；体背面可见10节，腹面13节，腹末有2个小突起，各生1根长毛，固着后体侧分泌出弯曲的白蜡丝覆盖于体背，不易见到虫体。越冬后雌雄分化，雌体卵圆形，背面隆起呈半球形，淡黄褐色有数条紫黑横纹。雄体瘦小椭圆形，背稍隆起；赤褐色。茧长椭圆形灰白半透明，扁平背面略拱，有2条纵沟及数条横脊，末端有一横缝。"	"全国各地均有分布"	"昆虫纲"	"同翅目"	"蚧科"	"危害桃、李、海棠、苹果、杏等果树。"	"每年发生l代，以2龄若虫在枝上越冬，外覆有蜡被。3月中旬开始从蜡被里脱出另找固定点，而后雌雄分化。雄若虫4月上旬开始分泌蜡茧化蛹，4月中旬开始羽化交配，交配后雌虫迅速膨大。5月中旬前后为产卵盛期，卵期7天左右；5月下旬至6月上旬为孵化盛期。初孵若虫分散到枝、叶背危害，落叶前叶上的虫转回枝上，以叶痕和缝隙处居多，此时若虫发育极慢，越冬前蜕1次皮，10月中旬后以2龄若虫于蜡被下越冬。全年4月下旬至5月上旬危害最盛。"	"吕佩珂等撰摄．中国果树病虫原色图谱．北京：华夏出版社，1993 王金友，李知行主编．落叶果树病害原色图谱．北京：金盾出版社，1995 张敏主编．看图诊治苹果 梨病虫害．成都：四川科学技术出版社，2003 郭书普等编著． 桃树、葡萄病虫害防治原色图鉴．合肥： 安徽科学技术出版社，2004"	"Didesmococcus koreanus Borchsenius"	"ap00511"	"芽膨大时喷洒波美5度硫合剂或45％晶体石硫合剂300倍液，或含油量4％～5％的矿物油乳剂，只要喷洒周到，效果极佳。此外还可用蚧螨灵(机油浮剂)与福美胂混用，配方为机油乳剂：福美胂：水比例为2：1：100，除可铲除蚧、蚜虫、叶螨外，还可兼治腐烂病、干腐病、轮纹病等。"	"agridata/images/中国农业有害生物数据库/中国苹果桃梨害虫数据库/朝鲜球坚蚧.jpg"
"6"		"大蓑蛾"	"成虫雌雄异型。雌成虫体肥大，淡黄色或乳白色；无翅，足、触角、口器、复眼均有退化；头部小，淡黄褐色；腹部背中央有l条褐色隆基，胸部和第1腹节侧面有黄色毛，第7腹节后缘有黄色短毛带，第8腹节以后急剧收缩，外生殖器发达。雄成虫为中小型蛾，翅展35～44毫米；体褐色，有淡色纵纹；前翅红褐色，有黑色和棕色斑纹；后翅黑褐色，略带红褐色；前、后翅中室内中脉叉状分支明显。卵椭圆形，直径0．8～1．0毫米，淡黄色，有光泽。幼虫雄虫体长18～25毫米，黄褐色，蓑囊长50～60毫米，雌虫体长28～38毫米，棕褐色，蓑囊长70～90毫米；头部黑褐色，各缝线白色；胸部褐色有乳白色斑；腹部淡黄褐色；胸足发达，黑褐色，腹足退化呈盘状，趾钩15～24个。雄蛹长18～24毫米，黑褐色，有光泽；雌蛹长25～30毫米，红褐色。"	"各地均有发生"	"昆虫纲"	"鳞翅目"	"蓑蛾科"	"除危害桃树外，还危害200余种植物。"	"在华北地区、华东地区、华中地区每年发生l代，以老熟幼虫在蓑囊中越冬。第2年春天3月下旬开始化蛹；4月底5月初为成虫羽化盛期，雌蛾多于雄蛾，雄蛾羽化后离开蓑囊，寻觅雌蛾；雌成虫羽化后不离开蓑囊，在黄昏时将头胸伸出囊外，招引雄蛾。雌成虫将卵产在蓑囊内，每雌可产3000～6000粒。幼虫孵化后立即吐丝造囊。初龄幼虫有群居习性，并能吐丝下垂，随风扩散；幼虫在3～4龄开始转移，分散危害；9月底至10月初幼虫在囊内越冬。"	"吕佩珂等撰摄．中国果树病虫原色图谱．北京：华夏出版社，1993 王金友，李知行主编．落叶果树病害原色图谱．北京：金盾出版社，1995 张敏主编．看图诊治苹果 梨病虫害．成都：四川科学技术出版社，2003 郭书普等编著． 桃树、葡萄病虫害防治原色图鉴．合肥： 安徽科学技术出版社，2004"	"Clania variegata Snellen"	"ap00512"	"(1)农业防治。结合园艺管理，及时摘除蓑囊并销毁。 (2)药剂防治。在低龄幼虫盛期喷药，常用药剂有500％马拉硫磷乳油1 000倍液，90％晶体敌百虫1 000倍液，20％灭多威乳油1 500倍液，25％广克威1 500倍液，40％新辛乳油l 500倍液，5％来福灵乳油2 500倍液。"	"agridata/images/中国农业有害生物数据库/中国苹果桃梨害虫数据库/大蓑蛾.jpg"
"7"		"盗毒蛾"	"成虫雌虫体长18～20毫米，翅展35～45毫米；雄虫体长14～16毫米，翅展30～40毫米；体翅均为白色，头、胸、足及腹部基半部白色带微黄；前翅后缘近臀角处和近基部各有1个黑褐色斑；雌体腹部肥大，末端有金黄色毛丛；雄腹部较瘦，第3节开始以后各节有稀疏黄色短毛。卵扁圆，中央稍凹，灰黄色，常数10粒排成长袋形卵块，表面覆有雌蛾腹未脱落的黄毛。幼虫体长25～40毫米，头暗褐色，体黑褐色至黑色；前胸盾黄色，上有2条黑色纵线；背线红色，亚背线白色，气门下线黄色；前胸背板两侧各有1个向前突出的红色大瘤，上生黑色长毛和白色松枝状毛；中、后胸和腹部l～8节各有8个毛瘤，其上亦生长毛和松枝状毛；腹部第1、第2、第8节背面中央l对毛瘤各愈合成1个大瘤，上生黑色绒状毛撮和黑褐长毛，并有白色松枝状毛；第9腹节毛瘤全为橙红色；第6～7腹节背中央各具1个红色盘状翻缩腺。蛹长12～16毫米，长圆筒形，棕褐色，胸腹各节有幼虫毛瘤痕迹，上生黄色短毛。茧长椭圆形，较薄，上附幼虫体毛。"	"各地均有发生"	"昆虫纲"	"鳞翅目"	"毒蛾科"	"危害桃、梨、苹果、李、柑橘、樱桃、山楂等果树。"	"东北、华北每年发生2代，华东3～4代，华南5～6代，均以3～4龄幼虫结茧在树干裂缝、翘皮缝或枯叶间越冬。第2年春天4月果树发芽时越冬幼虫破茧而出，危害嫩芽和叶片，5月中旬开始老熟结茧化，6月上旬陆续羽化为成虫。成虫昼伏夜出，有趋光性，卵成块产于叶背或枝干上。初孵幼虫先聚集叶背取食叶肉，3龄后分散危害，蚕食叶片，老熟结茧化蛹。4代发生区各代幼虫发生盛期依次为6月中旬、8月上旬、9月中旬和10月上旬。"	"吕佩珂等撰摄．中国果树病虫原色图谱．北京：华夏出版社，1993 王金友，李知行主编．落叶果树病害原色图谱．北京：金盾出版社，1995 张敏主编．看图诊治苹果 梨病虫害．成都：四川科学技术出版社，2003 郭书普等编著． 桃树、葡萄病虫害防治原色图鉴．合肥： 安徽科学技术出版社，2004"	"Porthesia similis Fueszly"	"ap00513"	"(1)农业防治。秋季越冬前，在树干上束草，诱集越冬幼虫，冬后出蛰前把草取下，同时采除枝干上虫茧，放入寄生蜂保护器中，待天敌羽化后，再把草束烧毁；及时摘除卵块，摘除群集幼虫的叶片。 (2)药剂防治。幼虫发生期喷药防治，常用药剂有90％晶体敌百虫1 000倍液，25％亚胺硫磷乳油1 000倍液，10％多来宝乳油2 000倍液，10％天王星乳油4000倍液，35％赛丹乳油2 500倍液，50％杀螟松乳油1 000倍液。"	"agridata/images/中国农业有害生物数据库/中国苹果桃梨害虫数据库/盗毒蛾.jpg"
"8"		"龟形小刺蛾"	"成虫：体长6～9 mm，翅展18～25 mm。体白色，头胸部被灰白色毛丛。触角丝状，黄褐色。复眼黑色或黑褐色，下唇须特别突出。前翅灰褐色，翅面散生有白色或深褐色云状斑纹，亚外缘线及中横线间具一“S”形黑斑，翅中央具一褐色宽带，宽带中间具一平行于外缘的白线，宽带内侧具9个小黑点；后翅淡黄褐或白色，外缘处白色，上具浅黄褐色横纹。前足较短，白色杂有褐色斑纹；中后足白色有长毛。 卵：椭圆形，扁平，光滑，乳白色。 幼虫：老熟体长8～10 mm，宽5～7 mm。近椭圆形，龟状；翠绿色，体表光滑，略角质化，无刺突与刺毛。有金黄色纹，亚背线黄色，背线与侧线处每节各具一暗色斑点，前胸红褐色，中胸背板深褐色，其上具淡黄色斑点6个，间或背腹中部数节亚背线处有红点2～4对。 蛹：体长5～6 mm。乳白色，头部略带褐色，复眼近黑色，前翅芽尖端突出于体外。 茧：椭圆形，体长5～7 mm，宽4～5 mm。似腰鼓，茧壁坚硬光滑，灰褐、褐或白等色，其上具深褐色纵向条纹和白色横向条纹，中部褐色较深，两端各具一白色或灰白色圆斑，其边缘深褐色，中央亦具一深褐色圆点。"	"分布于河北、北京、云南、贵州、广西、广东、湖北、湖南、安徽、江西、浙江、四川、台湾等地。"	"昆虫纲"	"鳞翅目"	"刺蛾科"	"寄主有梨、柿、枣、石榴、樱桃、杨梅、梅、李、板栗、茶、栎等多种植物。"	"此虫四川1年发生2代，以老熟幼虫于寄主枝干上结茧越冬，少数于叶背结茧越冬者。次年4～5月间陆续化蛹；5月中旬至6月初为成虫羽化盛期，5月中旬到6月中旬为产卵期。5月下旬到7月上旬为幼虫期。7月间幼虫陆续老熟化蛹。7月中旬开始出现第1代成虫。10月间发生的第2代幼虫老熟后，即陆续开始结茧，并进入越冬。 成虫昼伏夜出，有趋光性。雌成虫羽化后的l-2日即可开始交尾与产卵。卵多散产或3～5粒—起产于叶片背面，单雌产卵8～13粒。卵期7 d左右。越冬代成虫羽化率高，但落卵量低。幼虫共6龄。1龄幼虫乳白色，常栖息于叶背。仅能食害下表皮与叶内，残留表面，被害部位出现黄绿至枯黄半透明斑点；2龄幼虫黄绿色，取食叶片时，常将叶片咬成孔洞；3龄幼虫浅绿色；4龄翠绿色，亚背线出现黄色；5龄幼虫体四周黄绿色，背面绿色，隐约可见菱形、椭圆形或三角形斑纹；亚背线黄色，亚背线与侧线处各节具暗色点一枚，间有个体中部数节亚背线处尚有2～4校红点，中胸背板深褐色，其上具淡黄色斑；6龄幼虫的斑点与线纹的色彩较5龄幼虫明显，以后即进入老熟幼虫接近化蛹。3龄以后幼虫食量增加；常蚕食叶尖与叶缘成不规则的缺刻，严重发生时，可将叶片全部食光，仅留主脉。幼虫多取食成长叶片与老叶，间或也为害幼嫩叶片。幼虫为害至老熟后于枝条或叶背结茧化蛹，第l代茧有部分结在叶背，第2代则大多于寄主枝干上结茧。"	"吕佩珂等撰摄．中国果树病虫原色图谱．北京：华夏出版社，1993 王金友，李知行主编．落叶果树病害原色图谱．北京：金盾出版社，1995 张敏主编．看图诊治苹果 梨病虫害．成都：四川科学技术出版社，2003 郭书普等编著． 桃树、葡萄病虫害防治原色图鉴．合肥： 安徽科学技术出版社，2004"	"Narosa nigrisigna Wileman"	"ap00514"	"1.结合园内冬季与早春的修剪管理，及时剪除越冬虫茧，并集中烧毁。 2.利用成虫的趋光习性，结合测报，于各代成虫始发期设置黑光灯或其他灯光，可诱杀成虫。同时还可消灭园内其他有趋光性的有害成虫。 3.成虫产卵高峰期或幼虫孵化初盛期用药防治，具有见效快、收效高的特点。常用农药有：50%杀螟松乳油、50%对硫磷乳油、50%马拉松乳油、90%敌百虫晶体、50%辛硫磷乳油1 500倍液；2.5%功夫乳油,2.5%敌杀死乳油、10%二氯苯醚菊酯乳油、20%灭扫利乳油、20%来福灵乳油、20%速灭扫丁乳油8 000～8 500倍液。在气温25℃，相对湿度为80%左右时喷洒100亿/g的青虫菌、苏云金秆茵等微生物农药350倍液，对幼虫有明显的防效。"	"agridata/images/中国农业有害生物数据库/中国苹果桃梨害虫数据库/龟形小刺蛾.jpg"
"9"		"果苔螨"	"成螨：雌成螨体长0.5～0.6 mm，宽0.37～0.45 mm，扁平椭圆形，褐红色、绿褐色或黑褐色。前、后半体之间界限明显，身体周缘有明显的浅沟。体背面有粗糙横褶皱，并满布圆形小颗粒。体前端具4个叶突，上有扇形刚毛。体背中央纵列两徘扁平、叶状刚毛16对，白色。第1对足常超过体长。 卵：圆球形，表面光滑，直径约0.186 mm。冬卵深红色，夏卵红色，近孵化时呈污白色。 幼螨：体椭圆形，体长约0.24 mm，冬卵孵化后呈暗红色，夏卵孵化后为深绿色，足3对，背毛棒状，上有锯齿。 若蛹：体长0.3～0.4 mm，足4对，韧褐色，取食后绿色，体呈椭圆形，略扁平，体后端背面两侧有黑褐色斑。"	"分布于北京、辽宁、河北、山东、内蒙古、山西、河南、宁夏、 陕西、甘肃、新疆、江苏等地"	"蛛形纲"	"前气门目"	"叶螨科"	"寄主有苹果、梨、桃、樱桃、杏、李、沙果等蔷薇科果树。"	"此螨在北方果区1年发生3～5代，在江苏等南方地区生7～10代，以鲜红色越冬卵于主侧枝阴面的粗皮缝隙中、枝条下面和短果枝叶痕等处过冬。当春季气温平均为7℃以上，苹果发芽时开始孵化，初花期为孵花盛期。当日平均温度在23～25℃时，卵期9～14 d，幼螨期4～6 d．若螨期6～9 d，发生1代需19～28 d。日均温度为10～31℃时，发生1代需4l-48 d。一般在6月中、下旬至7月上、中旬为全年危害盛期，以后随气温升高，虫口密度逐渐减小，成螨寿命25 d左右。在5代区，各代成螨盛发期大体为5月下旬，6月中、下旬，7月中旬，8月中旬和9月上旬。大发生年或受害重的树，7月中旬前后开始出现越冬卵，发生轻的年份或受害轻的树，于8～9月份产越冬卵。果苔螨性极活泼，常往返于叶与果枝间，主要于叶面、果面危害。无吐丝结网习性。行孤雌生殖。夏卵多产在果枝、果苔、尊洼和叶柄等处，幼螨孵化后多集中于叶面基部为害，并在叶柄、主脉凹陷处静止脱皮。若螨喜在叶柄和枝条等处静止或脱皮。"	"吕佩珂等撰摄．中国果树病虫原色图谱．北京：华夏出版社，1993 王金友，李知行主编．落叶果树病害原色图谱．北京：金盾出版社，1995 张敏主编．看图诊治苹果 梨病虫害．成都：四川科学技术出版社，2003 郭书普等编著． 桃树、葡萄病虫害防治原色图鉴．合肥： 安徽科学技术出版社，2004"	"Bryobia rubrioculus (Schenten)"	"ap00515"	"参阅山楂叶螨和苹果全爪瞒防治技术。"	"agridata/images/中国农业有害生物数据库/中国苹果桃梨害虫数据库/果苔螨.jpg"
"10"		"核桃小吉丁"	"成虫：体长4～7 mm，体黑色具金属光泽，头小且中央具纵沟，复眼大，黑色。触角锯齿状。头、胸背面及鞘翅上密布刻点，排列为不规则条纹。前胸背板中间隆起，两边稍延长。 卵：扁圆形，长1.4～1.5 mm，初白色，后变黑色。 幼虫：老熟体长约17 mm，乳白扁平状。头黑褐色，明显缩入前胸内，前胸膨大，中、后胸较小，腹部10节略似，腹端具 1对褐色尾刺。 蛹：体黄褐约5 mm，近羽化时为黑色。"	"布于山西、山东、河北、河南、陕西、甘肃、内蒙古等地。"	"昆虫纲"	"鞘翅目"	"吉丁甲科"	"主要危害核桃。"	"此虫1年发生l代，以老熟幼虫在受害枝的本质部蛹室内越冬。次年4月中旬核桃展叶期开始化蛹，盛期在4月底至5月初，6月底结束。蛹期约2 d左右。成虫期为5月上旬至7月上旬，盛期为5月下旬至6月初，成虫羽化出室经13 d左右的取食后开始产卵，卵出现期一般为6月上旬至7月旬。成虫寿命约40 d左右，卵期约10 d左右。6月中旬至8月旬为幼虫孵化期，幼虫期达8个月左右。成虫羽化后在蛹室内停留约5 d左右。成虫喜自天活动：产卵需较高的温度与强光， 卵散产于叶痕附近及叶痕上，间或产在大树粗枝的光皮和幼树上。以膛外枝、叶痕处卵较多。7～8月被害枝的叶片发黄脱落，次年不发芽而枯死。幼虫可危害1～6年生枝条，但以2～3年受害较重。受害活枝中很少有幼虫越冬，即使有也几乎越冬后死亡。自月下旬后，老熟幼虫多食入干枯枝中的木质部内做蛹室过冬。至10月底幼虫全部进入越冬。"	"吕佩珂等撰摄．中国果树病虫原色图谱．北京：华夏出版社，1993 王金友，李知行主编．落叶果树病害原色图谱．北京：金盾出版社，1995 张敏主编．看图诊治苹果 梨病虫害．成都：四川科学技术出版社，2003 郭书普等编著． 桃树、葡萄病虫害防治原色图鉴．合肥： 安徽科学技术出版社，2004"	"Agrilus lewisiellus Kere"	"ap00516"	"参照苹果小吉丁"	"agridata/images/中国农业有害生物数据库/中国苹果桃梨害虫数据库/核桃小吉丁.jpg"
