"id"	"标题"	"图片号"	"批次"	"路径"
"1"	"1"	"1"	"第一批中国重要农业文化遗产"	"agridata/images/culture/河北宣化传统葡萄园.jpg"
"2"	"1"	"2"	"第一批中国重要农业文化遗产"	"agridata/images/culture/河北宣化传统葡萄园(1).jpg"
"3"	"2"	"1"	"第一批中国重要农业文化遗产"	"agridata/images/culture/内蒙古敖汉旱作农业系统.jpg"
"4"	"2"	"2"	"第一批中国重要农业文化遗产"	"agridata/images/culture/内蒙古敖汉旱作农业系统(1).jpg"
"5"	"3"	"1"	"第一批中国重要农业文化遗产"	"agridata/images/culture/辽宁鞍山南果梨栽培系统.jpg"
"6"	"3"	"2"	"第一批中国重要农业文化遗产"	"agridata/images/culture/辽宁鞍山南果梨栽培系统(1).jpg"
"7"	"4"	"1"	"第一批中国重要农业文化遗产"	"agridata/images/culture/辽宁宽甸柱参传统栽培体系.jpg"
"8"	"5"	"1"	"第一批中国重要农业文化遗产"	"agridata/images/culture/江苏兴化垛田传统农业系统.jpg"
"9"	"5"	"2"	"第一批中国重要农业文化遗产"	"agridata/images/culture/江苏兴化垛田传统农业系统(1).jpg"
"10"	"6"	"1"	"第一批中国重要农业文化遗产"	"agridata/images/culture/浙江青田稻鱼共生系统.jpg"
"11"	"7"	"1"	"第一批中国重要农业文化遗产"	"agridata/images/culture/浙江绍兴会稽山古香榧群.jpg"
"12"	"8"	"1"	"第一批中国重要农业文化遗产"	"agridata/images/culture/福建福州茉莉花种植与茶文化系统.jpg"
"13"	"9"	"1"	"第一批中国重要农业文化遗产"	"agridata/images/culture/福建尤溪联合梯田.jpg"
"14"	"10"	"1"	"第一批中国重要农业文化遗产"	"agridata/images/culture/江西万年稻作文化系统.jpg"
"15"	"11"	"1"	"第一批中国重要农业文化遗产"	"agridata/images/culture/湖南新化紫鹊界梯田.jpg"
"16"	"12"	"1"	"第一批中国重要农业文化遗产"	"agridata/images/culture/云南红河哈尼稻作梯田系统.jpg"
"17"	"13"	"1"	"第一批中国重要农业文化遗产"	"agridata/images/culture/云南普洱古茶园与茶文化系统.jpg"
"18"	"14"	"1"	"第一批中国重要农业文化遗产"	"agridata/images/culture/云南漾濞核桃-作物复合系统.jpg"
"19"	"15"	"1"	"第一批中国重要农业文化遗产"	"agridata/images/culture/贵州从江侗乡稻鱼鸭复合系统.jpg"
"20"	"16"	"1"	"第一批中国重要农业文化遗产"	"agridata/images/culture/陕西佳县古枣园.jpg"
"21"	"17"	"1"	"第一批中国重要农业文化遗产"	"agridata/images/culture/甘肃皋兰什川古梨园.jpg"
"22"	"18"	"1"	"第一批中国重要农业文化遗产"	"agridata/images/culture/甘肃迭部扎尕那农林牧复合系统.jpg"
