"id"	"邯郸穗粒重"	"品种名称"	"邯郸穗粒数"	"哈市穗粒数"	"杭州成熟型"	"耐盐芽期"	"黄花叶病"	"原产地"	"统一编号"	"北京成熟型"	"邯郸千粒重"	"条纹病"	"杭州千粒重"	"哈市成熟型"	"哈市穗粒重"	"北京穗粒数"	"哈市株粒重"	"白粉病"	"北京株高"	"北京株粒重"	"邯郸株高"	"优异性状"	"哈市千粒重"	"西宁成熟型"	"NO"	"哈市株高"	"西宁穗粒数"	"棱型"	"皮裸"	"杭州株高"	"杭州穗粒数"	"邯郸成熟型"	"耐盐苗期"	"西宁株高"	"北京千粒重"	"赤霉病"	"北京穗粒重"	"杭州穗粒重"	"西宁株粒重"	"西宁千粒重"	"邯郸株粒重"	"西宁穗粒重"	"杭州株粒重"
"1"	"1.2"	"香川裸1号"	"34"	"22"	"晚"	"3"	"HR"	"日本"	"WDM00204"	"中"	"35"	"HS"	"25.3"	"中"	".7"	"66"	"2.6"	"HS"	"59"	"2.3"	"75"	"高抗黄花叶病,矮秆"	"20.2"	"早"	"1"	"64"	"54"	"6"	"裸"	"90"	"52"	"晚"	"4"	"64"	"33"	"HS"	".9"	"1.3"	"2.5"	"27.8"	"8.4"	".7"	"6"
"2"	"1"	"088-134"	"25"	"20"	"晚"	"2"	"S"	"法国"	"WDM03514"	"早"	"41.4"	"HS"	"38.3"	"中"	"1"	"29"	"3.9"	"HS"	"93"	"4.6"	"78"	"中抗赤霉病,农艺性状好"	"45.1"	"特早"	"2"	"62"	"23"	"2"	"皮"	"71"	"18"	"晚"	"3"	"92"	"45.3"	"MR"	"1.1"	".7"	"5.3"	"43.3"	"8.1"	"1"	"3.9"
"3"	"1.5"	"C1264"	"55"	"45"	"晚"	"5"	"R"	"加拿大"	"WDM03846"	"中"	"32.4"	"HS"	"29.4"	"中"	"1.3"	"60"	"3.3"	"HS"	"67"	"3.7"	"70"	"抗黄花叶病,矮秆"	"27.1"	"早"	"4"	"54"	"52"	"6"	"裸"	"89"	"41"	"晚"	"4"	"73"	"29.1"	"HS"	"1.3"	"1.2"	"4.2"	"29.7"	"9.8"	"1.5"	"5.3"
"4"	"1.2"	"CAN8854"	"23"	"26"	"晚"	"5"	"HR"	"加拿大"	"WDM03940"	"晚"	"48.8"	"HS"	"46.8"	"中"	"1.4"	"32"	"5.1"	"HS"	"91"	"4.8"	"92"	"高抗黄花叶病"	"53.3"	"特早"	"5"	"69"	"26"	"2"	"皮"	"89"	"19"	"晚"	"3"	"97"	"49.4"	"HS"	"1.2"	".9"	"4.5"	"48.8"	"8.6"	"1.2"	"4.3"
"5"	"1"	"Emir//ArabiAbiad*2"	"23"	"16"	"晚"	"4"	"S"	"叙利亚"	"WDM04548"	"早"	"45.2"	"HS"	"40"	"早"	".9"	"21"	"5"	"MS"	"87"	"4.8"	"87"	"中抗赤霉病,早熟"	"52.1"	"特早"	"6"	"64"	"18"	"2"	"皮"	"82"	"16"	"中"	"4"	"84"	"45.8"	"MR"	".7"	".6"	"4"	"50.7"	"9.7"	".9"	"4.3"
"6"	".9"	"HDO87-3354"	"23"	"21"	"极晚"	"4"	"HR"	"法国"	"WDM05129"	"中"	"42.1"	"S"	"39.8"	"早"	"1"	"29"	"4.5"	"HR"	"84"	"4.5"	"85"	"高抗黄花叶病、白粉病,抗赤霉病,农艺性状好"	"45.2"	"早"	"7"	"63"	"24"	"2"	"皮"	"73"	"13"	"晚"	"2"	"92"	"36.6"	"R"	".9"	".5"	"5.1"	"43.5"	"7.7"	".9"	"2.3"
"7"	"1.1"	"Suyin12"	"24"	"19"	"早"	"5"	"HR"	"日本"	"WDM05736"	"特早"	"43.3"	"HS"	"34.5"	"早"	"1"	"25"	"3"	"MS"	"79"	"4.2"	"81"	"高抗黄花叶病,抗赤霉病,早熟"	"47.8"	"特早"	"8"	"65"	"19"	"2"	"皮"	"84"	"22"	"早"	"3"	"87"	"38.3"	"R"	".8"	".8"	"4.7"	"45.6"	"7.6"	".8"	"2.5"
"8"	"1.1"	"Suyin21"	"22"	"20"	"特早"	"5"	"HR"	"日本"	"WDM05743"	"特早"	"53.3"	"MS"	"35"	"早"	"1"	"24"	"3"	"IM"	"83"	"4.6"	"77"	"高抗黄花叶病,中抗赤霉病,白粉病免疫,早熟"	"50.3"	"特早"	"9"	"60"	"19"	"2"	"皮"	"85"	"21"	"早"	"3"	"95"	"43.3"	"MR"	".8"	".7"	"5.9"	"45.7"	"7.6"	".9"	"2.6"
"9"	"1.1"	"Suyin24"	"25"	"18"	"特早"	"5"	"HR"	"日本"	"WDM05746"	"特早"	"43.6"	"HS"	"38.4"	"早"	"1"	"26"	"4.1"	"IM"	"76"	"4.8"	"74"	"高抗黄花叶病,抗赤霉病,白粉病免疫,早熟"	"48.5"	"特早"	"10"	"60"	"25"	"2"	"皮"	"79"	"22"	"早"	"3"	"83"	"46.3"	"R"	".9"	".8"	"5.5"	"48.3"	"6.2"	".9"	"4.1"
"10"	"1.1"	"Suyin27"	"21"	"20"	"早"	"5"	"HR"	"日本"	"WDM05749"	"早"	"47.3"	"HS"	"40.2"	"早"	"1.1"	"26"	"5.7"	"HS"	"77"	"5.2"	"71"	"高抗黄花叶病,抗赤霉病,早熟"	"50.8"	"特早"	"11"	"63"	"21"	"2"	"皮"	"88"	"22"	"早"	"3"	"85"	"47"	"R"	"1"	".9"	"5.7"	"50.9"	"7.4"	".9"	"3.1"
