"id"	"成都穗位高"	"年份吐丝数"	"北京区产量"	"杨穗位高"	"杨陵镇穗粗"	"年份区产量"	"北京抽雄数"	"平均穗行数"	"品种名称"	"年份抽雄数"	"公穗位高"	"平均穗位高"	"成都抽雄数"	"北京穗位高"	"成都吐丝数"	"成都穗行数"	"平均穗粗"	"平均抽雄数"	"北京穗行数"	"公抽雄数"	"北京成熟数"	"公成熟数"	"公吐丝数"	"年份穗位高"	"成都成熟数"	"杨吐丝数"	"北京穗粗"	"杨穗行数"	"公区产量"	"成都区产量"	"公穗行数"	"杨区产量"	"杨成熟数"	"平均区产量"	"北京吐丝数"	"年份成熟数"	"杨抽雄数"	"年份穗行数"	"平均吐丝数"	"年份穗粗"	"平均成熟数"	"公主岭穗粗"	"成都穗粗"
"1"	"45.0"	"1997.0"	"1167.0"	"79.0"	"4.5"	"1997.0"	"58.0"	"15.0"	"太系112×中128"	"1997.0"	"70.0"	"69"	"59"	"83"	"64.0"	"14"	"4.5"	"59.0"	"14.0"	"67.0"	"111.0"	"128.0"	"71.0"	"1997.0"	"109"	"55.0"	"4.6"	"16.0"	"2697.0"	"940"	"16.0"	"2330.0"	"90.0"	"1784.0"	"63"	"1997.0"	"51.0"	"1997.0"	"63"	"1997.0"	"110.0"	"4.5"	"--"
"2"	"59.0"	"1998.0"	"760.0"	"68.0"	"4.8"	"1998.0"	"65.0"	"15.0"	"太系112×中128"	"1998.0"	"129.0"	"82"	"51"	"70"	"52.0"	"14"	"4.3"	"59.0"	"16.0"	"62.0"	"99.0"	"116.0"	"64.0"	"1998.0"	"105"	"60.0"	"4"	"14.0"	"1941.0"	"860"	"16.0"	"2650.0"	"91.0"	"1553.0"	"--"	"1998.0"	"58.0"	"1998.0"	"58"	"1998.0"	"103.0"	"4.2"	"4.1"
"3"	"52.0"	"平均"	"964.0"	"74"	"4.7"	"平均"	"62.0"	"15.0"	"太系112×中128"	"平均"	"100"	"76"	"55"	"77"	"58.0"	"14"	"4.4"	"59.0"	"16.0"	"65"	"105.0"	"122"	"67"	"平均"	"107"	"57"	"4.3"	"16"	"2319"	"900"	"16"	"2490"	"91"	"1669.0"	"63"	"平均"	"55"	"平均"	"60"	"平均"	"107.0"	"4.4"	"4.1"
"4"	"44.0"	"1997.0"	"1075.0"	"68.0"	"4.4"	"1997.0"	"62.0"	"14.0"	"太系112×矮中自05"	"1997.0"	"85.0"	"67"	"59"	"70"	"65.0"	"14"	"4.6"	"60.0"	"14.0"	"64.0"	"111.0"	"131.0"	"71.0"	"1997.0"	"114"	"59.0"	"4.6"	"14.0"	"2726.0"	"1040"	"16.0"	"2060.0"	"101.0"	"1725.0"	"66"	"1997.0"	"56.0"	"1997.0"	"65"	"1997.0"	"114.0"	"4.8"	"--"
"5"	"62.0"	"1998.0"	"1136.0"	"57.0"	"4.9"	"1998.0"	"63.0"	"14.0"	"太系112×矮中自05"	"1998.0"	"107.0"	"75"	"53"	"72"	"55.0"	"14"	"4.8"	"60.0"	"14.0"	"63.0"	"98.0"	"129.0"	"66.0"	"1998.0"	"110"	"64.0"	"4.9"	"14.0"	"3017.0"	"1080"	"14.0"	"2880.0"	"91.0"	"2027.0"	"--"	"1998.0"	"60.0"	"1998.0"	"61"	"1998.0"	"107.0"	"4.8"	"4.7"
"6"	"53.0"	"平均"	"1103.0"	"63"	"4.7"	"平均"	"63.0"	"14.0"	"太系112×矮中自05"	"平均"	"96"	"71"	"56"	"71"	"60.0"	"14"	"4.7"	"60.0"	"14.0"	"64"	"105.0"	"130"	"68"	"平均"	"112"	"61"	"4.8"	"14"	"2872"	"1060"	"15"	"2470"	"96"	"1876.0"	"66"	"平均"	"58"	"平均"	"63"	"平均"	"110.0"	"4.8"	"4.7"
"7"	"50.0"	"1997.0"	"1038.0"	"78.0"	"4.0"	"1997.0"	"58.0"	"13.0"	"太系112×MOl7"	"1997.0"	"70.0"	"69"	"59"	"77"	"66.0"	"12"	"4.2"	"58.0"	"14.0"	"60.0"	"109.0"	"127.0"	"66.0"	"1997.0"	"110"	"58.0"	"4.1"	"14.0"	"2765.0"	"660"	"14.0"	"2060.0"	"91.0"	"1631.0"	"63"	"1997.0"	"55.0"	"1997.0"	"64"	"1997.0"	"109.0"	"4.5"	"--"
"8"	"70.0"	"1998"	"672.0"	"--"	"--"	"1998"	"62.0"	"13.0"	"太系112×MOl7"	"1998"	"88"	"78"	"55"	"77"	"57.0"	"14"	"4"	"58.0"	"14.0"	"58"	"98.0"	"116"	"64"	"1998"	"111"	"--"	"3.9"	"--"	"2188"	"940"	"14"	"--"	"--"	"1267.0"	"--"	"1998"	"--"	"1998"	"61"	"1998"	"108.0"	"4.2"	"3.8"
"9"	"60.0"	"平均"	"855.0"	"78"	"4"	"平均"	"60.0"	"13.0"	"太系112×MOl7"	"平均"	"79"	"74"	"57"	"77"	"62.0"	"13"	"4.1"	"58.0"	"13.0"	"59"	"104.0"	"122"	"65"	"平均"	"111"	"58"	"4"	"13"	"2477"	"800"	"13"	"2060"	"91"	"1445.0"	"63"	"平均"	"55"	"平均"	"63"	"平均"	"109.0"	"4.4"	"3.8"
"10"	"68.0"	"1997.0"	"1343.0"	"100.0"	"5.0"	"1997.0"	"60.0"	"15.0"	"沈112×中128"	"1997.0"	"107.0"	"93"	"60"	"97"	"65.0"	"14"	"4.7"	"60.0"	"16.0"	"67.0"	"112.0"	"127.0"	"71.0"	"1997.0"	"113"	"56.0"	"4.6"	"16.0"	"3206.0"	"1230"	"16.0"	"3930.0"	"96.0"	"2427.0"	"65"	"1997.0"	"53.0"	"1997.0"	"64"	"1997.0"	"112.0"	"4.5"	"--"
"11"	"84.0"	"1998.0"	"960.0"	"98.0"	"5.0"	"1998.0"	"65.0"	"15.0"	"沈112×中128"	"1998.0"	"100.0"	"96"	"54"	"102"	"54.0"	"16"	"4.7"	"60.0"	"14.0"	"62.0"	"99.0"	"127.0"	"65.0"	"1998.0"	"108"	"63.0"	"4.6"	"14.0"	"3418.0"	"870"	"16.0"	"3720.0"	"92.0"	"2242.0"	"--"	"1998.0"	"60.0"	"1998.0"	"61"	"1998.0"	"107.0"	"4.7"	"4.3"
"12"	"76.0"	"平均"	"1152.0"	"99"	"5"	"平均"	"63.0"	"15.0"	"沈112×中128"	"平均"	"104"	"95"	"57"	"100"	"60.0"	"15"	"4.7"	"60.0"	"15.0"	"65"	"106.0"	"127"	"68"	"平均"	"111"	"60"	"4.6"	"15"	"3312"	"1050"	"15"	"3825"	"94"	"2335.0"	"65"	"平均"	"57"	"平均"	"63"	"平均"	"110.0"	"4.6"	"4.3"
"13"	"51.0"	"1997.0"	"957.0"	"84.0"	"4.1"	"1997.0"	"--"	"15.0"	"沈112×矮中自05"	"1997.0"	"80.0"	"72"	"60"	"73"	"66.0"	"14"	"4.4"	"60.0"	"16.0"	"64.0"	"112.0"	"127.0"	"72.0"	"1997.0"	"114"	"60.0"	"4.4"	"16.0"	"2400.0"	"1010"	"16.0"	"2600.0"	"104.0"	"1742.0"	"63"	"1997.0"	"57.0"	"1997.0"	"64"	"1997.0"	"114.0"	"4.7"	"--"
"14"	"79.0"	"1998.0"	"1175.0"	"67.0"	"5.0"	"1998.0"	"63.0"	"15.0"	"沈112×矮中自05"	"1998.0"	"121.0"	"89"	"56"	"87"	"56.0"	"14"	"4.6"	"60.0"	"16.0"	"61.0"	"98.0"	"130.0"	"67.0"	"1998.0"	"111"	"65.0"	"4.6"	"14.0"	"2939.0"	"930"	"16.0"	"3380.0"	"98.0"	"2106.0"	"--"	"1998.0"	"61.0"	"1998.0"	"63"	"1998.0"	"109.0"	"4.4"	"4.3"
"15"	"65.0"	"平均"	"1066.0"	"76"	"4.6"	"平均"	"63.0"	"15.0"	"沈112×矮中自05"	"平均"	"101"	"81"	"58"	"80"	"61.0"	"14"	"4.5"	"60.0"	"15.0"	"63"	"105.0"	"129"	"70"	"平均"	"113"	"63"	"4.5"	"15"	"2670"	"970"	"16"	"2990"	"101"	"1924.0"	"63"	"平均"	"59"	"平均"	"64"	"平均"	"112.0"	"4.6"	"4.3"
