"id"	"种质名称"	"种质小类"	"种质大类"	"种质类型"	"种质来源"	"优异性状"	"利用价值"	"评定等级"	"联系单位"
"1"	"148糯"	"水稻"	"主要作物"	"育成品种"	"从丽恢622/处州糯//处州糯中选育而成。"	"籼型优质糯米，抗叶瘟达到0级水平，耐旱性较强，综合性状优良。"	"综合性状优良的糯米品种，可作特色糯米直接在生产上利用，也可作育种的亲本利用。"		"中国水稻研究所"
"2"	"1652（哲蓖3号）"	"蓖麻"	"油料作物"	"育成品种"	"内蒙古地方品种“绿茎刺”X“永293-21”杂交选育而成"	"种子含油率49.9%，出仁率72.5%；株高160-200cm，主穗位20cm，单株成熟穗6-8个；生育期87天，单株粒数302粒，单株粒重105克，百粒重29.1克；裂蒴性差，抗枯萎病，抗倒伏，适应性广。"	"高产、优质、抗逆性强、适应性广，是目前北方蓖麻主产区当家品种，增产效益显著。也是育种和杂优利用的优良亲本材料。"		"内蒙古通辽市农科所、中国农科院油料所"
"3"	"1716（哲蓖4号）"	"蓖麻"	"油料作物"	"育成品种"	"内蒙古地方品种“永117”X“永270”杂交选育而成"	"种子含油率51.01%，百粒重31.7克，出仁率75.3%；株高208cm，主穗位38.7cm，单株成熟穗6-7个，生育期94天；单株粒数306-330粒，单株粒重100-130克，百粒重31.7克。蒴果无刺，易于采收，不裂蒴，抗枯萎病，较抗灰霉病，抗旱、耐涝、耐瘠，适应性强。"	"是内蒙古东部、华北北部及东北地区主推品种，其不裂朔，蒴果无刺，种子含油率高，一般配合力高等特性，是蓖麻育种和杂优利用的好亲本材料。"		"内蒙古通辽市农科所、中国农科院油料所"
"4"	"3735莲藕"	"莲藕"	"蔬菜"	"育成品种"	"武汉市蔬菜科学研究所鄂莲二号X鄂莲一号杂交选育获得。"	"早中熟，成熟藕一般5~6节，节间均匀，主藕总长120cm，藕肉厚实，通气孔小，藕形粗壮，表皮白色，少皮锈，单支藕重平均3.3kg，充分成熟，亩产2500~3000kg，抗逆性强，尤其抗莲藕腐败病，高产稳产。淀粉含量（占鲜重）为10.25%，Vc含量为40mg/100g。"	"综合性状稳定，特别适合于长江流域及其以南各省种植。该品种的育成，解决了育种和生产中长期没有抗性强（特别是抗莲藕腐败病）、高产稳产、藕形粗壮、节间均匀，皮白等优良性状的品种，已在湖北、四川、广东、河南等地大面积推广试种，推广面积达10万亩，创经济效益2亿元。"		"武汉市蔬菜科学研究所"
"5"	"555"	"大豆"	"主要作物"	"高代品系"	"铁丰8号×铁7116选育而成"	"农艺性状优良，抗大豆花叶病毒病、霜霉病，抗逆性较强，耐盐碱，耐瘠。植株分枝多，株型收敛，结荚密，抗倒伏。"	"可作为优异材料，提供育种单位利用。"		"辽宁省铁岭大豆所"
"6"	"74-3"	"红麻"	"棉麻"	"育成品种"	"广东省农科院从杂交后代中经多年选择获得"	"株型结构合理，麻茎粗细均匀，生长整齐，生长势旺，杆硬抗倒伏；种性稳定，一般早播不早花，全生育期230天左右；超高产类型，纤维产量296公斤/亩，比青皮3号增产20.11%，鲜茎出麻率高达6%；中抗红麻炭疽病；束纤维支数237支，纤维强力401.8牛顿/克，达到纺织要求；抗逆性强，适应性广，遗传基础稳定。"	"是一高产型种质配合力较高，作亲本易于取得育种突破。是我国红麻主产区当家品种之一，利用该种质系选出“选2”和“选1”等优良品种推广利用，多家育种单位利用其作亲本选育出一批有希望的后代材料。"		"中国农科院麻类所"
"7"	"79018"	"甜菜"	"糖烟"	"高代品系"	"中国农科院甜菜所用“GW49-29”与“B-RP优”、“A31405”、“L62优”三份材料的优良母根多系自然杂交、回交、单株选择而成"	"抗病丰产，根产量比对照“甜研302”增产21.6%-30.0%，含糖率仅低0.45-0.99度，褐斑病低0.5-0.57级"	"该种质高产、抗病，是解决当前我国甜菜育种和生产上单产水平不高的重要种质。已被国内几个甜菜育种单位利用，效果非常显著，已育成几个优良组合或高代品系。"		"中国农科院甜菜研究所"
"8"	"8-2"	"大麦"	"杂粮"	"地方品种"	"从杨州地区农科所收集来。"	"高抗大麦黄花叶病，属显性遗传，半矮秆，株型好。"	"为抗病育种提供了抗源。上海市农科院用“8-2”做抗源育成“沪麦16(95-2)”，已通过上海市品种审定，2000年推广面积达2万公顷。育出品系多个，均表现高产、高抗大麦黄花叶病。"		"中国农科院品资所"
"9"	"86-12-7"	"茶树"	"茶桑"	"育成品种"	"云南省农业科学院福鼎大白茶X长叶白毫杂交后代鉴定筛选获得。"	"特早生材料，一芽三叶开采期在2月下旬，比福鼎大白茶早20天以上；5~6足龄平均单产干茶68.49公斤，红碎茶茶黄素含量1.7%。经农业部茶叶质量监督测试中心对红碎茶品质进行三年重复鉴定，制茶品质显著优于云抗10号。"	"86-12-7是优异红茶品种，打破了我国红茶出口长期不敌印度、肯尼亚的局面；有效解决了云南大叶茶香气低、抗寒性弱等缺点；因其来源于人工杂交后代，对研究茶树的遗传育种也有重要意义。该材料是红、绿茶兼优种质，在澜沧、昌宁、临沧等地推广，利用效果显著。"		"云南省农业科学院茶叶研究所"
"10"	"86-9-12"	"茶树"	"茶桑"	"育成品种"	"云南省农业科学院福鼎大白茶X云抗10号杂交后代鉴定筛选获得。"	"特早生材料，一芽三叶开采期在3月中旬，比福鼎大白茶早10天以上；5~6足龄平均单产干茶127.55公斤，比福鼎大白茶增产67%；红碎茶茶黄素含量1.3%。经农业部茶叶质量监督测试中心对红碎茶品质进行三年重复鉴定，制茶品质显著优于云抗10号。"	"86-9-12是优异红茶品种，打破了我国红茶出口长期不敌印度、肯尼亚的局面；有效解决了云南大叶茶香气低、抗寒性弱等缺点；因其来源于遗传基础差异较大的种质杂交后代，对研究茶树的遗传育种也有重要意义。已育成优异品系，在澜沧、昌宁、临沧等地推广，利用效果显著。"		"云南省农业科学院茶叶研究所"
