"id"	"标题"	"种类"	"路径"
"1"	"中国主要农作物种质资源地理分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/主要农作物/中国主要农作物种质资源地理分布图.gif"
"2"	"中国主要农作物种质资源密度分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/主要农作物/中国主要农作物种质资源密度分布图.gif"
"3"	"中国亚洲棉种质资源地理分布图.gif.txt"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/亚洲棉/中国亚洲棉种质资源地理分布图.gif.txt"
"4"	"中国亚洲棉种质资源密度分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/亚洲棉/中国亚洲棉种质资源密度分布图.gif"
"5"	"中国亚麻种质资源地理分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/亚麻/中国亚麻种质资源地理分布图.gif"
"6"	"中国亚麻种质资源密度分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/亚麻/中国亚麻种质资源密度分布图.gif"
"7"	"中国冬小麦种质资源地理分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/冬小麦/中国冬小麦种质资源地理分布图.gif"
"8"	"中国冬小麦种质资源密度分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/冬小麦/中国冬小麦种质资源密度分布图.gif"
"9"	"中国冬瓜种质资源地理分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/冬瓜/中国冬瓜种质资源地理分布图.gif"
"10"	"中国冬瓜种质资源密度分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/冬瓜/中国冬瓜种质资源密度分布图.gif"
"11"	"中国利马豆种质资源地理分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/利马豆/中国利马豆种质资源地理分布图.gif"
"12"	"中国利马豆种质资源密度分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/利马豆/中国利马豆种质资源密度分布图.gif"
"13"	"中国半野生大麦种质资源地理分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/半野生大麦/中国半野生大麦种质资源地理分布图.gif"
"14"	"中国半野生大麦种质资源密度分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/半野生大麦/中国半野生大麦种质资源密度分布图.gif"
"15"	"中国半马齿玉米种质资源地理分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/半马齿玉米/中国半马齿玉米种质资源地理分布图.gif"
"16"	"中国半马齿玉米种质资源密度分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/半马齿玉米/中国半马齿玉米种质资源密度分布图.gif"
"17"	"中国南瓜种质资源地理分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/南瓜/中国南瓜种质资源地理分布图.gif"
"18"	"中国南瓜种质资源密度分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/南瓜/中国南瓜种质资源密度分布图.gif"
"19"	"中国叶用芥菜种质资源地理分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/叶用芥菜/中国叶用芥菜种质资源地理分布图.gif"
"20"	"中国叶用芥菜种质资源密度分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/叶用芥菜/中国叶用芥菜种质资源密度分布图.gif"
"21"	"中国叶用莴苣种质资源地理分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/叶用莴苣/中国叶用莴苣种质资源地理分布图.gif"
"22"	"中国叶用莴苣种质资源密度分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/叶用莴苣/中国叶用莴苣种质资源密度分布图.gif"
"23"	"中国向日葵种质资源地理分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/向日葵/中国向日葵种质资源地理分布图.gif"
"24"	"中国向日葵种质资源密度分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/向日葵/中国向日葵种质资源密度分布图.gif"
"25"	"中国夏大豆种质资源地理分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/夏大豆/中国夏大豆种质资源地理分布图.gif"
"26"	"中国夏大豆种质资源密度分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/夏大豆/中国夏大豆种质资源密度分布图.gif"
"27"	"中国多花菜豆种质资源地理分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/多花菜豆/中国多花菜豆种质资源地理分布图.gif"
"28"	"中国多花菜豆种质资源密度分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/多花菜豆/中国多花菜豆种质资源密度分布图.gif"
"29"	"中国大白菜种质资源地理分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/大白菜/中国大白菜种质资源地理分布图.gif"
"30"	"中国大白菜种质资源密度分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/大白菜/中国大白菜种质资源密度分布图.gif"
"31"	"中国大葱种质资源地理分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/大葱/中国大葱种质资源地理分布图.gif"
"32"	"中国大葱种质资源密度分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/大葱/中国大葱种质资源密度分布图.gif"
"33"	"中国大豆种质资源地理分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/大豆/中国大豆种质资源地理分布图.gif"
"34"	"中国大豆种质资源密度分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/大豆/中国大豆种质资源密度分布图.gif"
"35"	"中国大麻种质资源地理分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/大麻/中国大麻种质资源地理分布图.gif"
"36"	"中国大麻种质资源密度分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/大麻/中国大麻种质资源密度分布图.gif"
