"id"	"熟性"	"保存编号"	"品种名称"	"生长习性"	"译名"	"单瓜重"	"生育期"	"瓜面腊粉"	"分枝性"	"抗病虫性"	"商瓜皮色"	"老瓜次色"	"叶形"	"风味"	"老瓜斑纹"	"亩产"	"老瓜皮色"	"备注"	"瓜形"	"瓜刺多少"	"肉质"	"雌首花节位"	"统一编号"	"保存单位"	"抗逆性"	"种质库编号"	"种子来源"	"商瓜次色"	"栽培季节"	"商瓜斑纹"	"瓜棱形状"
"1"	"中"	"Lc4(87)"	"线丝瓜"	"蔓生"	"XIAN SI GUA"	"1.5"	"200"	"无"	"强"	"抗"	"绿"	"--"	"心形"	"香"	"--"	"500"	"奶油色"	"--"	"圆柱形"	"无"	"软"	"10"	"V05H0001"	"安徽农科院园艺所"	"强"	"Ⅱ5F0105"	"安徽阜南县"	"--"	"4上-11中"	"--"	"平"
"2"	"中"	"Le1(85)"	"棒槌丝瓜"	"攀援蔓生"	"BANG CHUI SI GUA"	"0.6"	"65"	"--"	"强"	"抗"	"绿"	"--"	"掌状"	"--"	"--"	"4000"	"--"	"*嫩瓜不易老化"	"圆柱形"	"--"	"软"	"19"	"V05H0002"	"安徽农科院园艺所"	"耐热湿肥"	"Ⅱ5F0157"	"安徽合肥市"	"绿色"	"5中-7中下"	"线条状"	"粗糙"
"3"	"中"	"Lc3(86)"	"白籽丝瓜"	"蔓生"	"BAI ZI SI GUA"	"1.0"	"100"	"无"	"强"	"抗"	"绿"	"--"	"掌状"	"淡而无味"	"--"	"2000"	"奶油色"	"--"	"圆柱形"	"无"	"--"	"10"	"V05H0003"	"安徽农科院园艺所"	"耐热"	"Ⅱ5F0138"	"安徽涡阳县"	"--"	"4上-7中"	"--"	"细皱褶"
"4"	"早"	"Lc2(85)"	"芜湖丝条"	"攀援蔓生"	"WU HU SI TIAO"	"0.4"	"40"	"--"	"强"	"抗"	"绿"	"--"	"掌状"	"甜"	"--"	"3250"	"--"	"*"	"圆柱形"	"--"	"细"	"7"	"V05H0004"	"安徽农科院园艺所"	"耐热涝"	"Ⅱ5F0055"	"安徽芜湖市"	"--"	"4下-6上"	"--"	"棱"
"5"	"中"	"88-CE-15"	"五风丝瓜"	"攀援蔓生"	"WU FENG SI GUA"	"0.9"	"88"	"--"	"强"	"抗"	"绿"	"--"	"掌状"	"甜"	"--"	"1750"	"褐色"	"--"	"长曲条"	"--"	"松软"	"10"	"V05H0005"	"福州市蔬菜科研所"	"中"	"Ⅱ5F0133"	"福建福州市"	"--"	"3上-4中,6上-10中"	"--"	"--"
"6"	"中"	"89-CE-7-1"	"福州抗病越初"	"攀援蔓生"	"FU ZHOU KANG BING YUE CHU"	"0.8"	"75"	"--"	"强"	"抗"	"绿"	"--"	"掌状"	"甜"	"--"	"1750"	"褐色"	"--"	"圆柱形"	"--"	"松软"	"8"	"V05H0006"	"福州市蔬菜科研所"	"中"	"Ⅱ5F0200"	"福建福州市"	"绿色"	"3中-4中下,5下-10下"	"斑块状"	"--"
"7"	"中"	"89-CE-7-2"	"福州棒越初"	"攀援蔓生"	"FU ZHOU BANG YUE CHU"	"0.8"	"75"	"--"	"强"	"中"	"绿"	"--"	"掌状"	"甜"	"--"	"1750"	"褐色"	"--"	"圆柱形"	"--"	"软"	"8"	"V05H0007"	"福州市蔬菜科研所"	"中"	"Ⅱ5F0201"	"福建福州市"	"绿色"	"3下-4下,5下-10下"	"斑块状"	"--"
"8"	"中"	"89-CE-25"	"福州鞭炮初"	"攀援蔓生"	"FU ZHOU BIAN PAO CHU"	"0.4"	"--"	"--"	"强"	"抗"	"绿"	"--"	"掌状"	"甜"	"--"	"1000"	"褐色"	"--"	"圆柱形"	"--"	"疏松软"	"9"	"V05H0008"	"福州市蔬菜科研所"	"强"	"Ⅱ5F0202"	"福建福州市"	"--"	"3中-4上,6上-9下"	"--"	"--"
"9"	"中"	"89-CE-8-2"	"光泽细条丝瓜"	"攀援蔓生"	"GUANG ZE XI TIAO SI GUA"	"0.6"	"80"	"--"	"强"	"抗"	"绿"	"--"	"掌状"	"微甜"	"--"	"1250"	"褐色"	"--"	"椭圆形"	"--"	"软"	"10"	"V05H0009"	"福州市蔬菜科研所"	"强"	"Ⅱ5F0203"	"福建光泽县"	"--"	"3上-5下,4下-10中"	"--"	"--"
"10"	"早"	"88-CE-9"	"光泽丝瓜"	"攀援蔓生"	"GUANG ZE SI GUA"	"0.7"	"75"	"--"	"中"	"抗"	"绿"	"--"	"掌状"	"甜"	"--"	"1625"	"褐色"	"--"	"圆柱形"	"--"	"软"	"11"	"V05H0010"	"福州市蔬菜科研所"	"强"	"Ⅱ5F0129"	"福建光泽县"	"--"	"3上-5下"	"--"	"--"
