"id"	"科名"	"保存编号"	"品种名称"	"类型"	"省"	"生育日数"	"分枝数"	"出油率"	"生理成熟期"	"开花期"	"播种期"	"学名"	"统一编号"	"出苗期"	"出麻率"	"属名"	"抗逆性"	"种子发芽"	"干茎产量"	"种皮色"	"工艺长度"	"单株朔果数"	"单株生产力"	"库编号"	"纤维产量"	"保存单位"	"原产地"	"种子来源"	"花色"	"品种代号"	"纤维强度"	"备注"	"原茎产量"	"抗病性"	"纤维号"	"千粒重"	"分茎数"	"译名"	"抗倒伏性"	"抗旱性"	"工艺成熟期"	"株高"	"种子产量"
"1"	"Linaceae(亚麻科)"	"001"	"和田巴合奇来胡麻"	"油用"	"新疆"	"84"	"3.90"	"--"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00000001"	"--"	"--"	"Linum(亚麻属)"	"抗倒中"	"--"	"--"	"褐"	"32.9"	"--"	"--"	"I3B00331"	"--"	"新疆农科院新Ⅰ--"	"新疆合田"	"--"	"兰"	"--"	"--"	"--"	"--"	"--"	"--"	"4.60"	"0.8"	"HE TIAN BA HE QI LAI HU MA"	"--"	"--"	"--"	"51.6"	"--"
"2"	"Linaceae(亚麻科)"	"002"	"墨玉红胡麻"	"油用"	"新疆"	"83"	"5.30"	"--"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00000002"	"--"	"--"	"Linum(亚麻属)"	"抗倒弱"	"--"	"--"	"褐"	"34.7"	"--"	"--"	"I3B00332"	"--"	"新疆农科院新Ⅰ--"	"新疆墨玉"	"--"	"兰"	"--"	"--"	"--"	"--"	"--"	"--"	"4.10"	"1.1"	"MO YU HONG HU MA"	"--"	"--"	"--"	"55.6"	"--"
"3"	"Linaceae(亚麻科)"	"003"	"叶成红胡麻"	"油用"	"新疆"	"83"	"4.10"	"--"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00000003"	"--"	"--"	"Linum(亚麻属)"	"抗倒中"	"--"	"--"	"褐"	"23.6"	"--"	"--"	"I3B00333"	"--"	"新疆农科院新Ⅰ--"	"新疆叶城"	"--"	"深兰"	"--"	"--"	"--"	"--"	"--"	"--"	"3.90"	"1.4"	"YE CHENG HONG HU MA"	"--"	"--"	"--"	"51.6"	"--"
"4"	"Linaceae(亚麻科)"	"004"	"麦盖提早熟白胡麻"	"兼用"	"新疆"	"95"	"4.90"	"--"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00000004"	"--"	"--"	"Linum(亚麻属)"	"抗倒中"	"--"	"--"	"黄"	"43.6"	"--"	"--"	"I3B00334"	"--"	"新疆农科院新Ⅰ--"	"新疆麦盖提"	"--"	"白"	"--"	"--"	"--"	"--"	"--"	"--"	"3.90"	"3.6"	"MAI GAI TI ZAO SHU BAI HU MA"	"--"	"--"	"--"	"63.9"	"--"
"5"	"Linaceae(亚麻科)"	"005"	"麦盖提红胡麻"	"兼用"	"新疆"	"104"	"3.80"	"--"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00000005"	"--"	"--"	"Linum(亚麻属)"	"抗倒中"	"--"	"--"	"淡褐"	"47.3"	"--"	"--"	"I3B00335"	"--"	"新疆农科院新Ⅰ--"	"新疆麦盖提"	"--"	"兰"	"--"	"--"	"--"	"--"	"--"	"--"	"3.00"	"1.2"	"MAI GAI TI HONG HU MA"	"--"	"--"	"--"	"69.0"	"--"
"6"	"Linaceae(亚麻科)"	"006"	"莎车早熟胡麻"	"兼用"	"新疆"	"94"	"4.30"	"--"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00000006"	"--"	"--"	"Linum(亚麻属)"	"抗倒中"	"--"	"--"	"黄"	"45.1"	"--"	"--"	"I3B00336"	"--"	"新疆农科院新Ⅰ--"	"新疆莎车"	"--"	"白"	"--"	"--"	"--"	"--"	"--"	"--"	"3.90"	"1.9"	"SHA CHE ZAO SHU HU MA"	"--"	"--"	"--"	"66.7"	"--"
"7"	"Linaceae(亚麻科)"	"007"	"莎车早熟白胡麻"	"油用"	"新疆"	"86"	"2.90"	"--"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00000007"	"--"	"--"	"Linum(亚麻属)"	"抗倒中"	"--"	"--"	"黄"	"20.6"	"--"	"--"	"I3B00337"	"--"	"新疆农科院新Ⅰ--"	"新疆莎车"	"--"	"白"	"--"	"--"	"--"	"--"	"--"	"--"	"4.60"	"1.4"	"SHA CHE ZAO SHU BAI HU MA"	"--"	"--"	"--"	"47.8"	"--"
"8"	"Linaceae(亚麻科)"	"008"	"莎车早熟胡麻"	"油用"	"新疆"	"89"	"2.50"	"--"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00000008"	"--"	"--"	"Linum(亚麻属)"	"抗倒中"	"--"	"--"	"褐"	"35.0"	"--"	"--"	"I3B00338"	"--"	"新疆农科院新Ⅰ--"	"新疆莎车"	"--"	"兰"	"--"	"--"	"--"	"--"	"--"	"--"	"3.00"	"0.5"	"SHA CHE ZAO SHU HU MA"	"--"	"--"	"--"	"56.1"	"--"
"9"	"Linaceae(亚麻科)"	"009"	"莎车红胡麻"	"油用"	"新疆"	"79"	"3.80"	"--"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00000009"	"--"	"--"	"Linum(亚麻属)"	"抗倒中"	"--"	"--"	"褐"	"22.0"	"--"	"--"	"I3B00339"	"--"	"新疆农科院新Ⅰ--"	"新疆莎车"	"--"	"兰"	"--"	"--"	"--"	"--"	"--"	"--"	"3.50"	"1.8"	"SHA CHE HONG HU MA"	"--"	"--"	"--"	"44.5"	"--"
"10"	"Linaceae(亚麻科)"	"010"	"疏附红胡麻"	"油用"	"新疆"	"88"	"4.70"	"--"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00000010"	"--"	"--"	"Linum(亚麻属)"	"抗倒中"	"--"	"--"	"淡褐"	"36.8"	"--"	"--"	"I3B00340"	"--"	"新疆农科院新Ⅰ--"	"新疆疏附"	"--"	"兰"	"--"	"--"	"--"	"--"	"--"	"--"	"3.00"	"0.9"	"SHU FU HONG HU MA"	"--"	"--"	"--"	"58.6"	"--"
