"id"	"熟性"	"保存编号"	"品种名称"	"生长习性"	"译名"	"单瓜重"	"生育期"	"瓜面腊粉"	"分枝性"	"抗病虫性"	"商瓜皮色"	"老瓜次色"	"叶形"	"风味"	"老瓜斑纹"	"亩产"	"老瓜皮色"	"备注"	"瓜形"	"瓜刺多少"	"肉质"	"雌首花节位"	"省"	"统一编号"	"保存单位"	"抗逆性"	"种质库编号"	"种子来源"	"商瓜次色"	"栽培季节"	"商瓜斑纹"	"瓜棱形状"
"1"	"早"	"B179"	"一串铃"	"--"	"YI CHUAN LING"	"1.5"	"60"	"中"	"--"	"抗"	"绿"	"--"	"掌状"	"--"	"--"	"2750"	"--"	"*主食嫩瓜"	"圆柱形"	"--"	"软"	"6"	"北京"	"V05E0004"	"北京蔬菜研究中心"	"耐寒热"	"Ⅱ5C0207"	"北京"	"--"	"3中下播-5上定植-7上始收"	"--"	"具刺"
"2"	"中"	"88-TK-16"	"闽侯尚干杨厝冬瓜"	"攀援蔓生"	"MIN HOU SHANG GAN YANG CUO DONG GUA"	"5.0"	"95"	"多"	"强"	"抗"	"绿"	"--"	"掌状"	"--"	"--"	"1750"	"奶油色"	"--"	"圆柱形"	"--"	"致密脆微"	"14"	"福建"	"V05E0005"	"福州市蔬菜科研所"	"中"	"Ⅱ5C0133"	"福建福州市郊"	"--"	"3上-4上,6中-9下"	"斑块状"	"--"
"3"	"中"	"89-TK-3"	"福州青皮冬瓜"	"攀援蔓生"	"FU ZHOU QING PI DONG GUA"	"11.5"	"115"	"少"	"强"	"中"	"绿"	"--"	"掌状"	"淡而无味"	"--"	"813"	"黄色"	"--"	"圆柱形"	"--"	"致密"	"22"	"福建"	"V05E0006"	"福州市蔬菜科研所"	"耐热"	"Ⅱ5C0208"	"福建福州市郊"	"--"	"3上-4上,7上-8下"	"--"	"平"
"4"	"早"	"89-TK-6"	"明溪下洋冬瓜"	"攀援蔓生"	"MING XI XIA YANG DONG GUA"	"8.5"	"75"	"多"	"强"	"中"	"绿"	"--"	"椭圆"	"微甜"	"--"	"875"	"奶油色"	"--"	"圆柱形"	"--"	"致密而脆"	"15"	"福建"	"V05E0009"	"福州市蔬菜科研所"	"中"	"Ⅱ5C0209"	"福建明溪县"	"--"	"6上-8上"	"--"	"平"
"5"	"中"	"89-TK-13"	"南平夏道冬瓜"	"攀援蔓生"	"NAN PING XIA DAO DONG GUA"	"9.0"	"115"	"无"	"强"	"中"	"绿"	"--"	"掌状"	"--"	"--"	"1750"	"绿色"	"--"	"圆柱形"	"--"	"疏松微甜"	"25"	"福建"	"V05E0010"	"福州市蔬菜科研所"	"中"	"Ⅱ5C0164"	"福建南平市"	"--"	"3中-4下,7上-8下"	"--"	"--"
"6"	"晚"	"89-TK-14"	"宁化爬地冬瓜"	"攀援蔓生"	"NING HUA PA DI DONG GUA"	"29.5"	"150"	"多"	"中"	"抗"	"绿"	"--"	"掌状"	"--"	"--"	"850"	"奶油色"	"--"	"圆柱形"	"--"	"致密甜"	"13"	"福建"	"V05E0011"	"福州市蔬菜科研所"	"强"	"Ⅱ5C0165"	"福建宁化县"	"--"	"2上-4下,8上-10上"	"--"	"--"
"7"	"中"	"88-TK-4"	"泉州土冬瓜(白黄皮)"	"攀援蔓生"	"QUAN ZHOU TU DONG GUA (BAI HUANG PI )"	"2.8"	"100"	"多"	"强"	"抗"	"绿"	"--"	"掌状"	"--"	"--"	"2000"	"奶油色"	"--"	"圆柱形"	"--"	"疏松淡"	"12"	"福建"	"V05E0012"	"福州市蔬菜科研所"	"中"	"Ⅱ5C0106"	"福建泉州市"	"--"	"2中-4上,6下-9中"	"--"	"--"
"8"	"中"	"88-TK-8"	"邵武冬瓜"	"攀援蔓生"	"SHAO WU DONG GUA"	"3.3"	"93"	"少"	"强"	"中"	"绿"	"--"	"掌状"	"--"	"--"	"1750"	"绿色"	"--"	"圆柱形"	"--"	"疏松淡"	"15"	"福建"	"V05E0013"	"福州市蔬菜科研所"	"中"	"Ⅱ5C0107"	"福建邵武县"	"--"	"3上-4上,6中-9中"	"--"	"--"
"9"	"中"	"88-TK-18"	"台湾选4冬瓜"	"攀援蔓生"	"TAI WAN XUAN 4 DONG GUA"	"4.0"	"88"	"多"	"强"	"抗"	"绿"	"--"	"掌状"	"--"	"--"	"1500"	"奶油色"	"--"	"圆柱形"	"--"	"致密甜"	"14"	"福建"	"V05E0015"	"福州市蔬菜科研所"	"中"	"Ⅱ5C0110"	"福建由台引进"	"--"	"3中-4上,6上-9下"	"斑块状"	"--"
"10"	"中"	"88-TK-19"	"台湾5冬瓜"	"攀援蔓生"	"TAI WAN 5 DONG GUA"	"5.0"	"90"	"多"	"强"	"抗"	"绿"	"--"	"掌状"	"--"	"--"	"2000"	"奶油色"	"--"	"圆柱形"	"--"	"致密甜"	"12"	"福建"	"V05E0016"	"福州市蔬菜科研所"	"中"	"Ⅱ5C0111"	"福建由台引进"	"--"	"3中-4中,6中-9下"	"斑块状"	"--"
