"id"	"蛋氨酸"	"科名"	"保存编号"	"品种名称"	"谷氨酸"	"播种期"	"天冬氨酸"	"精氨酸"	"丙氨酸"	"单株产量"	"总和"	"异亮氨酸"	"省"	"色氨酸"	"组氨酸"	"译名"	"全生育日数"	"样品类型"	"总淀粉"	"百粒重"	"苏氨酸"	"统一编号"	"苯丙氨酸"	"学名"	"粒形"	"胱氨酸"	"支链淀粉"	"花色"	"粗脂肪"	"成熟期"	"粗蛋白"	"结荚习性"	"酪氨酸"	"亮氨酸"	"库编号"	"生长习性"	"原产地"	"甘氨酸"	"单荚粒数"	"缬氨酸"	"直链淀粉"	"单株荚数"	"粒色"	"备注"	"脯氨酸"	"赖氨酸"	"荚长"	"丝氨酸"	"属名"	"保存单位"	"荚色"	"种子来源"	"株高"
"1"	"--"	"Leguminosae(豆科)"	"I0022"	"洋刀豆"	"--"	"5.26"	"--"	"--"	"--"	"9.0"	"--"	"--"	"江苏"	"--"	"--"	"YANG DAO DOU"	"133"	"地方"	"--"	"33.5"	"--"	"J0000001"	"--"	"Phaseolus lunatus L.(利马豆)"	"扁肾"	"--"	"--"	"白"	"--"	"9.06"	"--"	"无限"	"--"	"--"	"I2P00013"	"蔓生"	"江苏如东县"	"--"	"2.1"	"--"	"--"	"12.3"	"白"	"株高为150以上"	"--"	"--"	"7.5"	"--"	"Phaseolus(菜豆属)"	"中国农科院品资所"	"褐"	"--"	"--"
"2"	"--"	"Leguminosae(豆科)"	"I0011"	"玉豆"	"--"	"5.12"	"--"	"--"	"--"	"46.1"	"--"	"--"	"江西"	"--"	"--"	"YU DOU"	"158"	"地方"	"--"	"49.6"	"--"	"J0000002"	"--"	"Phaseolus lunatus L.(利马豆)"	"扁肾"	"--"	"--"	"白"	"--"	"10.17"	"20.89"	"无限"	"--"	"--"	"I2P00014"	"蔓生"	"江西广丰县"	"--"	"3.0"	"--"	"--"	"49.5"	"白"	"株高为150以上"	"--"	"--"	"8.0"	"--"	"Phaseolus(菜豆属)"	"中国农科院品资所"	"褐"	"--"	"--"
"3"	"--"	"Leguminosae(豆科)"	"I0020"	"红玉豆"	"--"	"5.12"	"--"	"--"	"--"	"19.2"	"--"	"--"	"江西"	"--"	"--"	"HONG YU DOU"	"158"	"地方"	"--"	"54.0"	"--"	"J0000003"	"--"	"Phaseolus lunatus L.(利马豆)"	"扁肾"	"--"	"--"	"白"	"--"	"10.17"	"--"	"无限"	"--"	"--"	"I2P00015"	"蔓生"	"江西广丰县"	"--"	"2.5"	"--"	"--"	"17.0"	"白"	"株高为150以上"	"--"	"--"	"8.0"	"--"	"Phaseolus(菜豆属)"	"中国农科院品资所"	"褐"	"--"	"--"
"4"	"--"	"Leguminosae(豆科)"	"I0021"	"花玉豆"	"--"	"5.12"	"--"	"--"	"--"	"12.9"	"--"	"--"	"江西"	"--"	"--"	"HUA YU DOU"	"168"	"地方"	"--"	"50.2"	"--"	"J0000004"	"--"	"Phaseolus lunatus L.(利马豆)"	"扁肾"	"--"	"--"	"白"	"--"	"10.27"	"--"	"无限"	"--"	"--"	"I2P00016"	"蔓生"	"江西广丰县"	"--"	"3.0"	"--"	"--"	"12.8"	"花斑"	"株高为150以上"	"--"	"--"	"8.4"	"--"	"Phaseolus(菜豆属)"	"中国农科院品资所"	"褐"	"--"	"--"
"5"	"--"	"Leguminosae(豆科)"	"1"	"青皮红粒乌豆"	"--"	"1.31"	"--"	"--"	"--"	"6.6"	"--"	"--"	"广西"	"--"	"--"	"QINGPIHONGLIWUDOU"	"167"	"地方"	"47.04"	"36.6"	"--"	"J0000005"	"--"	"Phaseolus lunatus L.(利马豆)"	"肾形"	"--"	"35.69"	"白"	"1.15"	"7.17"	"23.21"	"无限"	"--"	"--"	"I2P00017"	"蔓生"	"河池县"	"--"	"1.7"	"--"	"11.35"	"10.6"	"紫红"	"株高为150以上"	"--"	"--"	"6.8"	"--"	"Phaseolus(菜豆属)"	"广西农科院品资所"	"浅褐"	"--"	"--"
"6"	"--"	"Leguminosae(豆科)"	"2"	"荷包豆"	"--"	"3.17"	"--"	"--"	"--"	"15.6"	"--"	"--"	"广西"	"--"	"--"	"HE BAO DOU"	"81"	"地方"	"--"	"61.7"	"--"	"J0000006"	"--"	"Phaseolus lunatus L.(利马豆)"	"扁肾"	"--"	"--"	"白"	"--"	"6.06"	"--"	"无限"	"--"	"--"	"I2P00018"	"蔓生"	"玉林市"	"--"	"2.4"	"--"	"--"	"10.5"	"紫红"	"株高为150以上"	"--"	"--"	"6.7"	"--"	"Phaseolus(菜豆属)"	"广西农科院品资所"	"浅褐"	"--"	"--"
"7"	"--"	"Leguminosae(豆科)"	"3"	"荷包豆"	"--"	"3.17"	"--"	"--"	"--"	"22.0"	"--"	"--"	"广西"	"--"	"--"	"HE BAO DOU"	"100"	"地方"	"46.24"	"43.0"	"--"	"J0000007"	"--"	"Phaseolus lunatus L.(利马豆)"	"肾形"	"--"	"34.65"	"白"	"1.08"	"6.25"	"23.42"	"无限"	"--"	"--"	"I2P00019"	"蔓生"	"玉林市"	"--"	"2.7"	"--"	"11.59"	"18.9"	"花斑"	"株高为150以上"	"--"	"--"	"7.1"	"--"	"Phaseolus(菜豆属)"	"广西农科院品资所"	"浅褐"	"--"	"--"
"8"	"--"	"Leguminosae(豆科)"	"4"	"荷包豆"	"--"	"1.31"	"--"	"--"	"--"	"6.8"	"--"	"--"	"广西"	"--"	"--"	"HE BAO DOU"	"124"	"地方"	"--"	"23.0"	"--"	"J0000008"	"--"	"Phaseolus lunatus L.(利马豆)"	"肾形"	"--"	"--"	"白"	"--"	"6.04"	"--"	"无限"	"--"	"--"	"I2P00020"	"蔓生"	"宾阳县"	"--"	"2.4"	"--"	"--"	"12.4"	"花斑"	"株高为150以上"	"--"	"--"	"5.8"	"--"	"Phaseolus(菜豆属)"	"广西农科院品资所"	"浅褐"	"--"	"--"
"9"	"--"	"Leguminosae(豆科)"	"5"	"小荷包豆"	"--"	"1.31"	"--"	"--"	"--"	"30.1"	"--"	"--"	"广西"	"--"	"--"	"XIAO HE BAO DOU"	"132"	"地方"	"46.24"	"24.7"	"--"	"J0000009"	"--"	"Phaseolus lunatus L.(利马豆)"	"肾形"	"--"	"35.01"	"白"	"0.95"	"6.12"	"23.15"	"无限"	"--"	"--"	"I2P00021"	"蔓生"	"武宣县"	"--"	"3.0"	"--"	"11.23"	"40.6"	"花斑"	"株高为150以上"	"--"	"--"	"5.9"	"--"	"Phaseolus(菜豆属)"	"广西农科院品资所"	"浅褐"	"--"	"--"
"10"	"--"	"Leguminosae(豆科)"	"6"	"荷包豆"	"--"	"3.17"	"--"	"--"	"--"	"18.1"	"--"	"--"	"广西"	"--"	"--"	"HE BAO DOU"	"103"	"地方"	"--"	"46.9"	"--"	"J0000010"	"--"	"Phaseolus lunatus L.(利马豆)"	"扁肾"	"--"	"--"	"白"	"--"	"6.18"	"--"	"无限"	"--"	"--"	"I2P00022"	"蔓生"	"玉林市"	"--"	"2.3"	"--"	"--"	"16.8"	"花斑"	"株高为150以上"	"--"	"--"	"6.8"	"--"	"Phaseolus(菜豆属)"	"广西农科院品资所"	"浅褐"	"--"	"--"
