"id"	"熟性"	"保存编号"	"品种名称"	"生长习性"	"译名"	"单瓜重"	"生育期"	"瓜面腊粉"	"分枝性"	"抗病虫性"	"商瓜皮色"	"老瓜次色"	"叶形"	"风味"	"老瓜斑纹"	"亩产"	"老瓜皮色"	"备注"	"瓜形"	"肉质"	"雌首花节位"	"省"	"统一编号"	"保存单位"	"抗逆性"	"种质库编号"	"种子来源"	"商瓜次色"	"栽培季节"	"商瓜斑纹"	"瓜棱形状"
"1"	"中"	"CM8(87)"	"猪嘴南瓜"	"葡匐蔓生"	"ZHU ZUI NAN GUA"	"4.5"	"100"	"多"	"中"	"中"	"绿"	"--"	"心形"	"甜"	"--"	"1000"	"绿色"	"顶部凸"	"圆形"	"水多"	"13"	"安徽"	"V05C0001"	"安徽农科院园艺所"	"强"	"Ⅱ5Bb400"	"安徽阜南县"	"--"	"4上-7中"	"--"	"具瘤"
"2"	"中"	"Cm1(85)"	"磨盘南瓜"	"蔓生"	"MO PAN NAN GUA"	"7.5"	"105"	"多"	"中"	"抗白粉"	"绿"	"--"	"掌状"	"甜"	"--"	"2250"	"黄色"	"--"	"扁圆形"	"软"	"18"	"安徽"	"V05C0002"	"安徽农科院园艺所"	"强"	"Ⅱ5Bb016"	"安徽阜南县"	"--"	"4上-7下"	"--"	"棱"
"3"	"中"	"Cm10(88)"	"小枕头南瓜"	"蔓生"	"XIAO ZHEN TOU NAN GUA"	"5.0"	"100"	"少"	"中"	"抗"	"绿"	"--"	"掌状"	"微甜"	"--"	"2250"	"桔黄色"	"--"	"圆柱形"	"软"	"18"	"安徽"	"V05C0003"	"安徽农科院园艺所"	"耐旱"	"Ⅱ5Bb503"	"安徽怀远县"	"--"	"4上-7中"	"--"	"平"
"4"	"晚"	"Cm12(88)"	"狗伸腰南瓜"	"葡匐蔓生"	"GOU SHEN YAO NAN GUA"	"5.0"	"110"	"少"	"弱"	"抗"	"绿"	"--"	"扁圆形"	"甜"	"--"	"3500"	"桔黄色"	"*"	"长曲条"	"软"	"15"	"安徽"	"V05C0004"	"安徽农科院园艺所"	"耐热"	"Ⅱ5Bb501"	"安徽怀远县"	"--"	"4上-7下"	"--"	"平"
"5"	"晚"	"Cm14(88)"	"大磨盘南瓜"	"葡匐蔓生"	"DA MO PAN NAN GUA"	"9.0"	"110"	"多"	"强"	"抗"	"绿"	"--"	"掌状"	"甜"	"--"	"1500"	"黄色"	"--"	"扁圆形"	"软"	"17"	"安徽"	"V05C0005"	"安徽农科院园艺所"	"强"	"Ⅱ5Bb505"	"安徽嘉山县"	"--"	"4上-7下"	"--"	"棱"
"6"	"中"	"Cm4(86)"	"油壶形南瓜"	"蔓生"	"YOU HU XING NAN GUA"	"5.0"	"105"	"少"	"强"	"抗"	"绿"	"--"	"掌状"	"微甜"	"--"	"2500"	"桔黄色"	"--"	"梨形"	"--"	"18"	"安徽"	"V05C0006"	"安徽农科院园艺所"	"耐热"	"Ⅱ5Bb201"	"安徽嘉山县"	"--"	"4上-7下"	"--"	"具瘤"
"7"	"中"	"Cm3(86)"	"葫芦形南瓜"	"葡匐蔓生"	"HU LU XING NAN GUA"	"5.0"	"80"	"少"	"强"	"--"	"绿"	"--"	"掌状"	"--"	"--"	"2000"	"桔黄色"	"*嫩瓜菜用"	"梨形"	"--"	"5"	"安徽"	"V05C0007"	"安徽农科院园艺所"	"耐热"	"Ⅱ5Bb200"	"安徽嘉山县"	"--"	"4上-6下"	"--"	"平"
"8"	"中"	"Cm2(86)"	"牛腿南瓜"	"葡匐蔓生"	"NIU TUI NAN GUA"	"4.3"	"110"	"少"	"中"	"--"	"绿"	"--"	"掌状"	"甜"	"--"	"2750"	"红色"	"*"	"圆柱形"	"软"	"17"	"安徽"	"V05C0008"	"安徽农科院园艺所"	"耐热"	"Ⅱ5Bb199"	"安徽嘉山县"	"--"	"4上-7中下"	"--"	"平"
"9"	"中"	"Cm13(88)"	"牛腿窝瓜"	"蔓生"	"NIU TUI WO GUA"	"4.3"	"110"	"少"	"中"	"抗"	"绿"	"--"	"心形"	"甜"	"--"	"2750"	"黄色"	"--"	"椭圆形"	"软"	"17"	"安徽"	"V05C0009"	"安徽农科院园艺所"	"耐旱"	"Ⅱ5Bb502"	"安徽临泉县"	"--"	"4上-7下"	"--"	"平"
"10"	"晚"	"Cm11(88)"	"青皮猪嘴南瓜"	"葡匐蔓生"	"QING PI ZHU ZUI NAN GUA"	"6.0"	"100"	"少"	"强"	"中"	"绿"	"--"	"掌状"	"甜"	"--"	"1250"	"绿色"	"--"	"圆形"	"--"	"14"	"安徽"	"V05C0010"	"安徽农科院园艺所"	"强"	"Ⅱ5Bb504"	"安徽临泉县"	"--"	"4上-7中"	"--"	"具瘤"
"11"	"中"	"Cm15(88)"	"黄皮猪嘴南瓜"	"葡匐蔓生"	"HUANG PI ZHU ZUI NAN GUA"	"5.0"	"100"	"少"	"中"	"抗"	"绿"	"--"	"掌状"	"甜"	"--"	"1000"	"黄色"	"--"	"椭圆形"	"软"	"15"	"安徽"	"V05C0011"	"安徽农科院园艺所"	"中"	"Ⅱ5Bb500"	"安徽临泉县"	"--"	"4上-7中"	"--"	"具瘤"
"12"	"晚"	"Cm16(88)"	"红黄皮团窝瓜"	"葡匐蔓生"	"HONG HUANG PI TUAN WO GUA"	"11.0"	"120"	"多"	"中"	"抗"	"绿"	"--"	"扁圆形"	"甜"	"--"	"1500"	"桔黄色"	"--"	"圆形"	"软"	"15"	"安徽"	"V05C0012"	"安徽农科院园艺所"	"耐热"	"Ⅱ5Bb506"	"安徽临泉县"	"--"	"4上-8上"	"--"	"平"
