"id"	"结球与否"	"保存编号"	"品种名称"	"叶面"	"种子来源"	"生育期"	"株幅"	"抗逆性"	"亩产"	"抽薹性"	"球形"	"备注"	"单株重"	"统一编号"	"保存单位"	"抗病虫性"	"叶色"	"译名"	"水分"	"株高"	"品质"	"种质库编号"	"栽培季节"
"1"	"散生"	"87-W-1"	"匙羹叶春菜"	"微皱"	"福建福州市"	"45"	"18.0"	"耐寒"	"1000"	"--"	"--"	"--"	"--"	"V09E0001"	"福州市蔬菜科研所"	"强"	"黄绿"	"CHI GENG YE CHUN CAI"	"多"	"10.0"	"下"	"Ⅱ9E0007"	"11下1下播1上3上定植3下5下收"
"2"	"--"	"89-W-14-1"	"龙岩晚绿叶莴苣"	"中"	"福建龙岩市"	"--"	"50.0"	"强"	"825"	"--"	"圆形"	"--"	"130.0"	"V09E0002"	"福州市蔬菜科研所"	"强"	"绿"	"LONG YAN WAN LU YE WO JU"	"--"	"38.0"	"下"	"Ⅱ9E0080"	"8中-2上,12-3上"
"3"	"--"	"89-W-12-1"	"龙岩晚紫叶用莴苣"	"微皱"	"福建龙岩市"	"50"	"50.0"	"中"	"675"	"--"	"--"	"--"	"110.0"	"V09E0003"	"福州市蔬菜科研所"	"强"	"紫绿"	"LONG YAN WAN ZI YE YONG WO JU"	"--"	"27.0"	"--"	"Ⅱ9E0085"	"11上-11,1上-5中"
"4"	"--"	"88-W-13"	"龙岩紫叶用莴苣"	"微皱"	"福建龙岩市"	"--"	"43.0"	"强"	"875"	"--"	"圆形"	"--"	"130.0"	"V09E0004"	"福州市蔬菜科研所"	"强"	"绿"	"LONG YAN ZI YE YONG WO JU"	"--"	"21.0"	"上"	"Ⅱ9E0048"	"8中-12月,11-5上"
"5"	"--"	"88-W-14"	"龙岩绿叶莴苣"	"中"	"福建龙岩市"	"--"	"40.0"	"强"	"625"	"--"	"圆形"	"--"	"140.0"	"V09E0005"	"福州市蔬菜科研所"	"强"	"绿"	"LONG YAN LU YE WO JU"	"--"	"28.0"	"上"	"Ⅱ9E0049"	"8下-3上,12中-3中"
"6"	"--"	"89-W-20"	"南平短叶苦苣"	"平"	"福建南平市"	"30"	"40.5"	"强"	"1500"	"--"	"--"	"--"	"350.0"	"V09E0006"	"福州市蔬菜科研所"	"强"	"绿"	"NAN PING DUAN YE KU JU"	"--"	"28.4"	"中"	"Ⅱ9E0071"	"9下-7中"
"7"	"--"	"89-W-24"	"南平青圆叶莴苣"	"微皱"	"福建南平市"	"--"	"43.0"	"中"	"750"	"--"	"圆形"	"--"	"120.0"	"V09E0007"	"福州市蔬菜科研所"	"强"	"浅绿"	"NAN PING QING YUAN YE WO JU"	"--"	"26.5"	"下"	"Ⅱ9E0082"	"9下-1上,11-3"
"8"	"--"	"87-W-4"	"南平长叶莴苣"	"微皱"	"福建南平市"	"45"	"23.4"	"强"	"500"	"--"	"--"	"--"	"500.0"	"V09E0008"	"福州市蔬菜科研所"	"强"	"黄绿"	"NAN PING CHANG YE WO JU"	"--"	"21.2"	"--"	"Ⅱ9E0021"	"9下-11中,1下-3中"
"9"	"--"	"89-W-26"	"南平中叶莴苣"	"中"	"福建南平市"	"--"	"46.0"	"中"	"875"	"--"	"--"	"--"	"100.0"	"V09E0009"	"福州市蔬菜科研所"	"强"	"紫"	"NAN PING ZHONG YE WO JU"	"--"	"27.0"	"下"	"Ⅱ9E0083"	"8下-12上,7下-12上"
"10"	"--"	"88-W-11"	"南平圆叶莴苣"	"中"	"福建南平市"	"--"	"52.0"	"强"	"875"	"--"	"圆形"	"--"	"125.0"	"V09E0010"	"福州市蔬菜科研所"	"强"	"浅绿"	"NAN PING YUAN YE WO JU"	"--"	"35.5"	"下"	"Ⅱ9E0046"	"8中-12中,11上-4中"
"11"	"--"	"88-W-19"	"南平叶用莴苣"	"微皱"	"福建南平市"	"40"	"41.8"	"强"	"1000"	"--"	"--"	"--"	"400.0"	"V09E0011"	"福州市蔬菜科研所"	"强"	"绿"	"NAN PING YE YONG WO JU"	"--"	"38.0"	"中"	"Ⅱ9E0052"	"9下-7中"
"12"	"--"	"89-W-10"	"泉州白舌莴苣"	"微皱"	"福建泉州市"	"65"	"47.5"	"弱"	"2250"	"--"	"--"	"--"	"110.0"	"V09E0012"	"福州市蔬菜科研所"	"中"	"浅绿"	"QUAN ZHOU BAI SHE WO JU"	"--"	"47.5"	"--"	"Ⅱ9E0087"	"10上-1上,3上-6下"
"13"	"散生"	"87-W-7"	"泉州圆叶红莴苣"	"微皱"	"福建泉州市"	"58"	"35.0"	"强"	"1300"	"--"	"--"	"--"	"--"	"V09E0013"	"福州市蔬菜科研所"	"强"	"浅红"	"QUAN ZHOU YUAN YE HONG WO JU"	"--"	"22.5"	"上"	"Ⅱ9E0008"	"8下3上播9上3下定植11上5上收"
"14"	"--"	"89-W-21"	"厦门郊区青圆叶莴苣"	"中"	"福建厦门市"	"--"	"45.0"	"强"	"700"	"--"	"圆形"	"--"	"120.0"	"V09E0014"	"福州市蔬菜科研所"	"强"	"绿"	"XIA MEN JIAO QU QING YUAN YE WO JU"	"--"	"34.0"	"上"	"Ⅱ9E0081"	"8-3中,10-5中"
"15"	"--"	"89-W-27"	"厦门郊区紫圆叶莴苣"	"中"	"福建厦门市"	"--"	"40.0"	"强"	"713"	"--"	"圆形"	"--"	"110.0"	"V09E0015"	"福州市蔬菜科研所"	"强"	"紫"	"XIA MEN JIAO QU ZI YUAN YE WO JU"	"--"	"27.0"	"上"	"Ⅱ9E0084"	"8下-3上,11上-5上"
"16"	"散生"	"88-W-2"	"厦门郊区圆叶香莴苣"	"微皱"	"福建厦门市"	"28"	"45.0"	"强"	"1500"	"--"	"--"	"*"	"--"	"V09E0016"	"福州市蔬菜科研所"	"强"	"紫"	"XIA MEN JIAO QU YUAN YE XIANG WO JU"	"多"	"30.0"	"中"	"Ⅱ9E0045"	"7,12播8,3收"
"17"	"--"	"89-W-28"	"永春圆红叶莴苣"	"中"	"福建永春县"	"--"	"44.0"	"强"	"875"	"--"	"--"	"--"	"115.0"	"V09E0017"	"福州市蔬菜科研所"	"强"	"紫"	"YONG CHUN YUAN HONG YE WO JU"	"多"	"34.0"	"上"	"Ⅱ9E0086"	"7中-2中,9上-3下"
"18"	"--"	"88-W-12"	"永定皱叶莴苣"	"中"	"福建永定县"	"--"	"35.0"	"弱"	"875"	"--"	"圆形"	"--"	"150.0"	"V09E0018"	"福州市蔬菜科研所"	"强"	"绿"	"YONG DING ZHOU YE WO JU"	"--"	"40.0"	"下"	"Ⅱ9E0047"	"11-12,2上-5上"
"19"	"--"	"88-W-17"	"永定苦苣"	"平"	"福建永定县"	"--"	"50.0"	"强"	"850"	"--"	"圆形"	"--"	"275.0"	"V09E0019"	"福州市蔬菜科研所"	"强"	"绿"	"YONG DING KU JU"	"少"	"191.0"	"下"	"Ⅱ9E0050"	"11月-12上,3中-7下"
"20"	"--"	"88-W-17-1"	"永定长叶苦苣"	"平"	"福建永定县"	"--"	"62.0"	"强"	"750"	"--"	"--"	"--"	"350.0"	"V09E0020"	"福州市蔬菜科研所"	"强"	"绿"	"YONG DING CHANG YE KU JU"	"少"	"181.0"	"下"	"Ⅱ9E0051"	"10上-12中,12月-6下"
"21"	"结球"	"G13-19"	"包心生菜83157"	"多皱"	"广东广州市"	"85"	"32.5"	"弱"	"1500"	"--"	"圆形"	"--"	"500.0"	"V09E0021"	"广东农科院经作所"	"中"	"深绿"	"BAO XIN SHENG CAI 83157"	"多"	"30.0"	"上"	"Ⅱ9E0088"	"秋冬"
"22"	"结球"	"G13-22"	"大湖659"	"多皱"	"广东引自美国"	"115"	"37.5"	"弱"	"1625"	"--"	"圆形"	"--"	"650.0"	"V09E0030"	"广东农科院经作所"	"中"	"深绿"	"DA HU 659"	"多"	"32.5"	"上"	"Ⅱ9E0099"	"秋冬"
"23"	"--"	"苣9号"	"鸡泽莴苣"	"微皱"	"河北鸡泽县"	"--"	"35.0"	"强"	"625"	"--"	"圆形"	"叶茎兼用"	"150.0"	"V09E0040"	"河北农科院蔬菜所"	"强"	"绿"	"JI ZE WO JU"	"--"	"30.0"	"中"	"Ⅱ9E0061"	"3月-5月"
"24"	"--"	"苣5号"	"拔莴苣"	"微皱"	"河北灵寿县"	"--"	"35.0"	"强"	"625"	"--"	"圆形"	"叶茎兼用"	"120.0"	"V09E0041"	"河北农科院蔬菜所"	"强"	"绿"	"BA WO JU"	"--"	"30.0"	"中"	"Ⅱ9E0093"	"3月-5月"
