"id"	"熟性"	"科名"	"品质"	"品种名称"	"小裂片对数"	"叶面蜡粉"	"叶面"	"株幅"	"收获期"	"开展度"	"省"	"叶裂刻"	"定植期"	"耐寒性"	"叶缘"	"肉质"	"单产"	"播种期"	"属名"	"统一编号"	"芥辣味"	"叶柄宽"	"学名"	"抗逆性"	"叶柄厚"	"繁种单位"	"生长期"	"叶柄色"	"耐旱性"	"株型"	"叶色"	"叶面刺毛"	"抗虫性"	"叶形"	"耐涝性"	"叶柄长"	"贮藏性"	"叶柄特征"	"备注"	"叶长"	"抗病性"	"结球性"	"叶宽"	"单株重"	"单位编号"	"译名"	"品种来源"	"用途"	"耐热性"	"栽培时期"	"种子千粒重"	"株高"	"分蘖性"	"叶翼"	"种质库编号"
"1"	"--"	"Cruciferae(十字花科)"	"--"	"大叶芥菜"	"--"	"--"	"平滑"	"--"	"--"	"65.0"	"安徽"	"--"	"--"	"--"	"锯齿"	"粗糙"	"2500"	"--"	"Brassica(芸薹属)"	"V03A0001"	"浓"	"--"	"Brassica juncea var. foliosa Bailey(叶芥菜)"	"强"	"--"	"安徽农科院园艺所"	"190"	"--"	"--"	"--"	"绿"	"--"	"--"	"椭圆"	"--"	"--"	"--"	"扁圆"	"--"	"--"	"强"	"--"	"--"	"500.0"	"Bj6(80)"	"DA YE JIE CAI"	"安徽合肥市"	"腌制"	"--"	"9下-次4上"	"--"	"70.0"	"中"	"--"	"Ⅱ3A0339"
"2"	"--"	"Cruciferae(十字花科)"	"--"	"九头雪里蕻(九头乌)"	"--"	"--"	"平滑"	"--"	"--"	"59.0"	"安徽"	"--"	"--"	"--"	"锯齿"	"柔嫩"	"2500"	"--"	"Brassica(芸薹属)"	"V03A0002"	"中"	"--"	"Brassica juncea var. foliosa Bailey(叶芥菜)"	"强"	"--"	"安徽农科院园艺所"	"160"	"--"	"--"	"--"	"深绿"	"--"	"--"	"倒卵"	"--"	"--"	"--"	"圆"	"引自南京"	"--"	"强"	"--"	"--"	"800.0"	"Bj1(85)"	"JIU TOU XUE LI HONG (JIU TOU WU)"	"安徽合肥市"	"腌制"	"--"	"8上-次年1中"	"--"	"55.0"	"强"	"--"	"Ⅱ3A0004"
"3"	"--"	"Cruciferae(十字花科)"	"--"	"白芥"	"--"	"--"	"稍皱"	"--"	"--"	"48.0"	"安徽"	"--"	"--"	"--"	"深齿"	"脆嫩"	"6000"	"--"	"Brassica(芸薹属)"	"V03A0003"	"中"	"--"	"Brassica juncea var. foliosa Bailey(叶芥菜)"	"耐寒"	"--"	"安徽农科院园艺所"	"195"	"--"	"--"	"--"	"深绿"	"--"	"--"	"倒卵"	"--"	"--"	"--"	"扁圆"	"--"	"--"	"强"	"--"	"--"	"1300.0"	"Bj5(86)"	"BAI JIE"	"安徽合肥市"	"腌制"	"--"	"(10下-11上)-次年5"	"--"	"56.0"	"中"	"--"	"Ⅱ3A0101"
"4"	"--"	"Cruciferae(十字花科)"	"--"	"板叶雪里蕻(大叶)"	"--"	"--"	"平滑"	"--"	"--"	"42.5"	"安徽"	"--"	"--"	"--"	"锯齿"	"粗糙"	"2500"	"--"	"Brassica(芸薹属)"	"V03A0004"	"中"	"--"	"Brassica juncea var. foliosa Bailey(叶芥菜)"	"较耐热"	"--"	"安徽农科院园艺所"	"105"	"--"	"--"	"--"	"深绿"	"--"	"--"	"卵圆"	"--"	"--"	"--"	"圆"	"--"	"--"	"强"	"--"	"--"	"500.0"	"Bj2(85)"	"BAN YE XUE LI HONG (DA YE)"	"安徽合肥市"	"腌制"	"--"	"8上-11中下"	"--"	"43.0"	"中"	"--"	"Ⅱ3A0005"
"5"	"--"	"Cruciferae(十字花科)"	"--"	"狮子头腊菜"	"--"	"--"	"中皱"	"--"	"--"	"65.0"	"安徽"	"--"	"--"	"--"	"浅锯齿"	"粗糙"	"3000"	"--"	"Brassica(芸薹属)"	"V03A0005"	"--"	"--"	"Brassica juncea var. foliosa Bailey(叶芥菜)"	"强"	"--"	"安徽农科院园艺所"	"100"	"--"	"--"	"--"	"绿"	"--"	"--"	"倒卵"	"--"	"--"	"--"	"圆"	"根圆锥形,可食用"	"--"	"强"	"--"	"--"	"1500.0"	"Bj4(86)"	"SHI ZI TOU LA CAI"	"安徽寿县"	"腌制"	"--"	"8中-11中下"	"--"	"70.0"	"中"	"--"	"Ⅱ3A0064"
"6"	"--"	"Cruciferae(十字花科)"	"--"	"花叶腊菜"	"--"	"--"	"平滑"	"--"	"--"	"65.0"	"安徽"	"--"	"--"	"--"	"深齿"	"脆嫩"	"6000"	"--"	"Brassica(芸薹属)"	"V03A0006"	"浓"	"--"	"Brassica juncea var. foliosa Bailey(叶芥菜)"	"强"	"--"	"安徽农科院园艺所"	"190"	"--"	"--"	"--"	"绿"	"--"	"--"	"披针"	"--"	"--"	"--"	"扁圆"	"--"	"--"	"强"	"--"	"--"	"1000.0"	"Bj3(86)"	"HUA YE LA CAI"	"安徽寿县"	"腌制干制"	"--"	"(9下-10中)-次年4上中"	"--"	"70.0"	"中"	"--"	"Ⅱ3A0360"
"7"	"--"	"Cruciferae(十字花科)"	"--"	"铜陵芥菜(腊菜)"	"--"	"--"	"中皱"	"--"	"--"	"45.0"	"安徽"	"--"	"--"	"--"	"深齿"	"脆嫩"	"1750"	"--"	"Brassica(芸薹属)"	"V03A0007"	"浓"	"--"	"Brassica juncea var. foliosa Bailey(叶芥菜)"	"强"	"--"	"安徽农科院园艺所"	"105"	"--"	"--"	"--"	"深绿"	"--"	"--"	"近圆"	"--"	"--"	"--"	"扁圆"	"--"	"--"	"强"	"--"	"--"	"2300.0"	"Bj10(89)"	"TONG LING JIE CAI (LA CAI)"	"安徽铜陵市"	"腌制"	"--"	"8上-11中下"	"--"	"57.5"	"中"	"--"	"Ⅱ3A0496"
"8"	"--"	"Cruciferae(十字花科)"	"--"	"板叶芥"	"--"	"--"	"中皱"	"--"	"--"	"50.0"	"安徽"	"--"	"--"	"--"	"锯齿"	"粗糙"	"2500"	"--"	"Brassica(芸薹属)"	"V03A0008"	"浓"	"--"	"Brassica juncea var. foliosa Bailey(叶芥菜)"	"强"	"--"	"安徽农科院园艺所"	"190"	"--"	"--"	"--"	"绿"	"--"	"--"	"倒卵"	"--"	"--"	"--"	"扁圆"	"--"	"--"	"强"	"--"	"--"	"1500.0"	"Bj7(88)"	"BAN YE JIE"	"安徽歙县"	"腌制"	"--"	"10上-次4中"	"--"	"60.0"	"中"	"--"	"Ⅱ3A0429"
"9"	"--"	"Cruciferae(十字花科)"	"--"	"九头芥"	"--"	"--"	"平滑"	"--"	"--"	"50.0"	"安徽"	"--"	"--"	"--"	"重锯齿"	"脆嫩"	"1500"	"--"	"Brassica(芸薹属)"	"V03A0009"	"浓"	"--"	"Brassica juncea var. foliosa Bailey(叶芥菜)"	"强"	"--"	"安徽农科院园艺所"	"100"	"--"	"--"	"--"	"绿"	"--"	"--"	"戟形"	"--"	"--"	"--"	"扁圆"	"--"	"--"	"强"	"--"	"--"	"1000.0"	"Bj8(88)"	"JIU TOU JIE"	"安徽歙县"	"腌制"	"--"	"9上-12中"	"--"	"60.0"	"中"	"--"	"Ⅱ3A0430"
"10"	"--"	"Cruciferae(十字花科)"	"--"	"板叶雪里蕻"	"--"	"--"	"稍皱"	"--"	"--"	"60.0"	"北京"	"--"	"--"	"--"	"深齿"	"脆嫩"	"3125"	"--"	"Brassica(芸薹属)"	"V03A0010"	"浓"	"--"	"Brassica juncea var. foliosa Bailey(叶芥菜)"	"较不耐热"	"--"	"北京蔬菜研究中心"	"65"	"--"	"--"	"--"	"绿"	"--"	"--"	"倒卵"	"--"	"--"	"--"	"圆"	"引自南方"	"--"	"有蚜虫为害"	"--"	"--"	"400.0"	"B321"	"BAN YE XUE LI HONG"	"北京"	"腌制"	"--"	"8中-10中下"	"--"	"47.5"	"强"	"--"	"Ⅱ3A0456"
