"id"	"胚轴色"	"科名"	"库编号"	"原产地"	"柱头色"	"花盘直径"	"子实含油率"	"粗蛋白含量"	"类型"	"花盘倾斜度"	"粒色"	"舌状花色"	"皮壳率"	"译名"	"备注"	"省"	"品种名称"	"幼茎色"	"生育日期"	"单株子实重"	"百粒重"	"学名"	"统一编号"	"保存单位"	"分枝株率"	"属名"	"粒形"	"花盘形状"	"株高"	"叶片数"	"编号"
"1"	"绿"	"Compositae(菊科)"	"I4F00249"	"吉林省白城市郊"	"黄"	"15.60"	"23.00"	"29.6"	"食用"	"5"	"黑白条"	"黄"	"49.50"	"BAI CHENG KUI HUA"	"--"	"吉林"	"白城葵花"	"--"	"118"	"106.30"	"10.70"	"Helianthus annuus L.(栽培向日葵)"	"ZXRK0001"	"吉林省向日葵研究所"	"--"	"Helianthus(向日葵属)"	"圆锥"	"凸"	"185"	"32"	"0162"
"2"	"绿"	"Compositae(菊科)"	"I4F00250"	"吉林省长岭县"	"淡黄"	"18.50"	"29.10"	"23.2"	"食用"	"5"	"黑白条"	"黄"	"38.30"	"CHANG LING KUI HUA 1"	"--"	"吉林"	"长岭葵花1"	"--"	"114"	"101.70"	"10.70"	"Helianthus annuus L.(栽培向日葵)"	"ZXRK0002"	"吉林省向日葵研究所"	"--"	"Helianthus(向日葵属)"	"圆锥"	"平"	"215"	"34"	"0163"
"3"	"绿"	"Compositae(菊科)"	"I4F00784"	"吉林省长岭县"	"淡黄"	"15.50"	"30.90"	"32.2"	"食用"	"4"	"黑白条"	"黄"	"33.30"	"CHANG LING KUI HUA 2"	"--"	"吉林"	"长岭葵花2"	"--"	"118"	"85.00"	"8.20"	"Helianthus annuus L.(栽培向日葵)"	"ZXRK0003"	"吉林省向日葵研究所"	"--"	"Helianthus(向日葵属)"	"卵圆"	"平"	"225"	"32"	"0164"
"4"	"绿"	"Compositae(菊科)"	"I4F00251"	"吉林省长岭县"	"淡黄"	"19.30"	"27.90"	"29.6"	"食用"	"4"	"黑白条"	"黄"	"37.80"	"CHANG LING KUI HUA 3"	"--"	"吉林"	"长岭葵花3"	"--"	"117"	"56.70"	"7.40"	"Helianthus annuus L.(栽培向日葵)"	"ZXRK0004"	"吉林省向日葵研究所"	"--"	"Helianthus(向日葵属)"	"圆锥"	"平"	"206"	"32"	"0165"
"5"	"绿"	"Compositae(菊科)"	"I4F01040"	"吉林省长岭县"	"黄"	"17.10"	"21.90"	"30.8"	"食用"	"4"	"黑白条"	"淡黄"	"46.30"	"CHANG LING KUI HUA 4"	"白花粉"	"吉林"	"长岭葵花4"	"--"	"112"	"63.30"	"9.50"	"Helianthus annuus L.(栽培向日葵)"	"ZXRK0005"	"吉林省向日葵研究所"	"28.0"	"Helianthus(向日葵属)"	"圆锥"	"平"	"197"	"35"	"0166"
"6"	"绿"	"Compositae(菊科)"	"I4F00785"	"吉林省长岭县"	"黄"	"16.10"	"27.60"	"24.3"	"食用"	"4"	"黑白条"	"橙黄"	"40.00"	"CHANG LING KUI HUA 5"	"--"	"吉林"	"长岭葵花5"	"--"	"115"	"46.70"	"10.10"	"Helianthus annuus L.(栽培向日葵)"	"ZXRK0006"	"吉林省向日葵研究所"	"--"	"Helianthus(向日葵属)"	"圆锥"	"平"	"172"	"30"	"0167"
"7"	"绿"	"Compositae(菊科)"	"I4F00786"	"吉林省长岭县"	"淡黄"	"16.10"	"26.60"	"32.7"	"食用"	"4"	"黑白条"	"淡黄"	"42.90"	"CHANG LING KUI HUA 6"	"--"	"吉林"	"长岭葵花6"	"--"	"116"	"93.30"	"11.20"	"Helianthus annuus L.(栽培向日葵)"	"ZXRK0007"	"吉林省向日葵研究所"	"--"	"Helianthus(向日葵属)"	"圆锥"	"平"	"240"	"32"	"0168"
"8"	"紫"	"Compositae(菊科)"	"I4F01041"	"吉林省长岭县"	"黄"	"15.50"	"24.40"	"28.7"	"食用"	"4"	"黑褐"	"黄"	"41.50"	"CHANG LING KUI HUA 7"	"--"	"吉林"	"长岭葵花7"	"--"	"121"	"97.50"	"11.80"	"Helianthus annuus L.(栽培向日葵)"	"ZXRK0008"	"吉林省向日葵研究所"	"--"	"Helianthus(向日葵属)"	"长圆锥"	"平"	"249"	"31"	"0169"
"9"	"紫"	"Compositae(菊科)"	"I4F00787"	"吉林省长岭县"	"黄"	"17.30"	"25.90"	"26.8"	"食用"	"5"	"黑白条"	"黄"	"40.30"	"CHANG LING KUI HUA 8"	"--"	"吉林"	"长岭葵花8"	"--"	"122"	"125.30"	"12.90"	"Helianthus annuus L.(栽培向日葵)"	"ZXRK0009"	"吉林省向日葵研究所"	"--"	"Helianthus(向日葵属)"	"长圆锥"	"凹"	"243"	"32"	"0170"
"10"	"绿"	"Compositae(菊科)"	"I4F00788"	"吉林省长岭县"	"黄"	"20.50"	"23.70"	"32.2"	"食用"	"4"	"黑白条"	"黄"	"47.00"	"CHANG LING KUI HUA 9"	"--"	"吉林"	"长岭葵花9"	"--"	"122"	"45.00"	"6.60"	"Helianthus annuus L.(栽培向日葵)"	"ZXRK0010"	"吉林省向日葵研究所"	"--"	"Helianthus(向日葵属)"	"长圆锥"	"凹"	"267"	"36"	"0171"
