"id"	"树干粗度"	"嫩叶颜色"	"一分枝粗度"	"第三年产量"	"四年均产"	"种质来源"	"叶片长宽比"	"叶片手感"	"熟果颜色"	"叶端形状"	"保存经度"	"评价E"	"抗寒能力"	"叶基形状"	"叶肉厚度"	"果终熟期"	"树干形状"	"统一编号"	"属名"	"饮用质量"	"蛋白质"	"使用情况"	"总糖"	"雄蕊数"	"原产地"	"一级分枝数"	"保存地名"	"一级枝节距"	"盛花期"	"评价D"	"种质名称"	"叶片伸展状"	"果熟期"	"保存海拔"	"株结果节数"	"引种单位"	"主干节数"	"灰分"	"木栓部颜色"	"保存纬度"	"第一年产量"	"果基形状"	"始花期"	"果端形状"	"冠幅"	"果盛熟期"	"百粒干豆重"	"花瓣数"	"科名"	"终花期"	"繁殖方式"	"评价A"	"早熟性"	"评价C"	"种质入圃数"	"花柱头状况"	"树干颜色"	"脂肪"	"种子形状"	"第四年产量"	"省"	"叶片形状"	"主侧脉夹角"	"百粒鲜果重"	"保存最低温"	"果形状"	"保存年均温"	"叶痕形状"	"学名"	"果脐大小"	"叶片颜色"	"子叶大小"	"节间长度"	"次级分枝"	"水分"	"叶缘状况"	"特异性状"	"花色"	"青果颜色"	"二级分枝数"	"分枝节间长"	"单豆率"	"鲜果干豆比"	"咖啡碱"	"茎枝夹角"	"树型"	"还原糖"	"第二年产量"	"果始熟期"	"绿原酸"	"授粉方式"	"评价B"	"株高"	"保存年雨量"	"果皮厚度"
"1"	"4.8"	"浅绿色"	"0.730"	"380"	"574.5"	"喀麦隆"	"20.4:8.6"	"较柔软"	"棕红"	"芒尖"	"东经110°12′"	"较大"	"中等"	"渐尖"	"0.021"	"4月"	"直立粗糙"	"KF000001"	"Coffea(咖啡属)"	"良好"	"19.08"	"试种阶段"	"7.05"	"5"	"非州刚果"	"34.0"	"儋州东坡地"	"3.64"	"1-2月"	"中"	"1-1"	"较平"	"1-3月"	"36m"	"233"	"热带香料饮料作物研究所"	"37.5"	"5.39"	"褐色"	"北纬34°44′"	"255"	"半圆形"	"10月"	"半圆形"	"264"	"1-3月"	"18.13"	"5"	"Rubiaceae(茜草科)"	"6月"	"有性无性"	"较高"	"中熟"	"中"	"7株"	"两裂丝状"	"灰色"	"9.31"	"椭圆"	"1540"	"国外"	"椭圆形"	">45℃"	"118.12"	"3.4℃"	"近球形"	"24.3℃"	"半圆形"	"Coffea canephora Pierre ex Froehner(咖啡)"	"0.35"	"深绿色"	"中等"	"6.5"	"较多"	"8.90"	"小波浪"	"--"	"白色芳香"	"浅绿色"	"222"	"6.15"	"52.37"	"4.41:1"	"3.65"	">45°"	"小乔木"	"2.45"	"123"	"11月"	"11.34"	"异花"	"早"	"243.5"	"2561.9mm"	"0.023"
"2"	"4.8"	"浅绿色"	"0.547"	"440"	"302.0"	"喀麦隆"	"17.9:7.72"	"较软"	"紫红"	"钝尖"	"东经110°12′"	"中"	"中等"	"锲尖"	"0.043"	"4月底-5月上"	"直立粗糙"	"KF000002"	"Coffea(咖啡属)"	"良好"	"16.00"	"试种阶段"	"8.19"	"5-6"	"非州刚果"	"25.0"	"儋州东坡地"	"6.55"	"2-3月"	"中"	"2-2"	"较平"	"1-3月"	"36m"	"150"	"热带香料饮料作物研究所"	"33.5"	"4.28"	"褐色"	"北纬34°44′"	"280"	"近锥形"	"10月"	"锥形"	"160"	"1-3月"	"14.88"	"5-6"	"Rubiaceae(茜草科)"	"5月下-6月上"	"有性无性"	"高"	"中熟"	"中"	"7株"	"两裂丝状"	"暗灰色"	"7.90"	"椭圆"	"230"	"国外"	"卵形椭圆形"	"60-70℃"	"116.55"	"3.4℃"	"近橄榄形"	"24.3℃"	"近圆形"	"Coffea canephora Pierre ex Froehner(咖啡)"	"0.51"	"绿色"	"中等"	"7.7"	"多"	"9.30"	"大波浪"	"--"	"白色芳香"	"绿色"	"106"	"5.36"	"22.61"	"4.42:1"	"2.39"	"<45°"	"小乔木"	"2.88"	"258"	"11月"	"8.32"	"异花"	"中"	"257.5"	"2561.9mm"	"0.020"
"3"	"4.2"	"淡绿色"	"0.701"	"250"	"461.3"	"喀麦隆"	"20.67:9.17"	"较软"	"棕红"	"钝尖渐尖"	"东经110°12′"	"较大"	"较强"	"近半圆形"	"0.031"	"4月下"	"直立粗糙"	"KF000003"	"Coffea(咖啡属)"	"良好"	"15.86"	"试种阶段"	"9.74"	"5"	"非州刚果"	"24.0"	"儋州东坡地"	"5.90"	"1-4月"	"较大"	"2-10"	"较平"	"2-4月"	"36m"	"215"	"热带香料饮料作物研究所"	"31.0"	"3.41"	"褐色"	"北纬34°44′"	"340"	"棱锥形"	"11月"	"平"	"177"	"2-4月"	"18.51"	"5"	"Rubiaceae(茜草科)"	"4月下-5月上"	"有性无性"	"高"	"中熟"	"中"	"7株"	"两裂丝状"	"灰色"	"11.28"	"长椭"	"815"	"国外"	"椭圆形"	"60-70℃"	"147.49"	"3.4℃"	"长方形"	"24.3℃"	"近圆形"	"Coffea canephora Pierre ex Froehner(咖啡)"	"0.25"	"深绿色"	"中等"	"6.5"	"较少"	"8.96"	"中波浪"	"--"	"白色芳香"	"淡绿黄色"	"30"	"5.07"	"31.86"	"4.74:1"	"2.79"	">45°"	"小乔木"	"2.05"	"440"	"12月"	"10.48"	"异花"	"中"	"202.0"	"2561.9mm"	"0.028"
"4"	"5.2"	"浅绿色"	"0.578"	"880"	"776.5"	"喀麦隆"	"17.32:6.69"	"较软"	"紫红"	"渐尖"	"东经110°12′"	"小"	"中等"	"渐尖"	"0.031"	"4月下-5月初"	"直立粗糙"	"KF000004"	"Coffea(咖啡属)"	"良好"	"16.84"	"试种阶段"	"6.84"	"5-6"	"非州刚果"	"29.5"	"儋州东坡地"	"6.19"	"12-2月"	"较小"	"3-1"	"较平"	"12-2月下"	"36m"	"150"	"热带香料饮料作物研究所"	"35.0"	"4.78"	"褐色"	"北纬34°44′"	"460"	"半圆形"	"10月"	"半圆形"	"196"	"12-2月下旬"	"13.28"	"5-6"	"Rubiaceae(茜草科)"	"5月"	"有性无性"	"高"	"早熟"	"早"	"7株"	"两裂丝状"	"灰褐色"	"11.26"	"近圆"	"1170"	"国外"	"长椭圆形"	"60-70℃"	"103.09"	"3.4℃"	"长球形"	"24.3℃"	"近圆形"	"Coffea canephora Pierre ex Froehner(咖啡)"	"0.23"	"绿色"	"中等"	"6.2"	"较多"	"9.33"	"大波浪或无"	"早熟,熟期集中"	"白色芳香"	"青绿色"	"67"	"5.38"	"46.60"	"5.06:1"	"2.94"	"近90°"	"小乔木"	"1.63"	"596"	"11月底"	"11.68"	"异花"	"早"	"218.5"	"2561.9mm"	"0.020"
"5"	"4.0"	"浅绿色"	"0.560"	"460"	"274.3"	"喀麦隆"	"19.95:6.97"	"较软"	"棕红"	"渐尖"	"东经110°12′"	"较大"	"中等"	"渐尖"	"0.032"	"4月下"	"直立粗糙"	"KF000005"	"Coffea(咖啡属)"	"良好"	"18.57"	"试种阶段"	"7.25"	"5"	"非州刚果"	"40.5"	"儋州东坡地"	"5.78"	"2-4月"	"中"	"3-2"	"较平"	"1-3月"	"36m"	"487"	"热带香料饮料作物研究所"	"42.5"	"4.48"	"褐色"	"北纬34°44′"	"205"	"平"	"11月"	"平"	"231"	"1-3月"	"17.34"	"5"	"Rubiaceae(茜草科)"	"5月中"	"有性无性"	"中等"	"中熟"	"中"	"7株"	"两裂丝状"	"灰色"	"11.17"	"椭圆"	"375"	"国外"	"长菱形"	"60-70℃"	"129.87"	"3.4℃"	"方形"	"24.3℃"	"半圆形"	"Coffea canephora Pierre ex Froehner(咖啡)"	"0.27"	"绿色"	"中等"	"5.4"	"较多"	"10.29"	"中波浪下卷"	"--"	"白色芳香"	"青绿色"	"259"	"5.75"	"26.23"	"4.31:1"	"2.02"	">45°"	"小乔木"	"2.72"	"57"	"12月"	"11.06"	"异花"	"中"	"227.5"	"2561.9mm"	"0.010"
"6"	"6.2"	"浅绿色"	"0.782"	"460"	"241.3"	"喀麦隆"	"22.08:8.93"	"较软"	"棕色"	"渐尖"	"东经110°12′"	"中"	"中等"	"钝尖"	"0.036"	"4月底"	"直立粗糙"	"KF000006"	"Coffea(咖啡属)"	"良好"	"16.65"	"试种阶段"	"7.02"	"5-6"	"非州刚果"	"31.0"	"儋州东坡地"	"4.91"	"3-4月"	"较小"	"4-1"	"较平"	"2-3月"	"36m"	"257"	"热带香料饮料作物研究所"	"34.0"	"4.55"	"褐色"	"北纬34°44′"	"230"	"平"	"10月"	"平"	"161"	"2-3月"	"14.50"	"5-6"	"Rubiaceae(茜草科)"	"5月"	"有性无性"	"较高"	"中熟"	"中"	"7株"	"两裂丝状"	"暗灰色"	"10.67"	"椭圆"	"180"	"国外"	"椭圆形"	"60-70℃"	"104.87"	"3.4℃"	"方形"	"24.3℃"	"马蹄形或方形"	"Coffea canephora Pierre ex Froehner(咖啡)"	"0.30"	"深绿色"	"中等"	"7.7"	"较多"	"8.84"	"大波浪或无"	"--"	"白色芳香"	"青绿色"	"182"	"5.13"	"34.70"	"4.37:1"	"3.86"	">45°"	"小乔木"	"2.21"	"95"	"11月"	"9.70"	"异花"	"中"	"262.0"	"2561.9mm"	"0.014"
"7"	"4.9"	"浅绿色"	"0.836"	"230"	"222.5"	"喀麦隆"	"20.31:10.30"	"较软"	"浅红"	"急尖"	"东经110°12′"	"中"	"中等"	"半圆形"	"0.031"	"4月底"	"直立粗糙"	"KF000007"	"Coffea(咖啡属)"	"良好"	"15.13"	"试种阶段"	"9.44"	"5"	"非州刚果"	"24.0"	"儋州东坡地"	"7.18"	"2-4月"	"较大"	"4-9"	"较平"	"1-3月"	"36m"	"195"	"热带香料饮料作物研究所"	"30.0"	"4.35"	"褐色"	"北纬34°44′"	"140"	"平"	"10月"	"近锥形"	"172"	"1-3月"	"14.16"	"5"	"Rubiaceae(茜草科)"	"5月"	"有性无性"	"中等"	"中熟"	"中"	"7株"	"两裂丝状"	"灰色"	"8.84"	"椭圆"	"220"	"国外"	"阔椭圆形"	"60-70℃"	"133.33"	"3.4℃"	"近方形"	"24.3℃"	"近圆形"	"Coffea canephora Pierre ex Froehner(咖啡)"	"0.13"	"绿色"	"中等"	"7.3"	"少"	"7.76"	"大波浪或无"	"--"	"白色芳香"	"青绿色"	"18"	"6.87"	"14.93"	"5.09:1"	"2.46"	">60°"	"小乔木"	"2.02"	"300"	"11月"	"10.63"	"异花"	"中"	"220.0"	"2561.9mm"	"0.013"
"8"	"4.0"	"浅绿色"	"0.508"	"370"	"307.0"	"喀麦隆"	"21.28:8.29"	"较软"	"浅棕"	"渐尖"	"东经110°12′"	"较大"	"中等"	"渐尖"	"0.030"	"5月"	"倾斜粗糙"	"KF000008"	"Coffea(咖啡属)"	"良好"	"17.38"	"试种阶段"	"6.07"	"5-6"	"非州刚果"	"19.0"	"儋州东坡地"	"4.70"	"2-4月"	"较大"	"5-1"	"较平"	"2月下-4月上"	"36m"	"249"	"热带香料饮料作物研究所"	"23.5"	"--"	"浅褐色"	"北纬34°44′"	"470"	"平"	"11月"	"平"	"164"	"2月下-4月上"	"17.49"	"5-6"	"Rubiaceae(茜草科)"	"5月"	"有性无性"	"高"	"迟熟"	"迟"	"7株"	"两裂丝状"	"暗灰色"	"8.70"	"近圆"	"260"	"国外"	"长椭圆形"	"60-70℃"	"131.23"	"3.4℃"	"方形"	"24.3℃"	"近圆形"	"Coffea canephora Pierre ex Froehner(咖啡)"	"0.30"	"绿色"	"中等"	"8.4"	"较多"	"--"	"中波浪"	"迟熟"	"白色芳香"	"青绿色"	"182"	"6.35"	"19.95"	"4.17:1"	"2.20"	"≤45°"	"小乔木"	"1.68"	"128"	"12月"	"10.55"	"异花"	"中"	"196.5"	"2561.9mm"	"0.010"
"9"	"3.9"	"浅绿色"	"0.721"	"400"	"322.5"	"喀麦隆"	"23.34:10.08"	"较软"	"浅红"	"渐尖"	"东经110°12′"	"大"	"中等"	"渐尖"	"0.040"	"5月"	"直立粗糙"	"KF000009"	"Coffea(咖啡属)"	"良好"	"14.62"	"试种阶段"	"8.60"	"5-6"	"非州刚果"	"30.0"	"儋州东坡地"	"6.37"	"2-4月"	"特大"	"5-2"	"较平"	"1-3月"	"36m"	"226"	"热带香料饮料作物研究所"	"36.0"	"4.78"	"褐色"	"北纬34°44′"	"300"	"平"	"10月"	"平"	"191"	"1-3月"	"19.83"	"5-6"	"Rubiaceae(茜草科)"	"5月"	"有性无性"	"高"	"中熟"	"中"	"7株"	"两裂丝状"	"暗灰色"	"9.84"	"阔椭"	"290"	"国外"	"椭圆形卵形"	"60-70℃"	"186.57"	"3.4℃"	"近柱形"	"24.3℃"	"近圆形"	"Coffea canephora Pierre ex Froehner(咖啡)"	"0.23"	"绿色"	"中等"	"7.4"	"少"	"8.60"	"大波浪或无"	"果特大"	"白色芳香"	"青绿色"	"88"	"5.25"	"20.90"	"5.25:1"	"2.74"	">45°"	"小乔木"	"2.09"	"300"	"12月"	"9.23"	"异花"	"中"	"259.5"	"2561.9mm"	"0.014"
"10"	"3.8"	"浅绿色"	"0.765"	"110"	"196.5"	"喀麦隆"	"17.47:7.65"	"较软"	"紫红"	"渐尖"	"东经110°12′"	"较大"	"较强"	"近半圆形"	"0.031"	"4月底-5月上"	"直立粗糙"	"KF000010"	"Coffea(咖啡属)"	"良好"	"15.93"	"试种阶段"	"8.14"	"5"	"非州刚果"	"27.0"	"儋州东坡地"	"5.52"	"2-4月"	"较大"	"6-5"	"较平"	"1-3月"	"36m"	"232"	"热带香料饮料作物研究所"	"33.5"	"4.32"	"褐色"	"北纬34°44′"	"155"	"半圆形"	"11月"	"半圆形"	"160"	"1-3月"	"18.56"	"5"	"Rubiaceae(茜草科)"	"5月中"	"有性无性"	"低"	"中熟"	"中"	"7株"	"两裂丝状"	"暗灰色"	"9.07"	"圆"	"350"	"国外"	"椭圆形"	"60-70℃"	"141.24"	"3.4℃"	"球形"	"24.3℃"	"近圆形"	"Coffea canephora Pierre ex Froehner(咖啡)"	"0.28"	"绿色"	"中等"	"5.9"	"中等"	"7.11"	"中波浪"	"--"	"白色芳香"	"青绿色"	"100"	"4.94"	"35.59"	"4.63:1"	"2.74"	"近90°"	"小乔木"	"2.01"	"171"	"12月"	"10.62"	"异花"	"中"	"199.0"	"2561.9mm"	"0.010"
