"id"	"成熟期"	"主花序长度"	"科名"	"花序色"	"来源地"	"品种名称"	"原产地"	"叶色"	"千粒重"	"类别"	"株形"	"样品类型"	"省"	"粒色"	"保存编号"	"保存单位"	"库编号"	"播种期"	"学名"	"统一编号"	"译名"	"其它"	"属名"	"茎色"	"株高"
"1"	"9.20"	"52.0"	"Chenopodiaceae(藜科)"	"绿"	"--"	"鹿寨地肤子"	"鹿寨县"	"绿"	"0.85"	"栽培"	"长圆"	"地方"	"广西"	"黑"	"1"	"中国农科院品资所"	"I7C00404"	"--"	"Kochia scoparia (L.) Schrad.(地肤)"	"ZD000001"	"LU ZHAI DI FU ZI"	"--"	"Kochia(地肤属)"	"绿"	"87.0"
"2"	"9.20"	"60.0"	"Chenopodiaceae(藜科)"	"绿"	"--"	"阳朔地肤子"	"阳朔县"	"绿"	"0.88"	"栽培"	"卵圆"	"地方"	"广西"	"黑"	"2"	"中国农科院品资所"	"I7C00405"	"--"	"Kochia scoparia (L.) Schrad.(地肤)"	"ZD000002"	"YANG SHUO DI FU ZI"	"--"	"Kochia(地肤属)"	"绿"	"90.0"
"3"	"9.20"	"50.0"	"Chenopodiaceae(藜科)"	"绿"	"--"	"大埠地肤子"	"桂林"	"绿"	"0.92"	"栽培"	"卵圆"	"地方"	"广西"	"黑"	"3"	"中国农科院品资所"	"I7C00406"	"--"	"Kochia scoparia (L.) Schrad.(地肤)"	"ZD000003"	"DA BU DI FU ZI"	"--"	"Kochia(地肤属)"	"绿"	"85.0"
"4"	"9.21"	"50.0"	"Chenopodiaceae(藜科)"	"绿"	"--"	"荔浦地肤子"	"荔浦县"	"绿"	"0.94"	"栽培"	"卵圆"	"地方"	"广西"	"黑"	"4"	"中国农科院品资所"	"I7C00407"	"--"	"Kochia scoparia (L.) Schrad.(地肤)"	"ZD000004"	"LI PU DI FU ZI"	"--"	"Kochia(地肤属)"	"绿"	"105.0"
"5"	"9.25"	"53.0"	"Chenopodiaceae(藜科)"	"绿"	"--"	"大河地肤子"	"桂林"	"绿"	"0.83"	"栽培"	"卵圆"	"地方"	"广西"	"黑"	"5"	"中国农科院品资所"	"I7C00408"	"--"	"Kochia scoparia (L.) Schrad.(地肤)"	"ZD000005"	"DA HE DI FU ZI"	"--"	"Kochia(地肤属)"	"绿"	"95.0"
"6"	"10.30"	"90.0"	"Chenopodiaceae(藜科)"	"绿"	"--"	"延庆扫帚苗"	"延庆"	"绿"	"0.44"	"栽培"	"卵圆"	"地方"	"北京"	"灰黑"	"6"	"中国农科院品资所"	"--"	"--"	"Kochia scoparia (L.) Schrad.(地肤)"	"ZD000006"	"YAN QING SAO ZHOU MIAO"	"--"	"Kochia(地肤属)"	"红"	"125.0"
"7"	"10.30"	"105.0"	"Chenopodiaceae(藜科)"	"绿"	"--"	"延庆扫帚苗"	"延庆"	"绿"	"0.50"	"栽培"	"卵圆"	"地方"	"北京"	"黑"	"7"	"中国农科院品资所"	"--"	"--"	"Kochia scoparia (L.) Schrad.(地肤)"	"ZD000007"	"YAN QING SAO ZHOU MIAO"	"--"	"Kochia(地肤属)"	"绿"	"130.0"
"8"	"10.30"	"105.0"	"Chenopodiaceae(藜科)"	"绿"	"--"	"昌平地肤"	"昌平"	"绿"	"0.50"	"栽培"	"卵圆"	"地方"	"北京"	"黑"	"8"	"中国农科院品资所"	"--"	"--"	"Kochia scoparia (L.) Schrad.(地肤)"	"ZD000008"	"CHANG PING DI FU"	"--"	"Kochia(地肤属)"	"绿"	"130.0"
"9"	"10.18"	"1.8"	"Chenopodiaceae(藜科)"	"绿白"	"--"	"扫帚菜"	"昆明"	"灰绿"	"1.30"	"栽培"	"卵圆"	"地方"	"云南"	"淡褐"	"T89"	"云南省农科院品资站"	"I7C00857"	"5.12"	"Kochia scoparia (L.) Schrad.(地肤)"	"ZD000009"	"SAO ZHOU CAI"	"--"	"Kochia(地肤属)"	"绿"	"166.0"
"10"	"11.05"	"25.8"	"Chenopodiaceae(藜科)"	"黄绿"	"--"	"扫把苗"	"邕宁"	"绿"	"0.80"	"栽培"	"卵圆"	"地方"	"广西"	"黑"	"GD46"	"广西农科院品资所"	"--"	"4.05"	"Kochia scoparia (L.) Schrad.(地肤)"	"ZD000010"	"SAO BA MIAO"	"--"	"Kochia(地肤属)"	"黄绿"	"136.0"
