"id"	"蛋氨酸"	"科名"	"保存编号"	"品种名称"	"谷氨酸"	"播种期"	"天冬氨酸"	"精氨酸"	"丙氨酸"	"单株产量"	"总和"	"酪氨酸"	"异亮氨酸"	"省"	"色氨酸"	"组氨酸"	"分枝数"	"全生育日数"	"样品类型"	"总淀粉"	"百粒重"	"苏氨酸"	"统一编号"	"苯丙氨酸"	"学名"	"粒形"	"胱氨酸"	"支链淀粉"	"花色"	"粗脂肪"	"成熟期"	"粗蛋白"	"结荚习性"	"属名"	"亮氨酸"	"库编号"	"生长习性"	"保存单位"	"原产地"	"甘氨酸"	"单荚粒数"	"缬氨酸"	"直链淀粉"	"单株荚数"	"粒色"	"备注"	"脯氨酸"	"赖氨酸"	"荚长"	"丝氨酸"	"译名"	"荚色"	"种子来源"	"株高"
"1"	"--"	"Leguminosae(豆科)"	"80-504"	"大洋红豆"	"--"	"5.19"	"--"	"--"	"--"	"42.1"	"--"	"--"	"--"	"山西"	"--"	"--"	"1.5"	"138"	"地方"	"--"	"91.8"	"--"	"E0000001"	"--"	"Phaseolus multiflorus Willd.(多花菜豆)"	"宽肾"	"--"	"--"	"红"	"--"	"10.05"	"--"	"无限"	"Phaseolus(菜豆属)"	"--"	"I2L00163"	"蔓生"	"山西省农科院"	"盂县"	"--"	"3.3"	"--"	"--"	"23.5"	"紫底黑斑"	"--"	"--"	"--"	"11.8"	"--"	"DA YANG HONG DOU"	"褐"	"--"	"305.0"
"2"	"--"	"Leguminosae(豆科)"	"80-523"	"糜红豆"	"--"	"5.19"	"--"	"--"	"--"	"35.5"	"--"	"--"	"--"	"山西"	"--"	"--"	"5.0"	"138"	"地方"	"--"	"94.0"	"--"	"E0000002"	"--"	"Phaseolus multiflorus Willd.(多花菜豆)"	"宽肾"	"--"	"--"	"红"	"--"	"10.05"	"--"	"无限"	"Phaseolus(菜豆属)"	"--"	"I2L00164"	"蔓生"	"山西省农科院"	"和顺"	"--"	"2.8"	"--"	"--"	"39.0"	"紫底黑斑"	"--"	"--"	"--"	"9.9"	"--"	"MI HONG DOU"	"褐"	"--"	"310.0"
"3"	"--"	"Leguminosae(豆科)"	"80-543"	"金豆"	"--"	"5.19"	"--"	"--"	"--"	"67.0"	"--"	"--"	"--"	"山西"	"--"	"--"	"4.5"	"140"	"地方"	"--"	"88.3"	"--"	"E0000003"	"--"	"Phaseolus multiflorus Willd.(多花菜豆)"	"宽肾"	"--"	"--"	"红"	"--"	"10.07"	"--"	"无限"	"Phaseolus(菜豆属)"	"--"	"I2L00165"	"蔓生"	"山西省农科院"	"灵石县"	"--"	"2.8"	"--"	"--"	"39.5"	"紫底黑斑"	"--"	"--"	"--"	"12.7"	"--"	"JIN DOU"	"褐"	"--"	"300.0"
"4"	"--"	"Leguminosae(豆科)"	"80-544"	"金豆"	"--"	"5.19"	"--"	"--"	"--"	"14.5"	"--"	"--"	"--"	"山西"	"--"	"--"	"2.5"	"140"	"地方"	"--"	"83.4"	"--"	"E0000004"	"--"	"Phaseolus multiflorus Willd.(多花菜豆)"	"宽肾"	"--"	"--"	"红"	"--"	"10.07"	"--"	"无限"	"Phaseolus(菜豆属)"	"--"	"I2L00166"	"蔓生"	"山西省农科院"	"灵石县"	"--"	"3.0"	"--"	"--"	"74.5"	"紫底黑斑"	"--"	"--"	"--"	"8.7"	"--"	"JIN DOU"	"褐"	"--"	"305.0"
"5"	"--"	"Leguminosae(豆科)"	"0704"	"大白云豆"	"--"	"5.07"	"--"	"--"	"--"	"17.3"	"--"	"--"	"--"	"内蒙"	"--"	"--"	"4.0"	"136"	"地方"	"--"	"115.0"	"--"	"E0000005"	"--"	"Phaseolus multiflorus Willd.(多花菜豆)"	"宽肾"	"--"	"--"	"白"	"--"	"9.20"	"--"	"无限"	"Phaseolus(菜豆属)"	"--"	"I2L00058"	"蔓生"	"内蒙兴安盟农科所"	"昭乌达盟"	"--"	"1.3"	"--"	"--"	"11.0"	"白"	"--"	"--"	"--"	"11.0"	"--"	"DA BAI YUN DOU"	"褐"	"--"	"150.0"
"6"	"--"	"Leguminosae(豆科)"	"0705"	"大白云豆"	"--"	"5.07"	"--"	"--"	"--"	"15.6"	"--"	"--"	"--"	"内蒙"	"--"	"--"	"5.0"	"136"	"地方"	"46.35"	"120.0"	"--"	"E0000006"	"--"	"Phaseolus multiflorus Willd.(多花菜豆)"	"宽肾"	"--"	"35.09"	"白"	"1.81"	"9.20"	"18.41"	"无限"	"Phaseolus(菜豆属)"	"--"	"I2L00059"	"蔓生"	"内蒙兴安盟农科所"	"昭乌达盟"	"--"	"1.6"	"--"	"11.26"	"8.0"	"白"	"--"	"--"	"--"	"8.0"	"--"	"DA BAI YUN DOU"	"褐"	"--"	"150.0"
"7"	"--"	"Leguminosae(豆科)"	"0701"	"看豆"	"--"	"5.07"	"--"	"--"	"--"	"19.3"	"--"	"--"	"--"	"内蒙"	"--"	"--"	"4.5"	"136"	"地方"	"46.57"	"110.0"	"--"	"E0000007"	"--"	"Phaseolus multiflorus Willd.(多花菜豆)"	"宽肾"	"--"	"35.65"	"红"	"2.02"	"9.20"	"16.34"	"无限"	"Phaseolus(菜豆属)"	"--"	"I2L00060"	"蔓生"	"内蒙兴安盟农科所"	"兴安盟?"	"--"	"1.5"	"--"	"10.92"	"12.0"	"紫底黑斑"	"--"	"--"	"--"	"9.0"	"--"	"KAN DOU"	"褐"	"--"	"175.5"
"8"	"--"	"Leguminosae(豆科)"	"0702"	"大云豆"	"--"	"5.07"	"--"	"--"	"--"	"14.4"	"--"	"--"	"--"	"内蒙"	"--"	"--"	"2.0"	"136"	"地方"	"--"	"108.0"	"--"	"E0000008"	"--"	"Phaseolus multiflorus Willd.(多花菜豆)"	"宽肾"	"--"	"--"	"红"	"--"	"9.20"	"--"	"无限"	"Phaseolus(菜豆属)"	"--"	"I2L00061"	"蔓生"	"内蒙兴安盟农科所"	"昭乌达盟"	"--"	"1.4"	"--"	"--"	"15.0"	"紫底黑斑"	"--"	"--"	"--"	"10.0"	"--"	"DA YUN DOU"	"褐"	"--"	"180.0"
"9"	"--"	"Leguminosae(豆科)"	"0706"	"看花豆"	"--"	"5.07"	"--"	"--"	"--"	"16.8"	"--"	"--"	"--"	"内蒙"	"--"	"--"	"3.0"	"136"	"地方"	"--"	"120.0"	"--"	"E0000009"	"--"	"Phaseolus multiflorus Willd.(多花菜豆)"	"宽肾"	"--"	"--"	"红"	"--"	"9.20"	"--"	"无限"	"Phaseolus(菜豆属)"	"--"	"I2L00062"	"蔓生"	"内蒙兴安盟农科所"	"昭乌达盟"	"--"	"1.4"	"--"	"--"	"10.0"	"紫底黑斑"	"--"	"--"	"--"	"9.0"	"--"	"KAN HUA DOU"	"褐"	"--"	"150.0"
"10"	"--"	"Leguminosae(豆科)"	"0703"	"大花鞋"	"--"	"5.07"	"--"	"--"	"--"	"29.2"	"--"	"--"	"--"	"内蒙"	"--"	"--"	"4.0"	"136"	"地方"	"44.82"	"162.0"	"--"	"E0000010"	"--"	"Phaseolus multiflorus Willd.(多花菜豆)"	"宽肾"	"--"	"34.18"	"红"	"2.02"	"9.20"	"17.22"	"无限"	"Phaseolus(菜豆属)"	"--"	"I2L00063"	"蔓生"	"内蒙兴安盟农科所"	"昭乌达盟"	"--"	"1.5"	"--"	"10.64"	"12.0"	"紫底黑斑"	"--"	"--"	"--"	"8.0"	"--"	"DA HUA XIE"	"褐"	"--"	"150.0"
