"id"	"熟性"	"叶柄色"	"科名"	"品质"	"品种名称"	"叶球重"	"叶面"	"株幅"	"开展度"	"省"	"单产"	"叶球横径"	"收获期"	"译名"	"口感性"	"可溶性糖"	"播种期"	"霜霉发病率"	"统一编号"	"种质库编号"	"学名"	"繁种单位"	"叶球抱合型"	"叶球心"	"TUMV发病率"	"耐旱性"	"属名"	"水分"	"叶色"	"粗纤维"	"抗虫性"	"叶球形状"	"耐涝性"	"生长期"	"贮藏性"	"备注"	"抗病性"	"叶球顶"	"单位编号"	"纤维含量"	"耐寒性"	"品种来源"	"叶球纵径"	"栽培时期"	"种子千粒重"	"株高"	"耐热性"
"1"	"--"	"白"	"Cruciferae(十字花科)"	"--"	"龙亢二高桩"	"2500"	"平滑"	"--"	"65.0"	"安徽"	"5000"	"--"	"--"	"LONG KANG ER GAO ZHUANG"	"略甜"	"2.44"	"--"	"37"	"V02A0001"	"Ⅱ2A0535"	"Brassica campestris L. ssp. pekinensis Olsson(大白菜)"	"安徽农科院园艺所"	"叠抱"	"包心"	"86"	"--"	"Brassica(芸薹属)"	"90.70"	"淡绿"	"1.11"	"--"	"卵形"	"--"	"120"	"强"	"--"	"--"	"--"	"Bp2(87)"	"--"	"--"	"安徽怀远县"	"--"	"8上-12中"	"--"	"35.0"	"--"
"2"	"--"	"白"	"Cruciferae(十字花科)"	"--"	"小狮子头大白菜"	"1250"	"中皱"	"--"	"65.0"	"安徽"	"3000"	"--"	"--"	"XIAO SHI ZI TOU DA BAI CAI"	"略甜"	"1.13"	"--"	"93"	"V02A0002"	"Ⅱ2A0846"	"Brassica campestris L. ssp. pekinensis Olsson(大白菜)"	"安徽农科院园艺所"	"叠抱"	"包心"	"100"	"--"	"Brassica(芸薹属)"	"95.80"	"深绿"	"0.69"	"--"	"高桩"	"--"	"75"	"强"	"--"	"--"	"--"	"BP3(88)"	"--"	"--"	"安徽怀远县"	"--"	"8上-11上"	"--"	"45.0"	"--"
"3"	"--"	"白"	"Cruciferae(十字花科)"	"--"	"大高桩(大白菜)"	"4500"	"微皱"	"--"	"70.0"	"安徽"	"5500"	"--"	"--"	"DA GAO ZHUANG (DA BAI CAI )"	"略甜"	"1.10"	"--"	"87"	"V02A0003"	"Ⅱ2A0845"	"Brassica campestris L. ssp. pekinensis Olsson(大白菜)"	"安徽农科院园艺所"	"叠抱"	"包心"	"82"	"--"	"Brassica(芸薹属)"	"94.60"	"绿"	"1.01"	"--"	"短筒"	"--"	"120"	"强"	"--"	"--"	"--"	"BP4(88)"	"--"	"--"	"安徽怀远县"	"--"	"8上-12中"	"--"	"34.0"	"--"
"4"	"--"	"白"	"Cruciferae(十字花科)"	"--"	"大狮子头"	"3250"	"中皱"	"--"	"75.0"	"安徽"	"5000"	"--"	"--"	"DA SHI ZI TOU"	"略甜"	"0.73"	"--"	"37"	"V02A0004"	"Ⅱ2A0534"	"Brassica campestris L. ssp. pekinensis Olsson(大白菜)"	"安徽农科院园艺所"	"叠抱"	"包心"	"100"	"--"	"Brassica(芸薹属)"	"91.80"	"深绿"	"1.28"	"--"	"高桩"	"--"	"90"	"强"	"--"	"--"	"--"	"Bp1(80)"	"--"	"--"	"安徽淮北市"	"--"	"8上-11中"	"--"	"50.0"	"--"
"5"	"--"	"白"	"Cruciferae(十字花科)"	"--"	"四季青抱头白"	"650"	"多皱"	"--"	"60.8"	"北京"	"3250"	"--"	"--"	"SI JI QING BAO TOU BAI"	"略甜"	"1.13"	"--"	"81"	"V02A0005"	"Ⅱ2A0675"	"Brassica campestris L. ssp. pekinensis Olsson(大白菜)"	"北京蔬菜研究中心"	"叠抱"	"包心"	"100"	"--"	"Brassica(芸薹属)"	"95.20"	"绿"	"0.89"	"--"	"短筒"	"--"	"70"	"弱"	"--"	"--"	"--"	"B38"	"--"	"--"	"北京"	"--"	"(7中-8上)-(9下-11上)"	"--"	"40.0"	"--"
"6"	"--"	"绿"	"Cruciferae(十字花科)"	"--"	"远大抱头青"	"1550"	"中皱"	"--"	"60.3"	"北京"	"8000"	"--"	"--"	"YUAN DA BAO TOU QING"	"略甜"	"2.60"	"--"	"96"	"V02A0006"	"Ⅱ2A0679"	"Brassica campestris L. ssp. pekinensis Olsson(大白菜)"	"北京蔬菜研究中心"	"叠抱"	"包心"	"100"	"--"	"Brassica(芸薹属)"	"93.70"	"深绿"	"0.89"	"--"	"高桩"	"--"	"88"	"强"	"--"	"--"	"--"	"B10"	"--"	"--"	"北京"	"--"	"8上-11上"	"--"	"50.0"	"--"
"7"	"--"	"绿"	"Cruciferae(十字花科)"	"--"	"东升核桃纹"	"1450"	"中皱"	"--"	"69.0"	"北京"	"8000"	"--"	"--"	"DONG SHENG HE TAO WEN"	"略甜"	"2.36"	"--"	"96"	"V02A0007"	"Ⅱ2A0677"	"Brassica campestris L. ssp. pekinensis Olsson(大白菜)"	"北京蔬菜研究中心"	"叠抱"	"包心"	"100"	"--"	"Brassica(芸薹属)"	"93.90"	"深绿"	"0.91"	"--"	"高桩"	"--"	"88"	"强"	"--"	"--"	"--"	"B15"	"--"	"--"	"北京"	"--"	"8上-11上"	"--"	"64.0"	"--"
"8"	"--"	"绿"	"Cruciferae(十字花科)"	"--"	"玉渊潭核桃纹"	"2600"	"中皱"	"--"	"57.3"	"北京"	"8000"	"--"	"--"	"YU YUAN TAN HE TAO WEN"	"略甜"	"2.48"	"--"	"92"	"V02A0008"	"Ⅱ2A0678"	"Brassica campestris L. ssp. pekinensis Olsson(大白菜)"	"北京蔬菜研究中心"	"叠抱"	"包心"	"93"	"--"	"Brassica(芸薹属)"	"94.30"	"深绿"	"0.84"	"--"	"高桩"	"--"	"88"	"强"	"--"	"--"	"--"	"B14"	"--"	"--"	"北京"	"--"	"8上-11上"	"--"	"36.3"	"--"
"9"	"--"	"白"	"Cruciferae(十字花科)"	"--"	"翻心白"	"650"	"多皱"	"--"	"61.8"	"北京"	"3250"	"--"	"--"	"FAN XIN BAI"	"中"	"1.47"	"--"	"100"	"V02A0009"	"Ⅱ2A0676"	"Brassica campestris L. ssp. pekinensis Olsson(大白菜)"	"北京蔬菜研究中心"	"竖心"	"舒心"	"100"	"--"	"Brassica(芸薹属)"	"94.20"	"绿"	"1.03"	"--"	"短筒"	"--"	"70"	"弱"	"--"	"--"	"--"	"B44"	"--"	"--"	"北京"	"--"	"7上中-9中下"	"--"	"32.4"	"--"
"10"	"--"	"白"	"Cruciferae(十字花科)"	"--"	"翻心黄"	"1000"	"中皱"	"--"	"42.5"	"北京"	"3250"	"--"	"--"	"FAN XIN HUANG"	"--"	"1.86"	"--"	"93"	"V02A0010"	"Ⅱ2A0297"	"Brassica campestris L. ssp. pekinensis Olsson(大白菜)"	"北京蔬菜研究中心"	"竖心"	"翻心"	"100"	"--"	"Brassica(芸薹属)"	"94.50"	"淡绿"	"0.82"	"--"	"长筒"	"--"	"60"	"弱"	"稍耐热春秋季"	"--"	"--"	"B42"	"--"	"--"	"北京房山"	"--"	"7中下-(9下-11上)"	"--"	"40.0"	"--"
