"id"	"蛋氨酸"	"科名"	"孢囊等级3"	"品种名称"	"病毒指数"	"脐色"	"锈病等级"	"熟期抗旱性"	"苗期抗冷"	"油酸"	"生育月份"	"产地来源"	"类型"	"硬脂酸"	"生育日数"	"胰酶抑制剂"	"译名"	"孢囊等级1"	"省"	"亚油酸"	"东经"	"百粒重"	"软脂酸"	"统一编号"	"平均孢囊5"	"学名"	"粒形"	"孢囊等级5"	"胱氨酸"	"平均孢囊1"	"孢囊等级2"	"花色"	"粗脂肪"	"锈病抗病性"	"粗蛋白"	"结荚习性"	"北纬"	"芽期抗旱性"	"平均孢囊3"	"库编号"	"生长习性"	"保存单位"	"孢囊指数3"	"区"	"锈病反应型"	"芽期抗冷"	"叶形"	"粒色"	"备注"	"孢囊等级4"	"苗期抗盐性"	"子叶色"	"病毒等级"	"样品类型"	"属名"	"茸毛色"	"高程"	"平均孢囊4"	"株高"	"芽期抗盐性"	"平均孢囊2"	"亚麻酸"
"1"	"--"	"Leguminosae(豆科)"	"--"	"中黄601"	"--"	"黑"	"--"	"--"	"--"	"--"	"6/中-10/中"	"中国农业科学院作物科学研究所有性杂交育成"	"夏"	"--"	"110"	"--"	"Zhong Huang 601"	"--"	"--"	"--"	"--"	"15.4"	"--"	"ZDD25362"	"--"	"Glycine max L. Merrill(大豆)"	"扁圆"	"--"	"--"	"--"	"--"	"白"	"18.2"	"--"	"44.0"	"无"	"--"	"--"	"--"	"--"	"直立"	"中国农业科学院作物科学研究所"	"--"	"--"	"--"	"--"	"卵圆"	"黄"	"--"	"--"	"--"	"黄"	"--"	"--"	"Glycine(大豆属)"	"棕"	"--"	"--"	"62.5"	"--"	"--"	"--"
"2"	"--"	"Leguminosae(豆科)"	"--"	"ZP661-pst1"	"--"	"黑"	"--"	"--"	"--"	"--"	"6/中-10/中"	"中国农科院作科所诱变育成"	"夏"	"--"	"130"	"--"	"ZP661-pst1"	"--"	"--"	"--"	"--"	"20.0"	"--"	"ZDD25365"	"--"	"Glycine max L. Merrill(大豆)"	"扁圆"	"--"	"--"	"--"	"--"	"白"	"19.4"	"--"	"43.0"	"无"	"--"	"--"	"--"	"--"	"直立"	"中国农科院作科所（179）"	"--"	"--"	"--"	"--"	"卵圆"	"黄"	"中国农科院作科所诱变育成"	"--"	"--"	"黄"	"--"	"--"	"Glycine(大豆属)"	"棕"	"--"	"--"	"45.0"	"--"	"--"	"--"
"3"	"--"	"Leguminosae(豆科)"	"--"	"ZP611-it1"	"--"	"淡褐"	"--"	"--"	"--"	"--"	"6/上-10/中"	"中国农科院作科所诱变育种"	"夏"	"--"	"120"	"--"	"ZP611-it1"	"--"	"--"	"--"	"--"	"16.2"	"--"	"ZDD25366"	"--"	"Glycine max L. Merrill(大豆)"	"扁"	"--"	"--"	"--"	"--"	"白"	"19.1"	"--"	"42.2"	"亚"	"--"	"--"	"--"	"--"	"直立"	"中国农科院作科所（180）"	"--"	"--"	"--"	"--"	"椭圆"	"黄"	"中国农科院作科所诱变育种"	"--"	"--"	"黄"	"--"	"--"	"Glycine(大豆属)"	"棕"	"--"	"--"	"70.2"	"--"	"--"	"--"
"4"	"--"	"Leguminosae(豆科)"	"--"	"Clark-L1"	"--"	"黑"	"--"	"--"	"--"	"--"	"5/上-9/下"	"美国"	"春"	"--"	"141"	"--"	"克拉克(L1)"	"--"	"国外"	"--"	"--"	"17.1"	"--"	"WDD00001"	"--"	"Glycine max L. Merrill(大豆)"	"椭圆"	"--"	"--"	"--"	"--"	"紫"	"20.6"	"--"	"39.8"	"无"	"--"	"--"	"--"	"I2A05099"	"直立"	"中国农科院品资所(001)"	"--"	"--"	"--"	"--"	"长卵"	"黄"	"--"	"--"	"--"	"黄"	"--"	"--"	"Glycine(大豆属)"	"棕"	"--"	"--"	"143.0"	"--"	"--"	"--"
"5"	"--"	"Leguminosae(豆科)"	"--"	"L70-4170"	"--"	"黑"	"--"	"--"	"--"	"--"	"5/上-9/下"	"美国"	"春"	"--"	"141"	"--"	"--"	"--"	"国外"	"--"	"--"	"16.2"	"--"	"WDD00002"	"--"	"Glycine max L. Merrill(大豆)"	"椭圆"	"--"	"--"	"--"	"--"	"紫"	"21.7"	"--"	"38.6"	"无"	"--"	"--"	"--"	"I2A05100"	"直立"	"中国农科院品资所(002)"	"--"	"--"	"--"	"--"	"卵圆"	"黄"	"基因型 Rpm"	"--"	"--"	"黄"	"--"	"--"	"Glycine(大豆属)"	"棕"	"--"	"--"	"150.0"	"--"	"--"	"--"
"6"	"--"	"Leguminosae(豆科)"	"--"	"L61-4222"	"--"	"黑"	"--"	"--"	"--"	"--"	"5/上-9/下"	"美国"	"春"	"--"	"141"	"--"	"--"	"--"	"国外"	"--"	"--"	"16.5"	"--"	"WDD00003"	"--"	"Glycine max L. Merrill(大豆)"	"椭圆"	"--"	"--"	"--"	"--"	"紫"	"21.7"	"--"	"38.5"	"无"	"--"	"--"	"--"	"I2A05101"	"直立"	"中国农科院品资所(003)"	"--"	"--"	"--"	"--"	"卵圆"	"黄"	"基因型 Rps1"	"--"	"--"	"黄"	"--"	"--"	"Glycine(大豆属)"	"棕"	"--"	"--"	"140.0"	"--"	"--"	"--"
"7"	"--"	"Leguminosae(豆科)"	"--"	"L66-180"	"--"	"黑"	"--"	"--"	"--"	"--"	"5/上-9/下"	"美国"	"春"	"--"	"141"	"--"	"--"	"--"	"国外"	"--"	"--"	"15.8"	"--"	"WDD00004"	"--"	"Glycine max L. Merrill(大豆)"	"椭圆"	"--"	"--"	"--"	"--"	"紫"	"21.6"	"--"	"38.5"	"无"	"--"	"--"	"--"	"I2A05102"	"直立"	"中国农科院品资所(004)"	"--"	"--"	"--"	"--"	"卵圆"	"黄"	"基因型 Rps1"	"--"	"--"	"黄"	"--"	"--"	"Glycine(大豆属)"	"棕"	"--"	"--"	"144.0"	"--"	"--"	"--"
"8"	"--"	"Leguminosae(豆科)"	"--"	"L61-4180"	"--"	"黑"	"--"	"--"	"--"	"--"	"5/上-9/下"	"美国"	"春"	"--"	"141"	"--"	"--"	"--"	"国外"	"--"	"--"	"15.4"	"--"	"WDD00005"	"--"	"Glycine max L. Merrill(大豆)"	"椭圆"	"--"	"--"	"--"	"--"	"紫"	"21.7"	"--"	"39.0"	"无"	"--"	"--"	"--"	"I2A05103"	"直立"	"中国农科院品资所(005)"	"--"	"--"	"--"	"--"	"卵圆"	"黄"	"基因型 rxp"	"--"	"--"	"黄"	"--"	"--"	"Glycine(大豆属)"	"棕"	"--"	"--"	"128.0"	"--"	"--"	"--"
"9"	"--"	"Leguminosae(豆科)"	"--"	"L61-5448"	"--"	"黑"	"--"	"--"	"--"	"--"	"5/上-9/下"	"美国"	"春"	"--"	"141"	"--"	"--"	"--"	"国外"	"--"	"--"	"15.8"	"--"	"WDD00006"	"--"	"Glycine max L. Merrill(大豆)"	"椭圆"	"--"	"--"	"--"	"--"	"紫"	"21.5"	"--"	"38.5"	"无"	"--"	"--"	"--"	"I2A05104"	"直立"	"中国农科院品资所(006)"	"--"	"--"	"--"	"--"	"卵圆"	"黄"	"基因型 Rps1rxp"	"--"	"--"	"黄"	"--"	"--"	"Glycine(大豆属)"	"棕"	"--"	"--"	"132.0"	"--"	"--"	"--"
"10"	"--"	"Leguminosae(豆科)"	"--"	"L60-246(Clark63)"	"--"	"黑"	"--"	"--"	"--"	"--"	"5/上-9/下"	"美国"	"春"	"--"	"142"	"--"	"克拉克63"	"--"	"国外"	"--"	"--"	"15.5"	"--"	"WDD00007"	"--"	"Glycine max L. Merrill(大豆)"	"椭圆"	"--"	"--"	"--"	"--"	"紫"	"21.6"	"--"	"37.4"	"无"	"--"	"--"	"--"	"I2A05105"	"直立"	"中国农科院品资所(007)"	"--"	"--"	"--"	"--"	"卵圆"	"黄"	"基因型 Rps rxp"	"--"	"--"	"黄"	"--"	"--"	"Glycine(大豆属)"	"棕"	"--"	"--"	"133.0"	"--"	"--"	"--"
"11"	"--"	"Leguminosae(豆科)"	"--"	"L65-1255"	"--"	"黑"	"--"	"--"	"--"	"--"	"5/上-9/下"	"美国"	"春"	"--"	"142"	"--"	"--"	"--"	"国外"	"--"	"--"	"17.8"	"--"	"WDD00008"	"--"	"Glycine max L. Merrill(大豆)"	"椭圆"	"--"	"--"	"--"	"--"	"紫"	"21.1"	"--"	"39.3"	"无"	"--"	"--"	"--"	"I2A05106"	"直立"	"中国农科院品资所(008)"	"--"	"--"	"--"	"--"	"卵圆"	"黄"	"基因型 fe"	"--"	"--"	"黄"	"--"	"--"	"Glycine(大豆属)"	"棕"	"--"	"--"	"125.0"	"--"	"--"	"--"
"12"	"--"	"Leguminosae(豆科)"	"--"	"L63-1677"	"--"	"黑"	"--"	"--"	"--"	"--"	"5/上-9/下"	"美国"	"春"	"--"	"142"	"--"	"--"	"--"	"国外"	"--"	"--"	"16.2"	"--"	"WDD00009"	"--"	"Glycine max L. Merrill(大豆)"	"椭圆"	"--"	"--"	"--"	"--"	"紫"	"20.5"	"--"	"40.6"	"无"	"--"	"--"	"--"	"I2A05107"	"直立"	"中国农科院品资所(009)"	"--"	"--"	"--"	"--"	"卵圆"	"黄"	"基因型 Np"	"--"	"--"	"黄"	"--"	"--"	"Glycine(大豆属)"	"棕"	"--"	"--"	"150.0"	"--"	"--"	"--"
"13"	"--"	"Leguminosae(豆科)"	"--"	"L64-2709"	"--"	"黑"	"--"	"--"	"--"	"--"	"5/上-9/下"	"美国"	"春"	"--"	"142"	"--"	"--"	"--"	"国外"	"--"	"--"	"15.9"	"--"	"WDD00010"	"--"	"Glycine max L. Merrill(大豆)"	"椭圆"	"--"	"--"	"--"	"--"	"紫"	"21.0"	"--"	"39.0"	"无"	"--"	"--"	"--"	"I2A05108"	"直立"	"中国农科院品资所(010)"	"--"	"--"	"--"	"--"	"卵圆"	"黄"	"基因型蠳p"	"--"	"--"	"黄"	"--"	"--"	"Glycine(大豆属)"	"棕"	"--"	"--"	"125.0"	"--"	"--"	"--"
