"id"	"科名"	"种子含油率"	"保存编号"	"库编号"	"原产地"	"种子来源"	"叶色"	"备注"	"种子成熟期"	"纤维强力"	"种子亩产"	"学名"	"纤维亩产"	"纤维长度"	"省"	"干茎出麻率"	"译名"	"下胚轴色"	"叶大小"	"品种名称"	"开花期"	"播种期"	"属名"	"统一编号"	"保存单位"	"叶跳甲"	"采麻收刈期"	"幼苗心叶色"	"种千粒重"	"株高"	"种皮花纹"	"种皮色"	"纤维厚度"	"出苗期"
"1"	"Moraceae(桑科)"	"28.2"	"00000001"	"I3E00001"	"云南沧源"	"云南沧源"	"绿"	"--"	"11月中旬"	"86.2"	"60"	"Cannabis sativa L.(大麻)"	"80"	"120.0"	"云南"	"17.0"	"cangyuan"	"紫"	"大"	"沧源"	"8月中旬"	"4月中旬"	"Cannabis(大麻属)"	"00000001"	"黑省农科院经作所"	"中"	"8月中旬"	"淡绿"	"36.7"	"250"	"不明显"	"褐"	"11.9"	"4月中旬"
"2"	"Moraceae(桑科)"	"28.0"	"00000002"	"I3E00002"	"云南耿马"	"云南耿马"	"碧绿"	"--"	"11月中旬"	"85.0"	"60"	"Cannabis sativa L.(大麻)"	"80"	"124.0"	"云南"	"17.8"	"gengma"	"紫"	"大"	"耿马"	"8月中旬"	"4月中旬"	"Cannabis(大麻属)"	"00000002"	"黑省农科院经作所"	"中"	"8月中旬"	"淡绿"	"36.5"	"250"	"不明显"	"褐"	"11.4"	"4月中旬"
"3"	"Moraceae(桑科)"	"27.8"	"00000003"	"I3E00003"	"云南临沧"	"云南临沧"	"碧绿"	"--"	"11月中旬"	"85.2"	"60"	"Cannabis sativa L.(大麻)"	"80"	"123.1"	"云南"	"17.2"	"lincang"	"紫"	"大"	"临沧"	"8月中旬"	"4月中旬"	"Cannabis(大麻属)"	"00000003"	"黑省农科院经作所"	"中"	"8月中旬"	"淡绿"	"36.6"	"250"	"不明显"	"黄褐"	"11.3"	"4月中旬"
"4"	"Moraceae(桑科)"	"26.4"	"00000004"	"I3E00004"	"云南镇康"	"云南镇康"	"碧绿"	"--"	"11月中旬"	"84.3"	"60"	"Cannabis sativa L.(大麻)"	"80"	"121.2"	"云南"	"18.2"	"kang"	"紫"	"大"	"镇康"	"8月中旬"	"4月中旬"	"Cannabis(大麻属)"	"00000004"	"黑省农科院经作所"	"中"	"8月中旬"	"灰紫"	"32.4"	"250"	"不明显"	"褐"	"10.8"	"4月中旬"
"5"	"Moraceae(桑科)"	"30.1"	"00000005"	"I3E00005"	"云南云县"	"云南云县"	"绿"	"--"	"11月中旬"	"85.4"	"60"	"Cannabis sativa L.(大麻)"	"80"	"120.4"	"云南"	"17.4"	"yunxian"	"紫"	"中"	"云县"	"8月中旬"	"4月中旬"	"Cannabis(大麻属)"	"00000005"	"黑省农科院经作所"	"中"	"8月中旬"	"淡绿"	"28.4"	"250"	"不明显"	"褐"	"10.5"	"4月中旬"
"6"	"Moraceae(桑科)"	"30.2"	"00000006"	"I3E00006"	"云南楚雄"	"云南楚雄"	"绿"	"--"	"11月中旬"	"86.0"	"60"	"Cannabis sativa L.(大麻)"	"70"	"120.3"	"云南"	"17.0"	"xiong"	"紫"	"中"	"楚雄"	"8月中旬"	"4月中旬"	"Cannabis(大麻属)"	"00000006"	"黑省农科院经作所"	"中"	"8月中旬"	"淡绿"	"25.6"	"250"	"不明显"	"褐"	"11.0"	"4月中旬"
"7"	"Moraceae(桑科)"	"34.0"	"00000007"	"I3E00007"	"云南弥渡"	"云南弥渡"	"浓绿"	"--"	"11月中旬"	"85.3"	"60"	"Cannabis sativa L.(大麻)"	"70"	"121.2"	"云南"	"19.1"	"midu"	"紫"	"大"	"弥渡"	"8月上旬"	"4月上旬"	"Cannabis(大麻属)"	"00000007"	"黑省农科院经作所"	"中"	"8月上旬"	"淡绿"	"29.3"	"250"	"不明显"	"褐"	"11.6"	"4月中旬"
"8"	"Moraceae(桑科)"	"32.3"	"00000008"	"I3E00008"	"云南姚安"	"云南姚安"	"碧绿"	"--"	"11月中旬"	"85.2"	"60"	"Cannabis sativa L.(大麻)"	"80"	"121.4"	"云南"	"17.6"	"yaoan"	"紫"	"小"	"姚安"	"8月上旬"	"4月上旬"	"Cannabis(大麻属)"	"00000008"	"黑省农科院经作所"	"中"	"8月上旬"	"淡绿"	"27.7"	"250"	"不明显"	"褐"	"11.1"	"4月中旬"
"9"	"Moraceae(桑科)"	"31.0"	"00000009"	"I3E00009"	"云南武定"	"云南武定"	"浓绿"	"--"	"11月中旬"	"84.8"	"60"	"Cannabis sativa L.(大麻)"	"80"	"124.3"	"云南"	"19.1"	"wuding"	"紫"	"大"	"武定"	"8月上旬"	"4月上旬"	"Cannabis(大麻属)"	"00000009"	"黑省农科院经作所"	"中"	"8月上旬"	"淡绿"	"27.6"	"250"	"不明显"	"褐"	"11.2"	"4月中旬"
"10"	"Moraceae(桑科)"	"31.3"	"00000010"	"I3E00010"	"云南祥云"	"云南祥云"	"绿"	"--"	"11月中旬"	"84.7"	"60"	"Cannabis sativa L.(大麻)"	"70"	"120.1"	"云南"	"17.4"	"xiangyun"	"紫"	"大"	"祥云"	"8月上旬"	"4月上旬"	"Cannabis(大麻属)"	"00000010"	"黑省农科院经作所"	"中"	"8月上旬"	"淡绿"	"26.0"	"250"	"不明显"	"灰褐"	"10.9"	"4月中旬"
