"id"	"蛋氨酸"	"科名"	"保存编号"	"品种名称"	"谷氨酸"	"播种期"	"结荚习性"	"精氨酸"	"丙氨酸"	"单株产量"	"总和"	"天冬氨酸"	"异亮氨酸"	"省"	"色氨酸"	"脂肪"	"组氨酸"	"分枝数"	"全生育日数"	"样品类型"	"总淀粉"	"百粒重"	"苏氨酸"	"统一编号"	"苯丙氨酸"	"学名"	"粒形"	"胱氨酸"	"支链淀粉"	"花色"	"成熟期"	"蛋白质"	"属名"	"亮氨酸"	"库编号"	"生长习性"	"保存单位"	"原产地"	"甘氨酸"	"单荚粒数"	"缬氨酸"	"直链淀粉"	"单株荚数"	"粒色"	"酩氨酸"	"脯氨酸"	"赖氨酸"	"荚长"	"丝氨酸"	"译名"	"荚色"	"种子来源"	"株高"
"1"	"--"	"Leguminosae(豆科)"	"226"	"黑力马扁豆"	"--"	"3.14"	"无限"	"--"	"--"	"1.2"	"--"	"--"	"--"	"山西"	"--"	"--"	"--"	"9.4"	"119"	"地方"	"--"	"2.2"	"--"	"A0000001"	"--"	"Lens culinaris Medic.(小扁豆)"	"扁圆"	"--"	"--"	"浅紫"	"7.11"	"--"	"Lens(小扁豆属)"	"--"	"I2H00127"	"蔓生"	"山西农科院品资室"	"灵丘县"	"--"	"1.8"	"--"	"--"	"21.2"	"浅红"	"--"	"--"	"--"	"1.1"	"--"	"HEI LI MA BIAN DOU"	"黄白"	"--"	"37.4"
"2"	"--"	"Leguminosae(豆科)"	"222"	"小花扁豆"	"--"	"3.14"	"无限"	"--"	"--"	"1.1"	"--"	"--"	"--"	"山西"	"--"	"--"	"--"	"10.8"	"119"	"地方"	"--"	"2.6"	"--"	"A0000002"	"--"	"Lens culinaris Medic.(小扁豆)"	"扁圆"	"--"	"--"	"浅紫"	"7.11"	"--"	"Lens(小扁豆属)"	"--"	"I2H00530"	"蔓生"	"山西农科院品资室"	"应县"	"--"	"1.8"	"--"	"--"	"28.1"	"浅红"	"--"	"--"	"--"	"1.3"	"--"	"XIAO HUA BIAN DOU"	"黄白"	"--"	"36.2"
"3"	"--"	"Leguminosae(豆科)"	"220"	"大力马扁豆"	"--"	"3.14"	"无限"	"--"	"--"	"1.1"	"--"	"--"	"--"	"山西"	"--"	"--"	"--"	"6.9"	"117"	"地方"	"--"	"2.4"	"--"	"A0000003"	"--"	"Lens culinaris Medic.(小扁豆)"	"扁圆"	"--"	"--"	"浅紫"	"7.09"	"--"	"Lens(小扁豆属)"	"--"	"I2H00531"	"蔓生"	"山西农科院品资室"	"左云县"	"--"	"1.7"	"--"	"--"	"23.0"	"浅红"	"--"	"--"	"--"	"1.1"	"--"	"DA LI MA BIAN DOU"	"黄白"	"--"	"36.5"
"4"	"--"	"Leguminosae(豆科)"	"192"	"花扁豆"	"--"	"3.14"	"无限"	"--"	"--"	"1.2"	"--"	"--"	"--"	"山西"	"--"	"--"	"--"	"8.3"	"111"	"地方"	"--"	"2.4"	"--"	"A0000004"	"--"	"Lens culinaris Medic.(小扁豆)"	"扁圆"	"--"	"--"	"浅紫"	"7.03"	"--"	"Lens(小扁豆属)"	"--"	"I2H00544"	"蔓生"	"山西农科院品资室"	"原平县"	"--"	"1.8"	"--"	"--"	"22.3"	"浅红"	"--"	"--"	"--"	"1.0"	"--"	"HUA BIAN DOU"	"黄白"	"--"	"35.2"
"5"	"--"	"Leguminosae(豆科)"	"193"	"白扁豆"	"--"	"3.14"	"无限"	"--"	"--"	"1.2"	"--"	"--"	"--"	"山西"	"--"	"--"	"--"	"4.8"	"111"	"地方"	"--"	"2.5"	"--"	"A0000005"	"--"	"Lens culinaris Medic.(小扁豆)"	"扁圆"	"--"	"--"	"浅紫"	"7.03"	"--"	"Lens(小扁豆属)"	"--"	"I2H00532"	"蔓生"	"山西农科院品资室"	"原平县"	"--"	"1.7"	"--"	"--"	"23.7"	"浅红"	"--"	"--"	"--"	"1.1"	"--"	"BAI BIAN DOU"	"黄白"	"--"	"35.0"
"6"	"--"	"Leguminosae(豆科)"	"80-94"	"扁豆"	"--"	"3.18"	"无限"	"--"	"--"	"4.5"	"--"	"--"	"--"	"山西"	"--"	"--"	"--"	"9.9"	"117"	"地方"	"--"	"2.5"	"--"	"A0000006"	"--"	"Lens culinaris Medic.(小扁豆)"	"扁圆"	"--"	"--"	"浅紫"	"7.13"	"--"	"Lens(小扁豆属)"	"--"	"I2H00128"	"蔓生"	"山西农科院品资室"	"代县"	"--"	"1.8"	"--"	"--"	"126.7"	"浅红"	"--"	"--"	"--"	"1.4"	"--"	"BIAN DOU"	"黄白"	"--"	"52.3"
"7"	"--"	"Leguminosae(豆科)"	"195"	"白扁豆"	"--"	"3.14"	"无限"	"--"	"--"	"0.3"	"--"	"--"	"--"	"山西"	"--"	"--"	"--"	"5.3"	"115"	"地方"	"--"	"2.5"	"--"	"A0000007"	"--"	"Lens culinaris Medic.(小扁豆)"	"扁圆"	"--"	"--"	"浅紫"	"7.07"	"--"	"Lens(小扁豆属)"	"--"	"I2H00129"	"蔓生"	"山西农科院品资室"	"代县"	"--"	"1.9"	"--"	"--"	"16.5"	"浅红"	"--"	"--"	"--"	"1.2"	"--"	"BAI BIAN DOU"	"黄白"	"--"	"37.2"
"8"	"--"	"Leguminosae(豆科)"	"196"	"扁豆"	"--"	"3.14"	"无限"	"--"	"--"	"1.1"	"--"	"--"	"--"	"山西"	"--"	"--"	"--"	"7.0"	"111"	"地方"	"--"	"2.4"	"--"	"A0000008"	"--"	"Lens culinaris Medic.(小扁豆)"	"扁圆"	"--"	"--"	"浅紫"	"7.03"	"--"	"Lens(小扁豆属)"	"--"	"I2H00469"	"蔓生"	"山西农科院品资室"	"代县"	"--"	"1.6"	"--"	"--"	"23.8"	"浅红"	"--"	"--"	"--"	"1.8"	"--"	"BIAN DOU"	"黄白"	"--"	"33.3"
"9"	"--"	"Leguminosae(豆科)"	"197"	"扁豆"	"--"	"3.14"	"无限"	"--"	"--"	"1.2"	"--"	"--"	"--"	"山西"	"--"	"--"	"--"	"5.6"	"115"	"地方"	"--"	"2.3"	"--"	"A0000009"	"--"	"Lens culinaris Medic.(小扁豆)"	"扁圆"	"--"	"--"	"浅紫"	"7.07"	"--"	"Lens(小扁豆属)"	"--"	"I2H00533"	"蔓生"	"山西农科院品资室"	"五台县"	"--"	"1.7"	"--"	"--"	"28.1"	"浅红"	"--"	"--"	"--"	"1.1"	"--"	"BIAN DOU"	"黄白"	"--"	"35.2"
"10"	"--"	"Leguminosae(豆科)"	"80-103"	"扁豆"	"--"	"3.18"	"无限"	"--"	"--"	"3.1"	"--"	"--"	"--"	"山西"	"--"	"--"	"--"	"9.6"	"115"	"地方"	"--"	"2.1"	"--"	"A0000010"	"--"	"Lens culinaris Medic.(小扁豆)"	"扁圆"	"--"	"--"	"浅紫"	"7.11"	"--"	"Lens(小扁豆属)"	"--"	"I2H00130"	"蔓生"	"山西农科院品资室"	"五台县"	"--"	"1.7"	"--"	"--"	"109.4"	"浅红"	"--"	"--"	"--"	"1.3"	"--"	"BIAN DOU"	"黄白"	"--"	"50.9"
