"id"	"蛋氨酸"	"科名"	"保存编号"	"品种名称"	"谷氨酸"	"选育单位"	"播种期"	"缬氨酸"	"结荚习性"	"精氨酸"	"苏氨酸"	"丙氨酸"	"单株产量"	"总和"	"苗期耐盐"	"天冬氨酸"	"异亮氨酸"	"锈病普遍率"	"省"	"直链淀粉"	"脂肪"	"组氨酸"	"芽期抗寒"	"分枝数"	"区"	"全生育日数"	"叶斑病级"	"总淀粉"	"东经"	"色氨酸"	"百粒重"	"属名"	"统一编号"	"芽期抗旱"	"学名"	"粒形"	"苯丙氨酸"	"熟期抗旱"	"支链淀粉"	"花色"	"成熟期"	"蛋白质"	"北纬"	"亮氨酸"	"库编号"	"锈病抗性"	"生长习性"	"保存单位"	"原产地"	"备注"	"蚜害指数"	"甘氨酸"	"单荚粒数"	"蚜害病评价"	"胱氨酸"	"样品类型"	"芽期耐盐"	"单株荚数"	"粒色"	"锈病严重度"	"育成年份"	"酩氨酸"	"脯氨酸"	"叶斑病指数"	"荚长"	"赖氨酸"	"丝氨酸"	"译名"	"蚜害病级别"	"花期抗寒"	"高程"	"荚色"	"蚜害比值"	"种子来源"	"株高"	"叶斑病评价"	"锈病指数"	"主茎节数"	"酪氨酸"	"抗旱级别"	"爆裂率"	"谷锈严重度"	"粗蛋白"	"单位编号"	"白发病病率"	"VE"	"米色"	"VB2"	"白发病抗性"	"线虫病指"	"脂肪酸183"	"抽穗日数"	"一株茎数"	"粟芒蝇评价"	"主茎长度"	"粗脂肪"	"抗旱性"	"主茎直径"	"硒"	"蝇被害株率"	"蝇抗性级别"	"单株粒重"	"脂肪酸160"	"粳糯性"
"1"	"--"	"Leguminosae(豆科)"	"E0942"	"京小1"	"--"	"--"	"5.17"	"--"	"无限"	"--"	"--"	"--"	"8.0"	"--"	"4"	"--"	"--"	"90"	"北京"	"10.71"	"0.71"	"--"	"--"	"3.7"	"华北"	"134"	"7"	"50.19"	"11617"	"--"	"9.2"	"Vigna(豇豆属)"	"B0000001"	"5"	"Vigna angularis (Willd)Ohwi&Ohashi(小豆)"	"短圆柱"	"--"	"5"	"39.48"	"黄"	"9.28"	"25.06"	"3959"	"--"	"I2F00459"	"S"	"半蔓生"	"中国农科院品资所"	"中国农科院作物所"	"--"	"100.0"	"--"	"6.4"	"HS"	"--"	"地方"	"5"	"20.0"	"红"	"40"	"--"	"--"	"--"	"70.0"	"6.3"	"--"	"--"	"JING XIAO 1"	"9"	"--"	"46"	"黄白"	"1.20"	"--"	"113.8"	"S"	"36"																											
"2"	"0.10"	"Leguminosae(豆科)"	"E0943"	"京小2"	"4.83"	"--"	"6.24"	"1.47"	"无限"	"1.84"	"0.90"	"1.06"	"3.0"	"24.90"	"--"	"3.04"	"1.05"	"--"	"北京"	"11.46"	"0.60"	"0.68"	"--"	"4.0"	"华北"	"81"	"--"	"50.36"	"11617"	"0.16"	"7.6"	"Vigna(豇豆属)"	"B0000002"	"--"	"Vigna angularis (Willd)Ohwi&Ohashi(小豆)"	"短圆柱"	"1.69"	"--"	"38.90"	"黄"	"9.13"	"25.08"	"3959"	"2.06"	"I2F00460"	"--"	"直立"	"中国农科院品资所"	"中国农科院作物所"	"--"	"--"	"0.98"	"6.4"	"HS"	"0.54"	"地方"	"--"	"11.6"	"红"	"--"	"--"	"0.53"	"0.73"	"--"	"6.5"	"1.98"	"1.26"	"JING XIAO 2"	"9"	"--"	"46"	"黄白"	"--"	"--"	"36.8"	"--"	"--"																											
"4"	"--"	"Leguminosae(豆科)"	"E0945"	"京小4"	"--"	"--"	"6.24"	"--"	"无限"	"--"	"--"	"--"	"5.0"	"--"	"3"	"--"	"--"	"100"	"北京"	"11.60"	"0.59"	"--"	"--"	"3.6"	"华北"	"81"	"7-9"	"51.79"	"11617"	"--"	"7.7"	"Vigna(豇豆属)"	"B0000004"	"5"	"Vigna angularis (Willd)Ohwi&Ohashi(小豆)"	"长圆柱"	"--"	"4"	"40.19"	"黄"	"9.13"	"24.24"	"3959"	"--"	"I2F00462"	"HS"	"直立"	"中国农科院品资所"	"中国农科院作物所"	"--"	"100.0"	"--"	"5.1"	"HS"	"--"	"地方"	"4"	"12.4"	"红"	"100"	"--"	"--"	"--"	"90.0"	"7.3"	"--"	"--"	"JING XIAO 4"	"9"	"--"	"46"	"黄白"	"1.20"	"--"	"42.0"	"HS"	"100"																											
"5"	"--"	"Leguminosae(豆科)"	"86-4"	"82-64C"	"--"		"3.11"	"--"	"无限"	"--"	"--"	"--"	"15.7"	"--"		"--"	"--"		"国外"	"--"	"--"	"--"		"6.8"		"137"		"--"		"--"	"36.6"	"Cicer(鹰嘴豆属)"	"L0000292"		"Cicer arietinum L.(鹰嘴豆)"	"桃形"	"--"		"--"	"白"	"7.26"	"--"		"--"	"--"		"半匍"	"山西农科院品资所"	"--"	"--"		"--"	"1.1"		"--"	"国外"		"39.0"	"黄"				"--"		"2.3"	"--"	"--"	"82-64C"				"黄"		"ICARDA"	"52.2"				"--"																									
"6"	"--"	"Leguminosae(豆科)"	"E0947"	"京小6"	"--"	"--"	"6.24"	"--"	"无限"	"--"	"--"	"--"	"5.0"	"--"	"3"	"--"	"--"	"90"	"北京"	"11.12"	"0.63"	"--"	"--"	"3.6"	"华北"	"88"	"7-9"	"50.70"	"11617"	"--"	"10.0"	"Vigna(豇豆属)"	"B0000006"	"5"	"Vigna angularis (Willd)Ohwi&Ohashi(小豆)"	"短圆柱"	"--"	"3"	"39.58"	"黄"	"9.20"	"24.79"	"3959"	"--"	"I2F00464"	"S"	"半蔓生"	"中国农科院品资所"	"中国农科院作物所"	"--"	"100.0"	"--"	"7.1"	"HS"	"--"	"地方"	"4"	"11.0"	"红"	"40"	"--"	"--"	"--"	"85.6"	"7.5"	"--"	"--"	"JING XIAO 6"	"9"	"--"	"46"	"黄白"	"1.20"	"--"	"58.4"	"HS"	"36"																											
"7"	"--"	"Leguminosae(豆科)"	"E0948"	"京小7"	"--"	"--"	"6.24"	"--"	"无限"	"--"	"--"	"--"	"5.0"	"--"	"3"	"--"	"--"	"100"	"北京"	"11.26"	"0.56"	"--"	"--"	"4.2"	"华北"	"81"	"7-9"	"51.49"	"11617"	"--"	"6.8"	"Vigna(豇豆属)"	"B0000007"	"5"	"Vigna angularis (Willd)Ohwi&Ohashi(小豆)"	"长圆柱"	"--"	"3"	"40.23"	"黄"	"9.13"	"23.85"	"3959"	"--"	"I2F00465"	"HS"	"半蔓生"	"中国农科院品资所"	"中国农科院作物所"	"--"	"100.0"	"--"	"6.5"	"HS"	"--"	"地方"	"3"	"16.2"	"红"	"100"	"--"	"--"	"--"	"88.9"	"7.2"	"--"	"--"	"JING XIAO 7"	"9"	"--"	"46"	"黄白"	"1.20"	"--"	"45.0"	"HS"	"100"																											
"8"	"--"	"Leguminosae(豆科)"	"E0949"	"京小8"	"--"	"--"	"6.24"	"--"	"无限"	"--"	"--"	"--"	"6.0"	"--"	"4"	"--"	"--"	"100"	"北京"	"11.94"	"0.55"	"--"	"--"	"3.2"	"华北"	"85"	"7-9"	"52.33"	"11617"	"--"	"9.0"	"Vigna(豇豆属)"	"B0000008"	"5"	"Vigna angularis (Willd)Ohwi&Ohashi(小豆)"	"短圆柱"	"--"	"3"	"40.39"	"黄"	"9.17"	"24.05"	"3959"	"--"	"I2F00466"	"HS"	"直立"	"中国农科院品资所"	"中国农科院作物所"	"--"	"100.0"	"--"	"7.3"	"HS"	"--"	"地方"	"4"	"18.8"	"红"	"100"	"--"	"--"	"--"	"91.1"	"7.5"	"--"	"--"	"JING XIAO 8"	"9"	"--"	"46"	"黄白"	"1.20"	"--"	"44.0"	"HS"	"100"																											
"10"	"--"	"Leguminosae(豆科)"	"E0953"	"京小12"	"--"	"--"	"6.24"	"--"	"无限"	"--"	"--"	"--"	"5.0"	"--"	"4"	"--"	"--"	"100"	"北京"	"9.96"	"0.58"	"--"	"--"	"3.4"	"华北"	"81"	"7-9"	"48.49"	"11617"	"--"	"6.2"	"Vigna(豇豆属)"	"B0000012"	"4"	"Vigna angularis (Willd)Ohwi&Ohashi(小豆)"	"短圆柱"	"--"	"4"	"38.53"	"黄"	"9.13"	"24.77"	"3959"	"--"	"I2F00470"	"S"	"半蔓生"	"中国农科院品资所"	"中国农科院作物所"	"--"	"64.1"	"--"	"6.9"	"HS"	"--"	"地方"	"4"	"19.6"	"红"	"40"	"--"	"--"	"--"	"85.5"	"6.2"	"--"	"--"	"JING XIAO 12"	"9"	"--"	"46"	"褐"	"0.76"	"--"	"49.4"	"HS"	"40"																											
"11"	"--"	"Leguminosae(豆科)"	"E0954"	"京小13"	"--"	"--"	"6.24"	"--"	"无限"	"--"	"--"	"--"	"7.0"	"--"	"3"	"--"	"--"	"100"	"北京"	"12.08"	"0.55"	"--"	"--"	"4.0"	"华北"	"81"	"3-5"	"52.79"	"11617"	"--"	"8.0"	"Vigna(豇豆属)"	"B0000013"	"5"	"Vigna angularis (Willd)Ohwi&Ohashi(小豆)"	"短圆柱"	"--"	"3"	"40.71"	"黄"	"9.13"	"23.36"	"3959"	"--"	"I2F00471"	"HS"	"半蔓生"	"中国农科院品资所"	"中国农科院作物所"	"--"	"76.6"	"--"	"7.6"	"HS"	"--"	"地方"	"4"	"18.2"	"红"	"100"	"--"	"--"	"--"	"40.8"	"7.5"	"--"	"--"	"JING XIAO 13"	"9"	"--"	"46"	"黄白"	"0.91"	"--"	"53.4"	"MS"	"100"																											
"12"	"--"	"Leguminosae(豆科)"	"E0955"	"京小14"	"--"	"--"	"6.24"	"--"	"无限"	"--"	"--"	"--"	"6.6"	"--"	"4"	"--"	"--"	"100"	"北京"	"9.96"	"0.53"	"--"	"--"	"3.0"	"华北"	"81"	"7-9"	"48.56"	"11617"	"--"	"6.3"	"Vigna(豇豆属)"	"B0000014"	"5"	"Vigna angularis (Willd)Ohwi&Ohashi(小豆)"	"短圆柱"	"--"	"4"	"38.60"	"黄"	"9.13"	"23.59"	"3959"	"--"	"I2F00472"	"S"	"半蔓生"	"中国农科院品资所"	"中国农科院作物所"	"--"	"68.8"	"--"	"7.4"	"HS"	"--"	"地方"	"3"	"14.8"	"红"	"40"	"--"	"--"	"--"	"87.8"	"6.2"	"--"	"--"	"JING XIAO 14"	"9"	"--"	"46"	"黑白"	"0.82"	"--"	"60.0"	"HS"	"40"																											
