"id"	"熟性"	"种子来源"	"属名"	"保存编号"	"壳"	"根腐穗病级"	"引入时间"	"省"	"穗长"	"赤霉病指数"	"条锈反应型"	"赤霉病抗性"	"抽穗期"	"保存单位"	"千粒重"	"田间抗寒性"	"系谱"	"白粉反应型"	"开花期"	"秆锈普遍率"	"赖氨酸"	"赤霉病病指"	"粗蛋白"	"叶锈普遍率"	"株高"	"穗粒数"	"原编号"	"叶锈反应型"	"白粉严重度"	"条锈普遍率"	"黄矮病"	"品种名称"	"叶锈严重度"	"芒"	"赤霉病病穗"	"原产地"	"秆锈反应型"	"抗旱性"	"样品类型"	"学名"	"秆锈严重度"	"科名"	"人工抗寒性"	"收种地"	"统一编号"	"沉淀值"	"冬春性"	"库编号"	"粒"	"硬度"	"成熟期"	"条锈严重度"	"根腐叶病级"	"染色体组"
"1"	"极晚"	"东德"	"Triticum L.(小麦属)"	"--"	"白"	"R"	"--"	"国外"	"11.5"	"4.9"	"R"	"S"	"--"	"京MO 5"	"13.0"	"--"	"--"	"--"	"--"	"100"	"0.73"	"89.2"	"25.46"	"--"	"78"	"34"	"--"	"0"	"0"	"2"	"5"	"var.bornemanni"	"--"	"长"	"100.0"	"--"	"S"	"--"	"地方"	"Triticum monococcum L.(栽培一粒小麦)"	"40"	"Gramineae(禾本科)"	"--"	"--"	"XM000001"	"--"	"冬"	"I1B26916"	"红"	"--"	"--"	"2"	"MR"	
"2"	"晚"	"美国"	"Triticum L.(小麦属)"	"--"	"黑"	"MR"	"--"	"国外"	"10.5"	"--"	"--"	"--"	"--"	"京DS 4"	"28.8"	"--"	"H80-185-4"	"--"	"--"	"--"	"0.75"	"--"	"26.30"	"100"	"98"	"30"	"--"	"MS"	"--"	"--"	"--"	"var.kotchanyum"	"80"	"长"	"--"	"--"	"--"	"--"	"野生"	"Triticum dicoccoides (Koer.) Schweinf.(野生二粒小麦)"	"--"	"Gramineae(禾本科)"	"--"	"--"	"XM000002"	"--"	"春"	"I1B15099"	"红"	"--"	"--"	"--"	"S"	
"3"	"晚"	"西德"	"Triticum L.(小麦属)"	"--"	"白"	"R"	"--"	"国外"	"11.0"	"--"	"--"	"--"	"--"	"京DS 9"	"32.1"	"--"	"--"	"--"	"--"	"--"	"0.63"	"--"	"21.63"	"100"	"117"	"41"	"--"	"MS"	"--"	"--"	"--"	"var.kotschyi Abessinien"	"65"	"长"	"--"	"埃塞俄比亚"	"--"	"--"	"野生"	"Triticum dicoccoides (Koer.) Schweinf.(野生二粒小麦)"	"--"	"Gramineae(禾本科)"	"--"	"--"	"XM000003"	"--"	"春"	"I1B14473"	"白"	"--"	"--"	"--"	"MR"	
"4"	"晚"	"东德"	"Triticum L.(小麦属)"	"--"	"黑"	"--"	"--"	"国外"	"10.0"	"5.0"	"S"	"S"	"--"	"京DS 7"	"27.0"	"--"	"--"	"2"	"--"	"100"	"0.42"	"97.5"	"17.28"	"100"	"101"	"40"	"--"	"MS"	"1"	"100"	"3"	"var.spontaneonigrum"	"40"	"长"	"100.0"	"--"	"S"	"--"	"野生"	"Triticum dicoccoides (Koer.) Schweinf.(野生二粒小麦)"	"65"	"Gramineae(禾本科)"	"--"	"--"	"XM000004"	"10.4"	"春"	"--"	"红"	"--"	"--"	"25"	"R"	
"5"	"中"	"东德"	"Triticum L.(小麦属)"	"--"	"--"	"R"	"--"	"国外"	"11.0"	"5.0"	"R"	"S"	"--"	"京DS 8"	"16.9"	"--"	"--"	"2"	"--"	"100"	"0.42"	"96.7"	"15.85"	"100"	"104"	"40"	"--"	"MS"	"2"	"100"	"3"	"var.spontanes Villosum"	"80"	"长"	"100.0"	"--"	"S"	"--"	"野生"	"Triticum dicoccoides (Koer.) Schweinf.(野生二粒小麦)"	"65"	"Gramineae(禾本科)"	"--"	"--"	"XM000005"	"12.0"	"春"	"I1B14474"	"红"	"11.5"	"--"	"25"	"MS"	
"6"	"中"	"北也门"	"Triticum L.(小麦属)"	"--"	"白"	"--"	"--"	"国外"	"6.5"	"--"	"--"	"--"	"--"	"京DM 2"	"42.0"	"--"	"--"	"--"	"--"	"--"	"0.47"	"--"	"--"	"--"	"70"	"25"	"--"	"--"	"--"	"--"	"--"	"Ales"	"--"	"长"	"--"	"北也门"	"--"	"--"	"地方"	"Triticum dicoccum Schuebl.(栽培二粒小麦)"	"--"	"Gramineae(禾本科)"	"--"	"--"	"XM000006"	"24.8"	"春"	"--"	"红"	"12.0"	"--"	"--"	"--"	
"7"	"中"	"北也门"	"Triticum L.(小麦属)"	"--"	"白"	"R"	"--"	"国外"	"8.0"	"5.0"	"MS"	"S"	"--"	"京DM 3"	"42.0"	"--"	"--"	"4"	"--"	"100"	"0.38"	"94.2"	"14.57"	"100"	"70"	"20"	"--"	"MS"	"6"	"100"	"3"	"Ales"	"80"	"长"	"100.0"	"北也门"	"S"	"--"	"地方"	"Triticum dicoccum Schuebl.(栽培二粒小麦)"	"65"	"Gramineae(禾本科)"	"--"	"--"	"XM000007"	"12.0"	"春"	"I1B14475"	"红"	"10.4"	"--"	"40"	"MR"	
"8"	"晚"	"北也门"	"Triticum L.(小麦属)"	"--"	"白"	"R"	"--"	"国外"	"10.0"	"5.0"	"S"	"S"	"--"	"京DM 4"	"33.0"	"--"	"--"	"4"	"--"	"100"	"0.42"	"100.0"	"16.28"	"100"	"70"	"35"	"--"	"S"	"8"	"100"	"3"	"Amran"	"60"	"长"	"100.0"	"北也门"	"MS"	"--"	"地方"	"Triticum dicoccum Schuebl.(栽培二粒小麦)"	"40"	"Gramineae(禾本科)"	"--"	"--"	"XM000008"	"15.5"	"春"	"I1B14476"	"红"	"11.4"	"--"	"25"	"S"	
"9"	"中"	"北也门"	"Triticum L.(小麦属)"	"--"	"白"	"0"	"--"	"国外"	"10.0"	"4.9"	"S"	"S"	"--"	"京DM 6"	"25.0"	"--"	"--"	"4"	"--"	"100"	"--"	"90.0"	"--"	"100"	"75"	"37"	"--"	"S"	"6"	"10"	"6"	"Boll A"	"60"	"长"	"100.0"	"北也门"	"S"	"--"	"地方"	"Triticum dicoccum Schuebl.(栽培二粒小麦)"	"100"	"Gramineae(禾本科)"	"--"	"--"	"XM000009"	"--"	"春"	"--"	"红"	"--"	"--"	"10"	"S"	
"10"	"中"	"北也门"	"Triticum L.(小麦属)"	"--"	"白"	"--"	"--"	"国外"	"7.5"	"--"	"--"	"--"	"--"	"京DM 22"	"35.0"	"--"	"--"	"--"	"--"	"--"	"0.51"	"--"	"15.88"	"--"	"73"	"23"	"--"	"--"	"--"	"--"	"--"	"Bong A"	"--"	"长"	"--"	"北也门"	"--"	"--"	"地方"	"Triticum dicoccum Schuebl.(栽培二粒小麦)"	"--"	"Gramineae(禾本科)"	"--"	"--"	"XM000010"	"--"	"春"	"--"	"红"	"--"	"--"	"--"	"--"	
