"id"	"科名"	"生育期评价"	"品种名称"	"始果年龄"	"生育期D"	"省"	"外观评价"	"内质评价"	"早果性评价"	"总糖％"	"维生素C"	"风味"	"特异及用途"	"单果重评价"	"果实成熟期"	"肉质"	"果形"	"成熟期评价"	"总酸％"	"学名"	"统一编号"	"译名"	"单果重G"	"属名"	"色泽"	"单宁含量％"	"染色体倍数"	"原产地"	"可食率％"
"1"	"Rosaceae(蔷薇科)"	"很短"	"毛山楂"	"4"	"176"	"辽宁"	"中"	"下"	"中"		"--"	"淡甜"	"可作为矮化砧木资源"	"很小"	"8月25日"	"绵"	"近圆"	"早"		"Crataegus maximowiczii Schneid.(毛山楂)"	"SZP001"	"MAO SHAN CHA"	"0.75"	"Crataegus(山楂属)"	"深红"		"34"	"辽宁"	
"2"	"Rosaceae(蔷薇科)"	"很短"	"宁安山楂"	"4"	"177"	"黑龙"	"中"	"下"	"中"		"--"	"淡甜"	"--"	"很小"	"8月20日"	"绵"	"扁圆"	"早"		"Crataegus pinnatifide Bge.(山楂)"	"SZP002"	"NING AN SHAN CHA"	"0.78"	"Crataegus(山楂属)"	"深红"		"34"	"哈尔滨"	
"3"	"Rosaceae(蔷薇科)"	"很短"	"辽宁山楂"	"4"	"162"	"辽宁"	"中"	"下"	"中"		"--"	"淡甜"	"--"	"很小"	"9月20日"	"绵"	"扁圆"	"中"		"Crataegus sanguinea Pall.(辽宁山楂)"	"SZP003"	"LIAO NING SHAN CHA"	"1.05"	"Crataegus(山楂属)"	"橙红"		"51"	"辽宁"	
"4"	"Rosaceae(蔷薇科)"	"短"	"甘肃山楂"	"4"	"189"	"甘肃"	"中"	"下"	"中"		"--"	"淡甜"	"--"	"很小"	"9月10日"	"绵"	"近圆"	"中"		"Crataegus kansuensis Wils.(甘肃山楂)"	"SZP004"	"GAN SU SHAN CHA"	"0.40"	"Crataegus(山楂属)"	"橙红"		"34"	"甘肃"	
"5"	"Rosaceae(蔷薇科)"	"很短"	"阿尔泰山楂"	"4"	"172"	"新疆"	"差"	"下"	"中"		"--"	"淡甜"	"--"	"很小"	"9月5日"	"绵"	"近圆"	"中"		"Crataegus altaica Lange(阿尔泰山楂)"	"SZP005"	"A ER TAI SHAN CHA"	"0.48"	"Crataegus(山楂属)"	"土黄"		"68"	"新疆"	
"6"	"Rosaceae(蔷薇科)"	"很短"	"软籽山楂"	"3"	"171"	"辽宁"	"中"	"中"	"早"		"--"	"酸甜"	"--"	"很小"	"9月20日"	"松软"	"圆"	"中"		"Crataegus pinnatifide Bge.(山楂)"	"SZP006"	"RUAN ZI SHAN CHA"	"0.98"	"Crataegus(山楂属)"	"鲜红"		"34"	"辽宁开原"	
"7"	"Rosaceae(蔷薇科)"	"很短"	"软籽山楂"	"3"	"171"	"辽宁"	"中"	"中"	"早"		"--"	"酸甜"	"--"	"很小"	"9月20日"	"松软"	"圆"	"中"		"Crataegus pinnatifide Bge.(山楂)"	"SZP006"	"RUAN ZI SHAN CHA"	"0.98"	"Crataegus(山楂属)"	"鲜红"		"34"	"辽宁开原"	
"8"	"Rosaceae(蔷薇科)"	"短"	"石门山里红"	"4"	"190"	"辽宁"	"中"	"下"	"中"		"--"	"苦"	"可作为培育无籽或软籽山楂材料"	"很小"	"9月5日"	"松软"	"圆"	"中"		"Crataegus pinnatifide Bge.(山楂)"	"SZP007"	"SHI MEN SHAN LI HONG"	"1.85"	"Crataegus(山楂属)"	"深红"		"--"	"辽宁本溪"	
"9"	"Rosaceae(蔷薇科)"	"很短"	"伏里红"	"4"	"161"	"辽宁"	"中"	"中上"	"中"		"--"	"稍甜"	"三倍体品种"	"很小"	"8月17日"	"松软"	"近圆"	"早"		"Crataegus pinnatifide Bge.(山楂)"	"SZP009"	"FU LI HONG"	"2.10"	"Crataegus(山楂属)"	"鲜红"		"51"	"辽宁西丰"	
"10"	"Rosaceae(蔷薇科)"	"很短"	"左伏1号"	"4"	"168"	"吉林"	"中"	"中上"	"中"		"--"	"酸甜"	"三倍体品种"	"小"	"8月25日"	"松软"	"扁圆"	"早"		"Crataegus pinnatifide Bge.(山楂)"	"SZP010"	"ZUO FU 1 HAO"	"3.13"	"Crataegus(山楂属)"	"紫红"		"51"	"吉林左家"	
