"id"	"成熟期"	"科名"	"保存编号"	"品种名称"	"生长习性"	"保存单位"	"原产地"	"结荚习性"	"单株产量"	"百粒重"	"单荚粒数"	"样品类型"	"省"	"单株荚数"	"株高"	"分枝数"	"备注"	"库编号"	"荚长"	"播种期"	"学名"	"统一编号"	"粒色"	"译名"	"属名"	"粒形"	"荚色"	"全生育日数"	"花色"
"1"	"10.25"	"Leguminosae(豆科)"	"m0017"	"豆"	"蔓生"	"中国农科院品资所"	"北京市"	"无限"	"68.8"	"45.9"	"3.4"	"地方"	"北京"	"68.0"	"--"	"10.6"	"株高为150以上"	"I2Q00007"	"8.2"	"5.19"	"Lablab purpureus (L.) Sweet (syn. Dolichos lablab L.)(扁豆)"	"N0000001"	"黑"	"DOU"	"Lablab(扁豆属)"	"椭圆"	"黄白"	"159"	"紫"
"2"	"10.31"	"Leguminosae(豆科)"	"m0018"	"豆"	"蔓生"	"中国农科院品资所"	"北京市"	"无限"	"29.8"	"35.8"	"4.0"	"地方"	"北京"	"34.0"	"--"	"9.7"	"株高为150以上"	"I2Q00008"	"5.6"	"5.19"	"Lablab purpureus (L.) Sweet (syn. Dolichos lablab L.)(扁豆)"	"N0000002"	"黑"	"DOU"	"Lablab(扁豆属)"	"椭圆"	"黄白"	"165"	"紫"
"3"	"10.28"	"Leguminosae(豆科)"	"1"	"娥眉豆"	"蔓生"	"广西农科院品资所"	"富川县"	"无限"	"313.3"	"39.7"	"2.1"	"地方"	"广西"	"375.8"	"--"	"--"	"株高为150以上"	"I2Q00009"	"5.1"	"3.17"	"Lablab purpureus (L.) Sweet (syn. Dolichos lablab L.)(扁豆)"	"N0000003"	"黑"	"E MEI DOU"	"Lablab(扁豆属)"	"椭圆"	"黄"	"225"	"紫红"
"4"	"10.03"	"Leguminosae(豆科)"	"2"	"篱巴豆"	"蔓生"	"广西农科院品资所"	"乐业县"	"无限"	"124.5"	"33.6"	"2.6"	"地方"	"广西"	"142.8"	"--"	"--"	"株高为150以上"	"I2Q00004"	"6.0"	"3.17"	"Lablab purpureus (L.) Sweet (syn. Dolichos lablab L.)(扁豆)"	"N0000004"	"黑"	"LI BA DOU"	"Lablab(扁豆属)"	"椭圆"	"黄"	"200"	"紫红"
"5"	"11.04"	"Leguminosae(豆科)"	"3"	"秘豆"	"蔓生"	"广西农科院品资所"	"罗城县"	"无限"	"113.6"	"23.5"	"2.8"	"地方"	"广西"	"172.6"	"--"	"--"	"株高为150以上"	"I2Q00010"	"5.7"	"3.17"	"Lablab purpureus (L.) Sweet (syn. Dolichos lablab L.)(扁豆)"	"N0000005"	"褐"	"MI DOU"	"Lablab(扁豆属)"	"椭圆"	"黄"	"232"	"白"
"6"	"10.07"	"Leguminosae(豆科)"	"0803"	"鱼秋豆"	"蔓生"	"贵州贵阳市农科所"	"镇拧县"	"无限"	"38.3"	"42.0"	"3.6"	"地方"	"贵州"	"25.3"	"--"	"--"	"株高为150以上"	"I2Q00006"	"10.7"	"5.06"	"Lablab purpureus (L.) Sweet (syn. Dolichos lablab L.)(扁豆)"	"N0000006"	"褐"	"YU QIU DOU"	"Lablab(扁豆属)"	"纺锤形"	"黄"	"154"	"白"
"7"	"10.07"	"Leguminosae(豆科)"	"0802"	"荧豆"	"蔓生"	"贵州贵阳市农科所"	"兴义县"	"无限"	"99.0"	"44.7"	"4.3"	"地方"	"贵州"	"51.5"	"--"	"--"	"株高为150以上"	"I2Q00018"	"6.0"	"5.06"	"Lablab purpureus (L.) Sweet (syn. Dolichos lablab L.)(扁豆)"	"N0000007"	"褐"	"YING DOU"	"Lablab(扁豆属)"	"扁圆"	"黄"	"154"	"白"
"8"	"9.28"	"Leguminosae(豆科)"	"0801"	"中扁早"	"蔓生"	"贵州贵阳市农科所"	"麻江县"	"无限"	"57.4"	"42.4"	"3.9"	"地方"	"贵州"	"64.7"	"--"	"--"	"株高为150以上"	"I2Q00005"	"10.3"	"5.06"	"Lablab purpureus (L.) Sweet (syn. Dolichos lablab L.)(扁豆)"	"N0000008"	"褐"	"ZHONG BIAN ZAO"	"Lablab(扁豆属)"	"椭圆"	"黄"	"145"	"白"
"9"	"10.07"	"Leguminosae(豆科)"	"0804"	"荚豆"	"蔓生"	"贵州贵阳市农科所"	"贵阳市"	"无限"	"58.9"	"44.0"	"3.0"	"地方"	"贵州"	"44.6"	"--"	"--"	"株高为150以上"	"I2Q00003"	"6.6"	"5.06"	"Lablab purpureus (L.) Sweet (syn. Dolichos lablab L.)(扁豆)"	"N0000009"	"黑"	"JIA DOU"	"Lablab(扁豆属)"	"扁圆"	"黄"	"154"	"紫"
"10"	"9.23"	"Leguminosae(豆科)"	"0806"	"荚豆"	"蔓生"	"贵州贵阳市农科所"	"贵阳市"	"无限"	"31.4"	"30.6"	"4.1"	"地方"	"贵州"	"25.0"	"--"	"--"	"株高为150以上"	"I2Q00019"	"6.9"	"4.27"	"Lablab purpureus (L.) Sweet (syn. Dolichos lablab L.)(扁豆)"	"N0000010"	"黑"	"JIA DOU"	"Lablab(扁豆属)"	"扁圆"	"黄"	"140"	"紫"
