"id"	"蛋氨酸"	"科名"	"角斑病指数"	"保存编号"	"品种名称"	"谷氨酸"	"播种期"	"缬氨酸"	"天冬氨酸"	"精氨酸"	"苏氨酸"	"丙氨酸"	"单株产量"	"总和"	"蚜害病级"	"异亮氨酸"	"炭疽病级"	"炭疽病指数"	"省"	"色氨酸"	"组氨酸"	"芽期抗寒"	"分枝数"	"样品类型"	"总淀粉"	"角斑病评价"	"东经"	"百粒重"	"属名"	"统一编号"	"芽期抗旱"	"学名"	"蚜害病指数"	"苯丙氨酸"	"熟期抗旱"	"支链淀粉"	"粒形"	"花色"	"粗脂肪"	"成熟期"	"粗蛋白"	"结荚习性"	"北纬"	"亮氨酸"	"库编号"	"生长习性"	"保存单位"	"原产地"	"备注"	"甘氨酸"	"单荚粒数"	"蚜害病评价"	"胱氨酸"	"直链淀粉"	"单株荚数"	"粒色"	"酩氨酸"	"脯氨酸"	"赖氨酸"	"荚长"	"株高"	"角斑病级"	"丝氨酸"	"译名"	"高程"	"荚色"	"种子来源"	"炭疽病评价"	"全生育日数"
"1"	"--"	"Leguminosae(豆科)"	"--"	"G0036"	"芸豆"	"--"	"6.12"	"--"	"--"	"--"	"--"	"--"	"20.8"	"--"	"--"	"--"	"--"	"--"	"北京"	"--"	"--"	"--"	"6.3"	"地方"	"--"	"--"	"11600"	"26.1"	"Phaseolus(菜豆属)"	"F0000001"	"--"	"Phaseolus vulgaris L.(普通菜豆)"	"--"	"--"	"--"	"--"	"椭圆"	"白"	"--"	"10.13"	"--"	"无限"	"3942"	"--"	"I2K01591"	"蔓生"	"中国农科院"	"北京市房山县"	"--"	"--"	"5.0"	"--"	"--"	"--"	"29.3"	"红"	"--"	"--"	"--"	"8.0"	"155.0"	"--"	"--"	"YUN DOU"	"54"	"黄白"	"--"	"--"	"124"
"2"	"0.24"	"Leguminosae(豆科)"	"--"	"G0037"	"芸豆"	"4.54"	"6.12"	"1.59"	"2.88"	"2.31"	"0.84"	"0.93"	"27.7"	"24.42"	"--"	"1.19"	"--"	"--"	"北京"	"0.10"	"0.76"	"--"	"6.3"	"地方"	"44.22"	"--"	"11600"	"24.2"	"Phaseolus(菜豆属)"	"F0000002"	"--"	"Phaseolus vulgaris L.(普通菜豆)"	"--"	"1.49"	"--"	"34.36"	"椭圆"	"白"	"1.09"	"10.13"	"26.47"	"无限"	"3942"	"2.11"	"I2K01183"	"蔓生"	"中国农科院"	"北京市房山"	"--"	"1.03"	"4.8"	"--"	"0.43"	"9.86"	"47.9"	"褐"	"0.62"	"0.44"	"1.75"	"8.0"	"200.0"	"--"	"1.17"	"YUN DOU"	"54"	"黄白"	"--"	"--"	"124"
"3"	"0.29"	"Leguminosae(豆科)"	"--"	"G0394"	"芸豆"	"3.35"	"4.22"	"1.21"	"2.23"	"1.26"	"0.75"	"0.83"	"18.5"	"18.86"	"--"	"0.85"	"--"	"--"	"北京"	"0.09"	"0.52"	"--"	"3.4"	"地方"	"49.28"	"--"	"11707"	"50.6"	"Phaseolus(菜豆属)"	"F0000003"	"--"	"Phaseolus vulgaris L.(普通菜豆)"	"--"	"1.16"	"--"	"35.50"	"肾形"	"白"	"1.62"	"7.28"	"19.74"	"无限"	"4008"	"1.53"	"I2K01148"	"半蔓生"	"中国农科院"	"北京平谷县"	"--"	"0.81"	"6.2"	"--"	"0.45"	"13.78"	"12.9"	"褐"	"0.37"	"0.57"	"1.56"	"11.9"	"175.0"	"--"	"1.04"	"YUN DOU"	"29"	"黄白"	"--"	"--"	"97"
"4"	"--"	"Leguminosae(豆科)"	"--"	"80-505"	"白粒红豆"	"--"	"5.19"	"--"	"--"	"--"	"--"	"--"	"106.0"	"--"	"--"	"--"	"--"	"--"	"山西"	"--"	"--"	"--"	"4.0"	"地方"	"--"	"--"	"11248"	"30.0"	"Phaseolus(菜豆属)"	"F0000004"	"--"	"Phaseolus vulgaris L.(普通菜豆)"	"--"	"--"	"--"	"--"	"椭圆"	"白"	"--"	"10.07"	"--"	"无限"	"3455"	"--"	"I2K00604"	"蔓生"	"山西省农科院"	"孟县"	"--"	"--"	"4.8"	"--"	"--"	"--"	"86.5"	"白"	"--"	"--"	"--"	"11.2"	"340.0"	"--"	"--"	"BAI LI HONG DOU"	"115"	"黄白"	"--"	"--"	"140"
"5"	"--"	"Leguminosae(豆科)"	"--"	"80-514"	"眉豆"	"--"	"5.19"	"--"	"--"	"--"	"--"	"--"	"73.0"	"--"	"--"	"--"	"--"	"--"	"山西"	"--"	"--"	"--"	"2.0"	"地方"	"--"	"--"	"11341"	"26.0"	"Phaseolus(菜豆属)"	"F0000005"	"--"	"Phaseolus vulgaris L.(普通菜豆)"	"--"	"--"	"--"	"--"	"肾形"	"白"	"--"	"8.12"	"--"	"无限"	"3736"	"--"	"I2K00020"	"蔓生"	"山西省农科院"	"昔阳县"	"--"	"--"	"6.0"	"--"	"--"	"--"	"71.5"	"白"	"--"	"--"	"--"	"16.7"	"270.0"	"--"	"--"	"MEI DOU"	"875"	"黄白"	"--"	"--"	"84"
"6"	"--"	"Leguminosae(豆科)"	"--"	"80-517"	"小白眉豆"	"--"	"5.19"	"--"	"--"	"--"	"--"	"--"	"74.5"	"--"	"--"	"--"	"--"	"--"	"山西"	"--"	"--"	"--"	"1.5"	"地方"	"--"	"--"	"11341"	"21.8"	"Phaseolus(菜豆属)"	"F0000006"	"--"	"Phaseolus vulgaris L.(普通菜豆)"	"--"	"--"	"--"	"--"	"肾形"	"白"	"--"	"8.12"	"--"	"无限"	"3736"	"--"	"I2K00605"	"蔓生"	"山西省农科院"	"昔阳县"	"--"	"--"	"6.8"	"--"	"--"	"--"	"65.5"	"白"	"--"	"--"	"--"	"19.2"	"305.0"	"--"	"--"	"XIAO BAI MEI DOU"	"875"	"黄白"	"--"	"--"	"84"
"7"	"--"	"Leguminosae(豆科)"	"77.8"	"80-530"	"洋粒菜豆"	"--"	"5.19"	"--"	"--"	"--"	"--"	"--"	"75.0"	"--"	"--"	"--"	"--"	"--"	"山西"	"--"	"--"	"--"	"3.5"	"地方"	"--"	"S"	"11322"	"19.0"	"Phaseolus(菜豆属)"	"F0000007"	"--"	"Phaseolus vulgaris L.(普通菜豆)"	"--"	"--"	"--"	"--"	"椭圆"	"白"	"--"	"10.11"	"--"	"无限"	"3704"	"--"	"I2K00021"	"蔓生"	"山西省农科院"	"左权县"	"--"	"--"	"6.0"	"--"	"--"	"--"	"81.5"	"白"	"--"	"--"	"--"	"8.6"	"275.0"	"7"	"--"	"YANG BAI CAI DOU"	"1120"	"黄白"	"--"	"--"	"144"
"8"	"--"	"Leguminosae(豆科)"	"12.6"	"80-534"	"白菜豆"	"--"	"5.19"	"--"	"--"	"--"	"--"	"--"	"83.0"	"--"	"9"	"--"	"9"	"98.5"	"山西"	"--"	"--"	"--"	"5.0"	"地方"	"--"	"R"	"11259"	"22.5"	"Phaseolus(菜豆属)"	"F0000008"	"3"	"Phaseolus vulgaris L.(普通菜豆)"	"100.0"	"--"	"2"	"--"	"椭圆"	"白"	"--"	"10.11"	"--"	"无限"	"3704"	"--"	"I2K00022"	"蔓生"	"山西省农科院"	"榆社县"	"--"	"--"	"7.1"	"HS"	"--"	"--"	"65.5"	"白"	"--"	"--"	"--"	"11.9"	"220.0"	"1"	"--"	"BAI CAI DOU"	"1041"	"黄白"	"--"	"HS"	"144"
"9"	"--"	"Leguminosae(豆科)"	"68.9"	"80-552"	"白芒豆"	"--"	"5.19"	"--"	"--"	"--"	"--"	"--"	"69.5"	"--"	"9"	"--"	"5-9"	"83.7"	"山西"	"--"	"--"	"--"	"5.5"	"地方"	"--"	"S"	"11200"	"20.7"	"Phaseolus(菜豆属)"	"F0000009"	"3"	"Phaseolus vulgaris L.(普通菜豆)"	"70.0"	"--"	"3"	"--"	"椭圆"	"白"	"--"	"10.07"	"--"	"无限"	"3725"	"--"	"I2K00023"	"半蔓生"	"山西省农科院"	"文水县"	"--"	"--"	"7.5"	"HS"	"--"	"--"	"72.5"	"白"	"--"	"--"	"--"	"10.3"	"155.0"	"7"	"--"	"BAI MANG DOU"	"760"	"黄白"	"--"	"HS"	"140"
"10"	"--"	"Leguminosae(豆科)"	"58.5"	"80-570"	"白红豆"	"--"	"5.19"	"--"	"--"	"--"	"--"	"--"	"90.4"	"--"	"9"	"--"	"9"	"100.0"	"山西"	"--"	"--"	"--"	"5.0"	"地方"	"--"	"MS"	"11112"	"34.8"	"Phaseolus(菜豆属)"	"F0000010"	"3"	"Phaseolus vulgaris L.(普通菜豆)"	"72.5"	"--"	"3"	"--"	"肾形"	"白"	"--"	"10.11"	"--"	"无限"	"3721"	"--"	"I2K00024"	"蔓生"	"山西省农科院"	"中阳县"	"--"	"--"	"5.3"	"HS"	"--"	"--"	"49.0"	"白"	"--"	"--"	"--"	"15.0"	"287.5"	"5"	"--"	"BAI HONG DOU"	"1060"	"黄白"	"--"	"HS"	"144"
