"id"	"抗寒性评价"	"科名"	"未展开叶色"	"叶柄颜色"	"干物率"	"评价D"	"生育期"	"评价A"	"抗风评价"	"评价H"	"老茎外皮色"	"亲和力评价"	"叶脉颜色"	"纤维素含量"	"评价C"	"种质名称"	"特异性用途"	"父本亲和力"	"淀粉含量"	"抗风等级"	"维生C含量"	"评价E"	"种质来源"	"省"	"老茎内皮色"	"评价F"	"亩产量"	"母本亲和力"	"块根外皮色"	"氰酸含量"	"属名"	"统一编号"	"块根内皮色"	"学名"	"评价B"	"评价G"	"抗寒等级"	"中间裂片形"	"块根形状"	"植株形态"	"蛋白质含量"
"1"	"--"	"Euphorbiaceae(大戟科)"	"浅褐"	"紫红"	"37.0"	"中高"	"270"	"中"	"抗风"	"中"	"褐色"	"--"	"绿色"	"2.3"	"中"	"华南205"	"高产,加工"	"--"	"31.8"	"1"	"42.0"	"低"	"菲律宾"	"国外"	"浅绿"	"低"	"2433.0"	"--"	"褐色"	"6.34"	"Manihot(木薯属)"	"MS000001"	"白色"	"Manihot esculenta Crantz(木薯)"	"高"	"中"	"--"	"线形"	"圆锥"	"集"	"2.3"
"2"	"--"	"Euphorbiaceae(大戟科)"	"浅褐"	"紫红"	"37.7"	"中高"	"300"	"晚"	"中抗"	"中"	"灰褐色"	"--"	"绿色"	"3.2"	"中"	"东莞红尾"	"耐寒,生产加工"	"--"	"32.2"	"3"	"34.8"	"低"	"马来西亚"	"国外"	"浅绿"	"低"	"1389.0"	"--"	"浅黄"	"12.80"	"Manihot(木薯属)"	"MS000002"	"浅红"	"Manihot esculenta Crantz(木薯)"	"中"	"高"	"--"	"披针形"	"圆锥"	"伞形"	"3.3"
"3"	"--"	"Euphorbiaceae(大戟科)"	"绿色"	"乳黄"	"39.7"	"高"	"240"	"早"	"一般抗风"	"中"	"黄褐色"	"--"	"绿色"	"2.1"	"中高"	"糯米木薯"	"早熟,鲜食"	"--"	"33.0"	"3-4"	"38.1"	"低"	"马来西亚"	"国外"	"浅绿"	"低"	"1138.0"	"--"	"褐色"	"3.06"	"Manihot(木薯属)"	"MS000003"	"紫红"	"Manihot esculenta Crantz(木薯)"	"中低"	"低"	"--"	"披针形"	"圆柱"	"伞形"	"3.7"
"4"	"--"	"Euphorbiaceae(大戟科)"	"绿色"	"乳黄"	"39.0"	"中"	"240"	"早"	"中抗"	"中"	"黄褐色"	"--"	"绿色"	"2.6"	"中高"	"广西木薯"	"早熟,鲜食"	"--"	"30.8"	"3"	"43.6"	"低"	"广西"	"广西"	"浅绿"	"低"	"1169.0"	"--"	"褐色"	"2.84"	"Manihot(木薯属)"	"MS000004"	"紫红"	"Manihot esculenta Crantz(木薯)"	"中低"	"低"	"--"	"披针形"	"圆柱"	"伞形"	"2.9"
"5"	"--"	"Euphorbiaceae(大戟科)"	"浅紫"	"浅紫"	"41.8"	"高"	"240"	"早"	"--"	"中"	"灰绿色"	"适作父母本"	"浅紫"	"3.5"	"高"	"面包木薯"	"早熟,鲜食"	"45.5"	"36.4"	"--"	"34.0"	"低"	"马来西亚"	"国外"	"深绿"	"低"	"1358.0"	"33.6"	"褐色"	"4.80"	"Manihot(木薯属)"	"MS000005"	"紫红"	"Manihot esculenta Crantz(木薯)"	"中"	"低"	"--"	"椭圆形"	"圆柱"	"伞形"	"3.2"
"6"	"--"	"Euphorbiaceae(大戟科)"	"紫色"	"红色"	"37.0"	"中"	"270"	"中"	"--"	"中"	"黄褐色"	"适作父母本"	"浅红"	"3.0"	"中"	"文昌红心"	"生产,加工"	"44.7"	"30.5"	"--"	"40.2"	"--"	"海南文昌"	"海南"	"浅绿"	"低"	"1419.0"	"79.4"	"褐色"	"4.57"	"Manihot(木薯属)"	"MS000006"	"白色"	"Manihot esculenta Crantz(木薯)"	"中"	"低"	"--"	"椭圆形"	"圆锥"	"集"	"--"
"7"	"--"	"Euphorbiaceae(大戟科)"	"紫色"	"绿带紫"	"29.1"	"低"	"300"	"晚"	"--"	"--"	"深褐色"	"--"	"浅红"	"--"	"低"	"印尼细叶"	"种质保存"	"--"	"25.4"	"--"	"--"	"--"	"印尼"	"国外"	"深绿"	"--"	"1932.0"	"--"	"深褐"	"--"	"Manihot(木薯属)"	"MS000007"	"浅紫"	"Manihot esculenta Crantz(木薯)"	"高"	"--"	"--"	"线形"	"圆锥"	"直"	"--"
"8"	"--"	"Euphorbiaceae(大戟科)"	"浅紫"	"紫红"	"39.8"	"中高"	"240"	"早"	"抗风"	"中"	"灰黄色"	"--"	"紫红"	"1.9"	"中高"	"蛋黄木薯"	"早熟,鲜食"	"--"	"32.7"	"2"	"44.8"	"低"	"广西"	"广西"	"浅绿"	"低"	"1199.0"	"--"	"褐色"	"3.05"	"Manihot(木薯属)"	"MS000008"	"黄色"	"Manihot esculenta Crantz(木薯)"	"中低"	"低"	"--"	"椭圆形"	"圆锥"	"集"	"3.2"
"9"	"--"	"Euphorbiaceae(大戟科)"	"浅紫"	"紫红"	"41.0"	"高"	"240"	"早"	"抗风"	"中"	"灰黄色"	"--"	"紫红"	"2.3"	"高"	"四体蛋黄"	"早熟,育种"	"--"	"36.1"	"2"	"45.6"	"低"	"热作学院"	"海南"	"浅绿"	"低"	"1236.0"	"--"	"褐色"	"3.32"	"Manihot(木薯属)"	"MS000009"	"黄色"	"Manihot esculenta Crantz(木薯)"	"中低"	"低"	"--"	"倒卵形"	"圆锥"	"集"	"3.3"
"10"	"--"	"Euphorbiaceae(大戟科)"	"紫红"	"红色"	"42.3"	"低"	"300"	"晚"	"一般抗风"	"中高"	"灰绿色"	"--"	"紫红"	"2.1"	"高"	"宝岛9-2"	"育种"	"--"	"26.0"	"3-4"	"52.3"	"低"	"海南儋州"	"海南"	"浅绿"	"低"	"963.0"	"--"	"褐色"	"14.55"	"Manihot(木薯属)"	"MS000010"	"浅黄"	"Manihot esculenta Crantz(木薯)"	"低"	"高"	"--"	"披针形"	"圆锥"	"集"	"2.3"
"11"	"不抗"	"Euphorbiaceae(大戟科)"	"紫红"	"紫红"	"43.9"	"高"	"270"	"中"	"中抗"	"高"	"红褐色"	"--"	"绿色"	"1.6"	"高"	"会仙白皮"	"育种"	"--"	"35.8"	"2-3"	"62.1"	"低"	"海南琼海"	"海南"	"绿色"	"低"	"1427.0"	"--"	"褐色"	"4.75"	"Manihot(木薯属)"	"MS000011"	"白色"	"Manihot esculenta Crantz(木薯)"	"中高"	"低"	"5"	"披针形"	"圆锥"	"集"	"1.7"
"12"	"不抗"	"Euphorbiaceae(大戟科)"	"浅紫"	"紫红"	"39.1"	"中"	"270"	"中"	"中抗"	"中"	"红褐色"	"--"	"绿色"	"2.2"	"中高"	"白沙四号"	"育种"	"--"	"30.5"	"2-3"	"38.3"	"低"	"海南白沙"	"海南"	"紫红"	"低"	"1683.0"	"--"	"深褐"	"7.13"	"Manihot(木薯属)"	"MS000012"	"紫红"	"Manihot esculenta Crantz(木薯)"	"中高"	"中"	"5"	"披针形"	"圆锥"	"伞形"	"1.9"
"13"	"不抗"	"Euphorbiaceae(大戟科)"	"浅褐"	"紫红"	"40.5"	"高"	"270"	"中"	"不抗风"	"高"	"青褐色"	"--"	"绿色"	"1.8"	"高"	"东方一号"	"育种"	"--"	"33.4"	"4-5"	"61.4"	"低"	"海南东方"	"海南"	"绿色"	"低"	"1051.0"	"--"	"红褐"	"5.48"	"Manihot(木薯属)"	"MS000013"	"白色"	"Manihot esculenta Crantz(木薯)"	"低"	"中"	"5"	"披针形"	"圆柱"	"伞形"	"2.5"
