"id"	"科名"	"可溶固形物"	"品种名称"	"原产地"	"省"	"外观评价"	"汁液"	"内质评价"	"总糖％"	"维生素C"	"风味"	"特异及用途"	"单果重评价"	"肉色"	"果实成熟期"	"肉质"	"单果重G"	"成熟期评价"	"总酸％"	"色泽"	"学名"	"统一编号"	"译名"	"果形"	"属名"	"核粘离性"	"发育期D"
"1"	"Rosaceae(蔷薇科)"	"13.5"	"奉化李"	"浙江奉化"	"浙江"	"中"	"多"	"上"	"7.6"	"2.8"	"甜酸"	"高硬度,大果,质优"	"大"	"红"	"8.10"	"硬韧"	"66.6"	"晚"	"0.9"	"紫红"	"Prunus salicina Lindl.(中国李)"	"LC00001"	"FENG HUA LI"	"圆"	"Prunus(李属)"	"半离"	"102"
"2"	"Rosaceae(蔷薇科)"	"10.4"	"毕克齐紫李"	"辽宁金县"	"辽宁"	"中"	"多"	"上"	"7.0"	"3.7"	"甜酸"	"质优"	"小"	"淡黄"	"7.26"	"松脆"	"39.8"	"早"	"1.1"	"紫红"	"Prunus salicina Lindl.(中国李)"	"LC00002"	"BI KE QI ZI LI"	"圆"	"Prunus(李属)"	"半离"	"87"
"3"	"Rosaceae(蔷薇科)"	"11.4"	"紫李"	"辽宁金县"	"辽宁"	"中"	"多"	"中上"	"7.5"	"5.1"	"甜酸"	"--"	"小"	"淡黄"	"8.13"	"硬脆"	"40.7"	"晚"	"1.1"	"紫红"	"Prunus salicina Lindl.(中国李)"	"LC00003"	"ZI LI"	"圆"	"Prunus(李属)"	"粘"	"105"
"4"	"Rosaceae(蔷薇科)"	"11.4"	"紫李"	"辽宁金县"	"辽宁"	"中"	"多"	"中上"	"7.5"	"5.1"	"甜酸"	"--"	"小"	"淡黄"	"8.13"	"硬脆"	"40.7"	"晚"	"1.1"	"紫红"	"Prunus salicina Lindl.(中国李)"	"LC00003"	"ZI LI"	"圆"	"Prunus(李属)"	"粘"	"105"
"5"	"Rosaceae(蔷薇科)"	"11.1"	"玉皇李"	"河北昌黎"	"河北"	"中"	"多"	"中"	"6.9"	"4.9"	"甜酸"	"--"	"较小"	"橙黄"	"7.25"	"松软"	"41.6"	"早"	"0.6"	"黄"	"Prunus salicina Lindl.(中国李)"	"LC00004"	"YU HUANG LI"	"圆"	"Prunus(李属)"	"粘"	"85"
"6"	"Rosaceae(蔷薇科)"	"11.8"	"赤峰紫李"	"内蒙古赤峰"	"内蒙"	"中"	"多"	"中上"	"8.5"	"3.8"	"甜酸"	"--"	"较小"	"橙黄"	"8.06"	"硬脆"	"43.1"	"中"	"1.2"	"紫红"	"Prunus salicina Lindl.(中国李)"	"LC00005"	"CHI FENG ZI LI"	"圆"	"Prunus(李属)"	"半离"	"100"
"7"	"Rosaceae(蔷薇科)"	"12.5"	"黄牛心"	"辽宁法库"	"辽宁"	"极好"	"多"	"上"	"8.9"	"5.8"	"甜酸"	"大果,质优,美观"	"大"	"淡黄"	"8.06"	"硬脆"	"62.7"	"中"	"1.4"	"紫红"	"Prunus salicina Lindl.(中国李)"	"LC00006"	"HUANG NIU XIN"	"扁圆"	"Prunus(李属)"	"粘"	"100"
"8"	"Rosaceae(蔷薇科)"	"12.1"	"巴彦李"	"黑龙江巴彦"	"黑龙"	"好"	"多"	"中"	"7.0"	"6.1"	"甜酸"	"大果"	"中"	"淡黄"	"8.02"	"松脆"	"55.7"	"中"	"1.9"	"紫红"	"Prunus salicina Lindl.(中国李)"	"LC00007"	"BA YAN LI"	"卵圆"	"Prunus(李属)"	"半离"	"95"
"9"	"Rosaceae(蔷薇科)"	"12.6"	"巴黄李"	"黑龙江友谊"	"黑龙"	"差"	"多"	"中下"	"5.8"	"5.7"	"甜酸"	"--"	"很小"	"淡黄"	"8.06"	"松软"	"28.1"	"中"	"1.6"	"紫红"	"Prunus salicina Lindl.(中国李)"	"LC00008"	"BA HUANG LI"	"扁圆"	"Prunus(李属)"	"粘"	"97"
"10"	"Rosaceae(蔷薇科)"	"13.9"	"中国李"	"辽宁锦西"	"辽宁"	"差"	"多"	"下"	"7.6"	"6.4"	"酸涩"	"--"	"很小"	"黄绿"	"8.03"	"松脆"	"22.7"	"中"	"1.4"	"紫红"	"Prunus salicina Lindl.(中国李)"	"LC00009"	"ZHONG GUO LI"	"圆"	"Prunus(李属)"	"离"	"96"
"11"	"Rosaceae(蔷薇科)"	"12.4"	"胭脂红李"	"湖北枣阳"	"湖北"	"中"	"多"	"中"	"8.4"	"5.2"	"酸甜"	"--"	"小"	"黄绿"	"8.03"	"硬韧"	"31.1"	"中"	"1.5"	"紫红"	"Prunus salicina Lindl.(中国李)"	"LC00010"	"YAN ZHI HONG LI"	"卵圆"	"Prunus(李属)"	"半离"	"97"
"12"	"Rosaceae(蔷薇科)"	"11.5"	"朱砂李"	"辽宁海城"	"辽宁"	"中"	"多"	"中上"	"6.3"	"2.9"	"甜酸"	"--"	"小"	"橙黄"	"8.03"	"硬脆"	"33.7"	"中"	"1.0"	"紫红"	"Prunus salicina Lindl.(中国李)"	"LC00011"	"ZHU SHA LI"	"圆"	"Prunus(李属)"	"半离"	"97"
"13"	"Rosaceae(蔷薇科)"	"11.5"	"朱砂李"	"辽宁海城"	"辽宁"	"中"	"多"	"中上"	"6.3"	"2.9"	"甜酸"	"--"	"小"	"橙黄"	"8.03"	"硬脆"	"33.7"	"中"	"1.0"	"紫红"	"Prunus salicina Lindl.(中国李)"	"LC00011"	"ZHU SHA LI"	"圆"	"Prunus(李属)"	"半离"	"97"
"14"	"Rosaceae(蔷薇科)"	"11.3"	"大紫李"	"河北昌黎"	"河北"	"中"	"中"	"中"	"6.3"	"6.1"	"甜酸"	"--"	"较小"	"黄绿"	"7.23"	"松软"	"45.0"	"早"	"1.6"	"黑"	"Prunus salicina Lindl.(中国李)"	"LC00012"	"DA ZI LI"	"长圆"	"Prunus(李属)"	"离"	"84"
"15"	"Rosaceae(蔷薇科)"	"11.3"	"大紫李"	"河北昌黎"	"河北"	"中"	"中"	"中"	"6.3"	"6.1"	"甜酸"	"--"	"较小"	"黄绿"	"7.23"	"松软"	"45.0"	"早"	"1.6"	"黑"	"Prunus salicina Lindl.(中国李)"	"LC00012"	"DA ZI LI"	"长圆"	"Prunus(李属)"	"离"	"84"
"16"	"Rosaceae(蔷薇科)"	"13.7"	"红皮红心李"	"广东广州"	"广东"	"差"	"多"	"中"	"8.2"	"6.2"	"甜酸"	"--"	"很小"	"红"	"8.03"	"松软"	"26.6"	"中"	"1.3"	"紫红"	"Prunus salicina Lindl.(中国李)"	"LC00013"	"HONG PI HONG XIN LI"	"圆"	"Prunus(李属)"	"粘"	"95"
"17"	"Rosaceae(蔷薇科)"	"14.0"	"黄李梅"	"黑龙江绥棱"	"黑龙"	"差"	"多"	"下"	"7.6"	"4.2"	"酸甜涩"	"--"	"极小"	"淡黄"	"8.07"	"硬韧"	"18.1"	"中"	"1.6"	"粉红"	"Prunus salicina Lindl.(中国李)"	"LC00015"	"HUANG LI MEI"	"卵圆"	"Prunus(李属)"	"离"	"100"
"18"	"Rosaceae(蔷薇科)"	"12.3"	"李子梅"	"吉林长春"	"吉林"	"差"	"少"	"中下"	"7.2"	"3.6"	"甜酸"	"--"	"极小"	"黄绿"	"8.02"	"松软"	"18.3"	"中"	"1.8"	"紫红"	"Prunus salicina Lindl.(中国李)"	"LC00016"	"LI ZI MEI"	"圆"	"Prunus(李属)"	"半离"	"97"
"19"	"Rosaceae(蔷薇科)"	"11.4"	"三塔玫瑰"	"日本"	"国外"	"中"	"多"	"中"	"6.4"	"5.5"	"甜酸"	"--"	"中"	"橙黄"	"8.05"	"松脆"	"46.6"	"中"	"1.9"	"紫红"	"Prunus salicina Lindl.(中国李)"	"LC00017"	"SAN TA MEI GUI"	"卵圆"	"Prunus(李属)"	"粘"	"97"
"20"	"Rosaceae(蔷薇科)"	"10.5"	"大红李"	"河北昌黎"	"河北"	"中"	"多"	"中"	"7.1"	"5.1"	"甜酸"	"--"	"很小"	"橙黄"	"8.02"	"松软"	"30.4"	"中"	"1.6"	"黑"	"Prunus salicina Lindl.(中国李)"	"LC00018"	"DA HONG LI"	"椭圆"	"Prunus(李属)"	"离"	"94"
"21"	"Rosaceae(蔷薇科)"	"13.1"	"知一大红李"	"黑龙江知一"	"黑龙"	"差"	"中"	"中下"	"8.5"	"3.4"	"涩酸"	"--"	"极小"	"橙黄"	"8.15"	"硬韧"	"18.5"	"晚"	"1.6"	"紫红"	"Prunus salicina Lindl.(中国李)"	"LC00019"	"ZHI YI DA HONG LI"	"椭圆"	"Prunus(李属)"	"半离"	"106"
"22"	"Rosaceae(蔷薇科)"	"12.5"	"横道河子大红李"	"黑龙江横道河"	"黑龙"	"差"	"少"	"下"	"7.7"	"3.4"	"涩酸"	"极晚熟"	"很小"	"橙黄"	"8.19"	"松软"	"21.8"	"极晚"	"1.7"	"紫红"	"Prunus salicina Lindl.(中国李)"	"LC00020"	"HENG DAO HE ZI DA HONG LI"	"圆"	"Prunus(李属)"	"粘"	"113"
"23"	"Rosaceae(蔷薇科)"	"14.2"	"理查德早生"	"美国"	"国外"	"中"	"多"	"中"	"8.0"	"4.1"	"酸甜"	"极晚熟,六倍体"	"较小"	"绿"	"8.30"	"硬脆"	"41.7"	"极晚"	"0.8"	"兰"	"Prunus salicina Lindl.(中国李)"	"LC00022"	"LI CHA DE ZAO SHENG"	"长圆"	"Prunus(李属)"	"离"	"120"
"24"	"Rosaceae(蔷薇科)"	"12.3"	"美丽李"	"美国"	"国外"	"极好"	"多"	"上"	"8.4"	"6.4"	"甜酸"	"质优"	"极小"	"淡黄"	"7.28"	"硬脆"	"18.4"	"中"	"1.4"	"红"	"Prunus salicina Lindl.(中国李)"	"LC00024"	"MEI LI LI"	"圆"	"Prunus(李属)"	"半离"	"91"
"25"	"Rosaceae(蔷薇科)"	"10.7"	"大石早生"	"日本"	"国外"	"好"	"多"	"中"	"6.1"	"7.8"	"甜酸"	"极早熟"	"小"	"橙黄"	"7.21"	"松脆"	"33.3"	"极早"	"1.9"	"粉红"	"Prunus salicina Lindl.(中国李)"	"LC00027"	"DA SHI ZAO SHENG"	"扁圆"	"Prunus(李属)"	"粘"	"77"
"26"	"Rosaceae(蔷薇科)"	"10.9"	"阿伯特"	"美国"	"国外"	"中"	"多"	"下"	"6.4"	"7.8"	"甜酸涩"	"半矮化"	"极小"	"黄绿"	"7.27"	"松软"	"13.2"	"早"	"1.7"	"黑"	"Prunus salicina Lindl.(中国李)"	"LC00028"	"A BO TE"	"圆"	"Prunus(李属)"	"粘"	"83"
"27"	"Rosaceae(蔷薇科)"	"12.6"	"早红李(暂定)"	"日本"	"国外"	"好"	"多"	"上"	"5.7"	"7.2"	"酸甜"	"极早熟,质优"	"小"	"淡黄"	"6.29"	"松脆"	"34.2"	"极早"	"1.5"	"红"	"Prunus salicina Lindl.(中国李)"	"LC00048"	"ZAO HONG LI (ZAN DING )"	"圆"	"Prunus(李属)"	"粘"	"65"
"28"	"Rosaceae(蔷薇科)"	"12.5"	"卡尔赛"	"美国"	"国外"	"好"	"多"	"上"	"5.9"	"6.5"	"酸甜"	"大果,质优"	"较大"	"淡黄"	"7.28"	"硬脆"	"59.3"	"中"	"1.2"	"红"	"Prunus salicina Lindl.(中国李)"	"LC00075"	"KA ER SAI"	"卵圆"	"Prunus(李属)"	"离"	"91"
"29"	"Rosaceae(蔷薇科)"	"11.5"	"佛罗信彦"	"美国"	"国外"	"中"	"中"	"中"	"4.7"	"10.6"	"酸甜"	"高维生素C,极早熟"	"很小"	"红"	"7.17"	"松软"	"27.3"	"极早"	"1.8"	"紫红"	"Prunus salicina Lindl.(中国李)"	"LC00081"	"FO LUO XIN YAN"	"扁圆"	"Prunus(李属)"	"半离"	"75"
"30"	"Rosaceae(蔷薇科)"	"9.9"	"美国李"	"美国"	"国外"	"中"	"多"	"中上"	"9.6"	"5.1"	"甜酸"	"--"	"很小"	"淡黄"	"7.23"	"松脆"	"24.1"	"早"	"0.9"	"红"	"Prunus salicina Lindl.(中国李)"	"LC00082"	"MEI GUO LI"	"圆"	"Prunus(李属)"	"粘"	"86"
"31"	"Rosaceae(蔷薇科)"	"11.4"	"美国李小"	"美国"	"国外"	"中"	"多"	"中上"	"7.7"	"7.8"	"甜酸"	"--"	"很小"	"淡黄"	"7.23"	"松脆"	"23.7"	"早"	"0.7"	"红"	"Prunus salicina Lindl.(中国李)"	"LC00083"	"MEI GUO LI XIAO"	"圆"	"Prunus(李属)"	"粘"	"86"
"32"	"Rosaceae(蔷薇科)"	"11.3"	"月光李"	"日本"	"国外"	"好"	"多"	"上"	"7.2"	"5.6"	"酸甜"	"大果,高硬度"	"较大"	"淡黄"	"8.10"	"硬脆"	"56.3"	"晚"	"1.5"	"粉红"	"Prunus salicina Lindl.(中国李)"	"LC00084"	"YUE GUANG LI"	"卵圆"	"Prunus(李属)"	"半离"	"102"
"33"	"Rosaceae(蔷薇科)"	"11.4"	"别列措夫"	"法国"	"国外"	"中"	"多"	"中"	"9.7"	"4.5"	"甜酸"	"--"	"很小"	"黄绿"	"7.23"	"松脆"	"27.9"	"早"	"0.9"	"红"	"Prunus salicina Lindl.(中国李)"	"LC00085"	"BIE LIE CUO FU"	"圆"	"Prunus(李属)"	"粘"	"86"
