"id"	"科名"	"可溶固形物"	"品种名称"	"原产地"	"省"	"外观评价"	"果仁甜苦"	"内质评价"	"总糖％"	"维生素C"	"风味"	"特异及用途"	"单果重评价"	"肉色"	"果实成熟期"	"肉质"	"单果重G"	"成熟期评价"	"总酸％"	"色泽"	"学名"	"统一编号"	"译名"	"果形"	"属名"	"核粘离性"	"果仁大小G"	"发育期D"
"1"	"Rosaceae(蔷薇科)"	"12.4"	"大山后"	"辽宁金县"	"辽宁"	"较差"	"苦"	"中下"	"7.5"	"7.0"	"甜酸"	"--"	"很小"	"橙黄"	"6.30"	"松软"	"21.6"	"早"	"1.8"	"紫红"	"Prunus armeniaca L.(杏)"	"XC0001"	"DA SHAN HOU"	"卵圆"	"Prunus(李属)"	"半离"	"0.55"	"66"
"2"	"Rosaceae(蔷薇科)"	"11.0"	"昌黎大黄杏"	"河北昌黎"	"河北"	"较差"	"苦"	"中下"	"8.9"	"1.2"	"甜酸"	"--"	"很小"	"浅黄"	"6.30"	"松软"	"24.8"	"早"	"1.5"	"红"	"Prunus armeniaca L.(杏)"	"XC0002"	"CHANG LI DA HUANG XING"	"长圆"	"Prunus(李属)"	"离"	"0.43"	"69"
"3"	"Rosaceae(蔷薇科)"	"10.6"	"黄尖咀"	"北京怀柔"	"北京"	"中"	"甜"	"中下"	"7.6"	"12.6"	"甜酸"	"仁大"	"小"	"黄"	"7.10"	"松软"	"40.4"	"中"	"1.9"	"黄"	"Prunus armeniaca L.(杏)"	"XC0003"	"HUANG JIAN JU"	"卵圆"	"Prunus(李属)"	"离"	"0.75"	"76"
"4"	"Rosaceae(蔷薇科)"	"11.6"	"辽阳杏梅"	"辽宁辽阳"	"辽宁"	"较差"	"苦"	"中"	"7.3"	"7.0"	"酸"	"多酸"	"很小"	"橙黄"	"7.16"	"硬脆"	"26.4"	"晚"	"2.5"	"红"	"Prunus mume var. viridicalyx Maki.(杏梅)"	"XC0004"	"LIAO YANG XING MEI"	"扁圆"	"Prunus(李属)"	"离"	"0.50"	"82"
"5"	"Rosaceae(蔷薇科)"	"7.7"	"平和杏"	"日本"	"国外"	"中"	"苦"	"中"	"5.0"	"4.9"	"酸"	"--"	"小"	"橙黄"	"7.10"	"硬脆"	"40.3"	"中"	"1.7"	"橙黄"	"Prunus armeniaca L.(杏)"	"XC0005"	"PING HE XING"	"长圆"	"Prunus(李属)"	"离"	"0.30"	"76"
"6"	"Rosaceae(蔷薇科)"	"11.8"	"美农杏"	"辽宁大连"	"辽宁"	"中"	"苦"	"中"	"5.7"	"5.6"	"甜酸"	"--"	"中"	"黄"	"7.10"	"硬脆"	"45.4"	"中"	"1.4"	"紫红"	"Prunus armeniaca L.(杏)"	"XC0006"	"MEI NONG XING"	"圆"	"Prunus(李属)"	"粘"	"0.50"	"76"
"7"	"Rosaceae(蔷薇科)"	"11.8"	"美农杏"	"辽宁大连"	"辽宁"	"中"	"苦"	"中"	"5.7"	"5.6"	"甜酸"	"--"	"中"	"黄"	"7.10"	"硬脆"	"45.4"	"中"	"1.4"	"紫红"	"Prunus armeniaca L.(杏)"	"XC0006"	"MEI NONG XING"	"圆"	"Prunus(李属)"	"粘"	"0.50"	"76"
"8"	"Rosaceae(蔷薇科)"	"11.5"	"友谊杏梅"	"黑龙江"	"黑龙"	"较差"	"苦"	"中下"	"11.9"	"12.1"	"甜酸"	"高酸"	"极小"	"浅黄"	"7.06"	"松软"	"19.0"	"晚"	"3.3"	"紫红"	"Prunus mume var. viridicalyx Maki.(杏梅)"	"XC0007"	"YOU YI XING MEI"	"卵圆"	"Prunus(李属)"	"离"	"0.50"	"85"
"9"	"Rosaceae(蔷薇科)"	"9.7"	"平壤白杏"	"朝鲜"	"国外"	"中"	"甜"	"中下"	"5.8"	"6.2"	"酸"	"--"	"较大"	"浅黄"	"7.10"	"松软"	"57.7"	"中"	"1.6"	"红"	"Prunus armeniaca L.(杏)"	"XC0008"	"PING RANG BAI XING"	"圆"	"Prunus(李属)"	"粘"	"0.48"	"76"
"10"	"Rosaceae(蔷薇科)"	"13.6"	"商州白沙杏"	"陕西商县"	"陕西"	"较差"	"甜"	"中"	"8.1"	"11.6"	"酸甜"	"制酱良种"	"很小"	"白绿"	"7.16"	"松软"	"21.5"	"晚"	"1.4"	"白"	"Prunus armeniaca L.(杏)"	"XC0010"	"SHANG ZHOU BAI SHA XING"	"圆"	"Prunus(李属)"	"离"	"0.55"	"83"
