"id"	"成熟期"	"形状"	"科名"	"品种名称"	"转化糖％"	"原产地"	"外观评价"	"汁液"	"香气"	"含酸量％"	"维生素C"	"风味"	"特异及用途"	"单果重评价"	"省"	"肉质"	"成熟期评价"	"学名"	"统一编号"	"译名"	"单果重G"	"属名"	"色泽"	"整齐度"	"内质评价"	"可食率％"
"1"	"4月下旬"	"倒卵"	"Rosaceae(蔷薇科)"	"夹脚"	"7.49"	"浙江"	"好"	"多"	"无"	"0.43"	"6.85"	"稍偏酸"	"迟花,丰产,罐藏品种"	"中"	"浙江"	"稍密"	"中"	"Eriobotrya japonica Lindl.(枇杷)"	"ppM0001"	"JIA JIAO"	"34.4"	"Eriobotrya(枇杷属)"	"橙红"	"整齐"	"中"	"70.8"
"2"	"4月下旬"	"近圆"	"Rosaceae(蔷薇科)"	"大红袍"	"10.29"	"浙江"	"好"	"中"	"无"	"0.26"	"7.95"	"甜酸适中"	"果面鲜艳,高产品种"	"中小"	"浙江"	"微密"	"中"	"Eriobotrya japonica Lindl.(枇杷)"	"PPM0002"	"DA HONG PAO"	"25.9"	"Eriobotrya(枇杷属)"	"橙红"	"中"	"中上"	"61.2"
"3"	"4月下旬"	"近圆"	"Rosaceae(蔷薇科)"	"富阳"	"8.33"	"江苏"	"中"	"多"	"无"	"0.25"	"5.55"	"甜酸适中"	"--"	"中小"	"江苏"	"稍软"	"中"	"Eriobotrya japonica Lindl.(枇杷)"	"PPM0003"	"FU YANG"	"25.2"	"Eriobotrya(枇杷属)"	"橙红"	"中"	"中"	"67.5"
"4"	"4月下旬"	"倒卵"	"Rosaceae(蔷薇科)"	"木鱼"	"9.23"	"江苏"	"中"	"中多"	"无"	"0.20"	"6.85"	"甜酸适中"	"--"	"中小"	"江苏"	"稍粗"	"中"	"Eriobotrya japonica Lindl.(枇杷)"	"PPM0004"	"MU YU"	"26.7"	"Eriobotrya(枇杷属)"	"橙红"	"整齐"	"中"	"64.7"
"5"	"4月下旬"	"近圆"	"Rosaceae(蔷薇科)"	"单边种"	"9.00"	"浙江"	"好"	"多"	"无"	"0.26"	"6.00"	"甜酸适中"	"--"	"小"	"浙江"	"稍粗"	"中"	"Eriobotrya japonica Lindl.(枇杷)"	"PPM0005"	"DAN BIAN ZHONG"	"23.6"	"Eriobotrya(枇杷属)"	"橙黄"	"整齐"	"中"	"64.8"
"6"	"4月下旬"	"近圆"	"Rosaceae(蔷薇科)"	"单皮"	"10.32"	"江苏"	"中"	"多"	"无"	"0.38"	"4.85"	"甜酸适中"	"黄肉,品质好"	"中大"	"江苏"	"细嫩"	"中"	"Eriobotrya japonica Lindl.(枇杷)"	"PPM0006"	"DAN PI"	"31.4"	"Eriobotrya(枇杷属)"	"麦杆黄"	"中"	"中上"	"64.3"
"7"	"4月下旬"	"扁圆"	"Rosaceae(蔷薇科)"	"照种"	"11.87"	"江苏"	"中"	"多"	"微香"	"0.33"	"4.20"	"清甜爽口"	"白肉,鲜食良种"	"中小"	"江苏"	"细嫩"	"中"	"Eriobotrya japonica Lindl.(枇杷)"	"PPM0007"	"ZHAO ZHONG"	"20.6"	"Eriobotrya(枇杷属)"	"橙红"	"中"	"上"	"64.5"
"8"	"4月下旬"	"近圆"	"Rosaceae(蔷薇科)"	"软条白沙"	"10.07"	"江苏"	"好"	"多"	"微香"	"0.38"	"7.70"	"清甜爽口"	"白肉,优质种质"	"中小"	"江苏"	"细嫩"	"中"	"Eriobotrya japonica Lindl.(枇杷)"	"PPM0008"	"RUAN TIAO BAI SHA"	"22.2"	"Eriobotrya(枇杷属)"	"橙黄"	"中"	"上"	"68.9"
"9"	"4月下旬"	"近圆"	"Rosaceae(蔷薇科)"	"太城白蜜"	"10.78"	"福建"	"中"	"多"	"无"	"0.42"	"4.20"	"稍酸"	"白肉品种"	"中大"	"福建"	"柔软"	"中"	"Eriobotrya japonica Lindl.(枇杷)"	"PPM0009"	"TAI CHENG BAI MI"	"33.8"	"Eriobotrya(枇杷属)"	"黄"	"中"	"中上"	"62.7"
"10"	"4月下旬"	"近圆"	"Rosaceae(蔷薇科)"	"太城白蜜"	"10.78"	"福建"	"中"	"多"	"无"	"0.42"	"4.20"	"稍酸"	"白肉品种"	"中大"	"福建"	"柔软"	"中"	"Eriobotrya japonica Lindl.(枇杷)"	"PPM0009"	"TAI CHENG BAI MI"	"33.8"	"Eriobotrya(枇杷属)"	"黄"	"中"	"中上"	"62.7"
