"id"	"科名"	"生育期评价"	"品种名称"	"始果年龄"	"原产地"	"省"	"外观评价"	"汁液"	"鲜枣可食率"	"内质评价"	"早果性评价"	"含酸量％"	"总糖％"	"维生素C"	"果实成熟期"	"特异及用途"	"单果重评价"	"风味"	"肉质"	"果形"	"成熟期评价"	"学名"	"统一编号"	"译名"	"单果重G"	"属名"	"色泽"	"生育期D"	"整齐度"
"1"	"Rhamnaceae(鼠李科)"	"中"	"榆次团枣"	"3"	"山西榆次"	"山西"	"中"	"中"	"96.02"	"中下"	"中"	"0.54"	"21.86"	"435.56"	"9.25"	"鲜食制干兼用"	"大"	"酸甜"	"较致密"	"圆柱"	"晚"	"Zizyphus jujuba Mill.(枣)"	"ZF0001"	"YU CI TUAN ZAO"	"18.7"	"Zizyphus(枣属)"	"浅红"	"172"	"不整齐"
"2"	"Rhamnaceae(鼠李科)"	"短"	"端子枣"	"3"	"山西太谷"	"山西"	"较好"	"少"	"95.08"	"中"	"中"	"0.76"	"27.56"	"488.54"	"9.25"	"制干"	"小"	"酸甜"	"疏松"	"倒卵"	"晚"	"Zizyphus jujuba Mill.(枣)"	"ZF0002"	"DUAN ZI ZAO"	"8.1"	"Zizyphus(枣属)"	"红"	"170"	"整齐"
"3"	"Rhamnaceae(鼠李科)"	"中"	"太谷葫芦枣"	"3"	"山西太谷"	"山西"	"中"	"中"	"96.81"	"中"	"中"	"0.72"	"24.37"	"476.77"	"0.25"	"极丰产,制干"	"大"	"甜"	"疏松"	"倒卵"	"晚"	"Zizyphus jujuba var.lageniformis(葫芦枣)"	"ZF0003"	"TAI GU HU LU ZAO"	"16.0"	"Zizyphus(枣属)"	"红"	"178"	"较整齐"
"4"	"Rhamnaceae(鼠李科)"	"中"	"太谷葫芦枣"	"3"	"山西太谷"	"山西"	"中"	"中"	"96.81"	"中"	"中"	"0.72"	"24.37"	"476.77"	"0.25"	"极丰产,制干"	"大"	"甜"	"疏松"	"倒卵"	"晚"	"Zizyphus jujuba var.lageniformis(葫芦枣)"	"ZF0003"	"TAI GU HU LU ZAO"	"16.0"	"Zizyphus(枣属)"	"红"	"178"	"较整齐"
"5"	"Rhamnaceae(鼠李科)"	"中"	"婆婆枣"	"3"	"山西运城"	"山西"	"较差"	"少"	"94.53"	"中下"	"中"	"0.37"	"29.00"	"489.40"	"9.23"	"抗枣疯病,制干"	"中"	"甜"	"致密"	"卵圆"	"晚"	"Zizyphus jujuba Mill.(枣)"	"ZF0005"	"PO PO ZAO"	"14.1"	"Zizyphus(枣属)"	"红"	"173"	"较整齐"
"6"	"Rhamnaceae(鼠李科)"	"中"	"屯屯枣"	"3"	"山西平陆"	"山西"	"较好"	"中"	"95.34"	"中上"	"中"	"0.50"	"22.95"	"359.47"	"9.25"	"制干"	"大"	"酸甜"	"致密"	"圆柱"	"晚"	"Zizyphus jujuba Mill.(枣)"	"ZF0006"	"TUN TUN ZAO"	"15.7"	"Zizyphus(枣属)"	"紫红"	"174"	"较整齐"
"7"	"Rhamnaceae(鼠李科)"	"中"	"蜜枣"	"3"	"山西临汾"	"山西"	"较好"	"多"	"97.10"	"上"	"中"	"0.61"	"23.41"	"284.12"	"9.25"	"鲜食"	"小"	"极甜"	"酥脆"	"卵圆"	"晚"	"Zizyphus jujuba Mill.(枣)"	"ZF0007"	"MI ZAO"	"7.4"	"Zizyphus(枣属)"	"红"	"172"	"较整齐"
"8"	"Rhamnaceae(鼠李科)"	"中"	"针葫芦枣"	"3"	"山西临汾"	"山西"	"中"	"多"	"95.07"	"中上"	"中"	"0.46"	"27.81"	"423.79"	"9.25"	"鲜食制干兼用"	"中"	"甜"	"酥脆"	"倒卵"	"晚"	"Zizyphus jujuba var.lageniformis(葫芦枣)"	"ZF0008"	"ZHEN HU LU ZAO"	"11.8"	"Zizyphus(枣属)"	"红"	"178"	"较整齐"
"9"	"Rhamnaceae(鼠李科)"	"中"	"蛤蟆枣"	"3"	"山西永济"	"山西"	"较好"	"多"	"95.74"	"上"	"中"	"0.50"	"28.18"	"420.82"	"10.01"	"极耐贮,鲜食制干兼用"	"极大"	"酸甜"	"酥脆"	"扁柱"	"极晚"	"Zizyphus jujuba Mill.(枣)"	"ZF0009"	"GE MA ZAO"	"25.4"	"Zizyphus(枣属)"	"紫红"	"178"	"较整齐"
"10"	"Rhamnaceae(鼠李科)"	"中"	"洪赵脆枣"	"2"	"山西洪赵"	"山西"	"较好"	"多"	"95.03"	"中"	"早"	"0.71"	"27.97"	"361.11"	"9.25"	"鲜食制干兼用"	"中"	"酸甜"	"疏松"	"卵圆"	"晚"	"Zizyphus jujuba Mill.(枣)"	"ZF0010"	"HONG ZHAO CUI ZAO"	"10.7"	"Zizyphus(枣属)"	"浅红"	"172"	"整齐"
"11"	"Rhamnaceae(鼠李科)"	"短"	"尖枣"	"3"	"山西平出"	"山西"	"中"	"中"	"94.31"	"中上"	"中"	"0.52"	"21.18"	"407.97"	"10.07"	"鲜食制干兼用"	"中"	"酸甜"	"较致密"	"圆柱"	"极晚"	"Zizyphus jujuba Mill.(枣)"	"ZF0011"	"JIAN ZAO"	"10.2"	"Zizyphus(枣属)"	"红"	"170"	"整齐"
"12"	"Rhamnaceae(鼠李科)"	"中"	"相枣"	"3"	"山西运城"	"山西"	"较好"	"中"	"96.71"	"中上"	"中"	"0.34"	"25.51"	"474.00"	"9.25"	"制干"	"大"	"甜"	"致密"	"扁柱"	"晚"	"Zizyphus jujuba Mill.(枣)"	"ZF0012"	"XIANG ZAO"	"19.1"	"Zizyphus(枣属)"	"紫红"	"172"	"不整齐"
"13"	"Rhamnaceae(鼠李科)"	"中"	"官滩枣"	"3"	"山西襄汾"	"山西"	"较差"	"少"	"95.70"	"中"	"中"	"0.39"	"24.64"	"445.90"	"9.29"	"制干"	"中"	"甜"	"致密"	"扁柱"	"晚"	"Zizyphus jujuba Mill.(枣)"	"ZF0013"	"GUAN TAN ZAO"	"12.6"	"Zizyphus(枣属)"	"紫红"	"172"	"不整齐"
"14"	"Rhamnaceae(鼠李科)"	"中"	"美蜜枣"	"3"	"山西太谷"	"山西"	"较好"	"多"	"96.24"	"上"	"中"	"0.64"	"31.01"	"350.97"	"9.23"	"鲜食"	"极小"	"极甜"	"酥脆"	"圆锥"	"晚"	"Zizyphus jujuba Mill.(枣)"	"ZF0014"	"MEI MI ZAO"	"4.2"	"Zizyphus(枣属)"	"红"	"178"	"较整齐"
"15"	"Rhamnaceae(鼠李科)"	"中"	"壶瓶枣"	"3"	"山西太谷"	"山西"	"较好"	"中"	"97.34"	"中上"	"中"	"0.57"	"30.35"	"493.10"	"9.20"	"果实极大,早熟,鲜食制干兼用"	"极大"	"酸甜"	"较致密"	"倒卵"	"中"	"Zizyphus jujuba Mill.(枣)"	"ZF0015"	"HU PING ZAO"	"25.4"	"Zizyphus(枣属)"	"紫红"	"176"	"较整齐"
"16"	"Rhamnaceae(鼠李科)"	"中"	"墩墩枣"	"3"	"山西太谷"	"山西"	"较好"	"中"	"97.79"	"中"	"中"	"0.63"	"28.78"	"438.51"	"9.29"	"制干"	"极大"	"甜"	"疏松"	"扁柱"	"晚"	"Zizyphus jujuba Mill.(枣)"	"ZF0016"	"DUN DUN ZAO"	"20.5"	"Zizyphus(枣属)"	"红"	"180"	"整齐"
"17"	"Rhamnaceae(鼠李科)"	"中"	"郎枣"	"3"	"山西太谷"	"山西"	"中"	"中"	"96.38"	"中"	"中"	"0.85"	"32.48"	"388.69"	"9.27"	"含糖极高,制干"	"中"	"酸甜"	"较致密"	"圆柱"	"晚"	"Zizyphus jujuba Mill.(枣)"	"ZF0017"	"LANG ZAO"	"12.1"	"Zizyphus(枣属)"	"红"	"178"	"较整齐"
"18"	"Rhamnaceae(鼠李科)"	"中"	"黎城小枣"	"2"	"山西黎城"	"山西"	"中"	"多"	"94.40"	"中上"	"早"	"0.56"	"26.71"	"365.31"	"10.03"	"鲜食制干兼用"	"小"	"甜"	"酥脆"	"卵圆"	"极晚"	"Zizyphus jujuba Mill.(枣)"	"ZF0018"	"LI CHENG XIAO ZAO"	"7.3"	"Zizyphus(枣属)"	"红"	"176"	"整齐"
"19"	"Rhamnaceae(鼠李科)"	"中"	"油枣"	"3"	"山西保德"	"山西"	"较好"	"中"	"94.22"	"中上"	"中"	"0.78"	"26.65"	"511.44"	"9.25"	"鲜食制干兼用"	"中"	"酸甜"	"致密"	"扁柱"	"晚"	"Zizyphus jujuba Mill.(枣)"	"ZF0019"	"YOU ZAO"	"10.9"	"Zizyphus(枣属)"	"紫红"	"178"	"整齐"
