"id"	"科名"	"可溶固形物"	"品种名称"	"省"	"原产地"	"可食率"	"外观评价"	"内质评价"	"维生素C"	"种子数"	"风味"	"特异及用途"	"柠檬酸"	"单果重评价"	"果实成熟期"	"肉质"	"成熟期评价"	"学名"	"统一编号"	"译名"	"单果重G"	"属名"	"色泽"	"粗细"	"总糖"	"果汁"
"1"	"Rutaceae(芸香科)"	"10.00"	"五月红"	"四川"	"四川江津"	"74.41"	"较好"	"中上"	"51.23"	"6.1"	"适中,较浓"	"晚熟,优质"	"1.30"	"中小"	"4-5月"	"较细"	"晚"	"Citrus sinensis Osbeck(甜橙)"	"GJLS0101"	"WU YUE HONG"	"117.5"	"Citrus(柑橘属)"	"橙"	"中"	"6.11"	"52.45"
"2"	"Rutaceae(芸香科)"	"10.00"	"郭家沱脐橙"	"四川"	"四川重庆"	"75.09"	"好"	"上"	"41.58"	"0.6"	"偏甜,较浓"	"--"	"1.21"	"大"	"12月中上"	"脆嫩"	"中"	"Citrus sinensis Osbeck(甜橙)"	"GJLS0102"	"GUO JIA TUO QI CHENG"	"281.0"	"Citrus(柑橘属)"	"深橙"	"细"	"7.66"	"47.33"
"3"	"Rutaceae(芸香科)"	"11.00"	"新华1号脐橙"	"四川"	"四川重庆"	"70.10"	"好"	"上"	"47.36"	"0.4"	"偏甜,较浓"	"--"	"0.79"	"中小"	"12月中上"	"脆嫩"	"中"	"Citrus sinensis Osbeck(甜橙)"	"GJLS0103"	"XIN HUA 1 HAO QI CHENG"	"148.0"	"Citrus(柑橘属)"	"红橙"	"细"	"8.59"	"40.37"
"4"	"Rutaceae(芸香科)"	"11.00"	"新华1号脐橙"	"四川"	"四川重庆"	"70.10"	"好"	"上"	"47.36"	"0.4"	"偏甜,较浓"	"--"	"0.79"	"中小"	"12月中上"	"脆嫩"	"中"	"Citrus sinensis Osbeck(甜橙)"	"GJLS0103"	"XIN HUA 1 HAO QI CHENG"	"148.0"	"Citrus(柑橘属)"	"红橙"	"细"	"8.59"	"40.37"
"5"	"Rutaceae(芸香科)"	"10.00"	"华盛顿脐橙(摩-65)"	"国外"	"摩洛哥"	"77.06"	"好"	"上"	"45.46"	"--"	"偏甜,较浓"	"--"	"0.53"	"中大"	"12月中上"	"脆嫩"	"中"	"Citrus sinensis Osbeck(甜橙)"	"GJLS0104"	"HUA SHENG DUN QI CHENG (MO -65"	"221.0"	"Citrus(柑橘属)"	"红橙"	"细"	"8.64"	"54.34"
"6"	"Rutaceae(芸香科)"	"10.00"	"华盛顿脐橙(摩-65)"	"国外"	"摩洛哥"	"77.06"	"好"	"上"	"45.46"	"--"	"偏甜,较浓"	"--"	"0.53"	"中大"	"12月中上"	"脆嫩"	"中"	"Citrus sinensis Osbeck(甜橙)"	"GJLS0104"	"HUA SHENG DUN QI CHENG (MO -65"	"221.0"	"Citrus(柑橘属)"	"红橙"	"细"	"8.64"	"54.34"
"7"	"Rutaceae(芸香科)"	"8.80"	"伏令夏橙(摩)"	"国外"	"摩洛哥"	"73.90"	"较好"	"中上"	"46.86"	"2.9"	"适中"	"晚熟,丰产"	"1.95"	"中小"	"4-5月"	"较细"	"晚"	"Citrus sinensis Osbeck(甜橙)"	"GJLS0105"	"FU LING XIA CHENG (MO )"	"133.0"	"Citrus(柑橘属)"	"橙"	"中"	"5.56"	"50.60"
"8"	"Rutaceae(芸香科)"	"8.00"	"晚熟6号"	"四川"	"四川江津"	"67.38"	"中"	"中"	"31.81"	"10.1"	"适中"	"--"	"0.61"	"中小"	"4-5月"	"较脆"	"晚"	"Citrus sinensis Osbeck(甜橙)"	"GJLS0107"	"WAN SHU 6 HAO"	"113.0"	"Citrus(柑橘属)"	"橙"	"中"	"6.03"	"43.58"
"9"	"Rutaceae(芸香科)"	"10.20"	"金堂早熟脐橙"	"四川"	"四川金堂"	"75.24"	"较好"	"中上"	"44.61"	"0.1"	"偏甜,较浓"	"丰产,早熟"	"0.69"	"中大"	"11月中"	"较脆"	"早"	"Citrus sinensis Osbeck(甜橙)"	"GJLS0108"	"JIN TANG ZAO SHU QI CHENG"	"240.2"	"Citrus(柑橘属)"	"深橙"	"中"	"8.49"	"39.64"
"10"	"Rutaceae(芸香科)"	"10.00"	"华716(王家坪)"	"四川"	"四川重庆"	"63.38"	"较好"	"中上"	"59.25"	"3.5"	"偏甜,较浓"	"--"	"0.93"	"大"	"12月上"	"脆"	"中"	"Citrus sinensis Osbeck(甜橙)"	"GJLS0109"	"HUA 716( WANG JIA PING )"	"271.5"	"Citrus(柑橘属)"	"红橙"	"细"	"7.84"	"38.18"
