"id"	"科名"	"采收期评价"	"生育期评价"	"品种名称"	"原产地"	"省"	"外观评价"	"汁液"	"单宁"	"内质评价"	"维生素C"	"脱涩时间H"	"采收期D"	"果实成熟期"	"特异及用途"	"可溶固形物"	"单果重评价"	"风味"	"肉质"	"单果重G"	"成熟期评价"	"可溶性糖"	"学名"	"统一编号"	"译名"	"果形"	"属名"	"色泽"	"可滴定酸"	"生育期D"	"整齐度"
"1"	"Ebenaceae(柿科)"	"--"	"中"	"七月早"	"河南洛阳"	"河南"	"较好"	"少"	"0.19"	"中"	"21.41"	"27"	"--"	"9.10"	"极早熟,鲜食软食"	"21.0"	"中"	"甜"	"粘质"	"113.0"	"早"	"--"	"Diospyros kaki L.f(柿)"	"SH0001"	"QI YUE ZAO"	"升底"	"Diospyros(柿属)"	"橙黄"	"--"	"234"	"均匀"
"2"	"Ebenaceae(柿科)"	"--"	"短"	"木柿"	"山西永济"	"山西"	"好"	"多"	"0.59"	"中"	"11.97"	"20"	"--"	"9.28"	"鲜食,加工"	"14.0"	"大"	"稍甜"	"水质"	"159.0"	"早"	"--"	"Diospyros kaki L.f(柿)"	"SH0002"	"MU SHI"	"馒头"	"Diospyros(柿属)"	"橙黄"	"--"	"213"	"均匀"
"3"	"Ebenaceae(柿科)"	"--"	"中"	"稷山水柿"	"山西稷山"	"山西"	"较好"	"多"	"0.33"	"上"	"16.90"	"21"	"--"	"10.05"	"软食"	"19.0"	"中"	"甜"	"水质"	"138.5"	"中"	"--"	"Diospyros kaki L.f(柿)"	"SH0003"	"JI SHAN SHUI SHI"	"扁"	"Diospyros(柿属)"	"橙红"	"--"	"227"	"均匀"
"4"	"Ebenaceae(柿科)"	"--"	"中"	"禅寺丸"	"日本"	"国外"	"较好"	"多"	"0.13"	"中"	"17.01"	"--"	"--"	"10.05"	"甜柿,脆食"	"21.5"	"中"	"甜"	"水质"	"89.0"	"中"	"--"	"Diospyros kaki L.f(柿)"	"SH0004"	"CHAN SI WAN"	"圆柱"	"Diospyros(柿属)"	"橙红"	"--"	"233"	"不均"
"5"	"Ebenaceae(柿科)"	"--"	"中"	"照天红"	"河南洛阳"	"河南"	"较好"	"少"	"0.74"	"中"	"14.42"	"22"	"--"	"10.08"	"鲜食"	"13.0"	"中"	"甜"	"绵质"	"144.0"	"中"	"--"	"Diospyros kaki L.f(柿)"	"SH0005"	"ZHAO TIAN HONG"	"扁"	"Diospyros(柿属)"	"朱红"	"--"	"234"	"不均"
"6"	"Ebenaceae(柿科)"	"--"	"中"	"富平板板柿"	"陕西富平"	"陕西"	"较好"	"多"	"0.84"	"中"	"31.81"	"18"	"--"	"10.09"	"软食,加工"	"16.0"	"大"	"甜"	"水质"	"175.0"	"中"	"--"	"Diospyros kaki L.f(柿)"	"SH0006"	"FU PING BAN BAN SHI"	"四棱"	"Diospyros(柿属)"	"橙红"	"--"	"235"	"均匀"
"7"	"Ebenaceae(柿科)"	"--"	"短"	"临潼方(板)柿"	"陕西临潼"	"陕西"	"较好"	"多"	"0.48"	"上"	"18.22"	"22"	"--"	"10.09"	"鲜食"	"18.0"	"大"	"甜"	"粘质"	"193.0"	"中"	"--"	"Diospyros kaki L.f(柿)"	"SH0007"	"LIN TONG FANG (BAN )SHI"	"四棱"	"Diospyros(柿属)"	"橙红"	"--"	"220"	"均匀"
"8"	"Ebenaceae(柿科)"	"--"	"中"	"急柿"	"陕西武功"	"陕西"	"好"	"多"	"0.69"	"中"	"31.52"	"29"	"--"	"10.09"	"鲜食"	"13.5"	"中"	"甜"	"粘质"	"130.0"	"中"	"--"	"Diospyros kaki L.f(柿)"	"SH0008"	"JI SHI"	"方形"	"Diospyros(柿属)"	"橙红"	"--"	"238"	"均匀"
"9"	"Ebenaceae(柿科)"	"--"	"中"	"贮大黄"	"河南洛阳"	"河南"	"差"	"多"	"1.26"	"中"	"14.89"	"24"	"--"	"10.09"	"鲜食"	"19.0"	"中"	"甜"	"水质"	"100.0"	"中"	"--"	"Diospyros kaki L.f(柿)"	"SH0009"	"ZHU DA HUANG"	"扁"	"Diospyros(柿属)"	"橙黄"	"--"	"221"	"均匀"
"10"	"Ebenaceae(柿科)"	"--"	"长"	"襄汾八月红"	"山西襄汾"	"山西"	"较好"	"极多"	"0.93"	"上"	"16.53"	"39"	"--"	"10.10"	"鲜食"	"12.0"	"小"	"甜"	"水质"	"59.0"	"中"	"--"	"Diospyros kaki L.f(柿)"	"SH0010"	"XIANG FEN BA YUE HONG"	"扁"	"Diospyros(柿属)"	"橙红"	"--"	"249"	"不均"
"11"	"Ebenaceae(柿科)"	"--"	"中"	"华阴镜面柿"	"陕西华阴"	"陕西"	"较好"	"少"	"0.75"	"中"	"17.07"	"25"	"--"	"10.10"	"鲜食"	"14.0"	"中"	"稍甜"	"粘质"	"90.0"	"中"	"--"	"Diospyros kaki L.f(柿)"	"SH0011"	"HUA YIN JING MIAN SHI"	"扁"	"Diospyros(柿属)"	"橙红"	"--"	"228"	"不均"
"12"	"Ebenaceae(柿科)"	"--"	"中"	"苍山牛心柿"	"山东苍山"	"山东"	"好"	"少"	"0.69"	"中"	"26.40"	"34"	"--"	"10.10"	"鲜食"	"17.5"	"中"	"甜"	"粘质"	"112.0"	"中"	"--"	"Diospyros kaki L.f(柿)"	"SH0012"	"CANG SHAN NIU XIN SHI"	"卵圆"	"Diospyros(柿属)"	"蜡黄"	"--"	"239"	"均匀"
"13"	"Ebenaceae(柿科)"	"--"	"短"	"伏蒸饼"	"陕西长安"	"陕西"	"好"	"多"	"0.83"	"中上"	"15.63"	"28"	"--"	"10.10"	"鲜食"	"15.0"	"大"	"甜"	"水质"	"155.0"	"中"	"--"	"Diospyros kaki L.f(柿)"	"SH0013"	"FU ZHENG BING"	"方形"	"Diospyros(柿属)"	"橙红"	"--"	"211"	"均匀"
"14"	"Ebenaceae(柿科)"	"--"	"中"	"憋烂锅"	"河南荥阳"	"河南"	"好"	"多"	"0.23"	"中"	"14.88"	"42"	"--"	"10.11"	"鲜食,加工"	"14.5"	"极大"	"稍甜"	"水质"	"313.0"	"中"	"--"	"Diospyros kaki L.f(柿)"	"SH0014"	"BIE LAN GUO"	"馒头"	"Diospyros(柿属)"	"橙红"	"--"	"227"	"不均"
"15"	"Ebenaceae(柿科)"	"--"	"中"	"蒸馍柿"	"河南荥阳"	"河南"	"好"	"多"	"0.51"	"中"	"11.48"	"23"	"--"	"10.11"	"鲜食,加工"	"16.0"	"极大"	"稍甜"	"水质"	"208.0"	"中"	"--"	"Diospyros kaki L.f(柿)"	"SH0015"	"ZHENG MO SHI"	"方形"	"Diospyros(柿属)"	"橙黄"	"--"	"237"	"不均"
