"id"	"熟性"	"科名"	"肉质根形"	"品种名称"	"小裂片对数"	"叶面蜡粉"	"叶面"	"株幅"	"单产"	"省"	"叶裂刻"	"定植期"	"译名"	"叶缘"	"肉质根长"	"播种期"	"属名"	"统一编号"	"芥辣味"	"根肉水分"	"学名"	"抗逆性"	"繁种单位"	"生长期"	"叶柄色"	"贮藏性"	"株型"	"叶色"	"肉质根粗"	"叶面刺毛"	"抗虫性"	"叶形"	"耐涝性"	"耐旱性"	"备注"	"根肉质"	"抗病性"	"收获期"	"单位编号"	"叶翼"	"耐寒性"	"品种来源"	"用途"	"种质库编号"	"栽培时期"	"种子千粒重"	"株高"	"单根重"	"耐热性"
"1"	"--"	"Cruciferae(十字花科)"	"圆球"	"花叶大头菜(辣疙瘩)"	"--"	"--"	"较平"	"--"	"2000"	"安徽"	"--"	"--"	"HUA YE DA TOU CAI (LA GE DA)"	"深锯齿"	"11.0"	"--"	"Brassica(芸薹属)"	"V03C0001"	"淡"	"--"	"Brassica juncea Coss. var. megarrhiza Tsen et Lee(根芥菜)"	"强"	"安徽农科院园艺所"	"--"	"--"	"--"	"--"	"绿"	"10.0"	"--"	"--"	"卵圆"	"--"	"--"	"--"	"艮硬"	"强"	"--"	"Bn3(85)"	"--"	"--"	"安徽蚌埠市"	"腌制"	"Ⅱ3C0001"	"8中-11中下"	"--"	"55.0"	"625.0"	"--"
"2"	"--"	"Cruciferae(十字花科)"	"圆球"	"花叶大头菜"	"--"	"--"	"平滑"	"--"	"1250"	"安徽"	"--"	"--"	"HUA YE DA TOU CAI"	"深锯齿"	"10.0"	"--"	"Brassica(芸薹属)"	"V03C0002"	"浓"	"--"	"Brassica juncea Coss. var. megarrhiza Tsen et Lee(根芥菜)"	"强"	"安徽农科院园艺所"	"120"	"--"	"--"	"--"	"绿"	"9.0"	"--"	"--"	"卵圆"	"--"	"--"	"--"	"艮硬"	"强"	"--"	"Bn3(88)"	"--"	"--"	"安徽怀远县"	"腌制"	"Ⅱ3C0137"	"8上-11下"	"--"	"55.0"	"600.0"	"--"
"3"	"--"	"Cruciferae(十字花科)"	"圆锥"	"板叶大头菜"	"--"	"--"	"微皱"	"--"	"1000"	"安徽"	"--"	"--"	"BAN YE DA TOU CAI"	"波状"	"12.0"	"--"	"Brassica(芸薹属)"	"V03C0003"	"淡"	"--"	"Brassica juncea Coss. var. megarrhiza Tsen et Lee(根芥菜)"	"强"	"安徽农科院园艺所"	"105"	"--"	"--"	"--"	"绿"	"11.0"	"--"	"--"	"卵圆"	"--"	"--"	"--"	"艮硬"	"强"	"--"	"Bn2(88)"	"--"	"--"	"安徽怀远县"	"腌制"	"Ⅱ3C0125"	"7下-11上中"	"--"	"60.0"	"750.0"	"--"
"4"	"--"	"Cruciferae(十字花科)"	"--"	"二道眉"	"--"	"--"	"--"	"--"	"750"	"北京"	"全裂"	"--"	"ER DAO MEI"	"波状"	"--"	"--"	"Brassica(芸薹属)"	"V03C0004"	"--"	"--"	"Brassica juncea Coss. var. megarrhiza Tsen et Lee(根芥菜)"	"--"	"北京蔬菜研究中心"	"88"	"--"	"--"	"--"	"绿"	"--"	"--"	"--"	"倒卵"	"--"	"--"	"--"	"--"	"中弱"	"--"	"B244"	"--"	"--"	"北京"	"--"	"Ⅱ3A0278"	"8上-11下"	"--"	"50.0"	"--"	"--"
"5"	"--"	"Cruciferae(十字花科)"	"长圆椎"	"永安茎用芥"	"--"	"--"	"微皱"	"--"	"1050"	"福建"	"浅裂"	"--"	"YONG AN JING YONG JIE"	"深锯齿"	"18.0"	"--"	"Brassica(芸薹属)"	"V03C0005"	"淡"	"--"	"Brassica juncea Coss. var. megarrhiza Tsen et Lee(根芥菜)"	"中"	"福州市蔬菜科研所"	"125"	"--"	"--"	"--"	"深绿"	"8.0"	"--"	"--"	"椭圆"	"--"	"--"	"--"	"细嫩"	"强"	"--"	"89-Kd-3"	"--"	"--"	"福建永安市"	"熟食加工"	"Ⅱ3C0109"	"(8下.10下)-(12下.2下)"	"--"	"130.0"	"500.0"	"--"
"6"	"--"	"Cruciferae(十字花科)"	"圆筒"	"长乐本地大头菜"	"--"	"--"	"皱缩"	"--"	"1000"	"福建"	"深裂"	"--"	"CHANG LE BEN DI DA TOU CAI"	"深锯齿"	"19.0"	"--"	"Brassica(芸薹属)"	"V03C0006"	"浓"	"--"	"Brassica juncea Coss. var. megarrhiza Tsen et Lee(根芥菜)"	"中"	"福州市蔬菜科研所"	"120"	"--"	"--"	"--"	"深绿"	"9.0"	"--"	"--"	"圆柱"	"--"	"--"	"--"	"艮硬"	"弱"	"--"	"90-T-3"	"--"	"--"	"福州长乐县"	"腌制加工"	"Ⅱ3C0145"	"(9中.12上)-(10上.1上)"	"--"	"32.0"	"400.0"	"--"
"7"	"--"	"Cruciferae(十字花科)"	"圆锥"	"大头菜"	"--"	"--"	"微皱"	"--"	"3000"	"甘肃"	"4-5"	"--"	"DA TOU CAI"	"浅锯齿"	"14.0"	"--"	"Brassica(芸薹属)"	"V03C0007"	"浓"	"--"	"Brassica juncea Coss. var. megarrhiza Tsen et Lee(根芥菜)"	"耐寒"	"甘肃农科院蔬菜所"	"90"	"--"	"--"	"--"	"深绿"	"10.0"	"--"	"--"	"长倒卵"	"--"	"--"	"--"	"艮硬"	"中"	"--"	"甘Ⅱ3C001"	"--"	"--"	"甘肃兰州市"	"腌制"	"Ⅱ3C0040"	"7中下-10下"	"--"	"57.0"	"287.5"	"--"
"8"	"--"	"Cruciferae(十字花科)"	"圆锥"	"花芥"	"--"	"--"	"微皱"	"--"	"875"	"甘肃"	"7"	"--"	"HUA JIE"	"深锯齿"	"14.0"	"--"	"Brassica(芸薹属)"	"V03C0008"	"中"	"--"	"Brassica juncea Coss. var. megarrhiza Tsen et Lee(根芥菜)"	"耐寒旱"	"甘肃农科院蔬菜所"	"90"	"--"	"--"	"--"	"黄绿"	"8.0"	"--"	"--"	"长倒卵"	"--"	"--"	"--"	"艮硬"	"耐病"	"--"	"甘Ⅱ3C002"	"--"	"--"	"甘肃天水市"	"腌制"	"Ⅱ3C0041"	"7中下-10下"	"--"	"27.0"	"220.0"	"--"
"9"	"--"	"Cruciferae(十字花科)"	"长圆柱"	"杂交荷塘头菜"	"--"	"--"	"微皱"	"--"	"1500"	"广东"	"--"	"--"	"ZA JIAO HE TANG TOU CAI"	"深锯齿"	"12.5"	"--"	"Brassica(芸薹属)"	"V03C0009"	"浓"	"--"	"Brassica juncea Coss. var. megarrhiza Tsen et Lee(根芥菜)"	"强"	"广东农科院经作所"	"130"	"--"	"--"	"--"	"深绿"	"3.5"	"--"	"--"	"长披针"	"--"	"--"	"--"	"松脆"	"中"	"--"	"G11-6"	"--"	"--"	"广东东莞市"	"腌制"	"Ⅱ3C0088"	"(9上-10下)-(12下-1下)"	"--"	"62.0"	"500.0"	"--"
"10"	"--"	"Cruciferae(十字花科)"	"圆柱"	"灰叶头菜"	"--"	"--"	"微皱"	"--"	"1500"	"广东"	"--"	"--"	"HUI YE TOU CAI"	"深锯齿"	"10.0"	"--"	"Brassica(芸薹属)"	"V03C0010"	"浓"	"--"	"Brassica juncea Coss. var. megarrhiza Tsen et Lee(根芥菜)"	"强"	"广东农科院经作所"	"90"	"--"	"--"	"--"	"灰绿"	"5.0"	"--"	"--"	"长披针"	"--"	"--"	"--"	"松脆"	"强"	"--"	"G11-3"	"--"	"--"	"广东番禺县"	"腌制"	"Ⅱ3C0062"	"(9上-10下)-(12下-1下)"	"--"	"52.0"	"600.0"	"--"
