"id"	"彩色"	"科名"	"可溶性酸"	"可溶固形物"	"品种名称"	"省"	"原产地"	"生育期"	"外观评价"	"汁液"	"内质评价"	"花粉有无"	"维生素C"	"风味"	"特异及用途"	"单果重评价"	"肉色"	"果实成熟期"	"肉质"	"单果重G"	"成熟期评价"	"可溶性糖"	"学名"	"统一编号"	"译名"	"果形"	"属名"	"核粘离性"	"底色"
"1"	"红"	"Rosaceae(蔷薇科)"	"0.41"	"11.1"	"2-4-7"	"辽宁"	"辽宁大连"	"117"	"差"	"少"	"中"	"有"	"8.88"	"甜"	"--"	"极大"	"白"	"8.19"	"硬溶"	"181.0"	"中"	"7.90"	"Prunus persica L.(桃)"	"TE0001"	"2-4-7"	"圆"	"Prunus(李属)"	"粘"	"白"
"2"	"红"	"Rosaceae(蔷薇科)"	"0.68"	"16.9"	"2-7-2"	"辽宁"	"辽宁大连"	"101"	"中"	"少"	"中上"	"有"	"7.93"	"甜"	"--"	"大"	"白"	"8.05"	"硬溶"	"150.0"	"中"	"8.51"	"Prunus persica L.(桃)"	"TE0002"	"2-7-2"	"圆"	"Prunus(李属)"	"粘"	"绿白"
"3"	"无"	"Rosaceae(蔷薇科)"	"0.31"	"9.0"	"4407"	"浙江"	"浙江杭州"	"81"	"中"	"中"	"中"	"有"	"4.47"	"甜"	"--"	"大"	"白"	"7.11"	"硬溶"	"127.0"	"早"	"7.34"	"Prunus persica L.(桃)"	"TE0003"	"4407"	"圆"	"Prunus(李属)"	"粘"	"乳白"
"4"	"红"	"Rosaceae(蔷薇科)"	"0.28"	"8.7"	"60-13-1"	"北京"	"北京"	"86"	"好"	"少"	"上"	"有"	"6.43"	"酸甜"	"鲜食"	"大"	"白"	"7.03"	"软溶"	"136.0"	"早"	"5.55"	"Prunus persica L.(桃)"	"TK0004"	"60-13-1"	"圆"	"Prunus(李属)"	"半离"	"乳黄"
"5"	"红"	"Rosaceae(蔷薇科)"	"0.71"	"12.5"	"62-2-13"	"北京"	"北京"	"131"	"中"	"中"	"中"	"有"	"8.57"	"甜"	"--"	"极大"	"白"	"8.31"	"硬溶"	"213.0"	"晚"	"8.89"	"Prunus persica L.(桃)"	"TE0005"	"62-2-13"	"椭圆"	"Prunus(李属)"	"粘"	"乳白"
"6"	"红"	"Rosaceae(蔷薇科)"	"0.47"	"10.4"	"63-2-8"	"北京"	"北京"	"96"	"中"	"中"	"中"	"无"	"6.45"	"甜"	"--"	"极大"	"白"	"7.27"	"硬溶"	"291.0"	"中"	"7.32"	"Prunus persica L.(桃)"	"TE0006"	"63-2-8"	"椭圆"	"Prunus(李属)"	"粘"	"乳白"
"7"	"红"	"Rosaceae(蔷薇科)"	"0.45"	"13.9"	"64-2-13"	"北京"	"北京"	"155"	"中"	"中"	"中上"	"有"	"10.87"	"甜"	"--"	"极大"	"白"	"9.24"	"硬溶"	"222.0"	"极晚"	"8.00"	"Prunus persica L.(桃)"	"TE0007"	"64-2-13"	"圆"	"Prunus(李属)"	"粘"	"乳白"
"8"	"红"	"Rosaceae(蔷薇科)"	"0.41"	"10.3"	"64-3-6"	"北京"	"北京"	"85"	"中"	"中"	"中"	"有"	"8.20"	"甜"	"--"	"极大"	"白"	"7.17"	"硬溶"	"171.0"	"早"	"7.98"	"Prunus persica L.(桃)"	"TE0008"	"64-3-6"	"椭圆"	"Prunus(李属)"	"半离"	"乳白"
"9"	"红"	"Rosaceae(蔷薇科)"	"0.44"	"11.5"	"64-7-10"	"北京"	"北京"	"112"	"中"	"中"	"中上"	"无"	"6.96"	"酸甜适中"	"--"	"极大"	"白"	"--"	"硬溶"	"218.0"	"中"	"6.94"	"Prunus persica L.(桃)"	"TE0009"	"64-7-10"	"椭圆"	"Prunus(李属)"	"粘"	"白"
"10"	"红"	"Rosaceae(蔷薇科)"	"0.47"	"14.0"	"64-8-18"	"北京"	"北京"	"134"	"中"	"中"	"中"	"有"	"5.63"	"酸甜"	"--"	"极大"	"白"	"9.05"	"硬溶"	"178.0"	"晚"	"12.00"	"Prunus persica L.(桃)"	"TE0010"	"64-8-18"	"椭圆"	"Prunus(李属)"	"离"	"白"
"11"	"粉红"	"Rosaceae(蔷薇科)"	"0.53"	"12.6"	"65-2-9"	"北京"	"北京"	"153"	"中"	"中"	"中上"	"有"	"6.62"	"酸甜"	"--"	"极大"	"白"	"9.23"	"硬溶"	"238.0"	"极晚"	"9.54"	"Prunus persica L.(桃)"	"TE0011"	"65-2-9"	"圆"	"Prunus(李属)"	"粘"	"白"
"12"	"红"	"Rosaceae(蔷薇科)"	"0.21"	"12.2"	"72-2-4"	"江苏"	"江苏南京"	"88"	"好"	"多"	"上"	"无"	"4.58"	"甜"	"鲜食"	"大"	"白"	"7.10"	"软溶"	"137.0"	"早"	"5.90"	"Prunus persica L.(桃)"	"TK0012"	"72-2-4"	"圆"	"Prunus(李属)"	"粘"	"乳黄"
"13"	"红"	"Rosaceae(蔷薇科)"	"0.17"	"13.7"	"63-6-4"	"江苏"	"江苏南京"	"124"	"好"	"多"	"上"	"有"	"6.99"	"甜"	"鲜食"	"大"	"白"	"8.15"	"软溶"	"139.0"	"晚"	"9.38"	"Prunus persica L.(桃)"	"TK0013"	"63-6-4"	"圆"	"Prunus(李属)"	"粘"	"乳黄"
"14"	"红"	"Rosaceae(蔷薇科)"	"0.24"	"12.0"	"73-9-2"	"江苏"	"江苏南京"	"115"	"好"	"中"	"上"	"无"	"6.99"	"甜"	"鲜食"	"极大"	"白"	"7.29"	"硬溶"	"236.0"	"中"	"9.64"	"Prunus persica L.(桃)"	"TK0014"	"73-9-2"	"圆"	"Prunus(李属)"	"粘"	"乳黄"
"15"	"红"	"Rosaceae(蔷薇科)"	"0.25"	"11.8"	"75-12-8"	"江苏"	"江苏南京"	"112"	"好"	"中"	"上"	"有"	"6.92"	"甜"	"--"	"大"	"白"	"7.30"	"硬溶"	"133.0"	"中"	"8.75"	"Prunus persica L.(桃)"	"TK0015"	"75-12-8"	"圆"	"Prunus(李属)"	"粘"	"乳黄"
"16"	"红"	"Rosaceae(蔷薇科)"	"0.09"	"7.5"	"77-30-8"	"江苏"	"江苏南京"	"80"	"好"	"中"	"中"	"有"	"5.42"	"甜"	"--"	"大"	"白"	"6.25"	"软溶"	"131.0"	"早"	"6.23"	"Prunus persica L.(桃)"	"TK0016"	"77-30-8"	"圆"	"Prunus(李属)"	"半离"	"乳黄"
"17"	"粉红"	"Rosaceae(蔷薇科)"	"0.15"	"10.0"	"80-2-3"	"江苏"	"江苏南京"	"84"	"好"	"多"	"中"	"有"	"6.22"	"甜"	"--"	"大"	"白"	"6.26"	"软溶"	"124.0"	"早"	"7.45"	"Prunus persica L.(桃)"	"TK0017"	"80-2-3"	"圆"	"Prunus(李属)"	"半离"	"乳黄"
"18"	"红"	"Rosaceae(蔷薇科)"	"0.14"	"11.9"	"80-8-14"	"江苏"	"江苏南京"	"80"	"好"	"多"	"上"	"无"	"4.82"	"甜"	"--"	"中"	"白"	"6.28"	"软溶"	"89.6"	"早"	"7.55"	"Prunus persica L.(桃)"	"TK0018"	"80-8-14"	"椭圆"	"Prunus(李属)"	"粘"	"乳黄"
"19"	"粉红"	"Rosaceae(蔷薇科)"	"0.21"	"9.5"	"80-8-30"	"江苏"	"江苏南京"	"85"	"好"	"多"	"中上"	"有"	"5.18"	"酸甜"	"--"	"大"	"白"	"--"	"软溶"	"126.0"	"早"	"6.74"	"Prunus persica L.(桃)"	"TK0019"	"80-8-30"	"圆"	"Prunus(李属)"	"半离"	"乳黄"
"20"	"红"	"Rosaceae(蔷薇科)"	"0.13"	"10.5"	"81-10-84"	"江苏"	"江苏南京"	"74"	"好"	"多"	"上"	"有"	"7.76"	"甜"	"鲜食"	"中"	"白"	"6.16"	"软溶"	"110.0"	"早"	"6.37"	"Prunus persica L.(桃)"	"TK0020"	"81-10-84"	"椭圆"	"Prunus(李属)"	"粘"	"乳黄"
"21"	"紫红"	"Rosaceae(蔷薇科)"	"0.58"	"9.0"	"B8R6T58"	"国外"	"美国"	"72"	"中"	"中"	"中"	"有"	"9.17"	"酸甜"	"--"	"中"	"白"	"7.06"	"硬溶"	"104.0"	"早"	"7.10"	"Prunus persica L.(桃)"	"TE0026"	"B8R6T58"	"椭圆"	"Prunus(李属)"	"粘"	"乳白"
"22"	"紫红"	"Rosaceae(蔷薇科)"	"0.78"	"9.6"	"D2R32T158"	"国外"	"美国"	"77"	"中"	"中"	"中"	"有"	"19.88"	"酸甜"	"--"	"中"	"白"	"6.22"	"硬溶"	"90.9"	"早"	"7.93"	"Prunus persica L.(桃)"	"TG0027"	"D2R32T158"	"圆"	"Prunus(李属)"	"粘"	"乳白"
"23"	"红"	"Rosaceae(蔷薇科)"	"0.68"	"10.3"	"D2R32T158"	"国外"	"美国"	"67"	"中"	"中"	"中下"	"有"	"10.76"	"酸甜"	"--"	"中"	"白"	"7.01"	"硬溶"	"119.0"	"早"	"6.91"	"Prunus persica L.(桃)"	"TE0027"	"D2R32T158"	"椭圆"	"Prunus(李属)"	"粘"	"乳白"
"24"	"红"	"Rosaceae(蔷薇科)"	"0.85"	"11.0"	"NJ250"	"国外"	"美国"	"107"	"中"	"中"	"中"	"有"	"5.65"	"酸甜"	"--"	"极大"	"白"	"8.12"	"硬溶"	"234.0"	"中"	"6.04"	"Prunus persica L.(桃)"	"TE0028"	"NJ250"	"椭圆"	"Prunus(李属)"	"离"	"乳白"
"25"	"红"	"Rosaceae(蔷薇科)"	"0.99"	"10.0"	"NJ251"	"国外"	"美国"	"112"	"中"	"中"	"中下"	"有"	"8.85"	"酸"	"--"	"极大"	"白"	"8.15"	"硬溶"	"229.0"	"中"	"7.56"	"Prunus persica L.(桃)"	"TE0029"	"NJ251"	"椭圆"	"Prunus(李属)"	"半离"	"乳白"
"26"	"红"	"Rosaceae(蔷薇科)"	"0.92"	"11.5"	"NJ252"	"国外"	"美国"	"123"	"中"	"中"	"中"	"有"	"8.51"	"酸甜"	"--"	"极大"	"白"	"8.28"	"软溶"	"200.0"	"晚"	"9.80"	"Prunus persica L.(桃)"	"TE0030"	"NJ252"	"圆"	"Prunus(李属)"	"离"	"乳白"
"27"	"红"	"Rosaceae(蔷薇科)"	"0.93"	"11.2"	"NJ257"	"国外"	"美国"	"127"	"中"	"中"	"中"	"有"	"6.74"	"酸甜"	"--"	"极大"	"白"	"8.31"	"软溶"	"196.0"	"晚"	"8.44"	"Prunus persica L.(桃)"	"TE0031"	"NJ257"	"椭圆"	"Prunus(李属)"	"离"	"乳白"
"28"	"红"	"Rosaceae(蔷薇科)"	"0.78"	"9.9"	"阿目斯丁"	"国外"	"美国"	"83"	"好"	"中"	"中"	"有"	"8.43"	"酸甜适中"	"--"	"中"	"白"	"6.29"	"软溶"	"103.0"	"早"	"7.46"	"Prunus persica L.(桃)"	"TK0056"	"A MU SI DING"	"圆"	"Prunus(李属)"	"半离"	"乳黄"
"29"	"紫红"	"Rosaceae(蔷薇科)"	"0.48"	"11.3"	"阿目斯丁"	"国外"	"美国"	"69"	"中"	"多"	"中"	"有"	"12.67"	"酸甜适中"	"早熟亲本"	"中"	"白"	"6.16"	"软溶"	"83.2"	"早"	"6.43"	"Prunus persica L.(桃)"	"TG0056"	"A MU SI DING"	"圆"	"Prunus(李属)"	"半离"	"绿白"
"30"	"紫红"	"Rosaceae(蔷薇科)"	"0.32"	"10.1"	"阿目斯丁"	"国外"	"美国"	"69"	"好"	"中"	"中下"	"有"	"6.74"	"甜酸"	"--"	"中"	"白"	"7.03"	"软溶"	"85.0"	"早"	"6.49"	"Prunus persica L.(桃)"	"TE0056"	"A MU SI DING"	"圆"	"Prunus(李属)"	"半离"	"绿白"
"31"	"红"	"Rosaceae(蔷薇科)"	"0.23"	"11.5"	"白凤"	"国外"	"日本"	"93"	"好"	"中"	"中上"	"有"	"5.16"	"甜"	"鲜食"	"中"	"白"	"7.11"	"硬溶"	"114.0"	"中"	"7.89"	"Prunus persica L.(桃)"	"TK0058"	"BAI FENG"	"圆"	"Prunus(李属)"	"粘"	"乳白"
"32"	"红"	"Rosaceae(蔷薇科)"	"0.21"	"11.0"	"白凤"	"国外"	"日本"	"100"	"好"	"中"	"上"	"有"	"11.00"	"甜"	"鲜食优良亲本"	"中"	"白"	"7.14"	"硬溶"	"106.9"	"中"	"8.61"	"Prunus persica L.(桃)"	"TG0058"	"BAI FENG"	"圆"	"Prunus(李属)"	"粘"	"乳白"
"33"	"红"	"Rosaceae(蔷薇科)"	"0.35"	"8.8"	"白凤"	"国外"	"日本"	"113"	"好"	"中"	"中上"	"有"	"7.98"	"甜"	"鲜食"	"中"	"白"	"7.29"	"硬溶"	"110.0"	"中"	"9.01"	"Prunus persica L.(桃)"	"TE0058"	"BAI FENG"	"圆"	"Prunus(李属)"	"粘"	"乳白"
