"id"	"嫩叶颜色"	"芽着生状态"	"叶脉"	"秋可溶糖"	"春担桑茧量"	"萎缩萎缩病"	"叶面粗滑"	"发芽期"	"秋公斤叶数"	"叶硬化期"	"枝条长短"	"叶缘"	"省"	"秋万茧层量"	"开叶期"	"枝态"	"统一编号"	"花叶萎缩病"	"叶厚薄"	"属名"	"春可溶糖"	"株产叶量"	"成熟期"	"发芽率"	"染色体数"	"春万头茧量"	"保存单位"	"叶尖"	"亩产叶量"	"黑枯细菌病"	"叶着生状态"	"雄穗多少"	"污叶病"	"叶背毛"	"叶面光泽"	"枝条皮色"	"椹颜色"	"花柱有无"	"叶长"	"叶缘芒刺"	"发条力"	"皮孔个"	"耐寒性"	"椹梗叶"	"叶基"	"白粉病"	"青枯病"	"科名"	"种子来源地"	"品种名称"	"副芽多少"	"耐湿性"	"叶面缩"	"节间长"	"叶形状"	"冬芽颜色"	"枝条曲直"	"秋粗蛋白"	"秋万头茧量"	"译名"	"叶面毛"	"秋担桑茧量"	"叶幅"	"椹结实性"	"学名"	"原产地"	"雄穗长度"	"褐斑病"	"冬芽形状"	"秋米条叶"	"花性"	"黄化萎缩病"	"叶色"	"椹多少"	"春万茧层量"	"枝条粗细"	"椹长度"	"叶序"	"生长芽率"	"春米条叶"	"叶柄长"	"耐旱性"	"梢梗叶"	"条梗叶"	"春公斤叶数"	"春粗蛋白"	"花叶开放序"	"实用分类"	"缩叶细菌病"	"叶梗叶"	"柱头毛或突"
"1"	"绿带紫红"	"--"	"基脉五出"	"--"	"--"	"中抗"	"光滑"	"4月8-14日"	"176"	"--"	"中"	"乳头齿"	"河北"	"--"	"--"	"斜生"	"02-00001"	"抗"	"厚"	"Morus(桑属)"	"--"	"1.700"	"5月中旬初"	"70.0"	"二倍体"	"--"	"中国农科院蚕业所"	"锐头"	"850.0"	"中抗"	"--"	"较少"	"感病"	"无"	"较强"	"灰棕"	"紫红"	"无"	"23.0"	"无"	"中"	"9.0"	"强"	"1.0"	"浅心形"	"中抗"	"--"	"Moraceae(桑科)"	"河北省元氏县"	"牛筋桑"	"--"	"中"	"微缩皱"	"4.0"	"心脏形"	"--"	"微曲"	"--"	"--"	"NIU JIN SANG"	"无"	"--"	"19.0"	"中等"	"Morus multicaulis Perr.(鲁桑)"	"河北省元氏县"	"短"	"--"	"--"	"143.0"	"雌雄花同株"	"中抗"	"深绿"	"少"	"--"	"粗"	"中等"	"2/5"	"16.00"	"156.0"	"7.0"	"中"	"33.0"	"6.00"	"490"	"--"	"花叶同开"	"--"	"中抗"	"60.0"	"突起"
"2"	"绿带紫红"	"--"	"基脉五出"	"--"	"6.430"	"抗"	"光滑"	"4月10-15日"	"220"	"--"	"中"	"乳头齿"	"河北"	"4.088"	"--"	"斜生"	"02-00002"	"抗"	"较厚"	"Morus(桑属)"	"13.38"	"2.200"	"5月中旬初"	"82.0"	"二倍体"	"22.190"	"中国农科院蚕业所"	"锐头"	"1100.0"	"感病"	"--"	"较少"	"感病"	"无"	"较强"	"灰棕"	"紫红"	"无"	"20.0"	"无"	"中"	"9.0"	"强"	"0.4"	"心形"	"中抗"	"--"	"Moraceae(桑科)"	"河北省青龙县"	"椤桑"	"--"	"中"	"微缩皱"	"4.3"	"心脏形"	"--"	"曲"	"--"	"19.259"	"LUO SANG"	"无"	"6.740"	"16.0"	"中等"	"Morus multicaulis Perr.(鲁桑)"	"河北省青龙县"	"中等"	"抗"	"--"	"100.0"	"雌雄花同株"	"中抗"	"翠绿"	"少"	"5.212"	"粗"	"中"	"2/5"	"12.00"	"190.0"	"5.5"	"中"	"8.0"	"34.40"	"600"	"26.15"	"花叶同开"	"--"	"抗"	"59.2"	"突起"
"3"	"绿带紫红"	"--"	"基脉五出"	"--"	"6.040"	"抗"	"光滑"	"4月7-14日"	"208"	"--"	"长"	"乳头齿"	"河北"	"3.592"	"--"	"直立"	"02-00003"	"抗"	"较厚"	"Morus(桑属)"	"12.50"	"2.660"	"5月中旬末"	"73.0"	"二位体"	"18.000"	"中国农科院蚕业所"	"锐头"	"1330.0"	"中抗"	"--"	"无"	"感病"	"无"	"中"	"黄褐"	"紫黑"	"无"	"20.0"	"无"	"中"	"7.0"	"较强"	"0.4"	"浅心形"	"中抗"	"--"	"Moraceae(桑科)"	"河北省井陉县"	"芦桑"	"--"	"中"	"泡皱"	"4.5"	"卵圆形"	"--"	"直"	"--"	"17.500"	"LU SANG"	"无"	"6.500"	"16.0"	"中等"	"Morus multicaulis Perr.(鲁桑)"	"河北省井陉县"	"--"	"中抗"	"--"	"105.0"	"雌花"	"抗"	"翠绿"	"少"	"4.057"	"粗"	"短"	"2/5"	"30.00"	"180.0"	"5.5"	"中"	"7.0"	"36.00"	"410"	"20.72"	"先叶后花"	"--"	"中感"	"56.6"	"突起"
"4"	"绿带紫红"	"--"	"基脉五出"	"--"	"5.700"	"--"	"光滑"	"4月7-13日"	"276"	"--"	"长"	"乳头齿"	"河北"	"3.925"	"--"	"斜生"	"02-00005"	"抗"	"较厚"	"Morus(桑属)"	"11.38"	"1.760"	"5月中旬初"	"75.0"	"二位体"	"19.410"	"中国农科院蚕业所"	"锐头"	"880.0"	"中抗"	"--"	"少"	"中抗"	"无"	"较强"	"黄棕"	"紫兰"	"无"	"19.0"	"无"	"中"	"10.0"	"强"	"0.6"	"心形"	"抗"	"--"	"Moraceae(桑科)"	"河北省深县"	"大碗桑"	"--"	"中"	"无缩皱"	"4.0"	"心脏形"	"--"	"曲"	"--"	"17.710"	"DA WAN SANG"	"无"	"6.200"	"17.0"	"中等"	"Morus multicaulis Perr.(鲁桑)"	"河北省深县"	"短"	"--"	"--"	"90.0"	"雌雄花同株"	"感病"	"翠绿"	"少"	"4.742"	"粗"	"短"	"2/5"	"11.00"	"160.0"	"6.0"	"中"	"40.5"	"7.80"	"548"	"25.29"	"花叶同开"	"--"	"--"	"51.1"	"突起"
"5"	"绿带紫红"	"--"	"基脉五出"	"--"	"--"	"--"	"光滑"	"4月11-16日"	"350"	"--"	"中"	"乳头齿"	"河北"	"--"	"--"	"直立"	"02-00006"	"--"	"较厚"	"Morus(桑属)"	"--"	"1.640"	"5月中旬初"	"67.0"	"二倍体"	"--"	"中国农科院蚕业所"	"锐头"	"820.0"	"中抗"	"--"	"少"	"感病"	"无"	"中"	"青灰"	"紫黑"	"--"	"18.0"	"无"	"强"	"9.0"	"强"	"0.4"	"心形"	"中抗"	"--"	"Moraceae(桑科)"	"河北省深县"	"铁耙桑"	"--"	"中"	"波皱"	"3.5"	"阔心脏形"	"--"	"直"	"--"	"--"	"TIE BA SANG"	"无"	"--"	"16.0"	"强"	"Morus multicaulis Perr.(鲁桑)"	"河北省深县"	"短"	"--"	"--"	"177.0"	"雌雄花同株"	"中抗"	"深绿"	"少"	"--"	"中等"	"短"	"2/5"	"27.00"	"227.0"	"5.5"	"强"	"30.0"	"13.30"	"570"	"--"	"先叶后花"	"--"	"--"	"56.3"	"--"
"6"	"绿带紫红"	"--"	"基脉五出"	"--"	"5.370"	"--"	"光滑"	"4月10-14日"	"216"	"--"	"中"	"乳头齿"	"河北"	"4.204"	"--"	"直立"	"02-00007"	"--"	"较厚"	"Morus(桑属)"	"14.33"	"2.800"	"5月中旬末"	"74.0"	"二倍体"	"18.300"	"中国农科院蚕业所"	"锐头"	"1400.0"	"感病"	"--"	"少"	"中抗"	"无"	"中"	"灰褐"	"紫黑"	"无"	"22.0"	"无"	"中"	"12.0"	"较强"	"0.4"	"深心形"	"抗"	"--"	"Moraceae(桑科)"	"河北省邢台蚕种场"	"深县黄鲁"	"--"	"--"	"微缩皱"	"4.0"	"长心脏形"	"--"	"直"	"--"	"19.670"	"SHEN XIAN HUANG LU"	"无"	"6.950"	"16.0"	"强"	"Morus multicaulis Perr.(鲁桑)"	"河北省邢台市"	"中等"	"--"	"--"	"122.0"	"雌雄花同株"	"--"	"翠绿"	"少"	"4.059"	"粗"	"短"	"2/5"	"22.00"	"174.0"	"7.0"	"中"	"68.0"	"39.60"	"500"	"23.68"	"花叶同开"	"--"	"中抗"	"52.0"	"突起"
"7"	"淡绿"	"--"	"基脉五出"	"14.38"	"5.380"	"--"	"光滑"	"4月8-12日"	"432"	"--"	"长"	"乳头齿"	"河北"	"4.145"	"--"	"直立"	"02-00008"	"--"	"中等"	"Morus(桑属)"	"11.50"	"1.760"	"5月中旬初"	"66.0"	"二倍体"	"16.430"	"中国农科院蚕业所"	"锐头"	"880.0"	"中抗"	"--"	"--"	"中抗"	"无"	"较强"	"棕褐"	"黑"	"无"	"16.0"	"无"	"强"	"6.0"	"较强"	"14.0"	"心形"	"中抗"	"--"	"Moraceae(桑科)"	"河北省里县"	"黑椹桑"	"--"	"中"	"无绉"	"4.0"	"心脏形"	"--"	"微曲"	"19.920"	"19.790"	"HEI SHEN SANG"	"无"	"7.040"	"13.0"	"强"	"Morus alba Linn.(白桑)"	"河北省里县"	"--"	"--"	"--"	"60.0"	"雌花"	"--"	"深绿"	"多"	"3.463"	"细"	"短"	"3/8"	"10.00"	"64.0"	"5.5"	"中"	"5.7"	"46.70"	"1532"	"24.75"	"先叶后花"	"--"	"--"	"35.6"	"突起"
"8"	"绿带紫红"	"--"	"基脉五出"	"--"	"--"	"--"	"光滑"	"4月7-13日"	"720"	"--"	"长"	"乳头齿"	"河北"	"--"	"--"	"直立"	"02-00009"	"--"	"厚"	"Morus(桑属)"	"--"	"1.540"	"5月中旬初"	"70.0"	"二倍体"	"--"	"中国农科院蚕业所"	"短尾状"	"772.0"	"感病"	"--"	"无"	"中抗"	"无"	"中"	"灰褐"	"粉红"	"无"	"13.0"	"无"	"强"	"6.0"	"较强"	"22.0"	"浅心形"	"中抗"	"--"	"Moraceae(桑科)"	"河北省里县"	"小白粉"	"--"	"中"	"无缩皱"	"4.0"	"卵圆形"	"--"	"直"	"--"	"--"	"XIAO BAI FEN"	"无"	"--"	"9.0"	"强"	"Morus multicaulis Perr.(鲁桑)"	"河北省里县"	"--"	"--"	"--"	"51.0"	"雌花"	"--"	"翠绿"	"多"	"--"	"细"	"短"	"2/5"	"17.50"	"52.0"	"4.5"	"中"	"5.0"	"38.00"	"2000"	"--"	"先叶后花"	"--"	"抗"	"350.0"	"突起"
"9"	"绿带紫红"	"--"	"基脉五出或三出"	"--"	"--"	"--"	"光滑"	"4月8-15日"	"620"	"--"	"长"	"钝齿"	"河北"	"--"	"--"	"直立"	"02-00010"	"--"	"较厚"	"Morus(桑属)"	"--"	"1.300"	"5月中旬初"	"70.0"	"二倍体"	"--"	"中国农科院蚕业所"	"短尾状"	"650.0"	"中抗"	"--"	"无"	"中抗"	"无"	"中"	"灰棕"	"玉白"	"无"	"15.0"	"无"	"强"	"6.0"	"较强"	"26.0"	"深心形"	"抗"	"--"	"Moraceae(桑科)"	"河北省东光县"	"东光大白"	"--"	"中"	"无缩皱"	"3.5"	"心脏形"	"--"	"直"	"--"	"--"	"DONG GUANG DA BAI"	"无"	"--"	"12.0"	"强"	"Morus alba Linn.(白桑)"	"河北省东光县"	"--"	"--"	"--"	"65.0"	"雌花"	"--"	"翠绿"	"多"	"--"	"细"	"中等"	"2/5"	"17.00"	"85.0"	"5.5"	"中"	"7.0"	"26.00"	"1220"	"--"	"先叶后花"	"--"	"--"	"41.0"	"突起"
"10"	"黄绿"	"--"	"基脉五出"	"--"	"--"	"--"	"光滑"	"4月8-15日"	"1050"	"--"	"中"	"钝齿"	"河北"	"--"	"--"	"直立"	"02-00011"	"--"	"较厚"	"Morus(桑属)"	"--"	"1.380"	"5月中旬初"	"71.0"	"二倍体"	"--"	"中国农科院蚕业所"	"锐头"	"693.0"	"抗"	"--"	"无"	"中抗"	"无"	"中"	"棕褐"	"粉红"	"无"	"15.0"	"无"	"强"	"9.0"	"较强"	"19.0"	"浅心形"	"中抗"	"--"	"Moraceae(桑科)"	"河北省东光县"	"东光小白"	"--"	"中"	"无缩皱"	"3.3"	"卵圆形"	"--"	"直"	"--"	"--"	"DONG GUANG XIAO BAI"	"无"	"--"	"11.0"	"强"	"Morus alba Linn.(白桑)"	"河北省东光县"	"--"	"--"	"--"	"65.0"	"雌花"	"--"	"深绿"	"多"	"--"	"细"	"短"	"2/5"	"5.00"	"74.0"	"5.5"	"中"	"5.0"	"35.00"	"1450"	"--"	"先叶后花"	"--"	"--"	"41.0"	"突起"
