"id"	"科名"	"生育期评价"	"品种名称"	"始果年龄"	"生育期D"	"省"	"外观评价"	"汁液"	"内质评价"	"早果性评价"	"维生素C"	"风味"	"特异及用途"	"可溶固形物"	"单果重评价"	"果实成熟期"	"肉质"	"可滴定酸％"	"果形"	"成熟期评价"	"学名"	"统一编号"	"译名"	"单果重G"	"属名"	"色泽"	"可溶性糖％"	"原产地"
"1"	"Rosaceae(蔷薇科)"	"中"	"早酥"	"3"	"209"	"辽宁"	"好"	"极多"	"上"	"早"	"3.70"	"淡甜"	"早熟,丰产,可适量发展"	"11.00"	"大"	"8月中"	"细松脆"	"0.280"	"圆锥"	"早"	"Pyrus spp.(梨)"	"LIB0001"	"ZAO SU"	"233.70"	"Pyrus(梨属)"	"黄绿"	"7.23"	"辽宁兴城"
"2"	"Rosaceae(蔷薇科)"	"长"	"济南小黄"	"6"	"211"	"山东"	"中"	"多"	"中"	"晚"	"5.22"	"酸甜"	"--"	"10.86"	"中"	"8月下"	"中粗脆"	"0.240"	"长圆"	"中"	"Pyrus spp.(梨)"	"LIB0002"	"JI NAN XIAO HUANG"	"107.70"	"Pyrus(梨属)"	"黄绿"	"7.62"	"山东济南"
"3"	"Rosaceae(蔷薇科)"	"中"	"济南小白"	"6"	"207"	"山东"	"中"	"中"	"中上"	"晚"	"6.60"	"酸甜"	"--"	"10.10"	"中"	"8月下"	"中粗脆"	"0.100"	"长圆"	"中"	"Pyrus spp.(梨)"	"LIB0003"	"JI NAN XIAO BAI"	"122.40"	"Pyrus(梨属)"	"黄绿"	"7.61"	"山东长清"
"4"	"Rosaceae(蔷薇科)"	"长"	"桔蜜"	"6"	"217"	"辽宁"	"中"	"中"	"上"	"晚"	"5.58"	"甜"	"含糖量高,可用于育种"	"14.40"	"中"	"8月下"	"中脆"	"0.140"	"圆"	"中"	"Pyrus spp.(梨)"	"LIB0004"	"JIE MI"	"132.90"	"Pyrus(梨属)"	"绿"	"10.30"	"辽宁兴城"
"5"	"Rosaceae(蔷薇科)"	"长"	"桔蜜"	"6"	"217"	"辽宁"	"中"	"中"	"上"	"晚"	"5.58"	"甜"	"含糖量高,可用于育种"	"14.40"	"中"	"8月下"	"中脆"	"0.140"	"圆"	"中"	"Pyrus spp.(梨)"	"LIB0004"	"JIE MI"	"132.90"	"Pyrus(梨属)"	"绿"	"10.30"	"辽宁兴城"
"6"	"Rosaceae(蔷薇科)"	"长"	"桔蜜"	"6"	"228"	"辽宁"	"中"	"少"	"中上"	"晚"	"0.99"	"甜"	"含糖高,可作育种用"	"13.87"	"中"	"8月上"	"中粗紧"	"0.155"	"扁圆"	"中"	"Pyrus spp.(梨)"	"LIB0004"	"JIE MI"	"106.00"	"Pyrus(梨属)"	"绿"	"8.65"	"辽宁兴城"
"7"	"Rosaceae(蔷薇科)"	"长"	"伏梨(昌)"	"6"	"212"	"河北"	"中"	"中"	"中"	"晚"	"--"	"酸甜"	"--"	"12.00"	"中"	"9月上"	"中松脆"	"0.310"	"圆"	"中"	"Pyrus hopeiensis Yu(河北梨)"	"LIB0006"	"FU LI (CHANG )"	"101.50"	"Pyrus(梨属)"	"绿"	"7.30"	"河北定县"
"8"	"Rosaceae(蔷薇科)"	"极长"	"酥梅"	"6"	"227"	"青海"	"中"	"多"	"中上"	"晚"	"--"	"甜酸"	"--"	"12.33"	"小"	"9月上"	"中松脆"	"0.410"	"长圆"	"中"	"Pyrus spp.(梨)"	"LIB0007"	"SU MEI"	"93.50"	"Pyrus(梨属)"	"淡绿"	"7.93"	"青海"
"9"	"Rosaceae(蔷薇科)"	"极长"	"冰糖"	"6"	"221"	"青海"	"中"	"极多"	"中上"	"晚"	"2.65"	"甜"	"--"	"12.75"	"中"	"9月中"	"中松脆"	"0.130"	"近圆"	"中"	"Pyrus spp.(梨)"	"LIB0008"	"BING TANG"	"135.70"	"Pyrus(梨属)"	"绿"	"8.39"	"青海民和"
"10"	"Rosaceae(蔷薇科)"	"极长"	"龙灯早"	"6"	"225"	"四川"	"中"	"多"	"中上"	"晚"	"0.98"	"淡酸甜"	"--"	"10.70"	"中"	"9月中"	"中脆"	"0.210"	"长圆"	"中"	"Pyrus pashia Buchet Ham.(川梨)"	"LIB0009"	"LONG DENG ZAO"	"148.70"	"Pyrus(梨属)"	"黄绿"	"7.29"	"四川金川"
