"id"	"棉铃虫"	"棉酚"	"生长势"	"生育期"	"果枝节位"	"短绒色"	"单宁"	"棉红蜘蛛"	"株形"	"苞外蜜腺"	"白度"	"叶厚度"	"花药色"	"东经"	"统一编号"	"叶片大小"	"属名"	"茎色"	"叶蜜腺"	"花冠色"	"铃形"	"花大小"	"跨长"	"麦克隆值"	"北纬"	"种仁脂肪"	"黄萎病"	"棉毒素"	"原产地"	"主茎硬度"	"果枝数"	"气流纱支数"	"叶色"	"耐涝性"	"环纺纱号数"	"单株铃数"	"花柱长"	"伸长百分率"	"单位编号"	"译名"	"色泽"	"果枝伸展角"	"倒伏性"	"叶形"	"果枝类型"	"杂质等级"	"茎毛"	"科名"	"种子来源地"	"品种名称"	"年"	"类别"	"气流纺指标"	"省"	"光反射率"	"保存单位"	"库编号"	"种子绒毛"	"叶绒毛"	"絮棉色"	"学名"	"高程"	"红铃虫"	"花芯色"	"枯萎病"	"铃色"	"叶枝数"	"环纺纱强力"	"样品类型"	"长度整齐度"	"子指"	"铃室数"	"蚜虫"	"铃开裂"	"耐盐性"	"耐旱性"	"铃柄长"	"苞叶形状"	"比强度"	"种仁蛋白"	"衣分"	"铃重"	"铃着生方式"	"主茎粗细"	"株高"	"图象"
"1"	"--"	"--"	"中"	"124"	"5.3"	"棕"	"--"	"--"	"塔"	"有"	"9.4"	"中"	"乳白"	"--"	"ZM-03507"	"中"	"Gossypium L.(棉属)"	"红"	"有"	"乳白"	"卵圆"	"中"	"18.9"	"2.0"	"--"	"40.50"	"S"	"有"	"美国"	"中"	"18.9"	"6"	"绿"	"--"	"7"	"27.6"	"高于"	"2.7"	"--"	"ZI SE MEI MIAN"	"21-4"	">45"	"不倒"	"阔叶"	"2"	"1"	"多"	"Malvaceae(锦葵科)"	"美国"	"紫色美棉"	"1986"	"陆国内"	"1562"	"国外"	"76.4"	"江苏经作所"	"I3A00372"	"有"	"中"	"棕"	"Gossypium hirsutum L.(陆地棉)"	"--"	"--"	"白"	"S"	"绿"	"2.5"	"80"	"国外"	"50.0"	"12.8"	">3"	"--"	"畅"	"不抗"	"抗"	"中"	"心脏"	"11.1"	"34.40"	"14.12"	"3.50"	"单生"	"中"	"101.6"	"--"
"2"	"--"	"--"	"中"	"124"	"--"	"绿"	"--"	"--"	"塔"	"有"	"10.0"	"中"	"乳白"	"--"	"ZM-03982"	"中"	"Gossypium L.(棉属)"	"红"	"有"	"乳白"	"卵圆"	"中"	"29.6"	"4.7"	"--"	"35.60"	"--"	"有"	"印度"	"中"	"--"	"7"	"绿"	"--"	"10"	"--"	"等于"	"5.6"	"--"	"YIN DU XIAO BAO YE"	"32-1"	">45"	"不倒"	"阔叶"	"3"	"1"	"多"	"Malvaceae(锦葵科)"	"--"	"印度小苞叶"	"1986"	"陆国内"	"1921"	"国外"	"74.5"	"江苏经作所"	"I3A01397"	"有"	"短"	"白"	"Gossypium hirsutum L.(陆地棉)"	"--"	"--"	"白"	"--"	"绿"	"--"	"112"	"国外"	"44.2"	"--"	">3"	"--"	"畅"	"不抗"	"抗"	"中"	"心脏"	"22.1"	"37.50"	"--"	"--"	"单生"	"中"	"110.9"	"--"
"3"	"--"	"--"	"中"	"137"	"5.2"	"灰"	"--"	"--"	"塔"	"有"	"9.0"	"中"	"乳白"	"--"	"ZM-06001"	"中"	"Gossypium L.(棉属)"	"红"	"有"	"乳白"	"卵圆"	"中"	"27.1"	"4.3"	"--"	"35.20"	"T"	"有"	"美国"	"中"	"11.1"	"6"	"绿"	"--"	"8"	"11.4"	"高于"	"6.3"	"--"	"Margay 33#-12"	"41-3"	">45"	"不倒"	"阔叶"	"3"	"3"	"中"	"Malvaceae(锦葵科)"	"美国"	"马格 33-12"	"1987"	"陆国外"	"1672"	"国外"	"71.1"	"中棉所"	"I3A01149"	"有"	"中"	"白"	"Gossypium hirsutum L.(陆地棉)"	"--"	"--"	"白"	"T"	"绿"	"1.9"	"99"	"国外"	"48.7"	"12.0"	">3"	"--"	"畅"	"不抗"	"抗"	"短"	"心脏"	"17.7"	"35.30"	"34.30"	"5.60"	"单生"	"中"	"83.6"	"--"
"4"	"--"	"--"	"强"	"127"	"6.2"	"灰"	"--"	"--"	"塔"	"有"	"9.0"	"中"	"乳白"	"--"	"ZM-06003"	"中"	"Gossypium L.(棉属)"	"紫"	"有"	"乳白"	"卵圆"	"大"	"23.6"	"4.8"	"--"	"35.90"	"S"	"有"	"美国"	"软"	"18.4"	"6"	"绿"	"--"	"9"	"18.5"	"高于"	"6.7"	"--"	"Ambassador"	"31-3"	">45"	"倒"	"阔叶"	"3"	"2"	"中"	"Malvaceae(锦葵科)"	"美国"	"大使棉"	"1988"	"陆国外"	"1732"	"国外"	"75.6"	"湖北经作所"	"I3A03400"	"有"	"中"	"白"	"Gossypium hirsutum L.(陆地棉)"	"--"	"--"	"白"	"S"	"绿"	"1.6"	"110"	"国外"	"53.4"	"11.4"	">3"	"--"	"畅"	"不抗"	"抗"	"短"	"心脏"	"21.8"	"39.80"	"34.90"	"4.20"	"单生"	"中"	"79.5"	"--"
"5"	"--"	"--"	"强"	"144"	"7.0"	"灰"	"--"	"--"	"塔"	"有"	"9.0"	"厚"	"乳白"	"--"	"ZM-06004"	"大"	"Gossypium L.(棉属)"	"红"	"有"	"乳白"	"卵圆"	"中"	"26.5"	"2.9"	"--"	"35.80"	"S"	"有"	"美国"	"中"	"11.9"	"7"	"绿"	"--"	"10"	"10.7"	"等于"	"5.8"	"--"	"Bigbcoll Foster"	"41-3"	">45"	"不倒"	"阔叶"	"3"	"5"	"中"	"Malvaceae(锦葵科)"	"美国"	"大铃福宇棉"	"1987"	"陆国外"	"1917"	"国外"	"71.5"	"中棉所"	"I3A01449"	"有"	"中"	"白"	"Gossypium hirsutum L.(陆地棉)"	"--"	"--"	"白"	"S"	"绿"	"1.8"	"119"	"国外"	"48.1"	"13.2"	">3"	"--"	"畅"	"不抗"	"高抗"	"中"	"心脏"	"20.8"	"37.70"	"32.80"	"6.00"	"单生"	"中"	"85.1"	"--"
"6"	"--"	"--"	"强"	"137"	"5.8"	"灰"	"--"	"--"	"塔"	"无"	"9.5"	"中"	"乳白"	"--"	"ZM-06006"	"大"	"Gossypium L.(棉属)"	"红"	"有"	"乳白"	"卵圆"	"大"	"26.6"	"2.7"	"--"	"37.10"	"--"	"有"	"美国"	"中"	"14.2"	"7"	"绿"	"--"	"10"	"17.9"	"低于"	"5.2"	"--"	"Carolina Foster13-16-24-Str.8"	"31-3"	"=45"	"不倒"	"阔叶"	"3"	"2"	"多"	"Malvaceae(锦葵科)"	"美国"	"大铃福字棉 13-16-24 STR. 8"	"1986"	"陆国外"	"1871"	"国外"	"76.0"	"巴州农科所"	"I3A00137"	"有"	"中"	"白"	"Gossypium hirsutum L.(陆地棉)"	"--"	"--"	"黄"	"S"	"绿"	"2.1"	"111"	"国外"	"45.6"	"12.0"	">3"	"--"	"畅"	"不抗"	"不抗"	"中"	"心脏"	"17.6"	"34.30"	"33.30"	"6.40"	"单生"	"中"	"68.0"	"--"
"7"	"--"	"--"	"中"	"99"	"6.8"	"灰"	"--"	"--"	"塔"	"有"	"8.1"	"中"	"乳白"	"--"	"ZM-06008"	"小"	"Gossypium L.(棉属)"	"红"	"有"	"乳白"	"卵圆"	"--"	"27.6"	"4.1"	"--"	"33.30"	"S"	"有"	"美国"	"中"	"19.1"	"7"	"绿"	"--"	"10"	"27.7"	"高于"	"6.0"	"--"	"B22-980"	"41-4"	"<45"	"不倒"	"阔叶"	"3"	"4"	"多"	"Malvaceae(锦葵科)"	"美国"	"比22-980"	"1986"	"陆国外"	"1871"	"国外"	"72.7"	"江苏经作所"	"I3A00478"	"有"	"中"	"白"	"Gossypium hirsutum L.(陆地棉)"	"--"	"--"	"白"	"S"	"绿"	"5.2"	"114"	"国外"	"47.2"	"9.2"	">3"	"--"	"畅"	"不抗"	"不抗"	"中"	"心脏"	"21.9"	"42.30"	"35.84"	"4.00"	"单生"	"中"	"100.7"	"--"
"8"	"--"	"--"	"弱"	"108"	"6.4"	"灰"	"--"	"--"	"塔"	"有"	"8.5"	"中"	"乳白"	"--"	"ZM-06009"	"小"	"Gossypium L.(棉属)"	"红"	"有"	"乳白"	"卵圆"	"中"	"27.6"	"3.8"	"--"	"36.70"	"S"	"有"	"美国"	"中"	"15.5"	"9"	"绿"	"--"	"14"	"12.3"	"高于"	"6.3"	"--"	"B22-1042"	"41-3"	">45"	"不倒"	"阔叶"	"3"	"1"	"多"	"Malvaceae(锦葵科)"	"美国"	"比22-1042"	"1986"	"陆国外"	"2225"	"国外"	"73.3"	"江苏经作所"	"I3A00479"	"有"	"中"	"白"	"Gossypium hirsutum L.(陆地棉)"	"--"	"--"	"白"	"S"	"绿"	"1.2"	"154"	"国外"	"55.0"	"11.4"	">3"	"--"	"畅"	"抗"	"抗"	"中"	"心脏"	"28.9"	"40.00"	"27.35"	"5.10"	"单生"	"中"	"89.2"	"--"
"9"	"--"	"--"	"强"	"123"	"5.9"	"灰"	"--"	"--"	"塔"	"有"	"9.6"	"--"	"乳白"	"--"	"ZM-06010"	"中"	"Gossypium L.(棉属)"	"红"	"有"	"乳白"	"卵圆"	"中"	"25.0"	"4.8"	"--"	"36.30"	"S"	"有"	"美国"	"中"	"18.8"	"6"	"绿"	"--"	"9"	"31.5"	"高于"	"6.2"	"--"	"Wannamaker Dixie Triumph"	"21-4"	">45"	"不倒"	"阔叶"	"3"	"1"	"少"	"Malvaceae(锦葵科)"	"美国"	"瓦迪克西得胜"	"1986"	"陆国外"	"1703"	"国外"	"76.7"	"江苏经作所"	"I3A00480"	"有"	"中"	"白"	"Gossypium hirsutum L.(陆地棉)"	"--"	"--"	"白"	"S"	"绿"	"2.9"	"102"	"国外"	"50.0"	"12.4"	">3"	"--"	"畅"	"不抗"	"高抗"	"中"	"心脏"	"19.8"	"36.90"	"29.09"	"6.40"	"单生"	"中"	"121.8"	"--"
"10"	"--"	"--"	"中"	"121"	"5.6"	"灰"	"--"	"--"	"--"	"--"	"--"	"--"	"乳白"	"--"	"ZM-06011"	"--"	"Gossypium L.(棉属)"	"--"	"--"	"乳白"	"--"	"--"	"--"	"--"	"--"	"35.90"	"S"	"--"	"美国"	"--"	"16.8"	"--"	"--"	"--"	"--"	"31.6"	"等于"	"--"	"--"	"Wacona"	"--"	"=45"	"--"	"--"	"--"	"--"	"--"	"Malvaceae(锦葵科)"	"美国"	"瓦康纳"	"1986"	"陆国外"	"--"	"国外"	"--"	"江苏经作所"	"I3A00481"	"有"	"--"	"白"	"Gossypium hirsutum L.(陆地棉)"	"--"	"--"	"--"	"S"	"绿"	"3.3"	"--"	"国外"	"--"	"12.4"	"--"	"--"	"畅"	"不抗"	"高抗"	"中"	"--"	"--"	"35.60"	"33.77"	"6.00"	"--"	"--"	"93.2"	"--"
