"id"	"胶乳颜色"	"三小叶间距"	"生长快慢"	"叶片形状"	"侧脉胶"	"叶基"	"学名"	"科名"	"属名"	"小叶柄长度"	"物候落叶"	"省"	"叶缘形状"	"产量高低B"	"产量高低A"	"染色体数"	"落叶早晚"	"胶值比"	"物候抽芽"	"蜜腺形态"	"原产地"	"茎围比"	"统一编号"	"种质名称"	"大叶枕"	"抽芽早晚"
"1"	"白"	"分离"	"较慢"	"椭圆"	"2.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"中"	"1月上旬"	"国外"	"大"	"较低"	"低"	"36"	"早"	"39.6"	"4月上旬"	"平"	"巴西"	"79.5"	"XJA00001"	"AC 100"	"无"	"晚"
"2"	"黄"	"分离"	"慢"	"椭圆"	"3.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"中"	"1月上旬"	"国外"	"大"	"中等"	"较低"	"36"	"早"	"69.3"	"3月中旬"	"微突"	"巴西"	"47.6"	"XJA00002"	"AC 54"	"浅"	"中"
"3"	"白"	"分离"	"慢"	"椭圆"	"2.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"中"	"1月上旬"	"国外"	"大"	"较低"	"较低"	"36"	"早"	"76.3"	"4月上旬"	"平"	"巴西"	"54.0"	"XJA00003"	"AC 55"	"无"	"晚"
"4"	"白"	"分离"	"慢"	"椭圆"	"1.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"极短"	"1月上旬"	"国外"	"大"	"低"	"较低"	"36"	"早"	"70.5"	"4月上旬"	"平"	"巴西"	"52.4"	"XJA00004"	"AC 56"	"浅"	"晚"
"5"	"黄"	"靠近"	"慢"	"椭圆"	"4.5"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"短"	"1月上旬"	"国外"	"大"	"高"	"高"	"36"	"早"	"168.6"	"4月上旬"	"微突"	"巴西"	"59.9"	"XJA00005"	"AC 57"	"无"	"晚"
"6"	"黄"	"分离"	"慢"	"椭圆"	"3.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"极短"	"1月上旬"	"国外"	"大"	"中等"	"低"	"36"	"早"	"23.7"	"3月中旬"	"平"	"巴西"	"56.3"	"XJA00006"	"AC 58"	"浅"	"中"
"7"	"白"	"分离"	"慢"	"椭圆"	"2.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"极短"	"1月上旬"	"国外"	"大"	"较低"	"中等"	"36"	"早"	"98.6"	"3月中旬"	"平"	"巴西"	"54.6"	"XJA00007"	"AC 60"	"无"	"中"
"8"	"黄"	"分离"	"慢"	"椭圆"	"1.5"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"极短"	"1月上旬"	"国外"	"大"	"较低"	"较低"	"36"	"早"	"78.2"	"4月上旬"	"平"	"巴西"	"44.9"	"XJA00008"	"AC 61"	"无"	"晚"
"9"	"黄"	"分离"	"慢"	"椭圆"	"3.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"短"	"1月上旬"	"国外"	"大"	"中等"	"较低"	"36"	"早"	"68.6"	"3月中旬"	"微突"	"巴西"	"45.4"	"XJA00009"	"AC 62"	"浅"	"中"
"10"	"黄"	"分离"	"较慢"	"椭圆"	"3.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"中"	"1月上旬"	"国外"	"大"	"中等"	"低"	"36"	"早"	"55.9"	"4月上旬"	"平"	"巴西"	"62.9"	"XJA00010"	"AC 63"	"无"	"晚"
"11"	"黄"	"靠近"	"慢"	"椭圆"	"3.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"中"	"1月上旬"	"国外"	"大"	"中等"	"较低"	"36"	"早"	"72.9"	"3月中旬"	"显突"	"巴西"	"54.4"	"XJA00011"	"AC 65"	"无"	"中"
"12"	"白"	"分离"	"慢"	"椭圆"	"1.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"极短"	"2月中旬"	"国外"	"大"	"低"	"低"	"36"	"中"	"50.1"	"3月中旬"	"平"	"巴西"	"35.7"	"XJA00012"	"AC 66"	"无"	"中"
"13"	"白"	"分离"	"慢"	"椭圆"	"2.5"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"短"	"1月上旬"	"国外"	"大"	"中等"	"低"	"36"	"早"	"38.4"	"4月上旬"	"平"	"巴西"	"58.8"	"XJA00013"	"AC 67"	"浅"	"晚"
"14"	"黄"	"分离"	"较慢"	"椭圆"	"2.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"短"	"1月上旬"	"国外"	"大"	"较低"	"低"	"36"	"早"	"44.0"	"3月中旬"	"平"	"巴西"	"71.4"	"XJA00014"	"AC 68"	"无"	"中"
