"id"	"熟性"	"种皮次色"	"保存编号"	"品种名称"	"株型"	"种子皮色"	"株幅"	"翼瓣色"	"种子形状"	"嫩荚次色"	"种子大小"	"嫩荚色"	"翼瓣次色"	"品质"	"译名"	"备注"	"抗病虫性"	"荚长"	"荚厚"	"荚形"	"统一编号"	"保存单位"	"老荚日数"	"单荚重"	"抗逆性"	"青荚日数"	"种子来源"	"亩产"	"株高"	"荚宽"	"种质库编号"	"栽培季节"
"1"	"晚"	"--"	"Gm24(87)"	"双色全青豆"	"矮生"	"深绿"	"40.0"	"紫"	"圆"	"--"	"中"	"绿"	"--"	"好"	"SHUANG SE QUAN QING DOU"	"--"	"强"	"5.5"	"0.7"	"扁条"	"V07F0001"	"安徽农科院园艺所"	"120"	"2.4"	"强"	"100"	"安徽长丰县"	"250"	"70.0"	"1.0"	"Ⅱ7F0274"	"6上-10上"
"2"	"晚"	"绿"	"Gm4(85)"	"十月青"	"半蔓生"	"绿"	"60.0"	"紫"	"卵圆"	"--"	"大"	"绿"	"--"	"好"	"SHI YUE QING"	"--"	"中"	"6.0"	"0.6"	"扁条"	"V07F0002"	"安徽农科院园艺所"	"140"	"2.3"	"强"	"120"	"安徽长丰县"	"375"	"80.0"	"1.0"	"Ⅱ7F0001"	"5下-9下"
"3"	"早"	"--"	"Gm18(86)"	"沈巷毛豆"	"矮生"	"浅绿"	"50.0"	"紫"	"--"	"--"	"中"	"绿"	"--"	"好"	"SHEN XIANG MAO DOU"	"种子表面褐色云斑"	"强"	"6.0"	"1.5"	"--"	"V07F0003"	"安徽农科院园艺所"	"75"	"3.5"	"强"	"85"	"安徽和县"	"100"	"100.0"	"2.0"	"Ⅱ7F0241"	"5上-8中"
"4"	"晚"	"--"	"Gm3(85)"	"九月红(大青豆)"	"半蔓生"	"浅绿"	"70.0"	"紫"	"卵圆"	"--"	"大"	"绿"	"--"	"好"	"JIU YUE HONG (DA QING DOU )"	"--"	"强"	"6.5"	"0.5"	"扁条"	"V07F0004"	"安徽农科院园艺所"	"130"	"2.2"	"强"	"110"	"安徽合肥市"	"350"	"90.0"	"0.9"	"Ⅱ7F0004"	"5下-9中"
"5"	"早熟"	"--"	"Gm29(88)"	"安激一号"	"矮生"	"黄"	"27.5"	"紫"	"--"	"--"	"极小"	"浅绿"	"--"	"好"	"AN JI YI HAO"	"籽粒产量"	"强"	"3.5"	"0.7"	"棍形"	"V07F0005"	"安徽农科院园艺所"	"90"	"0.8"	"强"	"65"	"安徽合肥市"	"130"	"41.5"	"1.0"	"Ⅱ7F0298"	"6上-9中"
"6"	"中"	"--"	"Gm23(87)"	"牛毛黄"	"矮生"	"黄"	"30.0"	"浅紫"	"卵圆"	"--"	"小"	"浅黄"	"--"	"好"	"NIU MAO HUANG"	"--"	"强"	"3.0"	"0.3"	"扁条"	"V07F0006"	"安徽农科院园艺所"	"90"	"1.4"	"强"	"70"	"安徽合肥市"	"150"	"50.0"	"0.6"	"Ⅱ7F0299"	"5上-8上"
"7"	"中"	"--"	"Gm11(86)"	"八月白"	"半蔓生"	"黄"	"50.0"	"紫"	"卵圆"	"--"	"中"	"绿"	"--"	"--"	"BA YUE BAI"	"--"	"--"	"5.0"	"0.4"	"扁条"	"V07F0007"	"安徽农科院园艺所"	"110"	"1.9"	"--"	"90"	"安徽合肥市"	"375"	"90.0"	"0.8"	"Ⅱ7F0197"	"4下-8中"
"8"	"--"	"--"	"Gm2(85)"	"六月暴"	"--"	"--"	"34.0"	"--"	"圆"	"--"	"大"	"--"	"--"	"--"	"LIU YUE BAO"	"*"	"--"	"5.0"	"0.5"	"扁条"	"V07F0008"	"安徽农科院园艺所"	"105"	"2.5"	"中"	"80"	"安徽合肥市"	"600"	"61.0"	"1.0"	"Ⅱ7F0003"	"4上-6下"
"9"	"晚"	"--"	"Gm37(88)"	"绿天鹅蛋"	"矮生"	"浅绿"	"32.0"	"紫"	"卵圆"	"--"	"大"	"绿"	"--"	"好"	"LU TIAN E DAN"	"--"	"强"	"6.5"	"0.7"	"扁条"	"V07F0009"	"安徽农科院园艺所"	"140"	"2.7"	"强"	"120"	"安徽怀远县"	"500"	"70.0"	"1.0"	"Ⅱ7F0321"	"6上-10上"
"10"	"晚"	"--"	"Gm36(88)"	"小青豆"	"矮生"	"绿"	"21.5"	"紫"	"圆"	"--"	"小"	"绿"	"--"	"好"	"XIAO QING DOU"	"--"	"强"	"3.0"	"0.7"	"扁条"	"V07F0010"	"安徽农科院园艺所"	"120"	"0.7"	"强"	"90"	"安徽怀远县"	"100"	"62.5"	"1.0"	"Ⅱ7F0322"	"6上-10上"
"11"	"晚"	"绿"	"Gm6(86)"	"九月青"	"矮生"	"绿"	"50.0"	"紫"	"--"	"--"	"大"	"绿"	"--"	"好"	"JIU YUE QING"	"--"	"强"	"6.5"	"1.3"	"--"	"V07F0011"	"安徽农科院园艺所"	"110"	"4.0"	"强"	"85"	"安徽霍邱县"	"100"	"100.0"	"2.0"	"Ⅱ7F0199"	"5下-9下"
