"id"	"蛋白质"	"科名"	"叶失水速度"	"分枝高低"	"小叶与蓬比"	"茎围"	"代号"	"冠幅大小"	"树高类型"	"果纵横比"	"维生素C"	"十级风倒率"	"树高"	"引种地"	"省"	"核果比"	"果肉颜色"	"氨基酸总量"	"抗旱性评价"	"分枝高度"	"叶片形状"	"单果重"	"五级风倒率"	"果肉纤维"	"叶片纵横比"	"花期"	"学名"	"统一编号"	"熟果皮色"	"果形"	"抽叶期"	"脂肪"	"产量评价"	"生长快慢"	"小叶密度"	"茎围大小"	"成熟期"	"皮肉好离否"	"果核紧密度"	"属名"	"花型"	"产量"	"种植密度"	"叶片厚薄"	"每株果数"	"盛花期"	"品系"	"种质名称"	"亩产果数"	"换叶期"	"抗风能力"	"成果期"	"灰分"	"叶片厚度"	"果肉风味"	"初花期"	"干重"	"风害均倒率"	"叶柄评价"	"树高评价"	"叶柄长度"	"院保存圃"	"冠幅"	"碳水化合物"	"果皮厚度"	"核重"	"风害程度"
"1"	"0.68"	"Lauraceae(樟科)"	"6.734"	"低"	"0.88"	"27.6"	"I1"	"中"	"高型"	"1.07"	"0.0173"	"90"	"367.0"	"美国加利福尼亚州"	"国外"	"27.8"	"乳白"	"0.775"	"强"	"10.3"	"近长椭圆"	"322"	"72"	"很少"	"2.28"	"3-4月"	"Persea americana Mill.(油梨)"	"YL000001"	"暗绿"	"卵形"	"2月下旬"	"15.30"	"低"	"较快"	"疏"	"中"	"11月"	"较难"	"紧"	"Persea(油梨属)"	"B"	"2550"	"360株/公顷"	"厚"	"22.0"	"3月中旬"	"Mexican (M)"	"Bacon"	"519"	"2-3月"	"弱"	"4月-9月"	"0.61"	"0.034"	"细滑 香 风味佳"	"3月上旬"	"22.7"	"81"	"中"	"高"	"4.00"	"引种园 I圃 II圃"	"286.4"	"2.04"	"0.9mm"	"80.0g"	"重"
"2"	"1.18"	"Lauraceae(樟科)"	"10.042"	"中"	"0.65"	"26.1"	"I4"	"中"	"中等"	"1.86"	"0.0140"	"22"	"251.7"	"美国加利福尼亚州"	"国外"	"16.3"	"乳白"	"0.535"	"中"	"15.0"	"椭圆"	"200"	"48"	"很少"	"1.39"	"3月"	"Persea americana Mill.(油梨)"	"YL000002"	"绿色"	"长梨形"	"2月下旬"	"12.40"	"低"	"中"	"疏"	"中"	"10月"	"较难"	"较紧"	"Persea(油梨属)"	"B"	"1152"	"360株/公顷"	"薄"	"16.0"	"3月中旬"	"M×G"	"Fuerte"	"178"	"1-2月"	"强"	"4月-9月"	"0.58"	"0.025"	"香滑 细腻"	"3月上旬"	"26.7"	"35"	"长"	"中"	"5.90"	"引种园 I圃 II圃"	"276.0"	"1.59"	"1.0mm"	"32.6g"	"轻"
"3"	"2.01"	"Lauraceae(樟科)"	"8.657"	"高"	"1.29"	"24.3"	"I6"	"小"	"中型"	"1.80"	"0.0134"	"36"	"292.7"	"美国加利福尼亚州"	"国外"	"29.2"	"乳黄"	"0.518"	"中"	"29.3"	"近长椭圆"	"400"	"56"	"很少"	"2.26"	"2-3月"	"Persea americana Mill.(油梨)"	"TL000003"	"暗绿"	"梨形"	"2月上旬"	"14.00"	"中"	"慢"	"密"	"小"	"10-11月"	"较易"	"紧"	"Persea(油梨属)"	"A"	"4373"	"630株/公顷"	"中"	"26.0"	"3月上旬"	"M×G"	"Whitsell"	"1089"	"1-2月"	"中"	"3月-9月"	"0.83"	"0.027"	"细 滑 香"	"2月中旬"	"23.8"	"46"	"中"	"中"	"3.70"	"引种园 I圃 II圃"	"248.7"	"1.88"	"1.0mm"	"66.0g"	"中"
"4"	"0.86"	"Lauraceae(樟科)"	"11.212"	"高"	"0.85"	"32.5"	"I8"	"中"	"高型"	"1.50"	"0.0130"	"54"	"338.0"	"美国加利福尼亚州"	"国外"	"21.2"	"乳白"	"0.565"	"差"	"20.0"	"阔椭圆"	"264"	"84"	"很少"	"1.81"	"2月"	"Persea americana Mill.(油梨)"	"YL000004"	"绿色"	"梨形"	"1月下旬"	"14.40"	"中"	"快"	"疏"	"大"	"9-10月"	"较易"	"较紧"	"Persea(油梨属)"	"B(A)"	"4466"	"360株/公顷"	"薄"	"47.0"	"2月下旬"	"Mexican (M)"	"Zutano"	"1130"	"1-2月"	"弱"	"3月-8月"	"0.83"	"0.025"	"细 滑 香"	"2月上旬"	"27.4"	"69"	"短"	"高"	"3.40"	"引种园 I圃 II圃"	"287.7"	"1.68"	"0.8mm"	"56.0g"	"重"
"5"	"0.48"	"Lauraceae(樟科)"	"10.315"	"中"	"0.81"	"29.1"	"I9"	"大"	"中型"	"2.56"	"0.0130"	"70"	"289.5"	"美国夏威夷"	"国外"	"10.1"	"黄色"	"0.960"	"中"	"11.4"	"近长椭圆"	"520"	"91"	"少?"	"2.31"	"2-3月"	"Persea americana Mill.(油梨)"	"YL000005"	"黄绿"	"茄形"	"1月下旬"	"12.80"	"中"	"较快"	"疏"	"中"	"7-8月"	"易"	"松"	"Persea(油梨属)"	"A"	"4680"	"360株/公顷"	"厚"	"25.0"	"3月上中旬"	"--"	"--"	"--"	"1月"	"弱"	"3月-7月"	"0.74"	"0.036"	"好"	"2月下旬"	"19.6"	"80"	"短"	"中"	"3.10"	"引种园 I圃"	"301.5"	"2.52"	"1.5mm"	"52.5g"	"重"
"6"	"0.88"	"Lauraceae(樟科)"	"6.932"	"中"	"1.13"	"31.7"	"I79"	"大"	"高型"	"1.40"	"0.0060"	"45"	"365.0"	"美国佛罗里达州"	"国外"	"25.1"	"黄色"	"0.330"	"强"	"11.4"	"阔椭圆"	"711"	"43"	"少"	"1.97"	"3月"	"Persea americana Mill.(油梨)"	"YL000006"	"绿色"	"梨形"	"2月下旬"	"13.10"	"中"	"快"	"中"	"大"	"9-10月"	"易"	"较紧"	"Persea(油梨属)"	"B"	"5439"	"450株/公顷"	"厚"	"17.0"	"3月中旬"	"Guatemalan (G)"	"Linda"	"249"	"2-3月"	"中"	"4月-8月"	"0.64"	"0.033"	"较好"	"3月上旬"	"20.4"	"44"	"中"	"高"	"4.15"	"I圃 II圃"	"296.7"	"1.49"	"1.8mm"	"163g"	"中"
"7"	"0.68"	"Lauraceae(樟科)"	"10.828"	"低"	"1.12"	"26.1"	"I81"	"小"	"矮型"	"1.53"	"0.0065"	"--"	"222.0"	"美国佛罗里达州"	"国外"	"16.8"	"黄色?"	"0.631"	"差"	"8.2"	"阔椭圆"	"320"	"--"	"少"	"1.91"	"2-3月"	"Persea americana Mill.(油梨)"	"YL000007"	"黄绿"	"梨形"	"1月下旬"	"11.70"	"低"	"慢"	"中"	"中"	"10月"	"易"	"较松"	"Persea(油梨属)"	"B"	"922"	"360株/公顷"	"薄"	"8.0"	"3月上中旬"	"--"	"Itzamna"	"--"	"1月"	"中"	"4月-9月"	"0.61"	"0.024"	"较好"	"2月下旬"	"20.0"	"47"	"短"	"矮"	"2.60"	"引种园 I圃 II圃"	"225.7"	"1.67"	"1.6mm"	"53.8g"	"中"
"8"	"0.66"	"Lauraceae(樟科)"	"7.650"	"低"	"0.87"	"33.1"	"I82"	"大"	"高大"	"1.58"	"0.0071"	"--"	"329.3"	"美国佛罗里达州"	"国外"	"21.1"	"淡黄?"	"0.610"	"强"	"10.0"	"阔椭圆"	"350"	"--"	"少?"	"1.92"	"3月"	"Persea americana Mill.(油梨)"	"YL000008"	"黄绿"	"梨形"	"2月上旬"	"10.30"	"低"	"快"	"疏"	"大"	"10月"	"易"	"较松"	"Persea(油梨属)"	"A"	"1197"	"360株/公顷"	"薄"	"9.5"	"3月下旬"	"G×W"	"Hall"	"--"	"1-2月"	"中"	"4月-9月"	"0.59"	"0.021"	"较好"	"3月中旬"	"17.8"	"43"	"长"	"高"	"4.50"	"引种园"	"311.0"	"2.15"	"1.7mm"	"73.7g"	"中"
"9"	"0.73"	"Lauraceae(樟科)"	"9.055"	"中"	"0.97"	"25.3"	"I83"	"小"	"矮形"	"1.16"	"0.0073"	"--"	"232.0"	"美国佛罗里达州"	"国外"	"20.6"	"淡黄"	"0.673"	"中"	"13.3"	"阔椭圆"	"400"	"--"	"少?"	"1.95"	"3月"	"Persea americana Mill.(油梨)"	"YL000009"	"黄绿"	"椭圆形"	"2月上旬"	"12.00"	"低"	"慢"	"疏"	"小"	"10-11月"	"易"	"较松"	"Persea(油梨属)"	"A"	"1100"	"360株/公顷"	"薄"	"--"	"3月下旬"	"West Indian(W)"	"Collinson"	"--"	"1-2月"	"中"	"4月-9月"	"0.63"	"0.024"	"较好"	"3月中旬"	"16.5"	"45"	"短"	"矮"	"2.90"	"I圃"	"211.3"	"2.30"	"1.5mm"	"82.4g"	"中"
"10"	"0.89"	"Lauraceae(樟科)"	"8.436"	"低"	"1.45"	"27.4"	"I84"	"小"	"中型"	"1.40"	"0.0091"	"37"	"268.7"	"美国佛罗里达州"	"国外"	"15.5"	"淡黄"	"0.803"	"中"	"7.8"	"阔椭圆"	"741"	"18"	"较少"	"1.77"	"3月"	"Persea americana Mill.(油梨)"	"YL000010"	"黄绿"	"梨形?"	"3月上旬"	"6.87"	"高"	"中"	"密"	"中"	"8-9月"	"易"	"较松"	"Persea(油梨属)"	"B"	"19674"	"450株/公顷"	"厚"	"59.0"	"3月中旬"	"West Indian(W)"	"Pollock"	"159"	"2-3月"	"强"	"4月-7月"	"0.60"	"0.031"	"好"	"3月上旬"	"12.0"	"28"	"短"	"中"	"2.77"	"I圃 II圃"	"244.0"	"2.91"	"1.0mm"	"106g"	"轻"
