"id"	"科名"	"保存编号"	"品种名称"	"戊烯基"	"棕榈酸"	"甲基吲哚"	"丙烯基"	"每果粒数"	"全株角果数"	"羟基"	"一次分枝数"	"硬脂酸"	"生育日数"	"译名"	"类型"	"来源"	"丁烯基"	"芥酸"	"东经"	"总量"	"属名"	"统一编号"	"学名"	"高程"	"烯基"	"选育方法"	"种皮色"	"花色"	"成熟期"	"北纬"	"库编号"	"省"	"吲哚"	"分枝高度"	"叶型"	"样品类型"	"亚油酸"	"菌核病"	"X1"	"千粒重"	"保存单位"	"霜霉病"	"花生烯酸"	"油酸"	"病毒病"	"株高"	"含油率"	"亚麻酸"
"1"	"Cruciferae(十字花科)"	"I001"	"姜黄种"	"--"	"2.20"	"--"	"--"	"16.1"	"226.8"	"--"	"5.6"	"0.75"	"196"	"JIANG HUANG ZHONG"	"白菜型"	"浙江平湖县"	"--"	"51.63"	"12101"	"--"	"Brassica(芸薹属)"	"00000001"	"Brassica campestris L.(白菜型油菜)"	"2"	"--"	"农家种"	"红褐"	"深黄"	"5.20"	"3042"	"I4B02519"	"浙江"	"--"	"28.0"	"完整"	"地方"	"14.19"	"中感"	"--"	"3.01"	"浙江省农科院"	"低感"	"6.68"	"15.13"	"低抗"	"133.2"	"36.00"	"9.42"
"2"	"Cruciferae(十字花科)"	"I002"	"高棋种"	"--"	"2.44"	"--"	"--"	"19.4"	"178.2"	"--"	"4.8"	"0.71"	"194"	"GAO QI ZHONG"	"白菜型"	"浙江平湖县"	"--"	"47.25"	"12101"	"--"	"Brassica(芸薹属)"	"00000002"	"Brassica campestris L.(白菜型油菜)"	"2"	"--"	"农家种"	"红褐"	"黄"	"5.22"	"3042"	"I4B02520"	"浙江"	"--"	"30.4"	"完整"	"地方"	"16.67"	"中感"	"--"	"1.95"	"浙江省农科院"	"低感"	"7.43"	"15.63"	"低感"	"129.6"	"35.82"	"9.86"
"3"	"Cruciferae(十字花科)"	"I003"	"灯笼种"	"--"	"2.10"	"--"	"--"	"15.0"	"229.0"	"--"	"4.6"	"0.66"	"192"	"DENG LONG ZHONG"	"白菜型"	"浙江平湖县"	"--"	"50.97"	"12101"	"--"	"Brassica(芸薹属)"	"00000003"	"Brassica campestris L.(白菜型油菜)"	"2"	"--"	"农家种"	"红褐"	"深黄"	"5.21"	"3042"	"I4B02521"	"浙江"	"--"	"18.2"	"裂叶"	"地方"	"14.27"	"中感"	"--"	"2.12"	"浙江省农科院"	"低感"	"6.79"	"14.43"	"低感"	"121.6"	"35.68"	"10.77"
"4"	"Cruciferae(十字花科)"	"I004"	"吴兴土黄籽"	"--"	"2.31"	"--"	"--"	"14.4"	"256.2"	"--"	"6.6"	"0.59"	"192"	"WU XING TU HUANG ZI"	"白菜型"	"浙江吴兴县"	"--"	"49.34"	"12006"	"--"	"Brassica(芸薹属)"	"00000004"	"Brassica campestris L.(白菜型油菜)"	"--"	"--"	"农家种"	"红褐"	"黄"	"5.25"	"3052"	"I4B02522"	"浙江"	"--"	"15.8"	"完整"	"地方"	"14.00"	"中抗"	"--"	"2.35"	"浙江省农科院"	"低感"	"7.67"	"17.26"	"低抗"	"118.0"	"35.64"	"8.82"
"5"	"Cruciferae(十字花科)"	"I005"	"德清金菜籽"	"--"	"2.20"	"--"	"--"	"11.3"	"308.0"	"--"	"5.0"	"0.80"	"204"	"DE QING JIN CAI ZI"	"白菜型"	"浙江德清县"	"--"	"50.84"	"12004"	"--"	"Brassica(芸薹属)"	"00000005"	"Brassica campestris L.(白菜型油菜)"	"7"	"--"	"农家种"	"红褐"	"深黄"	"5.24"	"3033"	"I4B02523"	"浙江"	"--"	"31.0"	"完整"	"地方"	"13.72"	"高抗"	"--"	"--"	"浙江省农科院"	"低感"	"7.94"	"15.83"	"低抗"	"130.6"	"37.00"	"8.68"
"6"	"Cruciferae(十字花科)"	"I006"	"海宁金壳种"	"--"	"2.11"	"--"	"--"	"15.5"	"359.0"	"--"	"5.4"	"0.75"	"201"	"HAI NING JIN KE ZHONG"	"白菜型"	"浙江海宁县"	"--"	"51.06"	"12041"	"--"	"Brassica(芸薹属)"	"00000006"	"Brassica campestris L.(白菜型油菜)"	"3"	"--"	"农家种"	"红褐"	"深黄"	"5.27"	"3032"	"I4B02524"	"浙江"	"--"	"12.4"	"完整"	"地方"	"14.46"	"低感"	"--"	"--"	"浙江省农科院"	"低感"	"7.63"	"16.05"	"低抗"	"127.2"	"35.01"	"7.95"
"7"	"Cruciferae(十字花科)"	"I007"	"硖石黄籽"	"--"	"2.28"	"--"	"--"	"14.9"	"268.6"	"--"	"5.8"	"0.88"	"194"	"XIA SHI HUANG ZI"	"白菜型"	"浙江海宁县"	"--"	"42.82"	"12041"	"--"	"Brassica(芸薹属)"	"00000007"	"Brassica campestris L.(白菜型油菜)"	"3"	"--"	"农家种"	"红褐"	"深黄"	"5.21"	"3032"	"I4B02525"	"浙江"	"--"	"20.2"	"完整"	"地方"	"13.68"	"中感"	"--"	"2.62"	"浙江省农科院"	"低感"	"12.42"	"19.09"	"低感"	"107.0"	"35.66"	"8.83"
"8"	"Cruciferae(十字花科)"	"I008"	"海盐黄菜籽"	"--"	"2.41"	"--"	"--"	"12.7"	"182.8"	"--"	"3.4"	"0.87"	"201"	"HAI YAN HUANG CAI ZI"	"白菜型"	"浙江海盐县"	"--"	"48.73"	"12056"	"--"	"Brassica(芸薹属)"	"00000008"	"Brassica campestris L.(白菜型油菜)"	"5"	"--"	"农家种"	"红褐"	"深黄"	"5.25"	"3030"	"I4B02526"	"浙江"	"--"	"29.0"	"完整"	"地方"	"15.01"	"低感"	"--"	"--"	"浙江省农科院"	"低感"	"7.13"	"17.51"	"低感"	"127.8"	"36.75"	"8.34"
"9"	"Cruciferae(十字花科)"	"I009"	"长梗白"	"--"	"2.18"	"--"	"--"	"19.1"	"327.2"	"--"	"5.2"	"0.70"	"194"	"CHANG GENG BAI"	"白菜型"	"浙江桐乡县"	"--"	"53.29"	"12032"	"--"	"Brassica(芸薹属)"	"00000009"	"Brassica campestris L.(白菜型油菜)"	"4"	"--"	"农家种"	"花"	"深黄"	"5.20"	"3038"	"I4B02527"	"浙江"	"--"	"14.8"	"完整"	"地方"	"14.07"	"低感"	"--"	"2.52"	"浙江省农科院"	"低感"	"6.46"	"13.70"	"低抗"	"138.8"	"34.29"	"9.60"
"10"	"Cruciferae(十字花科)"	"I010"	"油白菜"	"--"	"2.24"	"--"	"--"	"11.7"	"183.6"	"--"	"3.6"	"0.76"	"192"	"YOU BAI CAI"	"白菜型"	"浙江余杭县"	"--"	"50.83"	"12017"	"--"	"Brassica(芸薹属)"	"00000010"	"Brassica campestris L.(白菜型油菜)"	"7"	"--"	"农家种"	"红褐"	"深黄"	"5.23"	"3025"	"I4B02528"	"浙江"	"--"	"22.6"	"完整"	"地方"	"13.86"	"低感"	"--"	"--"	"浙江省农科院"	"低感"	"7.88"	"14.81"	"中感"	"130.0"	"37.09"	"9.61"
