"id"	"科名"	"冬繁殖系数"	"浮膘数"	"品种名称"	"共生腔形状"	"泡胶块突起"	"五氧化二磷"	"根长"	"春固氮活性"	"小孢果形状"	"氮"	"保存单位号"	"藻异形胞"	"大孢果颜色"	"雌雄比"	"无氮浸出液"	"译名"	"省"	"库编号"	"萍体大小"	"收到日期"	"藻营养胞"	"耐阴性"	"学名"	"统一编号"	"背叶面突起"	"属名"	"冬萍体颜色"	"夏萍体颜色"	"突起分布"	"粗脂肪"	"粗蛋白"	"夏固氮活性"	"秋固氮活性"	"夏繁殖系数"	"秋萍体颜色"	"原产地"	"大孢果形状"	"粗纤维"	"氧化钾"	"耐寒性"	"腹叶颜色"	"秋繁殖系数"	"背叶形状"	"耐盐性"	"小孢果颜色"	"引种地编号"	"备注"	"灰分"	"抗病性"	"结孢始期"	"萍体形状"	"茎分枝模式"	"保存单位"	"春繁殖系数"	"品种来源地"	"抗虫性"	"结孢率"	"耐热性"	"春萍体颜色"
"1"	"Azollaceae(满江红科)"	"--"	"--"	"涧田"	"卵形"	"--"	"0.80"	"10-30mm"	"0.146"	"--"	"4.37"	"001"	"椭圆形"	"--"	"--"	"--"	"--"	"福建"	"--"	"10×12mm"	"6980"	"圆筒形"	"弱"	"Azolla imbricata(Roxb.)Nakai(满江红)"	"00000450"	"粗、短"	"Rhizosperma(九膘亚属)"	"浅红"	"绿"	"--"	"--"	"--"	"1.490"	"0.268"	"0.1582"	"绿"	"--"	"--"	"--"	"5.46"	"中"	"淡红"	"0.1732"	"斜方形"	"弱"	"--"	"--"	"--"	"--"	"弱"	"--"	"三角形"	"Ⅰ"	"福建农科院红萍研究中心"	"0.2019"	"福建省福州市郊新店乡涧田村"	"弱"	"不结"	"强"	"绿"
"2"	"Azollaceae(满江红科)"	"--"	"--"	"埔党"	"卵形"	"--"	"1.20"	"10-20mm"	"0.191"	"--"	"4.16"	"002"	"椭圆形"	"--"	"--"	"--"	"--"	"福建"	"--"	"8×10mm"	"1983"	"圆筒形"	"弱"	"Azolla imbricata(Roxb.)Nakai(满江红)"	"00000451"	"乳突"	"Rhizosperma(九膘亚属)"	"暗红"	"绿"	"--"	"--"	"--"	"0.728"	"0.619"	"0.1399"	"绿"	"--"	"--"	"--"	"4.43"	"中"	"红"	"0.1676"	"斜方形"	"弱"	"--"	"--"	"--"	"--"	"弱"	"--"	"三角形"	"Ⅰ"	"福建农科院红萍研究中心"	"0.2065"	"福建省福州市郊新店乡埔党"	"弱"	"不结"	"强"	"绿"
"3"	"Azollaceae(满江红科)"	"--"	"9"	"古岑"	"卵形"	"丝状毛"	"0.97"	"10-20mm"	"0.164"	"桃形"	"4.80"	"003"	"椭圆形"	"桃红"	"1:2.4"	"--"	"--"	"福建"	"--"	"8×10mm"	"1984.7"	"圆筒形"	"弱"	"Azolla imbricata(Roxb.)Nakai(满江红)"	"00000452"	"乳突"	"Rhizosperma(九膘亚属)"	"紫红"	"绿"	"内表面"	"--"	"--"	"1.250"	"0.472"	"0.0659"	"绿"	"--"	"尖顶椭圆形"	"--"	"3.90"	"中"	"红"	"0.1437"	"斜方形"	"弱"	"桃红"	"--"	"--"	"--"	"弱"	"11.22"	"三角形"	"Ⅰ"	"福建农科院红萍研究中心"	"0.1803"	"福建省福州市郊古岑乡古岑"	"弱"	"结(62%)"	"强"	"绿"
"4"	"Azollaceae(满江红科)"	"--"	"--"	"楼下"	"卵形"	"丝状毛"	"1.08"	"10-20mm"	"0.083"	"桃形"	"4.65"	"004"	"椭圆形"	"桃红"	"0:7"	"--"	"--"	"福建"	"--"	"10×10mm"	"1981"	"圆筒形"	"弱"	"Azolla imbricata(Roxb.)Nakai(满江红)"	"00000453"	"乳突"	"Rhizosperma(九膘亚属)"	"暗红"	"绿"	"内表面"	"--"	"--"	"1.490"	"0.336"	"0.1310"	"绿"	"--"	"尖顶椭圆形"	"--"	"4.24"	"中"	"淡红"	"0.1788"	"斜方形"	"弱"	"桃红"	"--"	"--"	"--"	"弱"	"11.23"	"三角形"	"Ⅰ"	"福建农科院红萍研究中心"	"0.2032"	"福建省福州市郊建新乡楼下村"	"弱"	"结(6%)"	"强"	"绿"
"5"	"Azollaceae(满江红科)"	"0.0493"	"--"	"东星"	"卵形"	"--"	"0.99"	"10-20mm"	"0.151"	"--"	"4.34"	"005"	"椭圆形"	"--"	"--"	"--"	"--"	"福建"	"--"	"10×12mm"	"1984.5"	"圆筒形"	"弱"	"Azolla imbricata(Roxb.)Nakai(满江红)"	"00000454"	"粗、短"	"Rhizosperma(九膘亚属)"	"紫红"	"紫"	"--"	"--"	"--"	"0.971"	"0.858"	"0.1092"	"绿"	"--"	"--"	"--"	"4.16"	"中"	"红"	"0.1550"	"斜方形"	"弱"	"--"	"--"	"--"	"--"	"弱"	"--"	"三角形"	"Ⅰ"	"福建农科院红萍研究中心"	"0.2020"	"福建省莆田县西天尾乡东星村"	"弱"	"不结"	"强"	"绿"
"6"	"Azollaceae(满江红科)"	"--"	"--"	"莆田"	"卵形"	"--"	"0.88"	"20-30mm"	"0.104"	"--"	"4.55"	"006"	"椭圆形"	"--"	"--"	"39.5"	"--"	"福建"	"--"	"8×12mm"	"1979"	"圆筒形"	"弱"	"Azolla imbricata(Roxb.)Nakai(满江红)"	"00000455"	"粗、短"	"Rhizosperma(九膘亚属)"	"紫红"	"绿"	"--"	"3.8"	"25.5"	"1.200"	"0.579"	"0.1457"	"绿"	"--"	"--"	"8.8"	"3.70"	"中"	"红"	"0.1783"	"斜方形"	"弱"	"--"	"--"	"能量:4092卡/克风干重"	"6.7"	"弱"	"--"	"三角形"	"Ⅰ"	"福建农科院红萍研究中心"	"0.2029"	"福建省莆田县"	"弱"	"不结"	"强"	"绿"
"7"	"Azollaceae(满江红科)"	"--"	"--"	"唐阳"	"卵形"	"--"	"0.76"	"10-20mm"	"0.144"	"--"	"4.00"	"007"	"椭圆形"	"--"	"--"	"--"	"--"	"福建"	"--"	"8×10mm"	"1984.11"	"圆筒形"	"弱"	"Azolla imbricata(Roxb.)Nakai(满江红)"	"00000456"	"粗、短"	"Rhizosperma(九膘亚属)"	"暗红"	"绿"	"--"	"--"	"--"	"1.730"	"0.737"	"0.1169"	"绿"	"--"	"--"	"--"	"3.13"	"中"	"淡红"	"0.1656"	"斜方形"	"弱"	"--"	"--"	"--"	"--"	"弱"	"--"	"三角形"	"Ⅰ"	"福建农科院红萍研究中心"	"0.1869"	"福建省福鼎县官阳乡唐阳村"	"弱"	"不结"	"强"	"绿"
"8"	"Azollaceae(满江红科)"	"--"	"--"	"龙泉庵"	"卵形"	"--"	"1.01"	"10-20mm"	"0.106"	"--"	"4.12"	"008"	"椭圆形"	"--"	"--"	"--"	"--"	"福建"	"--"	"8×12mm"	"1984.11"	"圆筒形"	"弱"	"Azolla imbricata(Roxb.)Nakai(满江红)"	"00000457"	"粗、短"	"Rhizosperma(九膘亚属)"	"紫红"	"绿"	"--"	"--"	"--"	"1.380"	"0.620"	"0.1319"	"绿"	"--"	"--"	"--"	"3.42"	"中"	"淡红"	"0.1806"	"斜方形"	"弱"	"--"	"--"	"--"	"--"	"弱"	"--"	"三角形"	"Ⅰ"	"福建农科院红萍研究中心"	"0.1969"	"福建省霞浦县东关镇龙泉庵"	"弱"	"不结"	"强"	"绿"
"9"	"Azollaceae(满江红科)"	"--"	"--"	"洋尾"	"卵形"	"--"	"1.05"	"10-20mm"	"0.104"	"--"	"4.70"	"009"	"椭圆形"	"--"	"--"	"--"	"--"	"福建"	"--"	"10×10mm"	"1984.11"	"圆筒形"	"弱"	"Azolla imbricata(Roxb.)Nakai(满江红)"	"00000458"	"粗、短"	"Rhizosperma(九膘亚属)"	"紫红"	"绿"	"--"	"--"	"--"	"2.080"	"0.510"	"0.1070"	"绿"	"--"	"--"	"--"	"4.41"	"中"	"淡红"	"0.1619"	"斜方形"	"弱"	"--"	"--"	"--"	"--"	"弱"	"--"	"三角形"	"Ⅰ"	"福建农科院红萍研究中心"	"0.1792"	"福建省周宁县城郊镇洋尾村"	"弱"	"不结"	"强"	"绿"
"10"	"Azollaceae(满江红科)"	"--"	"--"	"溪坪"	"卵形"	"--"	"1.14"	"10-20mm"	"0.133"	"--"	"4.31"	"010"	"椭圆形"	"--"	"--"	"--"	"--"	"福建"	"--"	"8×10mm"	"1984.11"	"圆筒形"	"弱"	"Azolla imbricata(Roxb.)Nakai(满江红)"	"00000459"	"粗、短"	"Rhizosperma(九膘亚属)"	"暗红"	"绿"	"--"	"--"	"--"	"1.440"	"0.442"	"0.1776"	"绿"	"--"	"--"	"--"	"4.09"	"中"	"淡红"	"0.1650"	"斜方形"	"弱"	"--"	"--"	"--"	"--"	"弱"	"--"	"三角形"	"Ⅰ"	"福建农科院红萍研究中心"	"0.1938"	"福建省屏南县屏城溪坪"	"弱"	"不结"	"强"	"绿"
