"id"	"青枯病"	"科名"	"施木克值"	"品种名称"	"杂气"	"选育单位"	"茎围"	"叶面"	"叶片厚薄"	"吃味"	"移栽至开花"	"杂交组合"	"根结线虫病"	"单位编号"	"类型"	"黑胫病"	"译名"	"叶缘"	"总糖"	"劲头"	"属名"	"统一编号"	"糖／碱"	"学名"	"灰色"	"叶尖"	"花色"	"蛋白质"	"库编号"	"株型"	"省"	"原产地"	"叶色"	"CMV"	"烟碱"	"叶数"	"烟蚜"	"叶形"	"叶柄"	"烟气烟碱"	"节距"	"香气"	"备注"	"叶长"	"还原糖"	"燃烧性"	"焦油"	"叶宽"	"样品类型"	"叶片结构"	"保存单位"	"刺激性"	"焦油／烟碱"	"总氮"	"种子来源"	"株高"	"图象"
"1"	"--"	"Solanaceae(茄科)"	"--"	"大型黄金"	"--"	"--"	"--"	"--"	"--"	"--"	"61"	"--"	"--"	"1208"	"烤烟"	"--"	"DA XING HUANG J"	"--"	"--"	"--"	"Nicotiana(烟属)"	"00000001"	"--"	"Nicotiana tabacum L.(普通烟草)"	"--"	"--"	"--"	"--"	"I5A00660"	"塔形"	"山东"	"--"	"--"	"--"	"--"	"26.0"	"--"	"宽椭圆"	"--"	"--"	"--"	"--"	"--"	"56.5"	"--"	"--"	"--"	"32.5"	"地方"	"--"	"丹东所"	"--"	"--"	"--"	"--"	"180.3"	"--"
"2"	"--"	"Solanaceae(茄科)"	"--"	"青州小黄金"	"--"	"--"	"--"	"--"	"--"	"--"	"58"	"--"	"--"	"1209"	"烤烟"	"--"	"QING ZHOU XIAO"	"--"	"--"	"--"	"Nicotiana(烟属)"	"00000002"	"--"	"Nicotiana tabacum L.(普通烟草)"	"--"	"--"	"--"	"--"	"I5A00661"	"塔形"	"山东"	"--"	"--"	"--"	"1.86"	"22.0"	"--"	"宽椭圆"	"--"	"--"	"--"	"--"	"--"	"50.9"	"--"	"--"	"--"	"28.6"	"地方"	"--"	"丹东所"	"--"	"--"	"--"	"--"	"165.7"	"--"
"3"	"--"	"Solanaceae(茄科)"	"--"	"宽柳叶"	"--"	"--"	"--"	"--"	"--"	"--"	"58"	"--"	"--"	"1223"	"烤烟"	"--"	"KUAN LIU YE"	"--"	"--"	"--"	"Nicotiana(烟属)"	"00000003"	"--"	"Nicotiana tabacum L.(普通烟草)"	"--"	"--"	"--"	"--"	"I5A01989"	"塔形"	"山东"	"--"	"--"	"--"	"--"	"23.0"	"--"	"长椭圆"	"--"	"--"	"--"	"--"	"--"	"66.4"	"--"	"--"	"--"	"27.1"	"地方"	"--"	"丹东所"	"--"	"--"	"--"	"--"	"166.3"	"--"
"4"	"--"	"Solanaceae(茄科)"	"--"	"上庄烟"	"--"	"--"	"--"	"--"	"--"	"--"	"58"	"--"	"--"	"1227"	"烤烟"	"--"	"SHANG ZHUANG YA"	"--"	"--"	"--"	"Nicotiana(烟属)"	"00000004"	"--"	"Nicotiana tabacum L.(普通烟草)"	"--"	"--"	"--"	"--"	"I5A00662"	"塔形"	"山东"	"--"	"--"	"--"	"2.68"	"25.0"	"--"	"长椭圆"	"--"	"--"	"--"	"--"	"--"	"65.3"	"--"	"--"	"--"	"26.4"	"地方"	"--"	"丹东所"	"--"	"--"	"--"	"--"	"177.0"	"--"
"5"	"--"	"Solanaceae(茄科)"	"--"	"青州大白筋"	"--"	"--"	"--"	"--"	"--"	"--"	"54"	"--"	"--"	"1228"	"烤烟"	"--"	"QING ZHOU DA BA"	"--"	"--"	"--"	"Nicotiana(烟属)"	"00000005"	"--"	"Nicotiana tabacum L.(普通烟草)"	"--"	"--"	"--"	"--"	"I5A00663"	"塔形"	"山东"	"--"	"--"	"--"	"2.73"	"22.0"	"--"	"长椭圆"	"--"	"--"	"--"	"--"	"--"	"69.6"	"--"	"--"	"--"	"27.1"	"地方"	"--"	"丹东所"	"--"	"--"	"--"	"--"	"171.0"	"--"
"6"	"--"	"Solanaceae(茄科)"	"--"	"小老母鸡"	"--"	"--"	"--"	"--"	"--"	"--"	"68"	"--"	"--"	"1231"	"烤烟"	"--"	"XIAO LAO MU JI"	"--"	"--"	"--"	"Nicotiana(烟属)"	"00000006"	"--"	"Nicotiana tabacum L.(普通烟草)"	"--"	"--"	"--"	"--"	"I5A00664"	"塔形"	"山东"	"--"	"--"	"--"	"--"	"32.0"	"--"	"椭圆"	"--"	"--"	"--"	"--"	"--"	"48.2"	"--"	"--"	"--"	"23.7"	"地方"	"--"	"丹东所"	"--"	"--"	"--"	"--"	"189.0"	"--"
"7"	"--"	"Solanaceae(茄科)"	"--"	"半官大叶烟"	"--"	"--"	"--"	"--"	"--"	"--"	"68"	"--"	"--"	"1233"	"烤烟"	"--"	"BAN GUAN DA YE"	"--"	"--"	"--"	"Nicotiana(烟属)"	"00000007"	"--"	"Nicotiana tabacum L.(普通烟草)"	"--"	"--"	"--"	"--"	"I5A00665"	"塔形"	"山东"	"--"	"--"	"--"	"1.36"	"39.0"	"--"	"宽椭圆"	"--"	"--"	"--"	"--"	"--"	"54.0"	"--"	"--"	"--"	"30.1"	"地方"	"--"	"丹东所"	"--"	"--"	"--"	"--"	"187.3"	"--"
"8"	"--"	"Solanaceae(茄科)"	"--"	"武功"	"--"	"--"	"--"	"--"	"--"	"--"	"58"	"--"	"--"	"1236"	"烤烟"	"--"	"WU GONG"	"--"	"--"	"--"	"Nicotiana(烟属)"	"00000008"	"--"	"Nicotiana tabacum L.(普通烟草)"	"--"	"--"	"--"	"--"	"I5A00666"	"塔形"	"山东"	"--"	"--"	"--"	"2.45"	"24.0"	"--"	"长椭圆"	"--"	"--"	"--"	"--"	"--"	"53.1"	"--"	"--"	"--"	"28.7"	"地方"	"--"	"丹东所"	"--"	"--"	"--"	"--"	"198.3"	"--"
"9"	"--"	"Solanaceae(茄科)"	"1.11"	"老来变"	"--"	"--"	"--"	"--"	"--"	"--"	"60"	"--"	"--"	"0001"	"烤烟"	"--"	"LAO LAI BIAN"	"--"	"--"	"--"	"Nicotiana(烟属)"	"00000009"	"--"	"Nicotiana tabacum L.(普通烟草)"	"--"	"--"	"--"	"--"	"I5A00470"	"塔形"	"安徽"	"临泉"	"--"	"--"	"--"	"25.0"	"--"	"长卵圆"	"--"	"1.11"	"--"	"--"	"--"	"56.7"	"--"	"--"	"--"	"25.1"	"地方"	"--"	"安徽所"	"--"	"--"	"--"	"--"	"94.0"	"--"
"10"	"--"	"Solanaceae(茄科)"	"--"	"尖叶柳"	"--"	"--"	"--"	"--"	"--"	"--"	"85"	"--"	"--"	"0002"	"烤烟"	"--"	"JIAN YE LIU"	"--"	"--"	"--"	"Nicotiana(烟属)"	"00000010"	"--"	"Nicotiana tabacum L.(普通烟草)"	"--"	"--"	"--"	"--"	"I5A00471"	"塔形"	"安徽"	"固镇"	"--"	"--"	"--"	"16.0"	"--"	"长椭圆"	"--"	"--"	"--"	"--"	"--"	"40.5"	"--"	"--"	"--"	"15.0"	"地方"	"--"	"安徽所"	"--"	"--"	"--"	"--"	"89.7"	"--"
