"id"	"蛋氨酸"	"科名"	"小穗形"	"品种名称"	"谷氨酸"	"内稃色"	"棕榈酸"	"天冬氨酸"	"精氨酸"	"苏氨酸"	"丙氨酸"	"总和"	"油酸"	"有效分蘖"	"亚麻酸"	"外稃色"	"省"	"生育日数"	"保存编号"	"保存单位"	"亚油酸"	"幼苗习性"	"卵块"	"旗叶叶相"	"占脂肪酸"	"统一编号"	"主穗长"	"苯丙氨酸"	"学名"	"脂肪"	"胱氨酸"	"组氨酸"	"倒伏性"	"蛋白质"	"芒颜色"	"样品类型"	"亮氨酸"	"库编号"	"主穗小穗数"	"原产地"	"黑穗病率"	"不饱脂肪酸"	"甘氨酸"	"芒形状"	"蚜虫"	"氨"	"幼虫"	"主穗粒重"	"缬氨酸"	"黑穗病抗性"	"色氨酸"	"单株粒重"	"粒色"	"酩氨酸"	"脯氨酸"	"赖氨酸"	"皮裸"	"千粒重"	"丝氨酸"	"属名"	"译名"	"幼苗颜色"	"粒型"	"抗旱性"	"红叶病抗性"	"轮层数"	"株高"	"穗形"	"异亮氨酸"	"红叶病病级"
"1"	"0.64"	"Gramineae(禾本科)"	"串铃"	"N-HT-35"	"3.40"	"黄"	"--"	"1.24"	"1.11"	"0.53"	"0.76"	"16.12"	"--"	"3.6"	"--"	"黄"	"国外"	"91"	"N0003001"	"--"	"40.65"	"匍伏"	"1.9"	"平展"	"--"	"ZY000695"	"25.4"	"0.97"	"Avena nuda L.(裸燕麦)"	"6.72"	"0.42"	"0.35"	"中抗"	"15.38"	"--"	"国外"	"1.27"	"I1F00645"	"36.40"	"加拿大"	"100.0"	"--"	"0.76"	"--"	"9"	"0.49"	"59.7"	"0.8"	"0.86"	"--"	"0.20"	"1.0"	"黄"	"0.72"	"0.88"	"0.63"	"裸"	"16.00"	"0.75"	"Avena(燕麦属)"	"N-HT-35"	"淡绿"	"纺锤"	"低抗"	"--"	"7.3"	"107.5"	"周散"	"0.63"	"2"
"2"	"0.35"	"Gramineae(禾本科)"	"串铃"	"N-C33Ⅳ-45-16"	"4.43"	"黄"	"--"	"1.73"	"1.51"	"0.71"	"0.94"	"19.54"	"--"	"2.5"	"--"	"黄"	"国外"	"87"	"N0003002"	"--"	"41.00"	"匍伏"	"0.6"	"平展"	"--"	"ZY000696"	"20.5"	"1.12"	"Avena nuda L.(裸燕麦)"	"6.42"	"0.44"	"0.46"	"中抗"	"14.58"	"--"	"国外"	"1.50"	"I1F00646"	"25.80"	"加拿大"	"14.2"	"--"	"0.95"	"--"	"7"	"0.54"	"78.2"	"0.7"	"1.03"	"--"	"0.30"	"2.6"	"黄"	"0.80"	"0.72"	"0.80"	"裸"	"17.00"	"0.97"	"Avena(燕麦属)"	"N-C33Ⅳ-45-16"	"淡绿"	"纺锤"	"低抗"	"--"	"7.1"	"101.4"	"周散"	"0.78"	"3"
"3"	"0.51"	"Gramineae(禾本科)"	"串铃"	"ABrighton"	"3.47"	"黄"	"31.28"	"1.23"	"1.17"	"0.53"	"0.80"	"15.97"	"36.88"	"2.8"	"--"	"黄"	"国外"	"87"	"N0003013"	"--"	"--"	"匍伏"	"--"	"平展"	"31.84"	"ZY000697"	"23.1"	"0.90"	"Avena nuda L.(裸燕麦)"	"6.46"	"0.20"	"0.34"	"中抗"	"14.76"	"--"	"国外"	"1.30"	"I1F00655"	"25.20"	"加拿大"	"60.4"	"46.34"	"0.77"	"--"	"7"	"0.50"	"19.0"	"0.5"	"0.87"	"--"	"0.26"	"1.1"	"黄"	"0.72"	"0.83"	"0.65"	"裸"	"14.00"	"0.69"	"Avena(燕麦属)"	"BBrighton"	"淡绿"	"纺锤"	"低抗"	"--"	"7.3"	"114.7"	"周散"	"0.73"	"2"
"4"	"0.27"	"Gramineae(禾本科)"	"串铃"	"Avena Byzantina(AKanota)"	"4.22"	"黄"	"--"	"1.59"	"1.37"	"0.67"	"0.90"	"18.38"	"--"	"3.8"	"--"	"黄"	"国外"	"88"	"N0003014"	"--"	"41.71"	"匍伏"	"0.9"	"平展"	"--"	"ZY000698"	"24.9"	"1.05"	"Avena nuda L.(裸燕麦)"	"6.83"	"0.42"	"0.43"	"中抗"	"12.04"	"--"	"国外"	"1.43"	"I1F00656"	"25.40"	"加拿大"	"21.2"	"--"	"0.89"	"--"	"7"	"0.51"	"71.7"	"0.6"	"0.98"	"--"	"0.26"	"1.2"	"黄"	"0.77"	"0.74"	"0.75"	"裸"	"11.90"	"0.91"	"Avena(燕麦属)"	"AVeva Byzantina(AKanota)"	"淡绿"	"纺锤"	"低抗"	"--"	"5.9"	"112.9"	"周散"	"0.73"	"2"
"5"	"0.33"	"Gramineae(禾本科)"	"串铃"	"SL1006 1-44-3"	"4.36"	"黄"	"--"	"1.61"	"1.40"	"0.69"	"0.92"	"19.02"	"--"	"2.8"	"--"	"黄"	"国外"	"89"	"N0003015"	"--"	"40.86"	"直立"	"1.2"	"平展"	"--"	"ZY000699"	"24.9"	"1.08"	"Avena nuda L.(裸燕麦)"	"6.26"	"0.45"	"0.44"	"中抗"	"--"	"--"	"国外"	"1.48"	"I1F00657"	"23.60"	"加拿大"	"26.8"	"--"	"0.93"	"--"	"7"	"0.51"	"57.2"	"0.5"	"1.00"	"--"	"0.29"	"1.3"	"褐黄"	"0.80"	"0.78"	"0.77"	"裸"	"12.90"	"0.95"	"Avena(燕麦属)"	"SI1006 1-44-3"	"淡绿"	"纺锤"	"低抗"	"--"	"5.4"	"107.4"	"周散"	"0.74"	"2"
"6"	"0.38"	"Gramineae(禾本科)"	"串铃"	"SBC-VC-5216Ⅳ-49-1"	"4.46"	"黄"	"--"	"1.61"	"1.48"	"0.70"	"0.95"	"19.51"	"--"	"2.6"	"--"	"黄"	"国外"	"97"	"N0003016"	"--"	"40.51"	"直立"	"0.3"	"平展"	"--"	"ZY000700"	"21.2"	"1.12"	"Avena nuda L.(裸燕麦)"	"--"	"0.41"	"0.45"	"低抗"	"--"	"--"	"国外"	"1.52"	"I1F00658"	"21.20"	"加拿大"	"100.0"	"--"	"0.95"	"--"	"9"	"0.52"	"40.8"	"0.4"	"1.03"	"--"	"0.26"	"1.2"	"黄"	"0.82"	"0.84"	"0.80"	"裸"	"11.60"	"0.96"	"Avena(燕麦属)"	"SBC-VC-5216Ⅳ-49-1"	"淡绿"	"椭圆"	"低抗"	"--"	"7.0"	"124.9"	"周散"	"0.77"	"2"
"7"	"0.33"	"Gramineae(禾本科)"	"串铃"	"SBC-VC5216Ⅳ-50-1"	"4.12"	"黄"	"--"	"1.52"	"1.36"	"0.65"	"0.89"	"18.08"	"--"	"3.1"	"--"	"黄"	"国外"	"97"	"N0003017"	"--"	"40.65"	"直立"	"0.3"	"平展"	"--"	"ZY000701"	"23.5"	"1.05"	"Avena nuda L.(裸燕麦)"	"--"	"0.43"	"0.42"	"低抗"	"--"	"--"	"国外"	"1.41"	"I1F00659"	"30.10"	"加拿大"	"100.0"	"--"	"0.88"	"--"	"7"	"0.50"	"54.7"	"0.7"	"0.96"	"--"	"0.29"	"3.2"	"黄"	"0.76"	"0.65"	"0.75"	"裸"	"12.10"	"0.90"	"Avena(燕麦属)"	"SBC-VC5216Ⅳ-50-1"	"淡绿"	"长圆"	"低抗"	"--"	"7.5"	"123.3"	"周散"	"0.71"	"2"
"8"	"0.33"	"Gramineae(禾本科)"	"串铃"	"ABrighton"	"4.13"	"黄"	"--"	"1.60"	"1.36"	"0.66"	"0.89"	"18.19"	"--"	"1.8"	"--"	"黄"	"国外"	"88"	"N0003022"	"--"	"44.29"	"中"	"1.8"	"下披"	"--"	"ZY000702"	"22.2"	"1.05"	"Avena nuda L.(裸燕麦)"	"9.82"	"0.41"	"0.43"	"低抗"	"13.40"	"--"	"国外"	"1.41"	"I1F00664"	"28.10"	"加拿大"	"--"	"--"	"0.87"	"--"	"7"	"0.48"	"55.3"	"0.6"	"0.96"	"--"	"0.31"	"2.2"	"黄"	"0.75"	"0.66"	"0.75"	"裸"	"11.60"	"0.89"	"Avena(燕麦属)"	"ABrighton"	"绿"	"长圆"	"低抗"	"--"	"6.0"	"106.0"	"周散"	"0.73"	"2"
"9"	"0.30"	"Gramineae(禾本科)"	"串铃"	"N-HJ-35"	"3.94"	"黄"	"--"	"1.50"	"1.30"	"0.62"	"0.84"	"17.37"	"--"	"2.2"	"--"	"黄"	"国外"	"91"	"N0003023"	"--"	"40.03"	"中"	"1.5"	"平展"	"--"	"ZY000703"	"22.2"	"1.01"	"Avena nuda L.(裸燕麦)"	"9.65"	"0.41"	"0.40"	"中抗"	"14.81"	"--"	"国外"	"1.38"	"I1F00665"	"24.80"	"加拿大"	"--"	"--"	"0.83"	"--"	"7"	"0.47"	"64.9"	"0.5"	"0.95"	"--"	"0.29"	"0.9"	"黄"	"0.71"	"0.65"	"0.70"	"裸"	"15.10"	"0.83"	"Avena(燕麦属)"	"N-HJ-35"	"淡绿"	"纺锤"	"高抗"	"--"	"6.0"	"113.1"	"周散"	"0.71"	"2"
"10"	"0.24"	"Gramineae(禾本科)"	"串铃"	"Ot.195"	"3.77"	"黄"	"--"	"1.52"	"1.36"	"0.64"	"0.86"	"17.32"	"--"	"2.2"	"--"	"黄"	"国外"	"84"	"N0003024"	"--"	"41.88"	"中"	"1.2"	"下披"	"--"	"ZY000704"	"19.0"	"0.98"	"Avena nuda L.(裸燕麦)"	"6.86"	"0.41"	"0.41"	"中抗"	"14.71"	"--"	"国外"	"1.34"	"I1F00666"	"28.00"	"加拿大"	"--"	"--"	"0.86"	"--"	"5"	"0.44"	"29.7"	"0.4"	"0.94"	"--"	"0.27"	"1.4"	"黄"	"0.71"	"0.71"	"0.75"	"裸"	"14.70"	"0.85"	"Avena(燕麦属)"	"Ot.195"	"淡绿"	"纺锤"	"高抗"	"--"	"6.2"	"95.9"	"周散"	"0.70"	"2"
