"id"	"成熟期"	"科名"	"抽穗或孕蕾"	"库编号"	"送种单位"	"枯黄"	"千粒重"	"发芽率"	"返青期"	"学名"	"原编号"	"省"	"生育天数"	"备注"	"材料来源"	"品种名称"	"开花期"	"播种期"	"收种期"	"统一编号"	"属名"	"材料原产地"	"株高"	"中名"
"1"	"6.22"	"Gramineae(禾本科)"	"--"	"I7B00343"	"中国农科院畜牧所"	"--"	"--"	"--"	"3.20"	"Achnatherum(高羊茅)"	"80-26"	"国外"	"94"	"栽培牧草"	"美国"	"KY-31"	"--"	"--"	"1987"	"羊Ⅱ-45"	"Achnatherum(芨芨草属)"	"--"	"95.00"	"高羊茅"
"2"	"7.01"	"Gramineae(禾本科)"	"--"	"I7B00609"	"中国农科院畜牧所"	"--"	"--"	"--"	"3.20"	"Agropyron"	"87-128"	"国外"	"103"	"栽培牧草"	"西德"	"混合15号"	"--"	"--"	"1988"	"混合Ⅱ-1"	"Agropyron(冰草属)"	"--"	"55.00"	"--"
"3"	"6.21"	"Gramineae(禾本科)"	"--"	"I7B00610"	"中国农科院畜牧所"	"--"	"--"	"--"	"3.20"	"Agropyron"	"87-127"	"国外"	"93"	"栽培牧草"	"西德"	"混合18号"	"--"	"--"	"1988"	"混合Ⅱ-2"	"Agropyron(冰草属)"	"--"	"94.00"	"--"
"4"	"6.21"	"Gramineae(禾本科)"	"--"	"I7B00611"	"中国农科院畜牧所"	"--"	"--"	"--"	"3.20"	"Agropyron"	"87-126"	"国外"	"93"	"栽培牧草"	"西德"	"混合17号"	"--"	"--"	"1988"	"混合Ⅱ-3"	"Agropyron(冰草属)"	"--"	"99.00"	"--"
"5"	"8.30"	"Gramineae(禾本科)"	"--"	"I7B01345"	"中国农科院草原所"	"--"	"3.20"	"--"	"4.15"	"Agropyron splendens (Trin.) Nevski.(冰草)"	"ECRG-12"	"内蒙"	"135"	"野生牧草"	"农科院草原所"	"--"	"--"	"--"	"1989"	"芨Ⅱ-1"	"Agropyron(冰草属)"	"--"	"138.00"	"冰草"
"6"	"8.27"	"Gramineae(禾本科)"	"--"	"I7B01368"	"中国农科院草原所"	"--"	"2.25"	"--"	"3.28"	"Agropyron"	"IB04A"	"内蒙"	"149"	"野生牧草"	"农科院草原所"	"--"	"--"	"--"	"1989"	"冰Ⅱ-235"	"Agropyron(冰草属)"	"--"	"70.00"	"冠状冰草"
"7"	"8.27"	"Gramineae(禾本科)"	"--"	"I7B01369"	"中国农科院草原所"	"--"	"--"	"--"	"3.28"	"Agropyron"	"IB460"	"内蒙"	"124"	"野生牧草"	"农科院草原所"	"--"	"--"	"--"	"1989"	"冰Ⅱ-236"	"Agropyron(冰草属)"	"--"	"93.00"	"细绒冰草"
"8"	"7.26"	"Gramineae(禾本科)"	"--"	"I7B00245"	"中国农科院畜牧所"	"--"	"--"	"--"	"3.24"	"Agropyron albicans(淡白冰草)"	"80-105"	"国外"	"133"	"栽培牧草"	"美国"	"--"	"--"	"--"	"1987"	"冰Ⅰ-12"	"Agropyron(冰草属)"	"蒙大拿州"	"108.00"	"淡白冰草"
"9"	"7.05"	"Gramineae(禾本科)"	"--"	"I7B00259"	"中国农科院畜牧所"	"--"	"--"	"--"	"--"	"Agropyron cristatum (L.) Gaerth."	"84-48"	"国外"	"--"	"栽培牧草"	"美国"	"--"	"--"	"--"	"1987"	"冰Ⅱ-72"	"Agropyron(冰草属)"	"苏联"	"64.00"	"扁穗冰草"
"10"	"7.02"	"Gramineae(禾本科)"	"--"	"I7B00260"	"中国农科院畜牧所"	"--"	"--"	"--"	"3.15"	"Agropyron cristatum (L.) Gaerth."	"84-50"	"国外"	"110"	"栽培牧草"	"美国"	"--"	"--"	"--"	"1987"	"冰Ⅱ-73"	"Agropyron(冰草属)"	"苏联"	"60.00"	"扁穗冰草"
"11"	"7.30"	"Gramineae(禾本科)"	"--"	"I7B00246"	"中国农科院畜牧所"	"--"	"--"	"--"	"3.15"	"Agropyron cristatum (L.) Gaerth."	"84-19"	"国外"	"138"	"栽培牧草"	"美国"	"--"	"--"	"--"	"1987"	"冰Ⅱ-56"	"Agropyron(冰草属)"	"苏联"	"64.00"	"扁穗冰草"
"12"	"7.02"	"Gramineae(禾本科)"	"--"	"I7B00831"	"中国农科院畜牧所"	"--"	"--"	"--"	"3.15"	"Agropyron cristatum (L.) Gaerth."	"84-51"	"国外"	"110"	"栽培牧草"	"美国"	"--"	"--"	"--"	"1988"	"冰Ⅱ-74"	"Agropyron(冰草属)"	"伊朗"	"45.00"	"扁穗冰草"
"13"	"7.15"	"Gramineae(禾本科)"	"--"	"I7B00249"	"中国农科院畜牧所"	"--"	"--"	"--"	"3.15"	"Agropyron cristatum (L.) Gaerth."	"84-25"	"国外"	"123"	"栽培牧草"	"美国"	"--"	"--"	"--"	"1987"	"冰Ⅱ-59"	"Agropyron(冰草属)"	"苏联"	"15.00"	"扁穗冰草"
"14"	"6.29"	"Gramineae(禾本科)"	"--"	"I7B00262"	"中国农科院畜牧所"	"--"	"--"	"--"	"3.15"	"Agropyron cristatum (L.) Gaerth."	"84-53"	"国外"	"107"	"栽培牧草"	"美国"	"--"	"--"	"--"	"1987"	"冰Ⅱ-76"	"Agropyron(冰草属)"	"伊朗"	"46.00"	"扁穗冰草"
"15"	"7.15"	"Gramineae(禾本科)"	"--"	"I7B00251"	"中国农科院畜牧所"	"--"	"--"	"--"	"3.15"	"Agropyron cristatum (L.) Gaerth."	"84-27"	"国外"	"123"	"栽培牧草"	"美国"	"--"	"--"	"--"	"1987"	"冰Ⅱ-61"	"Agropyron(冰草属)"	"苏联"	"54.00"	"扁穗冰草"
"16"	"7.10"	"Gramineae(禾本科)"	"--"	"I7B00832"	"中国农科院畜牧所"	"--"	"--"	"--"	"3.15"	"Agropyron cristatum (L.) Gaerth."	"84-57"	"国外"	"118"	"栽培牧草"	"美国"	"--"	"--"	"--"	"1987"	"冰Ⅱ-77"	"Agropyron(冰草属)"	"土耳其"	"55.00"	"扁穗冰草"
"17"	"6.29"	"Gramineae(禾本科)"	"--"	"I7B00253"	"中国农科院畜牧所"	"--"	"--"	"--"	"3.15"	"Agropyron cristatum (L.) Gaerth."	"84-35"	"国外"	"107"	"栽培牧草"	"美国"	"--"	"--"	"--"	"1987"	"冰Ⅱ-63"	"Agropyron(冰草属)"	"苏联"	"56.00"	"扁穗冰草"
"18"	"7.15"	"Gramineae(禾本科)"	"--"	"I7B00264"	"中国农科院畜牧所"	"--"	"--"	"--"	"3.15"	"Agropyron cristatum (L.) Gaerth."	"84-62"	"国外"	"123"	"栽培牧草"	"美国"	"--"	"--"	"--"	"1987"	"冰Ⅱ-80"	"Agropyron(冰草属)"	"土耳其"	"76.00"	"扁穗冰草"
"19"	"7.14"	"Gramineae(禾本科)"	"--"	"I7B00255"	"中国农科院畜牧所"	"--"	"--"	"--"	"3.15"	"Agropyron cristatum (L.) Gaerth."	"84-42"	"国外"	"122"	"栽培牧草"	"美国"	"--"	"--"	"--"	"1987"	"冰Ⅱ-67"	"Agropyron(冰草属)"	"苏联"	"51.00"	"扁穗冰草"
"20"	"7.10"	"Gramineae(禾本科)"	"--"	"I7B00265"	"中国农科院畜牧所"	"--"	"--"	"--"	"3.15"	"Agropyron cristatum (L.) Gaerth."	"84-64"	"国外"	"118"	"栽培牧草"	"美国"	"--"	"--"	"--"	"1987"	"冰Ⅱ-81"	"Agropyron(冰草属)"	"土耳其"	"60.00"	"扁穗冰草"
"21"	"7.05"	"Gramineae(禾本科)"	"--"	"I7B00257"	"中国农科院畜牧所"	"--"	"--"	"--"	"--"	"Agropyron cristatum (L.) Gaerth."	"84-45"	"国外"	"--"	"栽培牧草"	"美国"	"--"	"--"	"--"	"1987"	"冰Ⅱ-70"	"Agropyron(冰草属)"	"苏联"	"53.00"	"扁穗冰草"
"22"	"7.10"	"Gramineae(禾本科)"	"--"	"I7B00266"	"中国农科院畜牧所"	"--"	"--"	"--"	"3.15"	"Agropyron cristatum (L.) Gaerth."	"84-65"	"国外"	"118"	"栽培牧草"	"美国"	"--"	"--"	"--"	"1987"	"冰Ⅱ-82"	"Agropyron(冰草属)"	"土耳其"	"58.00"	"扁穗冰草"
"23"	"7.18"	"Gramineae(禾本科)"	"--"	"I7B00247"	"中国农科院畜牧所"	"--"	"--"	"--"	"3.15"	"Agropyron cristatum (L.) Gaerth."	"84-20"	"国外"	"126"	"栽培牧草"	"美国"	"--"	"--"	"--"	"1987"	"冰Ⅱ-57"	"Agropyron(冰草属)"	"苏联"	"62.00"	"扁穗冰草"
"24"	"7.23"	"Gramineae(禾本科)"	"--"	"I7B00275"	"中国农科院畜牧所"	"--"	"--"	"--"	"3.15"	"Agropyron cristatum (L.) Gaerth."	"84-126"	"国外"	"131"	"栽培牧草"	"美国"	"--"	"--"	"--"	"1987"	"冰Ⅱ-96"	"Agropyron(冰草属)"	"苏联"	"68.00"	"扁穗冰草"
"25"	"7.10"	"Gramineae(禾本科)"	"--"	"I7B00267"	"中国农科院畜牧所"	"--"	"--"	"--"	"3.15"	"Agropyron cristatum (L.) Gaerth."	"84-66"	"国外"	"118"	"栽培牧草"	"美国"	"--"	"--"	"--"	"1987"	"冰Ⅱ-83"	"Agropyron(冰草属)"	"土耳其"	"52.00"	"扁穗冰草"
"26"	"6.29"	"Gramineae(禾本科)"	"--"	"I7B00252"	"中国农科院畜牧所"	"--"	"--"	"--"	"3.15"	"Agropyron cristatum (L.) Gaerth."	"84-34"	"国外"	"107"	"栽培牧草"	"美国"	"--"	"--"	"--"	"1987"	"冰Ⅱ-62"	"Agropyron(冰草属)"	"苏联"	"53.00"	"扁穗冰草"
"27"	"7.10"	"Gramineae(禾本科)"	"--"	"I7B00256"	"中国农科院畜牧所"	"--"	"--"	"--"	"3.15"	"Agropyron cristatum (L.) Gaerth."	"84-43"	"国外"	"118"	"栽培牧草"	"美国"	"--"	"--"	"--"	"1987"	"冰Ⅱ-68"	"Agropyron(冰草属)"	"苏联"	"56.00"	"扁穗冰草"
"28"	"7.05"	"Gramineae(禾本科)"	"--"	"I7B00258"	"中国农科院畜牧所"	"--"	"--"	"--"	"--"	"Agropyron cristatum (L.) Gaerth."	"84-47"	"国外"	"--"	"栽培牧草"	"美国"	"--"	"--"	"--"	"1987"	"冰Ⅱ-71"	"Agropyron(冰草属)"	"苏联"	"56.00"	"扁穗冰草"
"29"	"7.29"	"Gramineae(禾本科)"	"--"	"I7B00250"	"中国农科院畜牧所"	"--"	"--"	"--"	"3.15"	"Agropyron cristatum (L.) Gaerth."	"84-26"	"国外"	"107"	"栽培牧草"	"美国"	"--"	"--"	"--"	"1987"	"冰Ⅱ-60"	"Agropyron(冰草属)"	"苏联"	"57.00"	"扁穗冰草"
"30"	"7.29"	"Gramineae(禾本科)"	"--"	"I7B00254"	"中国农科院畜牧所"	"--"	"--"	"--"	"3.15"	"Agropyron cristatum (L.) Gaerth."	"84-36"	"国外"	"107"	"栽培牧草"	"美国"	"--"	"--"	"--"	"1987"	"冰Ⅱ-64"	"Agropyron(冰草属)"	"苏联"	"57.00"	"扁穗冰草"
"31"	"7.07"	"Gramineae(禾本科)"	"--"	"I7B00834"	"中国农科院畜牧所"	"--"	"--"	"--"	"3.15"	"Agropyron cristatum (L.) Gaerth."	"84-67"	"国外"	"115"	"栽培牧草"	"美国"	"--"	"--"	"--"	"1987"	"冰Ⅱ-84"	"Agropyron(冰草属)"	"土耳其"	"53.00"	"扁穗冰草"
"32"	"7.10"	"Gramineae(禾本科)"	"--"	"I7B00835"	"中国农科院畜牧所"	"--"	"--"	"--"	"3.15"	"Agropyron cristatum (L.) Gaerth."	"84-75"	"国外"	"118"	"栽培牧草"	"美国"	"--"	"--"	"--"	"1987"	"冰Ⅱ-85"	"Agropyron(冰草属)"	"伊朗"	"52.00"	"扁穗冰草"
"33"	"7.12"	"Gramineae(禾本科)"	"--"	"I7B00271"	"中国农科院畜牧所"	"--"	"--"	"--"	"3.15"	"Agropyron cristatum (L.) Gaerth."	"84-117"	"国外"	"120"	"栽培牧草"	"美国"	"--"	"--"	"--"	"1987"	"冰Ⅱ-92"	"Agropyron(冰草属)"	"苏联"	"72.00"	"扁穗冰草"
"34"	"7.12"	"Gramineae(禾本科)"	"--"	"I7B00273"	"中国农科院畜牧所"	"--"	"--"	"--"	"3.15"	"Agropyron cristatum (L.) Gaerth."	"84-120"	"国外"	"120"	"栽培牧草"	"美国"	"--"	"--"	"--"	"1987"	"冰Ⅱ-94"	"Agropyron(冰草属)"	"苏联"	"51.00"	"扁穗冰草"
"35"	"7.14"	"Gramineae(禾本科)"	"--"	"I7B00274"	"中国农科院畜牧所"	"--"	"--"	"--"	"3.15"	"Agropyron cristatum (L.) Gaerth."	"84-124"	"国外"	"122"	"栽培牧草"	"美国"	"--"	"--"	"--"	"1987"	"冰Ⅱ-95"	"Agropyron(冰草属)"	"苏联"	"51.00"	"扁穗冰草"
"36"	"7.12"	"Gramineae(禾本科)"	"--"	"I7B00277"	"中国农科院畜牧所"	"--"	"--"	"--"	"3.15"	"Agropyron cristatum (L.) Gaerth."	"84-129"	"国外"	"120"	"栽培牧草"	"美国"	"--"	"--"	"--"	"1987"	"冰Ⅱ-98"	"Agropyron(冰草属)"	"苏联"	"71.00"	"扁穗冰草"
