"id"	"熟性"	"科名"	"品种名称"	"定植至始收"	"叶面蜡粉"	"球茎形状"	"株幅"	"省"	"球茎纵径"	"定植期"	"译名"	"肉质"	"单产"	"播种期"	"属名"	"统一编号"	"学名"	"抗逆性"	"繁种单位"	"叶片数"	"叶柄色"	"贮藏性"	"叶簇"	"叶色"	"抗虫性"	"球茎皮色"	"球茎横径"	"叶形"	"球茎水分"	"耐涝性"	"耐旱性"	"备注"	"抗病性"	"收获期"	"单位编号"	"耐寒性"	"品种来源"	"用途"	"种质库编号"	"栽培时期"	"种子千粒重"	"株高"	"球茎重"	"耐热性"
"1"	"中"	"Cruciferae(十字花科)"	"大叶苤兰"	"80"	"--"	"扁圆"	"--"	"安徽"	"--"	"--"	"DA YE PIE LAN"	"细嫩"	"1000"	"--"	"Brassica(芸薹属)"	"V04B0001"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"强"	"安徽农科院园艺所"	"17.0"	"--"	"--"	"半直立"	"--"	"--"	"绿"	"--"	"--"	"多"	"--"	"--"	"--"	"强"	"--"	"BO1(88)"	"--"	"安徽怀远县"	"熟"	"Ⅱ4B0019"	"6中-10上"	"--"	"45.0"	"1500"	"--"
"2"	"早"	"Cruciferae(十字花科)"	"小叶苤兰"	"55"	"--"	"扁圆"	"--"	"安徽"	"--"	"--"	"XIAO YE PIE LAN"	"粗糙"	"1250"	"--"	"Brassica(芸薹属)"	"V04B0002"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"强"	"安徽农科院园艺所"	"13.0"	"--"	"--"	"半直立"	"--"	"--"	"绿"	"--"	"--"	"多"	"--"	"--"	"--"	"强"	"--"	"BO2(88)"	"--"	"安徽五河县"	"熟"	"Ⅱ4B0020"	"6中-9下"	"--"	"30.0"	"500"	"--"
"3"	"中"	"Cruciferae(十字花科)"	"二叶子苤兰"	"85"	"--"	"扁圆"	"--"	"四川"	"--"	"--"	"ER YE ZI PIE LAN"	"脆嫩"	"1500"	"--"	"Brassica(芸薹属)"	"V04B0003"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"耐热"	"成都市第一农科所"	"10.0"	"--"	"--"	"平展"	"--"	"--"	"绿"	"--"	"--"	"中"	"--"	"--"	"夏冬栽培"	"强"	"--"	"D3-001"	"--"	"四川成都市"	"熟食加工"	"Ⅱ4B0011"	"(2上.6.7下)-(6上.10.11)"	"--"	"35.0"	"800"	"--"
"4"	"晚"	"Cruciferae(十字花科)"	"苤兰"	"155"	"--"	"扁圆"	"--"	"甘肃"	"--"	"--"	"PIE LAN"	"脆嫩"	"5000"	"--"	"Brassica(芸薹属)"	"V04B0004"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"中"	"甘肃农科院蔬菜所"	"29.0"	"--"	"--"	"半直立"	"--"	"--"	"绿白"	"--"	"--"	"多"	"--"	"--"	"春秋栽培"	"中弱"	"--"	"甘Ⅱ4B001"	"--"	"甘肃定西县"	"生熟腌"	"Ⅱ4B0012"	"4上-9.10"	"--"	"41.0"	"2000"	"--"
"5"	"早"	"Cruciferae(十字花科)"	"桂林球茎甘兰"	"90"	"--"	"扁圆"	"--"	"广西"	"--"	"--"	"GUI LIN QIU JING GAN LAN"	"脆嫩"	"2250"	"--"	"Brassica(芸薹属)"	"V04B0005"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"耐寒强"	"广西农科院园艺所"	"13.0"	"--"	"--"	"半直立"	"--"	"--"	"绿"	"--"	"--"	"少"	"--"	"--"	"夏秋栽培"	"抗软腐中"	"--"	"200021"	"--"	"广西桂林市"	"熟食"	"Ⅱ4B0006"	"(7.10)-(10.2)"	"--"	"35.0"	"800"	"--"
"6"	"早"	"Cruciferae(十字花科)"	"安顺白皮苤兰"	"100"	"--"	"扁圆"	"--"	"贵州"	"--"	"--"	"AN SHUN BAI PI PIE LAN"	"脆嫩"	"2000"	"--"	"Brassica(芸薹属)"	"V04B0006"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"耐热"	"贵州农科院园艺所"	"15.0"	"--"	"--"	"较开展"	"--"	"--"	"绿"	"--"	"--"	"中"	"--"	"--"	"--"	"强"	"--"	"4-B-22-36"	"--"	"贵州安顺市"	"生熟食"	"Ⅱ4B0010"	"11中-3中-4下"	"--"	"32.0"	"300"	"--"
"7"	"中"	"Cruciferae(十字花科)"	"苤兰"	"131"	"--"	"近圆"	"--"	"贵州"	"--"	"--"	"PIE LAN"	"艮硬"	"1750"	"--"	"Brassica(芸薹属)"	"V04B0007"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"中"	"贵州农科院园艺所"	"16.0"	"--"	"--"	"开展"	"--"	"--"	"绿"	"--"	"--"	"中"	"--"	"--"	"--"	"中"	"--"	"4-B-22-11"	"--"	"贵州都匀市"	"熟食"	"Ⅱ4B0028"	"11上-3上-4中"	"--"	"39.0"	"200"	"--"
"8"	"中"	"Cruciferae(十字花科)"	"苤兰"	"120"	"--"	"扁圆"	"--"	"贵州"	"--"	"--"	"PIE LAN"	"脆嫩"	"1600"	"--"	"Brassica(芸薹属)"	"V04B0008"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"强"	"贵州农科院园艺所"	"15.0"	"--"	"--"	"开展"	"--"	"--"	"绿"	"--"	"--"	"少"	"--"	"--"	"--"	"中"	"--"	"4-B-22-10"	"--"	"贵州贵定县"	"熟食"	"Ⅱ4B0024"	"11中-3-4"	"--"	"25.0"	"500"	"--"
"9"	"中"	"Cruciferae(十字花科)"	"蒜盘子苤兰"	"130"	"--"	"近圆"	"--"	"贵州"	"--"	"--"	"SUAN PAN ZI PIE LAN"	"艮硬"	"1750"	"--"	"Brassica(芸薹属)"	"V04B0009"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"中"	"贵州农科院园艺所"	"19.0"	"--"	"--"	"开展"	"--"	"--"	"绿"	"--"	"--"	"中"	"--"	"--"	"--"	"中"	"--"	"4-B-22-12"	"--"	"贵州绥阳县"	"熟食"	"Ⅱ4B0029"	"11-3-4"	"--"	"38.0"	"200"	"--"
"10"	"早"	"Cruciferae(十字花科)"	"铜仁白皮苤兰"	"100"	"--"	"扁圆"	"--"	"贵州"	"--"	"--"	"TONG REN BAI PI PIE LAN"	"脆嫩"	"1100"	"--"	"Brassica(芸薹属)"	"V04B0010"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"耐寒"	"贵州农科院园艺所"	"13.0"	"--"	"--"	"较开展"	"--"	"--"	"绿"	"--"	"--"	"中"	"--"	"--"	"秋冬栽培"	"中"	"--"	"4-B-22-38"	"--"	"贵州铜仁县"	"生熟食"	"Ⅱ4B0016"	"11-3-4"	"--"	"45.0"	"300"	"--"
