"id"	"熟性"	"保存编号"	"品种名称"	"生长习性"	"译名"	"单瓜重"	"生育期"	"瓜面腊粉"	"分枝性"	"抗病虫性"	"商瓜皮色"	"老瓜次色"	"叶形"	"风味"	"老瓜斑纹"	"亩产"	"老瓜皮色"	"备注"	"瓜形"	"瓜刺多少"	"肉质"	"雌首花节位"	"统一编号"	"保存单位"	"抗逆性"	"种质库编号"	"种子来源"	"商瓜次色"	"栽培季节"	"商瓜斑纹"	"瓜棱形状"
"1"	"早"	"Lv1(81)"	"线瓠"	"攀援蔓生"	"XIAN HU"	"1.0"	"40"	"--"	"强"	"抗"	"绿"	"--"	"心形"	"甜"	"--"	"2500"	"奶油色"	"*"	"圆柱形"	"多"	"软"	"2"	"V05I0001"	"安徽农科院园艺所"	"不耐热"	"Ⅱ5G0002"	"安徽合肥市"	"--"	"4上-5中"	"--"	"--"
"2"	"晚"	"Lv6(87)"	"花皮葫芦"	"蔓生"	"HUA PI HU LU"	"3.3"	"130"	"无"	"强"	"抗"	"绿"	"--"	"掌状"	"微甜"	"--"	"1250"	"绿色"	"--"	"梨形"	"无"	"--"	"--"	"V05I0002"	"安徽农科院园艺所"	"强"	"Ⅱ5G0148"	"安徽涡阳县"	"--"	"3中-8上"	"--"	"平"
"3"	"早"	"Lv2(86)"	"铁葫芦"	"攀援蔓生"	"TIE HU LU"	"1.8"	"40"	"--"	"强"	"--"	"绿"	"--"	"掌状"	"--"	"--"	"--"	"灰色"	"*零星栽培老瓜可作水瓢"	"梨形"	"中"	"--"	"3"	"V05I0003"	"安徽农科院园艺所"	"--"	"Ⅱ5G0020"	"安徽涡阳县"	"--"	"4上-5中"	"--"	"--"
"4"	"晚"	"LV9(87)"	"无柄白葫芦"	"蔓生"	"WU BING BAI HU LU"	"2.8"	"130"	"无"	"中"	"抗"	"绿"	"--"	"掌状"	"淡而无味"	"--"	"1000"	"绿色"	"--"	"圆形"	"无"	"--"	"--"	"V05I0004"	"安徽农科院园艺所"	"强"	"Ⅱ5G0095"	"安徽涡阳县"	"--"	"3中-8上"	"--"	"平"
"5"	"早"	"LV10(87)"	"大垭腰葫芦"	"蔓生"	"DA YA YAO HU LU"	"2.5"	"110"	"无"	"强"	"中"	"绿"	"--"	"掌状"	"淡而无味"	"--"	"500"	"奶油色"	"--"	"哑铃形"	"无"	"--"	"--"	"V05I0005"	"安徽农科院园艺所"	"强"	"Ⅱ5G0096"	"安徽涡阳县"	"--"	"3中-7中"	"--"	"平"
"6"	"中"	"LV3(87)"	"牛腿瓠"	"攀援蔓生"	"NIU TUI HU"	"1.3"	"40"	"--"	"强"	"抗"	"绿"	"--"	"心形"	"--"	"--"	"2750"	"奶油色"	"*"	"圆柱形"	"多"	"软"	"2"	"V05I0006"	"安徽农科院园艺所"	"不耐热"	"Ⅱ5G0025"	"安徽五河县"	"--"	"4上-5中"	"--"	"--"
"7"	"早"	"B198"	"线瓠子"	"攀援蔓生"	"XIAN HU ZI"	"1.4"	"48"	"无"	"强"	"--"	"绿"	"--"	"心形"	"微甜"	"--"	"700"	"奶油色"	"--"	"圆柱形"	"疏"	"致密"	"7"	"V05I0007"	"北京蔬菜研究中心"	"耐热旱"	"Ⅱ5G0033"	"北京"	"--"	"--"	"--"	"平"
"8"	"早"	"B194"	"大葫芦"	"攀援蔓生"	"DA HU LU"	"5.6"	"84"	"--"	"强"	"中"	"绿"	"--"	"圆形"	"--"	"--"	"--"	"绿色"	"--"	"梨形"	"--"	"--"	"1"	"V05I0008"	"北京蔬菜研究中心"	"耐热旱"	"Ⅱ5G0014"	"北京"	"--"	"--"	"--"	"--"
"9"	"早"	"88-FW-34"	"长汀春瓠瓜"	"攀援蔓生"	"CHANG TING CHUN HU GUA"	"0.8"	"78"	"--"	"中"	"重感"	"绿"	"--"	"掌状"	"--"	"--"	"1250"	"绿色"	"又叫长汀春瓠子"	"梨形"	"--"	"软"	"8"	"V05I0009"	"福州市蔬菜科研所"	"中"	"Ⅱ5G0075"	"福建长汀县"	"--"	"2上-3下,4下-6下"	"--"	"--"
"10"	"中"	"89-FW-41"	"大田白瓠"	"攀援蔓生"	"DA TIAN BAI HU"	"3.5"	"110"	"--"	"强"	"抗"	"绿"	"--"	"掌状"	"--"	"--"	"2250"	"褐色"	"--"	"梨形"	"--"	"致密上"	"22"	"V05I0010"	"福州市蔬菜科研所"	"强"	"Ⅱ5G0141"	"福建大田县"	"--"	"3上-4中,7上-10上"	"--"	"--"
