"id"	"亲系"	"科名"	"抗旱"	"品种名称"	"茎径"	"备注"	"引入时间"	"属名"	"统一编号"	"黑穗病"	"学名"	"锤度"	"茎色"	"苗期习性"	"引入单位"	"株高"	"省"	"育成单位"	"熟期"
"1"	"--"	"Gramineae(禾本科)"	"--"	"AH 1865"	"--"	"--"	"1993.12"	"Saccharum(甘蔗属)"	"00000001"	"--"	"Saccharum sinense Roxb.(中国种甘蔗)"	"--"	"--"	"--"	"海南育种场"	"--"	"国外"	"--"	"--"
"2"	"--"	"Gramineae(禾本科)"	"--"	"AH 1803"	"--"	"--"	"1993.12"	"Saccharum(甘蔗属)"	"00000002"	"--"	"Saccharum sinense Roxb.(中国种甘蔗)"	"--"	"--"	"--"	"海南育种场"	"--"	"国外"	"--"	"--"
"3"	"--"	"Gramineae(禾本科)"	"--"	"B 52/298"	"--"	"--"	"1993.11"	"Saccharum(甘蔗属)"	"00000003"	"--"	"Saccharum sinense Roxb.(中国种甘蔗)"	"--"	"--"	"--"	"福建甘科所"	"--"	"国外"	"--"	"--"
"4"	"--"	"Gramineae(禾本科)"	"--"	"B 45/151"	"--"	"--"	"1993.11"	"Saccharum(甘蔗属)"	"00000004"	"--"	"Saccharum sinense Roxb.(中国种甘蔗)"	"--"	"--"	"--"	"福建甘科所"	"--"	"国外"	"--"	"--"
"5"	"H 32/8560×B 49119"	"Gramineae(禾本科)"	"--"	"B 60/321"	"--"	"--"	"1993.03"	"Saccharum(甘蔗属)"	"00000005"	"--"	"Saccharum sinense Roxb.(中国种甘蔗)"	"--"	"--"	"--"	"海南育种场"	"--"	"国外"	"--"	"--"
"6"	"B37161×POJ2878"	"Gramineae(禾本科)"	"--"	"B 4362"	"--"	"--"	"1993.11"	"Saccharum(甘蔗属)"	"00000006"	"--"	"Saccharum sinense Roxb.(中国种甘蔗)"	"--"	"--"	"--"	"福建甘科所"	"--"	"国外"	"--"	"--"
"7"	"B35207×POJ2878"	"Gramineae(禾本科)"	"--"	"B 41/227"	"--"	"--"	"1993.12"	"Saccharum(甘蔗属)"	"00000007"	"--"	"Saccharum sinense Roxb.(中国种甘蔗)"	"--"	"--"	"--"	"海南育种场"	"--"	"国外"	"--"	"--"
"8"	"--"	"Gramineae(禾本科)"	"--"	"B 54/281"	"--"	"--"	"1993.12"	"Saccharum(甘蔗属)"	"00000008"	"--"	"Saccharum sinense Roxb.(中国种甘蔗)"	"--"	"--"	"--"	"海南育种场"	"--"	"国外"	"--"	"--"
"9"	"B3439×B37252"	"Gramineae(禾本科)"	"--"	"B 41211"	"--"	"--"	"1993.12"	"Saccharum(甘蔗属)"	"00000009"	"--"	"Saccharum sinense Roxb.(中国种甘蔗)"	"--"	"--"	"--"	"海南育种场"	"--"	"国外"	"--"	"--"
"10"	"B6835×B4578"	"Gramineae(禾本科)"	"--"	"BH 10/12"	"--"	"--"	"1993.12"	"Saccharum(甘蔗属)"	"00000010"	"--"	"Saccharum sinense Roxb.(中国种甘蔗)"	"--"	"--"	"--"	"海南育种场"	"--"	"国外"	"--"	"--"
"11"	"--"	"Gramineae(禾本科)"	"--"	"BJ 5924"	"--"	"--"	"1993.11"	"Saccharum(甘蔗属)"	"00000011"	"--"	"Saccharum sinense Roxb.(中国种甘蔗)"	"--"	"--"	"--"	"福建甘科所"	"--"	"国外"	"--"	"--"
"12"	"--"	"Gramineae(禾本科)"	"--"	"C 141/70"	"--"	"--"	"1993.11"	"Saccharum(甘蔗属)"	"00000012"	"--"	"Saccharum sinense Roxb.(中国种甘蔗)"	"--"	"--"	"--"	"福建甘科所"	"--"	"国外"	"--"	"--"
"13"	"--"	"Gramineae(禾本科)"	"--"	"C 236/51"	"--"	"--"	"1993.11"	"Saccharum(甘蔗属)"	"00000013"	"--"	"Saccharum sinense Roxb.(中国种甘蔗)"	"--"	"--"	"--"	"福建甘科所"	"--"	"国外"	"--"	"--"
"14"	"--"	"Gramineae(禾本科)"	"--"	"C 183/76"	"--"	"--"	"1993.11"	"Saccharum(甘蔗属)"	"00000014"	"--"	"Saccharum sinense Roxb.(中国种甘蔗)"	"--"	"--"	"--"	"福建甘科所"	"--"	"国外"	"--"	"--"
"15"	"--"	"Gramineae(禾本科)"	"--"	"C 39/475"	"--"	"--"	"1993.11"	"Saccharum(甘蔗属)"	"00000015"	"--"	"Saccharum sinense Roxb.(中国种甘蔗)"	"--"	"--"	"--"	"福建甘科所"	"--"	"国外"	"--"	"--"
"16"	"--"	"Gramineae(禾本科)"	"--"	"C 671/51"	"--"	"--"	"1993.11"	"Saccharum(甘蔗属)"	"00000016"	"--"	"Saccharum sinense Roxb.(中国种甘蔗)"	"--"	"--"	"--"	"福建甘科所"	"--"	"国外"	"--"	"--"
"17"	"--"	"Gramineae(禾本科)"	"--"	"C 540/47"	"--"	"--"	"1993.11"	"Saccharum(甘蔗属)"	"00000017"	"--"	"Saccharum sinense Roxb.(中国种甘蔗)"	"--"	"--"	"--"	"福建甘科所"	"--"	"国外"	"--"	"--"
"18"	"--"	"Gramineae(禾本科)"	"--"	"C 389/52"	"--"	"--"	"1993.11"	"Saccharum(甘蔗属)"	"00000018"	"--"	"Saccharum sinense Roxb.(中国种甘蔗)"	"--"	"--"	"--"	"福建甘科所"	"--"	"国外"	"--"	"--"
"19"	"--"	"Gramineae(禾本科)"	"--"	"C 168/75"	"--"	"--"	"1993.11"	"Saccharum(甘蔗属)"	"00000019"	"--"	"Saccharum sinense Roxb.(中国种甘蔗)"	"--"	"--"	"--"	"福建甘科所"	"--"	"国外"	"--"	"--"
"20"	"--"	"Gramineae(禾本科)"	"--"	"C 22/71"	"--"	"--"	"1993.11"	"Saccharum(甘蔗属)"	"00000020"	"--"	"Saccharum sinense Roxb.(中国种甘蔗)"	"--"	"--"	"--"	"福建甘科所"	"--"	"国外"	"--"	"--"
"21"	"--"	"Gramineae(禾本科)"	"--"	"C 147/66"	"--"	"--"	"1993.11"	"Saccharum(甘蔗属)"	"00000021"	"--"	"Saccharum sinense Roxb.(中国种甘蔗)"	"--"	"--"	"--"	"福建甘科所"	"--"	"国外"	"--"	"--"
"22"	"--"	"Gramineae(禾本科)"	"--"	"C 136/76"	"--"	"--"	"1993.11"	"Saccharum(甘蔗属)"	"00000022"	"--"	"Saccharum sinense Roxb.(中国种甘蔗)"	"--"	"--"	"--"	"福建甘科所"	"--"	"国外"	"--"	"--"
"23"	"CO281×POJ2878"	"Gramineae(禾本科)"	"--"	"C 87/51"	"--"	"--"	"1993.11"	"Saccharum(甘蔗属)"	"00000023"	"--"	"Saccharum sinense Roxb.(中国种甘蔗)"	"--"	"--"	"--"	"福建甘科所"	"--"	"国外"	"--"	"--"
