"id"	"科名"	"保存编号"	"品种名称"	"鲜粗淀粉"	"所属群别"	"脉基色"	"叶脉色"	"耐盐性"	"耐贮性"	"分枝多少"	"类型"	"保存单位"	"省"	"来源"	"幼苗生长势"	"鲜粗蛋白"	"原名"	"属名"	"统一编号"	"叶片大小"	"干粗蛋白"	"学名"	"茎色"	"最长蔓长短"	"茎粗"	"干可溶性糖"	"株型"	"薯皮色"	"薯形"	"原产地"	"产量"	"叶色"	"最长蔓长"	"柄基色"	"顶叶形"	"顶叶色"	"备注"	"薯瘟抗性1"	"叶形"	"根腐病指"	"茎线虫病"	"薯肉色"	"耐旱性"	"茎粗大小"	"干粗淀粉"	"鲜可溶性糖"	"根腐病抗性"	"萌芽性"	"茎端茸毛"	"叶片长"	"烘干率"	"叶片宽"	"基部分枝"	"薯瘟抗性2"	"原系号"	"黑斑病"	"异亮氨酸"	"所属"	"糖化力"	"叶锈反应型"	"直链淀粉"	"丙氨酸"	"穗密度"	"耐涝性"	"单位编号"	"蛋白质"	"北纬"	"白背飞虱"	"单株产量"	"条纹病抗性"	"籼粳"	"百粒重"	"分蘖力"	"赤霉病病穗"	"苗瘟"	"分枝数"	"条纹病病率"	"芒"	"苗期耐旱"	"脯氨酸"	"抗旱级别"	"田间抗寒性"	"精米率"	"天冬氨酸"	"水敏称度"	"秆锈反应型"	"长宽比"	"缬氨酸"	"高程"	"种子来源"	"耐涝级别"	"沉淀值"	"早中晚"	"生长习性"	"赤霉病抗性"	"保存单位_2"	"荚色"	"棱型"	"东经"	"花色"	"黄花发病率"	"冬春性"	"颖尖弯直'"	"库编号"	"全粉浸出物"	"颖尖弯直"	"酪氨酸"	"壳色"	"芒长"	"荚长"	"粗蛋白"	"根腐穗病级"	"糙米率"
"1"	"Convolvulaceae(旋花科)"	"苏徐A018"	"吴桥种"	"--"	"--"	"淡紫"	"主微紫"	"--"	"--"	"中"	"地方"	"江苏省徐州地区农科所"	"河北"	"--"	"--"	"--"	"--"	"Ipomoea(番薯属)"	"ZS000001"	"中"	"--"	"Ipomoea batatas Lam.(甘薯)"	"绿"	"长"	"中"	"--"	"匍匐"	"红"	"长筒"	"河北吴桥"	"低"	"绿"	"263"	"绿"	"浅单缺"	"绿"	"--"	"--"	"浅单缺"	"--"	"--"	"黄"	"--"	"0.53"	"--"	"--"	"--"	"中下"	"少"	"10.4"	"18.3"	"12.3"	"9"	"--"	"--"	"--"																																																									
"2"	"Convolvulaceae(旋花科)"	"苏徐A019"	"兴城本地种"	"--"	"B"	"浓紫"	"紫"	"--"	"--"	"中"	"地方"	"江苏省徐州地区农科所"	"辽宁"	"--"	"--"	"--"	"--"	"Ipomoea(番薯属)"	"ZS000002"	"中"	"--"	"Ipomoea batatas Lam.(甘薯)"	"紫"	"中"	"中"	"--"	"匍匐"	"粉红"	"下膨纺"	"辽宁兴城"	"中"	"浓绿"	"142"	"紫"	"心带齿"	"黄绿"	"--"	"--"	"心带齿"	"--"	"--"	"桔红"	"--"	"0.57"	"--"	"--"	"--"	"中上"	"多"	"11.8"	"27.0"	"12.3"	"6"	"--"	"--"	"--"																																																									
"3"	"Convolvulaceae(旋花科)"	"苏徐A020"	"梨树4号"	"--"	"--"	"淡紫"	"主微紫"	"--"	"--"	"中"	"地方"	"江苏省徐州地区农科所"	"吉林"	"--"	"--"	"--"	"--"	"Ipomoea(番薯属)"	"ZS000003"	"中"	"--"	"Ipomoea batatas Lam.(甘薯)"	"紫褐"	"中"	"中"	"--"	"匍匐"	"黄白"	"纺锤"	"吉林梨树"	"中"	"浓绿"	"168"	"紫褐"	"浅单缺"	"绿"	"--"	"--"	"浅单缺"	"--"	"--"	"淡黄"	"--"	"0.50"	"--"	"--"	"--"	"中"	"少"	"9.3"	"29.3"	"9.3"	"10"	"--"	"--"	"--"																																																									
"4"	"Convolvulaceae(旋花科)"	"苏徐A010"	"川沙薯"	"--"	"--"	"紫"	"淡紫"	"--"	"--"	"多"	"地方"	"江苏省徐州地区农科所"	"上海"	"--"	"--"	"--"	"--"	"Ipomoea(番薯属)"	"ZS000004"	"中"	"--"	"Ipomoea batatas Lam.(甘薯)"	"绿"	"长"	"细"	"--"	"匍匐"	"深红"	"纺锤"	"上海川沙"	"低"	"绿"	"289"	"绿"	"心带齿"	"绿"	"较抗茎线虫病,感黑斑病和根腐病"	"--"	"深单缺"	"--"	"--"	"桔黄"	"--"	"0.34"	"--"	"--"	"--"	"中"	"少"	"9.9"	"20.8"	"10.0"	"12"	"--"	"--"	"--"																																																									
"5"	"Convolvulaceae(旋花科)"	"苏徐A001"	"小白藤"	"--"	"A"	"淡绿"	"淡绿"	"--"	"--"	"中"	"地方"	"江苏省徐州地区农科所"	"江苏"	"--"	"--"	"--"	"--"	"Ipomoea(番薯属)"	"ZS000005"	"中"	"--"	"Ipomoea batatas Lam.(甘薯)"	"绿"	"长"	"细"	"--"	"匍匐"	"淡红"	"短纺"	"江苏淮阴"	"低"	"淡绿"	"238"	"淡绿"	"尖心带齿"	"黄褐"	"抗黑斑病,感茎线虫病,重感根腐病,耐瘠,质优"	"--"	"心带齿"	"--"	"--"	"白黄"	"--"	"0.39"	"--"	"--"	"--"	"中上"	"少"	"8.6"	"27.9"	"10.3"	"9"	"--"	"--"	"--"																																																									
"6"	"Convolvulaceae(旋花科)"	"苏徐A002"	"老白白"	"--"	"--"	"紫"	"紫"	"--"	"--"	"多"	"地方"	"江苏省徐州地区农科所"	"江苏"	"--"	"--"	"--"	"--"	"Ipomoea(番薯属)"	"ZS000006"	"小"	"--"	"Ipomoea batatas Lam.(甘薯)"	"绿带紫"	"中"	"细"	"--"	"匍匐"	"白黄"	"长纺"	"江苏邳县"	"中"	"浓绿"	"180"	"紫"	"浅单缺"	"绿"	"抗根腐病和茎线虫病,较抗黑斑病,耐旱"	"--"	"心或浅单缺"	"--"	"--"	"白"	"--"	"0.37"	"--"	"--"	"--"	"中上"	"无"	"7.7"	"21.6"	"7.7"	"14"	"--"	"--"	"--"																																																									
"7"	"Convolvulaceae(旋花科)"	"苏徐A003"	"苏州红"	"--"	"--"	"紫"	"淡紫"	"--"	"--"	"多"	"地方"	"江苏省徐州地区农科所"	"江苏"	"--"	"--"	"--"	"--"	"Ipomoea(番薯属)"	"ZS000007"	"中"	"--"	"Ipomoea batatas Lam.(甘薯)"	"绿"	"长"	"细"	"--"	"匍匐"	"红紫"	"纺锤"	"江苏淮阴"	"低"	"绿"	"244"	"绿"	"浅单缺"	"淡绿"	"抗茎线虫病,较抗黑斑病,感根腐病"	"--"	"深单缺"	"--"	"--"	"淡红"	"--"	"0.38"	"--"	"--"	"--"	"中"	"少"	"10.1"	"19.3"	"10.0"	"12"	"--"	"--"	"--"																																																									
"8"	"Convolvulaceae(旋花科)"	"苏徐A004"	"阜宁站秧"	"--"	"B"	"紫"	"淡紫"	"--"	"--"	"多"	"地方"	"江苏省徐州地区农科所"	"江苏"	"--"	"--"	"--"	"--"	"Ipomoea(番薯属)"	"ZS000008"	"小"	"--"	"Ipomoea batatas Lam.(甘薯)"	"绿带紫"	"中"	"中"	"--"	"直立"	"淡红"	"纺锤"	"江苏阜宁"	"低"	"淡绿"	"137"	"淡紫"	"心齿或浅单缺"	"淡绿"	"高抗黑斑病和茎线虫病,重感根腐病和蔓割病"	"--"	"心齿或浅单缺"	"--"	"--"	"淡黄"	"--"	"0.49"	"--"	"--"	"--"	"中上"	"无"	"8.9"	"23.0"	"8.9"	"12"	"--"	"--"	"--"																																																									
"9"	"Convolvulaceae(旋花科)"	"苏徐A005"	"红菊花"	"--"	"--"	"紫"	"淡紫"	"--"	"--"	"多"	"地方"	"江苏省徐州地区农科所"	"江苏"	"--"	"--"	"--"	"--"	"Ipomoea(番薯属)"	"ZS000009"	"中"	"--"	"Ipomoea batatas Lam.(甘薯)"	"绿带褐"	"特长"	"细"	"--"	"匍匐"	"红"	"纺锤"	"江苏海门"	"低"	"绿"	"346"	"绿带褐"	"浅单缺"	"绿"	"较抗黑斑病和茎线虫病,感根腐病"	"--"	"深单缺"	"--"	"--"	"桔黄"	"--"	"0.36"	"--"	"--"	"--"	"中"	"少"	"10.1"	"21.3"	"8.5"	"12"	"--"	"--"	"--"																																																									
"10"	"Convolvulaceae(旋花科)"	"苏徐A006"	"南京红皮"	"--"	"--"	"紫"	"淡紫"	"--"	"--"	"中"	"地方"	"江苏省徐州地区农科所"	"江苏"	"--"	"--"	"--"	"--"	"Ipomoea(番薯属)"	"ZS000010"	"中"	"--"	"Ipomoea batatas Lam.(甘薯)"	"绿带褐"	"特长"	"细"	"--"	"匍匐"	"红"	"纺锤"	"江苏南京"	"低"	"绿"	"360"	"绿带微紫"	"心齿或浅单缺"	"绿"	"较抗茎线虫病,重感黑斑病和根腐病"	"--"	"深单缺"	"--"	"--"	"桔黄"	"--"	"0.34"	"--"	"--"	"--"	"中"	"少"	"10.2"	"21.0"	"9.6"	"10"	"--"	"--"	"--"																																																									
